# run_started_at	20260421_041447
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	128
# arg	bnb_4bit_compute_dtype	"bfloat16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	config	""
# arg	dataloader_num_workers	0
# arg	dataset	"piqa"
# arg	debug_nonfinite_router	1
# arg	debug_router_meta	0
# arg	device	"cuda"
# arg	epochs	1
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	1
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	32
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj"
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.25
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Qwen_MoE"
# arg	num_proc	8
# arg	output_dir	"/root/models/out_qw_cb_lowlr_norestrict_abl_newlr01_ctx03"
# arg	piqa_local_dir	"/root/datasets/PIQA"
# arg	router_aux_loss_coef	0.001
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	0.3
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	2.0
# arg	router_pull_loss_coef	0.001
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"hard_ce"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	0
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776716114.069	0	50	50	0	0.329663	0.135329	0.236021	3.805906	3.992920	0.312500	0.425481	0.643192
1776716114.069	0	50	50	1	0.358060	0.138605	0.323400	3.829294	4.032782	0.307692	0.319712	0.389286
1776716114.069	0	50	50	2	0.390436	0.145433	0.398279	3.823630	4.032216	0.139423	0.272837	0.258978
1776716114.069	0	50	50	3	0.426085	0.166488	0.372435	3.829386	4.030282	0.194712	0.247596	0.569309
1776716114.069	0	50	50	4	0.448507	0.181420	0.342666	3.795529	4.008828	0.185096	0.243990	0.404470
1776716114.069	0	50	50	5	0.523867	0.220955	0.327826	3.677862	3.950058	0.182692	0.271635	0.306545
1776716114.069	0	50	50	6	0.469726	0.193033	0.334641	3.780306	4.043354	0.141827	0.310096	0.260094
1776716114.069	0	50	50	7	0.656189	0.281473	0.372968	3.694636	4.002730	0.132212	0.228365	0.317609
1776716114.069	0	50	50	8	0.698302	0.299257	0.399151	3.676634	4.020357	0.110577	0.153846	0.224125
1776716114.069	0	50	50	9	0.667536	0.287963	0.366442	3.612764	3.895192	0.290865	0.316106	0.240100
1776716114.069	0	50	50	10	0.684753	0.295939	0.371497	3.658199	3.967786	0.305288	0.284856	0.286818
1776716114.069	0	50	50	11	0.739356	0.321497	0.385446	3.578359	3.895093	0.170673	0.348558	0.116244
1776716114.069	0	50	50	12	0.769060	0.333165	0.410921	3.617773	3.921019	0.233173	0.241587	0.228190
1776716114.069	0	50	50	13	0.816160	0.358277	0.398421	3.592130	3.928248	0.127404	0.237981	0.192077
1776716114.069	0	50	50	14	0.814505	0.358648	0.388834	3.547824	3.855977	0.286058	0.382212	0.138920
1776716114.069	0	50	50	15	0.872011	0.385246	0.406075	3.535110	3.867236	0.151442	0.293269	0.197844
1776716114.069	0	50	50	16	0.864346	0.381601	0.404572	3.527264	3.871879	0.168269	0.270433	0.143443
1776716114.069	0	50	50	17	0.861693	0.382401	0.387567	3.497287	3.741461	0.324519	0.382212	0.247479
1776716114.069	0	50	50	18	0.923053	0.407361	0.433325	3.583559	3.853505	0.163462	0.241587	0.179563
1776716114.069	0	50	50	19	0.773758	0.330676	0.449623	3.684035	3.954946	0.180288	0.200721	0.180870
1776716114.069	0	50	50	20	0.798621	0.343531	0.446235	3.661808	3.992503	0.278846	0.319712	0.154491
1776716114.069	0	50	50	21	0.770954	0.330810	0.437334	3.681548	3.987288	0.079327	0.145433	0.064077
1776716114.069	0	50	50	22	0.809235	0.350744	0.430986	3.643962	3.934864	0.432692	0.367788	0.159264
1776716114.069	0	50	50	23	0.727594	0.313380	0.403332	3.691664	4.015076	0.079327	0.177885	0.369267
1776716147.201	0	100	100	0	0.236810	0.095977	0.179427	3.811982	3.965816	0.400415	0.490664	0.557243
1776716147.201	0	100	100	1	0.230238	0.082766	0.258823	3.845014	3.953710	0.224066	0.375519	0.299874
1776716147.201	0	100	100	2	0.286954	0.100728	0.341998	3.850919	3.968725	0.267635	0.286307	0.237178
1776716147.201	0	100	100	3	0.321913	0.121682	0.314196	3.841381	3.980683	0.184647	0.343361	0.490883
1776716147.201	0	100	100	4	0.330593	0.129769	0.284221	3.793675	3.932977	0.311203	0.367220	0.325312
1776716147.201	0	100	100	5	0.350572	0.142908	0.259019	3.657843	3.807665	0.371369	0.438797	0.283034
1776716147.201	0	100	100	6	0.372957	0.152570	0.271269	3.667729	3.832267	0.253112	0.418050	0.250682
1776716147.201	0	100	100	7	0.437461	0.187594	0.249091	3.607006	3.843472	0.168050	0.316390	0.266072
1776716147.201	0	100	100	8	0.413824	0.176298	0.244916	3.640430	3.854753	0.176349	0.342324	0.205402
1776716147.201	0	100	100	9	0.439962	0.187941	0.256319	3.611938	3.799540	0.240664	0.321577	0.200289
1776716147.201	0	100	100	10	0.454745	0.199158	0.225713	3.583499	3.796521	0.307054	0.473029	0.222233
1776716147.201	0	100	100	11	0.469236	0.205012	0.236851	3.564481	3.770721	0.385892	0.477178	0.104551
1776716147.201	0	100	100	12	0.519374	0.229009	0.245428	3.558338	3.775588	0.327801	0.366183	0.192021
1776716147.201	0	100	100	13	0.620316	0.278102	0.256452	3.467113	3.746412	0.329876	0.357884	0.135306
1776716147.201	0	100	100	14	0.639979	0.284105	0.287077	3.491590	3.754391	0.238589	0.360996	0.138965
1776716147.201	0	100	100	15	0.682549	0.303570	0.301640	3.506572	3.796588	0.244813	0.286307	0.177639
1776716147.201	0	100	100	16	0.838253	0.380647	0.307834	3.386388	3.829515	0.107884	0.253112	0.166158
1776716147.201	0	100	100	17	0.810864	0.365612	0.318558	3.374978	3.773517	0.219917	0.308091	0.146726
1776716147.201	0	100	100	18	0.836905	0.374148	0.354438	3.463838	3.880883	0.340249	0.398340	0.173290
1776716147.201	0	100	100	19	0.809809	0.357438	0.379728	3.565857	3.991807	0.259336	0.292531	0.159832
1776716147.201	0	100	100	20	0.807487	0.351553	0.417526	3.572792	4.004929	0.122407	0.209544	0.162145
1776716147.201	0	100	100	21	0.828202	0.359314	0.438295	3.576803	3.977137	0.120332	0.202282	0.043246
1776716147.201	0	100	100	22	0.819983	0.354960	0.440248	3.615799	4.003731	0.155602	0.255187	0.242986
1776716147.201	0	100	100	23	0.809309	0.359088	0.364532	3.546602	3.943269	0.184647	0.244813	0.312027
1776716188.268	0	150	150	0	0.210597	0.086621	0.149421	3.788807	3.940576	0.505455	0.560000	0.528017
1776716188.268	0	150	150	1	0.190461	0.067937	0.218347	3.854977	3.954413	0.378182	0.443636	0.294582
1776716188.268	0	150	150	2	0.226985	0.079652	0.270726	3.847251	3.945705	0.396364	0.415455	0.225281
