# run_started_at	20260422_031730
# arg	batch_size	24
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	72
# arg	bnb_4bit_compute_dtype	"bfloat16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	config	""
# arg	dataloader_num_workers	0
# arg	dataset	"piqa"
# arg	debug_nonfinite_router	1
# arg	debug_router_meta	0
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	1
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj"
# arg	lr	0.00015
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.25
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Qwen_MoE"
# arg	num_proc	8
# arg	output_dir	"/root/models/out_qw_cb_lowlr_norestrict_abl_newlr01_ctx03"
# arg	piqa_local_dir	"/root/datasets/PIQA"
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	0.3
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.15
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"hard_ce"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	4
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_dtype	"bfloat16"
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	0
# arg	stage	1
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776799109.951	0	50	50	0	0.345239	0.141728	0.247130	3.802549	3.998527	0.300326	0.380305	0.647449
1776799109.951	0	50	50	1	0.369772	0.144545	0.322725	3.799285	4.028299	0.233950	0.326714	0.360838
1776799109.951	0	50	50	2	0.401114	0.152689	0.382948	3.808174	4.031759	0.179543	0.294614	0.192133
1776799109.951	0	50	50	3	0.475018	0.190322	0.377497	3.786005	4.037211	0.144723	0.284276	0.585442
1776799109.951	0	50	50	4	0.500565	0.208128	0.337239	3.734058	4.006660	0.174102	0.352285	0.383441
1776799109.951	0	50	50	5	0.592112	0.256789	0.314133	3.598132	3.960201	0.295974	0.402339	0.396484
1776799109.951	0	50	50	6	0.460357	0.193783	0.291167	3.697073	3.944851	0.139282	0.417301	0.247845
1776799109.951	0	50	50	7	0.640679	0.277066	0.346188	3.627199	3.902472	0.155604	0.369967	0.210800
1776799109.951	0	50	50	8	0.740287	0.313189	0.455640	3.592254	3.873014	0.043526	0.297062	0.241526
1776799109.951	0	50	50	9	0.744377	0.318096	0.432739	3.563942	3.800237	0.171926	0.355005	0.268991
1776799109.952	0	50	50	10	0.752311	0.323561	0.420752	3.570113	3.819417	0.203482	0.418934	0.298306
1776799109.952	0	50	50	11	0.775255	0.338465	0.393299	3.563074	3.804562	0.254625	0.368879	0.136783
1776799109.952	0	50	50	12	0.827998	0.363417	0.404660	3.536525	3.830022	0.090316	0.373776	0.167032
1776799109.952	0	50	50	13	0.885255	0.394250	0.387019	3.488613	3.742131	0.155604	0.399347	0.096296
1776799109.952	0	50	50	14	0.958530	0.430251	0.392114	3.442742	3.609669	0.167573	0.424374	0.158127
1776799109.952	0	50	50	15	0.961714	0.429426	0.411452	3.457918	3.706752	0.102285	0.366975	0.235544
1776799109.952	0	50	50	16	0.948225	0.421282	0.422642	3.550342	3.760362	0.171926	0.326442	0.126111
1776799109.952	0	50	50	17	0.891836	0.393959	0.415676	3.535101	3.820405	0.215452	0.457835	0.251049
1776799109.952	0	50	50	18	0.895697	0.393815	0.432266	3.604090	3.799802	0.236126	0.298694	0.256925
1776799109.952	0	50	50	19	0.755971	0.314703	0.506263	3.730696	4.019418	0.091404	0.214363	0.138232
1776799109.952	0	50	50	20	0.759102	0.313938	0.524909	3.744959	4.035765	0.089227	0.209739	0.218669
1776799109.952	0	50	50	21	0.750550	0.311436	0.510711	3.750762	4.031783	0.071817	0.252992	0.150493
1776799109.952	0	50	50	22	0.685945	0.291240	0.413861	3.734955	3.973226	0.176279	0.250816	0.358525
1776799109.952	0	50	50	23	0.707422	0.300085	0.429012	3.715361	3.945553	0.263330	0.277476	0.300972
1776799206.905	0	100	100	0	0.217925	0.087605	0.170858	3.815672	3.954171	0.470799	0.530691	0.566765
1776799206.905	0	100	100	1	0.215979	0.080742	0.217983	3.788662	3.912107	0.449344	0.498510	0.317063
1776799206.905	0	100	100	2	0.265939	0.099116	0.270826	3.795946	3.931695	0.353993	0.443385	0.219073
1776799206.905	0	100	100	3	0.328950	0.130774	0.269610	3.768423	3.950698	0.314660	0.430572	0.469473
1776799206.905	0	100	100	4	0.349455	0.143940	0.246296	3.719471	3.904826	0.269368	0.430870	0.352272
1776799206.905	0	100	100	5	0.368329	0.156219	0.223564	3.561257	3.761810	0.414780	0.486591	0.338395
1776799206.905	0	100	100	6	0.431224	0.185989	0.236988	3.524347	3.748764	0.240763	0.467521	0.252562
1776799206.905	0	100	100	7	0.466459	0.205032	0.225579	3.523948	3.765169	0.209774	0.428784	0.265736
1776799206.905	0	100	100	8	0.480529	0.208908	0.250852	3.591060	3.825397	0.256257	0.396007	0.238833
