# run_started_at	20260422_172901
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/root/models/fv1"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776850164.962	0	50	50	0	0.025050	0.008329	0.033566	2.654349	2.685336	0.862004	0.862949	0.935794
1776850164.962	0	50	50	1	0.061268	0.024918	0.045726	2.264769	2.300891	0.724008	0.783554	0.893759
1776850164.962	0	50	50	2	0.091981	0.038510	0.059845	2.434451	2.490917	0.754253	0.788280	0.932931
1776850164.962	0	50	50	3	0.101313	0.043489	0.057343	2.141763	2.153419	0.886578	0.824197	0.934065
1776850164.962	0	50	50	4	0.101210	0.042560	0.064359	2.339959	2.398274	0.860113	0.792060	0.918857
1776850164.962	0	50	50	5	0.127279	0.056092	0.060376	2.226826	2.313773	0.741021	0.780718	0.927928
1776850164.962	0	50	50	6	0.206083	0.095716	0.058602	2.089148	2.208408	0.729679	0.774102	0.921354
1776850164.962	0	50	50	7	0.216877	0.101676	0.054096	1.820169	1.913884	0.801512	0.821361	0.915982
1776850164.962	0	50	50	8	0.279980	0.131466	0.068194	1.847872	2.017584	0.841210	0.786389	0.908154
1776850164.962	0	50	50	9	0.351837	0.167074	0.070759	1.624289	1.809713	0.818525	0.776938	0.917821
1776850164.962	0	50	50	10	0.333982	0.156765	0.081809	1.801926	2.012324	0.816635	0.793006	0.907651
1776850164.962	0	50	50	11	0.297728	0.139544	0.074561	1.751690	1.933749	0.797732	0.810964	0.915123
1776850164.962	0	50	50	12	0.374126	0.178621	0.067536	1.459543	1.659847	0.846881	0.810964	0.907008
1776850164.962	0	50	50	13	0.335654	0.159154	0.069389	1.516194	1.649127	0.824197	0.807183	0.912498
1776850164.962	0	50	50	14	0.358018	0.172070	0.055512	1.422333	1.545076	0.831758	0.818525	0.927415
1776850164.962	0	50	50	15	0.245899	0.117704	0.041960	1.486898	1.601390	0.897921	0.841210	0.929437
1776850164.962	0	50	50	16	0.378568	0.182013	0.058169	1.261994	1.328007	0.871456	0.845936	0.929077
1776850164.962	0	50	50	17	0.431906	0.208576	0.059014	0.936648	1.056939	0.950851	0.815690	0.911863
1776850164.962	0	50	50	18	0.436390	0.209932	0.066109	1.152982	1.295167	0.882798	0.827977	0.911993
1776850164.962	0	50	50	19	0.429680	0.207612	0.057820	0.958175	1.066453	0.916824	0.858223	0.909876
1776850164.962	0	50	50	20	0.517635	0.250754	0.064506	0.904759	1.041453	0.875236	0.835539	0.914393
1776850164.962	0	50	50	21	0.540977	0.262412	0.064615	0.916103	1.107259	0.886578	0.893195	0.919706
1776850164.962	0	50	50	22	0.498859	0.241413	0.064130	0.763101	0.857598	0.903592	0.861059	0.905627
1776850164.962	0	50	50	23	0.844884	0.408806	0.109092	0.154470	0.179765	0.931947	0.789225	0.864916
1776850186.399	0	100	100	0	0.006596	0.002155	0.009142	2.647469	2.660573	0.946844	0.960963	0.962473
1776850186.399	0	100	100	1	0.027481	0.010712	0.024231	2.242924	2.263054	0.828904	0.841362	0.922810
1776850186.399	0	100	100	2	0.039147	0.016536	0.024300	2.343578	2.367175	0.888704	0.854651	0.971171
1776850186.399	0	100	100	3	0.047466	0.020474	0.026074	2.101681	2.137980	0.906977	0.898671	0.967912
1776850186.399	0	100	100	4	0.049081	0.020577	0.031708	2.311144	2.348149	0.883721	0.839701	0.953987
1776850186.399	0	100	100	5	0.049926	0.021738	0.025801	2.223944	2.268281	0.845515	0.868771	0.965531
