# run_started_at	20260422_180219
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/root/models/fv1"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/root/models/fv1/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.1
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776852217.395	0	50	50	6.688525e-05	2.585365	2.024365	0.701222	0.002225	0.000000	3.252535	3.359335	2.812416							0.800000	2	0.010000	0.583333	0.087427	-2.872247	-2.959675	-0.034251	1.371412	-4.976687	8.392797	1.000000	0.000000	1.611080	0.494236	0.000237	0.000000	1.000000	0.000000	-0.052576	0.184817	-0.049455	0.213466	6.150700	1.370433	2.000000	2.000000	0.026042	0.349737	0.638735	1.000000	0.000000	1.078621	[0.069574, 0.059725, 0.06811, 0.069539, 0.064219, 0.054827, 0.059328, 0.067453, 0.058782, 0.061508, 0.058659, 0.057743, 0.066266, 0.041289, 0.057841, 0.085139]	[0.077477, 0.071921, 0.061528, 0.057569, 0.073252, 0.047257, 0.067442, 0.070961, 0.060313, 0.059375, 0.061586, 0.048727, 0.070359, 0.025949, 0.054491, 0.091794]	16.000000	225.000002	15.678386	1010.197217	0.997775	[274.698517, 263.316864, 224.469482, 245.035767, 242.713623, 182.317413, 236.527618, 282.227539, 196.329834, 252.178345, 179.618408, 197.33139, 242.694626, 120.070267, 178.260162, 282.210205]
1776852294.627	0	100	100	7.993082e-05	2.466679	1.909618	0.696298	0.002265	0.000000	2.523063	2.823608	2.281308							0.800000	2	0.010000	0.500000	0.014805	-2.336795	-2.351600	-0.048925	1.330212	-4.699528	7.984290	1.000000	0.000000	1.692723	0.468520	0.000362	0.000000	1.000000	0.000000	-0.052544	0.185802	-0.049455	0.213466	5.830327	1.264501	2.000000	2.000000	0.015625	0.321358	0.615681	1.000000	0.000000	1.157024	[0.073346, 0.057056, 0.05875, 0.061918, 0.076964, 0.061437, 0.066058, 0.078679, 0.056827, 0.053198, 0.062281, 0.080472, 0.05704, 0.046563, 0.053627, 0.055785]	[0.083194, 0.066968, 0.05441, 0.054468, 0.109664, 0.058264, 0.05588, 0.082292, 0.058611, 0.050347, 0.059954, 0.076944, 0.058356, 0.035845, 0.047963, 0.04684]	15.958333	224.999999	13.245522	1101.342588	0.997735	[279.495544, 258.111816, 230.078781, 204.675598, 340.216858, 221.889694, 223.174103, 273.72757, 218.965363, 192.663666, 209.352997, 269.119446, 209.64592, 128.722504, 154.877975, 185.282318]
1776852373.029	0	150	150	7.964021e-05	2.395651	1.841386	0.692803	0.002296	0.000000	2.461984	2.590764	2.058852							0.800000	2	0.010000	0.500000	0.039704	-2.255056	-2.294760	-0.051412	1.384105	-5.013288	7.907666	1.000000	0.000000	1.618923	0.491961	0.000356	0.000000	1.000000	0.000000	-0.052535	0.186576	-0.049455	0.213466	6.014872	1.177155	2.000000	2.000000	0.026042	0.342980	0.640941	1.000000	0.000000	1.237216	[0.06911, 0.058257, 0.066069, 0.062244, 0.073116, 0.064116, 0.063995, 0.059606, 0.056666, 0.053442, 0.061493, 0.106453, 0.056956, 0.042115, 0.050498, 0.055865]	[0.077697, 0.073472, 0.059664, 0.053704, 0.109097, 0.069144, 0.052975, 0.047824, 0.046053, 0.050405, 0.059931, 0.117083, 0.055104, 0.032836, 0.043993, 0.051019]	15.916667	224.999997	16.230080	1266.947622	0.997704	[260.309448, 277.385529, 216.888306, 193.111145, 349.124573, 224.412842, 201.923386, 215.452316, 207.208237, 169.673172, 196.770432, 387.240326, 211.418488, 126.779251, 165.030197, 197.272369]
1776852459.288	0	200	200	7.912449e-05	2.589385	1.980840	0.760652	0.002315	0.000000	2.431990	2.495262	1.968023	2.470151	1.940412	0.662174	0.670000	0.140671	6.961620	0.800000	2	0.010000	0.583333	0.045290	-2.466586	-2.511875	-0.048124	1.361378	-4.938748	7.859933	1.000000	0.000000	1.646074	0.482379	0.000343	0.000000	1.000000	0.000000	-0.052519	0.188158	-0.049455	0.213466	5.884388	1.175760	2.000000	2.000000	0.023438	0.331446	0.633311	1.000000	0.000000	1.276432	[0.069049, 0.051607, 0.060389, 0.064341, 0.079302, 0.059615, 0.06325, 0.065868, 0.054963, 0.058949, 0.063533, 0.099832, 0.05797, 0.045709, 0.047461, 0.058163]	[0.075058, 0.059722, 0.053877, 0.058646, 0.118437, 0.051887, 0.056215, 0.055683, 0.052141, 0.057442, 0.077743, 0.107731, 0.056481, 0.039433, 0.039213, 0.040289]	15.958333	224.999998	13.838991	1209.672579	0.997685	[271.014771, 252.718475, 218.566864, 223.759399, 375.652039, 182.723511, 222.527252, 197.564133, 191.174103, 194.178131, 234.196686, 350.615662, 200.224609, 137.221893, 145.481796, 202.380768]
1776852539.193	0	250	250	7.838694e-05	2.683904	2.008123	0.844697	0.002334	0.000000	2.410109	2.442166	1.923000							0.800000	2	0.010000	0.333333	-0.251057	-2.813944	-2.562887	-0.056296	1.394075	-4.798372	8.100650	1.000000	0.000000	1.608157	0.496850	0.000395	0.000000	1.000000	0.000000	-0.052514	0.189024	-0.049455	0.213466	5.989266	1.149047	2.000000	2.000000	0.036458	0.348690	0.645010	1.000000	0.000000	1.322412	[0.065934, 0.046408, 0.062873, 0.067876, 0.077122, 0.058721, 0.064053, 0.068288, 0.055476, 0.047947, 0.051201, 0.108723, 0.06412, 0.045254, 0.048806, 0.067199]	[0.077963, 0.036181, 0.056771, 0.064502, 0.116481, 0.058345, 0.075023, 0.061644, 0.044757, 0.037917, 0.042697, 0.111759, 0.063889, 0.038113, 0.04228, 0.071678]	15.916667	224.999997	13.462506	1341.763237	0.997666	[273.010681, 195.532227, 225.153442, 231.023834, 386.278381, 174.971725, 241.399216, 220.102219, 184.344162, 157.605957, 179.212936, 377.704041, 228.420456, 134.919983, 147.222214, 243.098618]
1776852618.362	0	300	300	7.743219e-05	2.451221	1.952649	0.623186	0.002354	0.000000	2.401739	2.419198	1.903923							0.800000	2	0.010000	0.750000	0.181696	-2.348398	-2.530094	-0.054433	1.405593	-4.723718	8.319729	1.000000	0.000000	1.601691	0.499473	0.000427	0.000000	1.000000	0.000000	-0.052507	0.189330	-0.049455	0.213466	5.985158	1.148925	2.000000	2.000000	0.041667	0.353027	0.645919	1.000000	0.000000	1.266815	[0.073232, 0.046159, 0.05879, 0.060685, 0.076842, 0.053403, 0.062891, 0.077475, 0.066912, 0.053312, 0.049557, 0.098889, 0.060797, 0.045972, 0.047845, 0.067239]	[0.087164, 0.046771, 0.057894, 0.048958, 0.116782, 0.049745, 0.0525, 0.076042, 0.059699, 0.057454, 0.03478, 0.100856, 0.058333, 0.04088, 0.040313, 0.071829]	15.916667	224.999999	10.654020	1318.507067	0.997646	[304.670959, 205.568726, 199.367798, 218.133102, 352.58725, 181.948578, 222.138702, 286.623993, 221.619797, 181.223083, 150.315125, 344.221313, 206.44101, 151.106903, 149.698853, 224.334961]
1776852700.093	0	350	350	7.626629e-05	2.405125	1.784783	0.775398	0.002376	0.000000	2.460004	2.448428	1.924989							0.800000	2	0.010000	0.583333	-0.076588	-2.383230	-2.306641	-0.057382	1.407229	-5.116634	7.907128	1.000000	0.000000	1.601817	0.499273	0.000514	0.000000	1.000000	0.000000	-0.052489	0.190174	-0.049455	0.213466	5.990795	1.130450	2.000000	2.000000	0.039062	0.350782	0.647765	1.000000	0.000000	1.280824	[0.065237, 0.051542, 0.062642, 0.06391, 0.081353, 0.057419, 0.058679, 0.069742, 0.066239, 0.05407, 0.053951, 0.09317, 0.066155, 0.047227, 0.050939, 0.057726]	[0.070741, 0.033299, 0.057535, 0.061366, 0.119676, 0.052674, 0.071204, 0.066343, 0.061539, 0.051678, 0.048611, 0.09831, 0.063669, 0.037512, 0.046319, 0.059525]	15.875000	224.999999	10.944265	1240.052099	0.997624	[266.542328, 202.891037, 217.377365, 226.202988, 365.04599, 184.696747, 238.378815, 237.953415, 208.195068, 178.394028, 239.906799, 329.49765, 219.735962, 126.233261, 150.688904, 208.25975]
1776852784.527	0	400	400	7.489661e-05	2.513827	2.021928	0.614844	0.002389	0.000000	2.408334	2.424919	1.904935	2.424824	1.905046	0.649723	0.700000	0.165791	6.719717	0.800000	2	0.010000	0.666667	0.199482	-2.456268	-2.655750	-0.047301	1.397120	-5.079544	8.098674	1.000000	0.000000	1.588336	0.503326	0.000535	0.000000	1.000000	0.000000	-0.052483	0.191020	-0.049455	0.213466	5.901613	1.181844	2.000000	2.000000	0.028646	0.360613	0.646039	1.000000	0.000000	1.180999	[0.06682, 0.05005, 0.055773, 0.059461, 0.072175, 0.052015, 0.067891, 0.071185, 0.072731, 0.05827, 0.049654, 0.094166, 0.065129, 0.043016, 0.060799, 0.060863]	[0.072488, 0.037303, 0.048576, 0.056875, 0.103044, 0.052176, 0.081123, 0.06081, 0.07419, 0.062188, 0.039549, 0.097905, 0.065498, 0.032303, 0.057049, 0.058924]	15.833333	225.000001	8.859725	1340.333476	0.997611	[259.89389, 188.128036, 194.794296, 196.511963, 318.877686, 172.00975, 248.122177, 240.656586, 313.936646, 244.825241, 131.161682, 381.933777, 210.098434, 100.723495, 205.461365, 192.865112]
1776852863.319	0	450	450	7.333177e-05	2.712288	2.137393	0.718588	0.002404	0.000000	2.379152	2.399246	1.885659							0.800000	2	0.010000	0.750000	-0.004003	-2.728548	-2.724545	-0.049464	1.360420	-5.009116	8.111300	1.000000	0.000000	1.643724	0.486244	0.000431	0.000000	1.000000	0.000000	-0.052486	0.192387	-0.049455	0.213466	5.715474	1.140627	2.000000	2.000000	0.036458	0.342165	0.630324	1.000000	0.000000	1.288685	[0.064211, 0.051656, 0.058189, 0.069526, 0.081763, 0.053688, 0.067652, 0.077313, 0.063084, 0.049299, 0.051285, 0.091797, 0.068755, 0.042865, 0.053052, 0.055865]	[0.075729, 0.031551, 0.048727, 0.073657, 0.122072, 0.054109, 0.084838, 0.069248, 0.054213, 0.04375, 0.044595, 0.094201, 0.067025, 0.031759, 0.048449, 0.056076]	15.916667	225.000001	12.328309	1302.232997	0.997596	[265.148682, 213.774155, 197.147583, 263.20282, 357.587646, 167.061218, 269.762329, 260.628723, 245.904709, 163.29657, 152.335709, 338.079376, 222.382126, 110.427917, 178.116455, 195.144089]
1776852941.215	0	500	500	7.158169e-05	2.078644	1.553800	0.656025	0.002418	0.000000	2.360996	2.365226	1.863709							0.800000	2	0.010000	0.750000	0.100194	-2.197236	-2.297430	-0.053142	1.410396	-5.211473	8.249460	1.000000	0.000000	1.616929	0.492670	0.000549	0.000000	1.000000	0.000000	-0.052476	0.193119	-0.049455	0.213466	5.855908	1.142141	2.000000	2.000000	0.031250	0.345584	0.639757	1.000000	0.000000	1.251979	[0.067511, 0.05448, 0.060904, 0.064006, 0.075221, 0.056034, 0.075865, 0.075348, 0.066829, 0.047853, 0.049579, 0.088746, 0.067502, 0.040228, 0.051774, 0.058119]	[0.078785, 0.03662, 0.058229, 0.065799, 0.113194, 0.053611, 0.092951, 0.069039, 0.068356, 0.046736, 0.043588, 0.085046, 0.064838, 0.02963, 0.04522, 0.048356]	15.958333	225.000000	11.363035	1241.048775	0.997582	[271.110291, 210.464935, 259.983185, 204.451157, 352.732513, 200.095566, 288.772675, 240.455795, 243.08963, 177.512573, 178.225266, 291.317474, 234.258942, 101.462761, 168.493301, 177.574066]
