# run_started_at	20260423_011226
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/root/models/CB_piqa"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776877966.726	0	50	50	0	0.027993	0.009367	0.037036	2.652705	2.686996	0.871227	0.871227	0.928925
1776877966.726	0	50	50	1	0.071541	0.029215	0.052446	2.226532	2.264590	0.758551	0.755533	0.890683
1776877966.726	0	50	50	2	0.104796	0.044385	0.064101	2.428396	2.486624	0.756539	0.782696	0.926975
1776877966.727	0	50	50	3	0.114852	0.049786	0.061116	2.131189	2.180274	0.855131	0.835010	0.929989
1776877966.727	0	50	50	4	0.114941	0.049245	0.065807	2.299042	2.382738	0.828974	0.775654	0.915382
1776877966.727	0	50	50	5	0.128181	0.056640	0.059606	2.206570	2.296427	0.740443	0.763582	0.927496
1776877966.727	0	50	50	6	0.195896	0.090428	0.060159	2.108227	2.224113	0.734406	0.777666	0.918082
1776877966.727	0	50	50	7	0.214614	0.100632	0.053404	1.834783	1.970364	0.806841	0.837022	0.915855
1776877966.727	0	50	50	8	0.285020	0.133717	0.070344	1.851864	2.025798	0.839034	0.801811	0.904783
1776877966.727	0	50	50	9	0.312315	0.147503	0.069240	1.673527	1.862363	0.826962	0.786720	0.919132
1776877966.727	0	50	50	10	0.305750	0.142469	0.083245	1.850459	2.017654	0.790744	0.786720	0.906165
1776877966.727	0	50	50	11	0.320496	0.150279	0.079750	1.752416	1.937338	0.837022	0.793763	0.909534
1776877966.727	0	50	50	12	0.331718	0.157222	0.069095	1.513122	1.692927	0.843058	0.816901	0.903336
1776877966.727	0	50	50	13	0.364009	0.173330	0.069392	1.482798	1.638699	0.839034	0.816901	0.909936
1776877966.727	0	50	50	14	0.359085	0.171859	0.061466	1.451354	1.592745	0.839034	0.820926	0.919100
1776877966.727	0	50	50	15	0.257346	0.122878	0.046363	1.499518	1.608682	0.853119	0.850101	0.921193
1776877966.727	0	50	50	16	0.422992	0.203685	0.062483	1.286495	1.392061	0.847082	0.808853	0.923071
1776877966.727	0	50	50	17	0.478655	0.231655	0.061374	0.941817	1.088221	0.925553	0.797787	0.907715
1776877966.727	0	50	50	18	0.473963	0.228051	0.071443	1.211019	1.356965	0.839034	0.817907	0.905493
1776877966.727	0	50	50	19	0.505896	0.245438	0.060082	0.932183	1.078498	0.897384	0.843058	0.906845
1776877966.727	0	50	50	20	0.645181	0.314278	0.066501	0.866938	1.059306	0.891348	0.854125	0.911788
1776877966.727	0	50	50	21	0.554225	0.268528	0.068679	0.929376	1.122967	0.865191	0.886318	0.915484
1776877966.727	0	50	50	22	0.646233	0.314126	0.071928	0.814215	0.963748	0.855131	0.831992	0.899870
1776877966.727	0	50	50	23	1.156510	0.564063	0.113539	0.162405	0.211199	0.919517	0.763582	0.858569
1776877985.975	0	100	100	0	0.007232	0.002199	0.011336	2.650181	2.661774	0.952153	0.940191	0.961536
1776877985.975	0	100	100	1	0.028354	0.011174	0.024024	2.210683	2.232479	0.830941	0.854067	0.925224
1776877985.975	0	100	100	2	0.041563	0.017268	0.028107	2.416069	2.448890	0.845295	0.852472	0.966979
1776877985.975	0	100	100	3	0.055469	0.024166	0.028549	2.128316	2.144176	0.915470	0.866826	0.965258
1776877985.975	0	100	100	4	0.046157	0.018747	0.034650	2.346677	2.382257	0.910686	0.854067	0.950236
1776877985.975	0	100	100	5	0.053252	0.023042	0.028669	2.226965	2.267642	0.859649	0.849282	0.962480
