# run_started_at	20260423_013126
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/root/models/CB_piqa"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/root/models/CB_piqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776879169.586	0	50	50	6.800000e-05	2.095051	2.095029	0.588794	0.002226	0.000000	2.741972	2.903349	2.903327							0.000000	2	0.010000	0.916667	0.236389	-2.299141	-2.535530	-0.030637	1.355111	-4.981694	8.450869	1.000000	0.000000	1.632917	0.486393	0.000228	0.000000	1.000000	0.000000	-0.052573	0.185125	-0.049455	0.213466	6.092066	1.411932	2.000000	2.000000	0.015625	0.341462	0.631325	1.000000	0.000000	1.109462	[0.063012, 0.054628, 0.068861, 0.074953, 0.064768, 0.053469, 0.060555, 0.067719, 0.056952, 0.062998, 0.049589, 0.060689, 0.072958, 0.042101, 0.059323, 0.087425]	[0.061458, 0.062245, 0.065382, 0.067593, 0.064063, 0.042905, 0.068275, 0.077477, 0.058056, 0.068056, 0.039329, 0.049514, 0.081655, 0.049271, 0.050081, 0.094641]	16.000000	225.000001	12.467560	1121.647949	0.997774	[259.709564, 225.745819, 226.375183, 242.686127, 239.542648, 174.615585, 247.226471, 279.346283, 171.002243, 239.521957, 169.18158, 196.338287, 280.85553, 159.257095, 194.416916, 294.178833]
1776879251.934	0	100	100	7.992550e-05	1.975867	1.975844	0.579681	0.002270	0.000000	2.002234	2.325095	2.325073							0.000000	2	0.010000	0.750000	0.302088	-2.248312	-2.550400	-0.037589	1.328835	-4.868388	8.126849	1.000000	0.000000	1.663007	0.480319	0.000283	0.000000	1.000000	0.000000	-0.052543	0.186399	-0.049455	0.213466	5.830119	1.260364	2.000000	2.000000	0.023438	0.332669	0.627969	1.000000	0.000000	1.106646	[0.059775, 0.050442, 0.062149, 0.074137, 0.072985, 0.05621, 0.066435, 0.076977, 0.052285, 0.057081, 0.057122, 0.078722, 0.06054, 0.048967, 0.057154, 0.06902]	[0.066921, 0.036389, 0.066852, 0.081366, 0.068137, 0.046667, 0.082477, 0.080949, 0.04647, 0.048218, 0.050914, 0.076632, 0.060127, 0.06831, 0.046574, 0.072998]	16.000000	225.000002	13.836755	1074.792536	0.997730	[252.355286, 186.92308, 212.920776, 277.181274, 306.573517, 165.562454, 252.567245, 298.386444, 166.466156, 186.610153, 191.98288, 267.033508, 212.909576, 188.672958, 180.020676, 253.834106]
1776879334.518	0	150	150	7.962339e-05	1.779912	1.779889	0.549363	0.002287	0.000000	1.928248	2.069881	2.069859							0.000000	2	0.010000	0.750000	0.365946	-2.537445	-2.903391	-0.041176	1.328480	-4.717017	8.095356	1.000000	0.000000	1.705669	0.463920	0.000325	0.000000	1.000000	0.000000	-0.052525	0.187496	-0.049455	0.213466	5.767321	1.193194	2.000000	2.000000	0.049479	0.310814	0.617026	1.000000	0.000000	1.313832	[0.067131, 0.048215, 0.061698, 0.071921, 0.072178, 0.051831, 0.063173, 0.078729, 0.050111, 0.056818, 0.061561, 0.07937, 0.060975, 0.052392, 0.051651, 0.072247]	[0.082905, 0.053785, 0.066169, 0.076053, 0.097164, 0.040556, 0.061215, 0.090243, 0.039873, 0.046528, 0.048252, 0.078391, 0.056354, 0.05103, 0.03897, 0.072512]	16.000000	225.000002	20.804301	1126.828171	0.997713	[243.489609, 204.970062, 212.142578, 237.204163, 321.15686, 176.315674, 250.443344, 279.10083, 177.7603, 174.090698, 193.864182, 289.064941, 232.149277, 203.875763, 170.096268, 234.275543]
1776879426.828	0	200	200	7.909095e-05	1.684353	1.684330	0.642914	0.002302	0.000000	1.885932	1.951473	1.951450	1.909112	1.909112	0.667225	0.710000	0.121518	6.747092	0.000000	2	0.010000	0.750000	0.170296	-2.188663	-2.358960	-0.027069	1.310526	-4.829591	7.929316	1.000000	0.000000	1.762769	0.443189	0.000414	0.000000	1.000000	0.000000	-0.052513	0.188057	-0.049455	0.213466	5.685122	1.170099	2.000000	2.000000	0.046875	0.293696	0.592683	1.000000	0.000000	1.197074	[0.065997, 0.054816, 0.056679, 0.068802, 0.075336, 0.05227, 0.068782, 0.069255, 0.053809, 0.061321, 0.060404, 0.072833, 0.055457, 0.052245, 0.050296, 0.081697]	[0.093403, 0.048218, 0.051157, 0.066481, 0.087905, 0.040521, 0.082963, 0.07037, 0.043819, 0.051713, 0.055822, 0.070741, 0.05037, 0.05809, 0.035752, 0.092674]	15.875000	224.999999	12.684066	1101.138133	0.997698	[270.221649, 193.470505, 193.591125, 230.788391, 309.169189, 173.956268, 283.827393, 268.411407, 194.663925, 212.941772, 181.399719, 271.239166, 191.196503, 205.084091, 140.427521, 279.61145]
1776879510.504	0	250	250	7.833163e-05	1.658593	1.658570	0.619397	0.002317	0.000000	1.889428	1.911602	1.911579							0.000000	2	0.010000	0.750000	0.172754	-1.981828	-2.154583	-0.041576	1.347542	-4.846180	7.915850	1.000000	0.000000	1.681934	0.474282	0.000402	0.000000	1.000000	0.000000	-0.052509	0.188632	-0.049455	0.213466	5.817665	1.166495	2.000000	2.000000	0.041667	0.327798	0.620766	1.000000	0.000000	1.200413	[0.067431, 0.053991, 0.06044, 0.061941, 0.07889, 0.059701, 0.064082, 0.063608, 0.062105, 0.056502, 0.057547, 0.097216, 0.054513, 0.050895, 0.04228, 0.068858]	[0.081458, 0.061238, 0.052569, 0.049792, 0.12272, 0.054757, 0.069479, 0.05515, 0.059861, 0.042604, 0.045324, 0.10265, 0.049676, 0.046632, 0.029676, 0.076412]	15.791667	225.000001	11.276994	1263.504201	0.997683	[254.28772, 220.482483, 205.24585, 225.391708, 342.497925, 184.566132, 247.525986, 238.772614, 190.616882, 180.578247, 159.192062, 386.885468, 162.917419, 214.569214, 118.431595, 268.038788]
1776879594.497	0	300	300	7.735034e-05	1.938131	1.938108	0.653622	0.002320	0.000000	1.828714	1.856730	1.856707							0.000000	2	0.010000	0.666667	0.114016	-2.829427	-2.943443	-0.045621	1.324623	-4.816778	7.513547	1.000000	0.000000	1.719376	0.459493	0.000443	0.000000	1.000000	0.000000	-0.052500	0.188852	-0.049455	0.213466	5.723541	1.145807	2.000000	2.000000	0.046875	0.310027	0.608958	1.000000	0.000000	1.271863	[0.067122, 0.048286, 0.061635, 0.068163, 0.071264, 0.05003, 0.059323, 0.07902, 0.058033, 0.060205, 0.060914, 0.095449, 0.050965, 0.052959, 0.049702, 0.06693]	[0.088009, 0.03191, 0.059502, 0.063461, 0.090127, 0.039074, 0.067465, 0.092014, 0.052315, 0.054271, 0.054838, 0.103738, 0.044942, 0.056736, 0.031759, 0.069838]	15.916667	225.000001	13.822450	1174.028051	0.997680	[284.028503, 206.483795, 205.448853, 229.032104, 322.4039, 150.705536, 240.182587, 266.965851, 224.867371, 202.859055, 188.469452, 308.338318, 176.395599, 207.942108, 144.332413, 241.544662]
1776879682.223	0	350	350	7.615343e-05	1.924803	1.924780	0.727480	0.002333	0.000000	1.873234	1.867594	1.867571							0.000000	2	0.010000	0.583333	-0.023005	-2.379915	-2.356910	-0.039325	1.349892	-4.912008	7.873650	1.000000	0.000000	1.664947	0.478345	0.000428	0.000000	1.000000	0.000000	-0.052487	0.189609	-0.049455	0.213466	5.867231	1.195169	2.000000	2.000000	0.026042	0.334499	0.622191	1.000000	0.000000	1.092786	[0.065065, 0.056248, 0.067062, 0.062132, 0.071312, 0.04745, 0.061762, 0.076512, 0.062926, 0.056496, 0.064282, 0.07844, 0.056711, 0.052828, 0.052886, 0.067887]	[0.088137, 0.068519, 0.067014, 0.056088, 0.091991, 0.034294, 0.056181, 0.076933, 0.067662, 0.047222, 0.061412, 0.073206, 0.051354, 0.051331, 0.039699, 0.068958]	15.916667	224.999999	9.609648	1184.588048	0.997667	[302.89624, 201.004211, 240.245224, 245.961639, 304.620361, 139.473434, 220.390686, 297.850342, 211.847748, 158.557922, 221.126389, 272.237671, 165.59079, 210.043808, 154.395035, 253.758545]
1776879772.344	0	400	400	7.474863e-05	1.778917	1.778894	0.632797	0.002336	0.000000	1.866511	1.867996	1.867973	1.875359	1.875359	0.660998	0.735000	0.135605	6.523161	0.000000	2	0.010000	0.750000	0.142893	-2.290521	-2.433414	-0.038203	1.329713	-4.937266	7.949072	1.000000	0.000000	1.713222	0.463805	0.000422	0.000000	1.000000	0.000000	-0.052477	0.190197	-0.049455	0.213466	5.712817	1.177342	2.000000	2.000000	0.036458	0.318737	0.608872	1.000000	0.000000	1.177430	[0.070059, 0.052899, 0.058027, 0.071157, 0.073327, 0.047177, 0.060747, 0.075415, 0.057515, 0.062758, 0.062961, 0.079286, 0.058363, 0.052896, 0.052939, 0.064475]	[0.103438, 0.051227, 0.04875, 0.074803, 0.104167, 0.034641, 0.057199, 0.077986, 0.046424, 0.05412, 0.06191, 0.076516, 0.052292, 0.044792, 0.042176, 0.06956]	15.875000	224.999999	13.751226	1158.619865	0.997664	[319.30072, 187.057907, 155.330597, 262.719208, 338.472443, 130.412888, 246.913727, 290.472412, 165.70195, 230.417908, 212.341766, 272.374237, 208.285278, 196.09375, 149.180099, 234.925232]
1776879858.268	0	450	450	7.314502e-05	2.105847	2.105824	0.718249	0.002343	0.000000	1.833299	1.849433	1.849410							0.000000	2	0.010000	0.500000	-0.034933	-2.375474	-2.340541	-0.032047	1.349902	-5.033509	8.310183	1.000000	0.000000	1.676168	0.474561	0.000400	0.000000	1.000000	0.000000	-0.052464	0.191060	-0.049455	0.213466	5.787727	1.187479	2.000000	2.000000	0.023438	0.328409	0.620712	1.000000	0.000000	1.092377	[0.078113, 0.058928, 0.057093, 0.061335, 0.073546, 0.046839, 0.065134, 0.076408, 0.061865, 0.06062, 0.056947, 0.066252, 0.057151, 0.051234, 0.058233, 0.070301]	[0.107245, 0.057662, 0.047176, 0.050428, 0.098785, 0.035463, 0.073194, 0.085544, 0.067188, 0.048715, 0.05706, 0.056424, 0.05522, 0.044525, 0.048345, 0.067025]	15.875000	224.999999	14.028070	1111.600332	0.997657	[354.34906, 213.835327, 185.616211, 219.492599, 334.884888, 133.182709, 275.558685, 247.686157, 196.040253, 205.668991, 203.778137, 206.23349, 202.060089, 196.875488, 152.741516, 271.99646]
1776879945.310	0	500	500	7.135298e-05	1.817290	1.817266	0.576494	0.002348	0.000000	1.839531	1.840798	1.840774							0.000000	2	0.010000	0.750000	0.332905	-1.983160	-2.316065	-0.033752	1.347363	-5.133405	7.878982	1.000000	0.000000	1.729323	0.451626	0.000428	0.000000	1.000000	0.000000	-0.052454	0.191628	-0.049455	0.213466	5.696089	1.185700	2.000000	2.000000	0.028646	0.299528	0.603724	1.000000	0.000000	1.161222	[0.081262, 0.059649, 0.065357, 0.06971, 0.076363, 0.041732, 0.060723, 0.074136, 0.063085, 0.058121, 0.060675, 0.069096, 0.051341, 0.051039, 0.053892, 0.063818]	[0.114595, 0.057396, 0.061181, 0.065208, 0.089988, 0.026991, 0.06478, 0.068715, 0.073866, 0.045972, 0.06463, 0.064641, 0.043866, 0.062986, 0.043611, 0.051574]	15.750000	224.999999	11.362157	1115.882818	0.997652	[367.062439, 229.09642, 217.972946, 255.957153, 319.494385, 105.108078, 242.166489, 239.851425, 218.560028, 198.865631, 221.577637, 258.432007, 163.371902, 192.769135, 154.586395, 215.128021]
