# run_started_at	20260423_051449
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776892546.204	0	50	50	3.264000e-05	2.292964	2.292936	0.000000	0.002833	0.000000	4.044916	4.308496	4.308468							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.045790	1.352512	-4.868965	7.773830	1.000000	0.000000	1.650960	0.478704	0.000298	0.000000	1.000000	0.000000	-0.053005	0.170471	-0.049455	0.213466	5.990743	1.371851	2.000000	2.000000	0.013021	0.328675	0.628733	1.000000	0.000000	1.046758	[0.082817, 0.055634, 0.065726, 0.084842, 0.066943, 0.051448, 0.066465, 0.064352, 0.05015, 0.058233, 0.06636, 0.064938, 0.060889, 0.046279, 0.05329, 0.061633]	[0.087847, 0.04294, 0.065625, 0.093009, 0.099491, 0.064144, 0.061343, 0.061111, 0.036435, 0.049699, 0.070139, 0.059745, 0.059884, 0.037731, 0.053218, 0.057639]	16.000000	225.000002	11.123687	1080.467010	0.997167	[285.16922, 211.847748, 275.957733, 319.91684, 299.749084, 194.137421, 243.788635, 202.11142, 136.484436, 176.203827, 294.372772, 190.442627, 213.008392, 142.058212, 199.008041, 215.743637]
1776892600.615	0	100	100	6.464000e-05	2.156959	2.156930	0.000000	0.002847	0.000000	2.470648	3.113971	3.113943							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.037085	1.357949	-4.768040	7.952179	1.000000	0.000000	1.633692	0.489347	0.000296	0.000000	1.000000	0.000000	-0.052994	0.171511	-0.049455	0.213466	5.955805	1.294286	2.000000	2.000000	0.028646	0.342186	0.636509	1.000000	0.000000	1.111647	[0.084931, 0.059105, 0.066265, 0.081594, 0.069622, 0.054284, 0.070875, 0.058831, 0.043573, 0.0543, 0.079085, 0.061601, 0.053496, 0.045667, 0.056268, 0.060502]	[0.096481, 0.051644, 0.065324, 0.083079, 0.100648, 0.066968, 0.06662, 0.053866, 0.029977, 0.041088, 0.095093, 0.054398, 0.048079, 0.03544, 0.058079, 0.053218]	16.000000	224.999999	10.590941	1083.322240	0.997153	[297.414398, 197.027756, 245.817261, 310.39325, 323.115692, 193.136032, 269.079224, 187.773438, 133.949203, 165.445175, 317.042755, 190.365158, 194.250854, 160.07991, 200.935608, 214.174377]
1776892655.852	0	150	150	7.999323e-05	2.176102	2.176074	0.000000	0.002873	0.000000	2.276085	2.581183	2.581154							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.044368	1.372187	-4.755147	7.975329	1.000000	0.000000	1.631689	0.487989	0.000292	0.000000	1.000000	0.000000	-0.052984	0.172240	-0.049455	0.213466	5.905142	1.301146	2.000000	2.000000	0.031250	0.338120	0.637858	1.000000	0.000000	1.152546	[0.076953, 0.049994, 0.055596, 0.082416, 0.076938, 0.065882, 0.07027, 0.063257, 0.049214, 0.048191, 0.075617, 0.072054, 0.050374, 0.054, 0.053926, 0.055319]	[0.081111, 0.037361, 0.059213, 0.090532, 0.118056, 0.081296, 0.064444, 0.055394, 0.03419, 0.034907, 0.080069, 0.07669, 0.04338, 0.044861, 0.051991, 0.046505]	16.000000	224.999999	12.763924	1064.349859	0.997127	[281.514435, 137.87764, 213.648621, 333.572571, 350.773926, 273.517792, 258.827271, 198.116913, 143.067459, 128.161224, 307.351929, 250.281967, 164.779877, 185.499847, 179.952789, 193.055786]
1776892716.615	0	200	200	7.993912e-05	2.277599	2.277570	0.000000	0.002895	0.000000	2.272429	2.370543	2.370515	2.281712	2.281712	0.000000	0.000000	0.000000	9.793434	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042092	1.388460	-4.659303	8.068828	1.000000	0.000000	1.620552	0.492222	0.000354	0.000000	1.000000	0.000000	-0.052980	0.173494	-0.049455	0.213466	5.971229	1.214652	2.000000	2.000000	0.031250	0.343448	0.640995	1.000000	0.000000	1.112938	[0.081733, 0.046889, 0.058305, 0.072336, 0.070729, 0.060764, 0.070358, 0.070163, 0.049957, 0.047286, 0.080167, 0.076294, 0.04977, 0.054298, 0.052309, 0.058643]	[0.087894, 0.027431, 0.054977, 0.066481, 0.102801, 0.084375, 0.070648, 0.069653, 0.036111, 0.035046, 0.093981, 0.075949, 0.044259, 0.046343, 0.045417, 0.058634]	15.958333	225.000000	12.046133	1170.486097	0.997105	[314.352295, 107.245819, 198.040451, 284.22226, 329.42218, 248.048492, 263.951965, 244.405319, 138.916992, 113.014099, 350.141541, 263.438324, 157.733673, 199.240158, 156.306824, 231.519699]
1776892773.264	0	250	250	7.983098e-05	1.849417	1.849388	0.000000	0.002916	0.000000	2.131915	2.210041	2.210012							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.041996	1.379487	-4.748410	8.016129	1.000000	0.000000	1.662270	0.475131	0.000260	0.000000	1.000000	0.000000	-0.052976	0.174049	-0.049455	0.213466	5.887275	1.182090	2.000000	2.000000	0.039062	0.324170	0.626092	1.000000	0.000000	1.151019	[0.083207, 0.04772, 0.056662, 0.076198, 0.078731, 0.048017, 0.067361, 0.076136, 0.045767, 0.048739, 0.081105, 0.074782, 0.051346, 0.051579, 0.056943, 0.055705]	[0.096782, 0.030625, 0.045255, 0.087593, 0.116759, 0.047546, 0.070231, 0.089097, 0.033796, 0.031944, 0.085972, 0.076481, 0.043356, 0.039792, 0.052384, 0.052384]	16.000000	224.999999	14.872338	1039.786135	0.997084	[327.650208, 119.061241, 159.900391, 299.8703, 377.769592, 169.539581, 241.176743, 301.394287, 136.368896, 143.332092, 337.427734, 269.675171, 163.995071, 182.182114, 180.124756, 190.531982]
1776892829.258	0	300	300	7.966898e-05	2.410775	2.410745	0.000000	0.002932	0.000000	2.146378	2.169316	2.169287							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.032474	1.395931	-4.877987	7.978198	1.000000	0.000000	1.669099	0.470756	0.000330	0.000000	1.000000	0.000000	-0.052976	0.174777	-0.049455	0.213466	5.904021	1.134240	2.000000	2.000000	0.062500	0.318787	0.622725	1.000000	0.000000	1.263280	[0.069505, 0.046378, 0.055811, 0.093553, 0.068581, 0.053365, 0.067997, 0.068197, 0.051057, 0.049833, 0.0791, 0.077886, 0.053128, 0.04817, 0.05604, 0.061398]	[0.06625, 0.030556, 0.036806, 0.126829, 0.093681, 0.060301, 0.068102, 0.072708, 0.041019, 0.033634, 0.100139, 0.071713, 0.044444, 0.036991, 0.051019, 0.06581]	15.916667	224.999999	12.910222	1117.545649	0.997068	[250.563385, 135.394272, 184.182358, 382.642761, 301.138184, 208.976364, 252.712509, 252.532654, 162.167831, 143.287018, 316.134155, 261.318268, 167.367493, 183.588425, 176.178864, 221.815491]
1776892884.969	0	350	350	7.945335e-05	2.285746	2.285716	0.000000	0.002950	0.000000	2.177679	2.174318	2.174289							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.030999	1.372938	-4.744751	8.050351	1.000000	0.000000	1.651626	0.476736	0.000388	0.000000	1.000000	0.000000	-0.052971	0.175052	-0.049455	0.213466	5.811495	1.154256	2.000000	2.000000	0.046875	0.323198	0.630274	1.000000	0.000000	1.201760	[0.065495, 0.047662, 0.058781, 0.088333, 0.074166, 0.050409, 0.059406, 0.061557, 0.053475, 0.054583, 0.086499, 0.075354, 0.055947, 0.053372, 0.051525, 0.063437]	[0.070162, 0.047685, 0.042847, 0.10419, 0.077708, 0.044792, 0.054028, 0.056921, 0.045671, 0.039861, 0.114329, 0.075579, 0.050602, 0.073264, 0.042894, 0.059468]	15.958333	225.000000	12.167922	1004.899261	0.997050	[230.692413, 165.338074, 182.644821, 363.461914, 331.25824, 184.221313, 200.312119, 192.22258, 179.647095, 142.706314, 365.253845, 274.663513, 188.1875, 240.421844, 167.048447, 191.919983]
1776892948.212	0	400	400	7.918442e-05	2.056946	2.056917	0.000000	0.002961	0.000000	2.096941	2.117047	2.117017	2.222570	2.222570	0.000000	0.000000	0.000000	9.231022	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033702	1.409546	-4.824978	8.002266	1.000000	0.000000	1.570595	0.507978	0.000284	0.000000	1.000000	0.000000	-0.052964	0.174939	-0.049455	0.213466	5.869101	1.170593	2.000000	2.000000	0.044271	0.360073	0.655883	1.000000	0.000000	1.206520	[0.080016, 0.051779, 0.051727, 0.088839, 0.075806, 0.052622, 0.071684, 0.061528, 0.049331, 0.049599, 0.082706, 0.071393, 0.060827, 0.054115, 0.044068, 0.05396]	[0.09338, 0.038495, 0.036597, 0.104259, 0.075602, 0.045486, 0.099537, 0.051505, 0.041968, 0.033148, 0.099861, 0.070185, 0.063426, 0.077407, 0.033796, 0.035347]	16.000000	224.999999	8.408206	1206.743108	0.997039	[308.004791, 156.662796, 152.884933, 349.460541, 352.161743, 176.828857, 335.32196, 182.665771, 146.599335, 139.65538, 349.430725, 252.195648, 215.494385, 235.315536, 117.760155, 129.557526]
1776893005.093	0	450	450	7.886260e-05	2.499730	2.499701	0.000000	0.002973	0.000000	2.116789	2.106373	2.106344							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.035647	1.401376	-4.852592	8.130729	1.000000	0.000000	1.586207	0.504161	0.000253	0.000000	1.000000	0.000000	-0.052944	0.175012	-0.049455	0.213466	5.801208	1.142555	2.000000	2.000000	0.083333	0.353231	0.655091	1.000000	0.000000	1.295877	[0.084072, 0.050649, 0.052344, 0.08318, 0.078272, 0.048963, 0.082596, 0.06742, 0.047996, 0.043662, 0.087967, 0.065961, 0.053745, 0.051714, 0.042511, 0.05895]	[0.097176, 0.043426, 0.039676, 0.095324, 0.07169, 0.043194, 0.111111, 0.065162, 0.041481, 0.029514, 0.108194, 0.056736, 0.049653, 0.072755, 0.02912, 0.045787]	15.750000	225.000000	8.897274	1224.374158	0.997027	[332.444305, 162.42038, 167.312363, 277.677612, 319.82373, 157.746017, 346.244965, 221.960175, 164.914581, 119.617882, 421.827271, 221.037201, 188.809692, 222.173737, 124.063774, 151.926437]
1776893060.539	0	500	500	7.848836e-05	1.629792	1.629762	0.000000	0.002977	0.000000	2.152583	2.127837	2.127807							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.047384	1.429015	-4.975245	8.244974	1.000000	0.000000	1.537423	0.520923	0.000284	0.000000	1.000000	0.000000	-0.052942	0.174277	-0.049455	0.213466	5.856137	1.179654	2.000000	2.000000	0.065104	0.373708	0.668137	1.000000	0.000000	1.309567	[0.091725, 0.041083, 0.04921, 0.072394, 0.075133, 0.058326, 0.068362, 0.071575, 0.053646, 0.045954, 0.080441, 0.080091, 0.051373, 0.059357, 0.044598, 0.056731]	[0.110602, 0.043981, 0.033912, 0.074282, 0.080278, 0.047083, 0.070278, 0.072199, 0.049375, 0.033426, 0.093796, 0.081389, 0.048519, 0.084769, 0.033056, 0.043056]	15.916667	225.000000	9.485386	1292.682536	0.997023	[355.283508, 148.627533, 131.844818, 278.5242, 345.070557, 189.269592, 278.417572, 246.785522, 175.073837, 117.960205, 373.547424, 267.339539, 157.803299, 259.889404, 114.338593, 160.224518]
