# run_started_at	20260423_063722
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776897461.780	0	50	50	0	0.028487	0.009278	0.039724	2.636502	2.669965	0.837518	0.874446	0.907347
1776897461.780	0	50	50	1	0.063657	0.025318	0.052082	2.243643	2.278638	0.741507	0.807976	0.889737
1776897461.780	0	50	50	2	0.108296	0.044368	0.078236	2.432765	2.489600	0.757755	0.745199	0.912173
1776897461.780	0	50	50	3	0.117670	0.050653	0.065459	2.143070	2.179805	0.837518	0.768095	0.923509
1776897461.780	0	50	50	4	0.097802	0.040223	0.069424	2.377991	2.432991	0.782866	0.796898	0.906532
1776897461.780	0	50	50	5	0.114653	0.049582	0.061960	2.300580	2.368613	0.750369	0.799114	0.925559
1776897461.780	0	50	50	6	0.192561	0.089499	0.054247	2.047227	2.171198	0.759232	0.808715	0.928382
1776897461.780	0	50	50	7	0.224055	0.105425	0.052823	1.792170	1.941795	0.827179	0.835303	0.915928
1776897461.780	0	50	50	8	0.262125	0.123936	0.057007	1.895839	2.075578	0.850812	0.833087	0.917656
1776897461.780	0	50	50	9	0.319198	0.151823	0.062207	1.821901	2.019042	0.831610	0.830133	0.923588
1776897461.780	0	50	50	10	0.279183	0.130737	0.070839	1.854590	2.011533	0.830133	0.785820	0.917597
1776897461.780	0	50	50	11	0.327545	0.154930	0.070737	1.683825	1.876053	0.830133	0.815362	0.918049
1776897461.780	0	50	50	12	0.310785	0.147313	0.064638	1.625100	1.805186	0.827179	0.799114	0.909164
1776897461.780	0	50	50	13	0.352737	0.168772	0.060769	1.402920	1.598785	0.838996	0.816839	0.915150
1776897461.780	0	50	50	14	0.361933	0.173900	0.056535	1.419422	1.582907	0.797637	0.856721	0.920052
1776897461.780	0	50	50	15	0.252992	0.121277	0.041748	1.470414	1.610893	0.849335	0.842688	0.925707
1776897461.780	0	50	50	16	0.383037	0.183972	0.060371	1.311036	1.449035	0.850812	0.861152	0.921356
1776897461.780	0	50	50	17	0.440571	0.212752	0.060269	1.077650	1.239492	0.898080	0.793205	0.901470
1776897461.780	0	50	50	18	0.401394	0.193122	0.060595	1.273966	1.403103	0.843427	0.838996	0.911820
1776897461.780	0	50	50	19	0.472241	0.228243	0.063022	0.887037	1.031533	0.889217	0.845643	0.904229
1776897461.780	0	50	50	20	0.636418	0.309481	0.069823	0.920510	1.134580	0.834564	0.806499	0.904483
1776897461.780	0	50	50	21	0.564401	0.273927	0.066187	1.017113	1.232537	0.867061	0.836780	0.916636
1776897461.780	0	50	50	22	0.568288	0.275559	0.068683	0.890685	1.027299	0.875923	0.841211	0.903299
1776897461.780	0	50	50	23	1.216927	0.596153	0.098484	0.235435	0.296485	0.905465	0.796898	0.878152
1776897480.235	0	100	100	0	0.007972	0.002596	0.011122	2.631361	2.643786	0.947452	0.946656	0.935933
1776897480.235	0	100	100	1	0.025683	0.009941	0.023202	2.234232	2.242074	0.856688	0.864650	0.923410
1776897480.235	0	100	100	2	0.038719	0.016150	0.025674	2.405763	2.433220	0.853503	0.848726	0.970166
1776897480.235	0	100	100	3	0.046810	0.020052	0.026827	2.120668	2.146698	0.918790	0.864650	0.965637
1776897480.235	0	100	100	4	0.046043	0.018962	0.032476	2.373671	2.403980	0.866242	0.872611	0.947262
1776897480.235	0	100	100	5	0.047020	0.020203	0.026461	2.284701	2.320488	0.802548	0.868631	0.963876
1776897480.235	0	100	100	6	0.067577	0.031369	0.019360	2.041180	2.101126	0.864650	0.877389	0.964884
1776897480.235	0	100	100	7	0.079467	0.037035	0.021591	1.790697	1.847494	0.909236	0.899682	0.947215
1776897480.235	0	100	100	8	0.078977	0.036956	0.020263	1.910956	1.968058	0.907643	0.892516	0.954532
1776897480.235	0	100	100	9	0.086942	0.040761	0.021682	1.803418	1.863419	0.933121	0.910828	0.967760
1776897480.235	0	100	100	10	0.099128	0.046601	0.023705	1.836740	1.899074	0.921975	0.890924	0.968626
1776897480.235	0	100	100	11	0.092546	0.042905	0.026948	1.707555	1.773535	0.902866	0.878185	0.965879
1776897480.235	0	100	100	12	0.104339	0.049228	0.023531	1.587131	1.650543	0.901274	0.876592	0.952165
1776897480.235	0	100	100	13	0.131423	0.062574	0.025100	1.405331	1.474721	0.914013	0.887739	0.953585
1776897480.235	0	100	100	14	0.122645	0.058431	0.023134	1.441158	1.493611	0.931529	0.892516	0.955467
1776897480.235	0	100	100	15	0.112598	0.054148	0.017209	1.456753	1.521513	0.902866	0.899682	0.951705
1776897480.235	0	100	100	16	0.148273	0.071040	0.024772	1.337681	1.401867	0.917197	0.923567	0.959609
1776897480.235	0	100	100	17	0.186605	0.090234	0.024551	1.050898	1.125104	0.945860	0.886146	0.938666
1776897480.235	0	100	100	18	0.161480	0.077440	0.026397	1.302431	1.346389	0.899682	0.896497	0.949089
1776897480.235	0	100	100	19	0.207130	0.100111	0.027632	0.867307	0.927952	0.929936	0.894904	0.941384
1776897480.235	0	100	100	20	0.226923	0.109756	0.029649	0.901224	0.985534	0.917197	0.882166	0.948802
1776897480.235	0	100	100	21	0.210484	0.101671	0.028569	0.981953	1.058120	0.929936	0.914013	0.957166
1776897480.235	0	100	100	22	0.231953	0.111996	0.031848	0.871482	0.914880	0.936306	0.867038	0.942678
1776897480.235	0	100	100	23	0.531255	0.259299	0.050631	0.235836	0.290135	0.936306	0.855096	0.929294
