# run_started_at	20260423_064147
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776897762.499	0	50	50	7.949586e-05	0.507015	0.507006	0.000000	0.000940	0.000000	0.993615	1.655481	1.655472							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.065670	1.383802	-4.384161	8.053490	1.000000	0.000000	1.590196	0.501856	0.000184	0.000000	1.000000	0.000000	-0.051187	0.210629	-0.049455	0.213466	6.206320	1.254975	2.000000	2.000000	0.057292	0.357585	0.646127	1.000000	0.000000	1.210177	[0.091494, 0.055722, 0.049564, 0.073256, 0.063099, 0.06265, 0.058218, 0.085682, 0.055822, 0.051724, 0.048358, 0.083129, 0.051918, 0.045174, 0.064236, 0.059955]	[0.112685, 0.043079, 0.043843, 0.085046, 0.076921, 0.062222, 0.048681, 0.102315, 0.045093, 0.040023, 0.038912, 0.089514, 0.049306, 0.040856, 0.059398, 0.062106]	15.916667	224.999999	7.665174	1134.495547	0.999060	[352.356201, 164.359909, 158.657822, 286.545898, 255.894165, 238.131561, 209.74437, 322.898682, 178.373749, 147.02887, 167.405029, 318.900848, 189.906418, 175.021942, 217.904175, 216.870453]
1776897814.013	0	100	100	7.673250e-05	0.348076	0.348067	0.000000	0.000976	0.000000	0.453455	0.886259	0.886250							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.064414	1.347097	-4.495232	8.271290	1.000000	0.000000	1.620696	0.491030	0.000269	0.000000	1.000000	0.000000	-0.051175	0.210879	-0.049455	0.213466	6.046207	1.233554	2.000000	2.000000	0.062500	0.343685	0.638375	1.000000	0.000000	1.163948	[0.081599, 0.057377, 0.052755, 0.068466, 0.059587, 0.05701, 0.063911, 0.087329, 0.070503, 0.055738, 0.047549, 0.089239, 0.049541, 0.046441, 0.055193, 0.057762]	[0.089792, 0.042662, 0.047384, 0.069861, 0.078958, 0.062523, 0.058148, 0.09537, 0.070532, 0.04456, 0.041898, 0.099653, 0.04287, 0.042269, 0.045602, 0.067917]	15.958333	224.999997	6.216037	1097.465675	0.999024	[320.33551, 177.691452, 157.77095, 251.788132, 246.075729, 231.464523, 211.193695, 370.859741, 245.253464, 150.62825, 163.44104, 365.42453, 170.341354, 142.873077, 173.473679, 221.384872]
1776897865.615	0	150	150	7.173848e-05	0.400573	0.400563	0.000000	0.001010	0.000000	0.412091	0.580511	0.580501							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.060005	1.320521	-4.556636	7.975035	1.000000	0.000000	1.645138	0.485475	0.000349	0.000000	1.000000	0.000000	-0.051174	0.212739	-0.049455	0.213466	5.895995	1.244347	2.000000	2.000000	0.075521	0.341842	0.629107	1.000000	0.000000	1.186719	[0.072843, 0.051238, 0.06553, 0.080536, 0.065368, 0.058212, 0.056682, 0.087406, 0.07097, 0.053191, 0.051773, 0.079413, 0.046073, 0.050426, 0.055768, 0.054571]	[0.067824, 0.042778, 0.070625, 0.080255, 0.094861, 0.06706, 0.047315, 0.092963, 0.072315, 0.038657, 0.050231, 0.086759, 0.035995, 0.041412, 0.048519, 0.062431]	15.958333	224.999999	8.498005	1023.788216	0.998990	[287.182068, 167.845596, 211.455627, 291.231781, 300.35083, 233.467163, 185.761932, 340.750854, 244.950653, 147.029816, 174.334335, 319.774261, 146.228973, 164.949799, 184.406708, 200.279755]
1776897920.944	0	200	200	6.485412e-05	0.478481	0.478470	0.000000	0.001034	0.000000	0.364824	0.441581	0.441571	0.339951	0.339951	0.000000	0.000000	0.000000	1.404879	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.061077	1.320495	-4.530790	8.278577	1.000000	0.000000	1.632194	0.494713	0.000382	0.000000	1.000000	0.000000	-0.051165	0.213437	-0.049455	0.213466	5.844460	1.216951	2.000000	2.000000	0.059896	0.353454	0.635971	1.000000	0.000000	1.301344	[0.070062, 0.044051, 0.061711, 0.083052, 0.066582, 0.07214, 0.057392, 0.078267, 0.070501, 0.052909, 0.054579, 0.076805, 0.05448, 0.047592, 0.056511, 0.053365]	[0.070486, 0.032778, 0.059028, 0.087338, 0.087986, 0.098981, 0.043935, 0.078958, 0.074514, 0.038148, 0.044699, 0.088704, 0.049444, 0.042616, 0.064352, 0.038032]	15.958333	225.000000	5.990071	1262.520020	0.998966	[277.097168, 143.30864, 207.887421, 314.24173, 303.84848, 292.630463, 161.93808, 265.537537, 258.217346, 203.600021, 178.129822, 307.048218, 176.938599, 138.669586, 206.396042, 164.510925]
1776897974.135	1	250	250	5.654859e-05	0.177249	0.177238	0.000000	0.001053	0.000000	0.271727	0.328333	0.328323							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.060103	1.319709	-4.449098	8.208551	1.000000	0.000000	1.626552	0.493670	0.000372	0.000000	1.000000	0.000000	-0.051168	0.212652	-0.049455	0.213466	5.818713	1.332883	2.000000	2.000000	0.057292	0.353610	0.633730	1.000000	0.000000	1.123146	[0.075931, 0.04721, 0.057189, 0.082445, 0.066365, 0.071826, 0.054823, 0.078829, 0.067906, 0.057478, 0.054888, 0.075467, 0.055053, 0.046896, 0.052324, 0.055371]	[0.07588, 0.039491, 0.051852, 0.083912, 0.091181, 0.092431, 0.042963, 0.077454, 0.067407, 0.044907, 0.055694, 0.083426, 0.053218, 0.035833, 0.046111, 0.058241]	16.000000	225.000002	6.644034	1155.710126	0.998947	[291.39035, 157.06308, 188.354538, 311.372406, 280.955994, 293.869385, 166.275635, 292.169128, 257.995117, 187.558838, 194.410706, 287.369751, 182.502991, 135.366547, 167.006897, 206.338776]
1776898027.007	1	300	300	4.738790e-05	0.316977	0.316967	0.000000	0.001059	0.000000	0.265285	0.290725	0.290714							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.062376	1.334874	-4.640652	8.394295	1.000000	0.000000	1.606084	0.500461	0.000367	0.000000	1.000000	0.000000	-0.051172	0.213408	-0.049455	0.213466	5.820617	1.242656	2.000000	2.000000	0.072917	0.359708	0.641214	1.000000	0.000000	1.216507	[0.078998, 0.050208, 0.055987, 0.087683, 0.061262, 0.067652, 0.064374, 0.08758, 0.060849, 0.057037, 0.052233, 0.079248, 0.052504, 0.041458, 0.051871, 0.051056]	[0.08419, 0.045, 0.046065, 0.094977, 0.081875, 0.082616, 0.062847, 0.091991, 0.064375, 0.043935, 0.043079, 0.08706, 0.053171, 0.029167, 0.044954, 0.044699]	15.958333	224.999999	7.002906	1219.546122	0.998941	[312.370056, 151.42749, 187.447266, 330.813354, 259.301025, 289.514771, 208.910614, 332.376495, 207.495575, 153.182877, 181.072723, 318.379181, 172.502075, 126.71801, 186.697998, 181.790634]
1776898081.275	1	350	350	3.799633e-05	0.352423	0.352412	0.000000	0.001073	0.000000	0.250170	0.265362	0.265352							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.063319	1.326440	-4.732098	8.367993	1.000000	0.000000	1.613264	0.498598	0.000308	0.000000	1.000000	0.000000	-0.051165	0.213518	-0.049455	0.213466	5.846633	1.239833	2.000000	2.000000	0.052083	0.360379	0.636818	1.000000	0.000000	1.177122	[0.085598, 0.051248, 0.053529, 0.089052, 0.060618, 0.061669, 0.057916, 0.097667, 0.057485, 0.050454, 0.057475, 0.077849, 0.050752, 0.044767, 0.052753, 0.051171]	[0.08213, 0.04919, 0.047338, 0.103495, 0.085532, 0.071481, 0.050255, 0.104213, 0.055787, 0.037731, 0.058796, 0.089699, 0.040972, 0.032292, 0.043588, 0.0475]	15.916667	224.999999	6.235221	1152.529887	0.998927	[312.530273, 174.336349, 185.429077, 356.143036, 284.904388, 233.35022, 197.829803, 352.648865, 193.44519, 152.832245, 190.847504, 311.053406, 186.386353, 126.396713, 168.670578, 173.196091]
1776898139.960	1	400	400	2.901389e-05	0.423534	0.423523	0.000000	0.001081	0.000000	0.236828	0.244063	0.244052	0.313358	0.313358	0.000000	0.000000	0.000000	1.368011	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.064230	1.322798	-4.647460	8.111204	1.000000	0.000000	1.636584	0.490049	0.000352	0.000000	1.000000	0.000000	-0.051167	0.213805	-0.049455	0.213466	5.838286	1.221302	2.000000	2.000000	0.052083	0.351098	0.629000	1.000000	0.000000	1.198404	[0.082871, 0.052307, 0.064114, 0.083363, 0.064013, 0.060958, 0.058866, 0.086984, 0.056427, 0.051959, 0.055945, 0.074357, 0.060428, 0.04109, 0.053465, 0.052852]	[0.078241, 0.059745, 0.070417, 0.103148, 0.094606, 0.068403, 0.046389, 0.089421, 0.053148, 0.04206, 0.052731, 0.070995, 0.055556, 0.027685, 0.045625, 0.041829]	16.000000	224.999999	7.583448	1072.253593	0.998919	[326.449921, 179.113525, 238.096191, 339.712952, 273.968475, 210.544113, 185.31073, 320.90976, 189.446991, 174.37442, 202.638596, 291.467987, 183.519409, 130.732697, 184.046509, 169.667847]
1776898192.841	2	450	450	2.105274e-05	0.133510	0.133499	0.000000	0.001084	0.000000	0.165016	0.188403	0.188392							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.062872	1.343519	-4.652665	8.302877	1.000000	0.000000	1.604335	0.501717	0.000319	0.000000	1.000000	0.000000	-0.051171	0.213664	-0.049455	0.213466	5.977160	1.303808	2.000000	2.000000	0.041667	0.364080	0.639354	1.000000	0.000000	1.063325	[0.083799, 0.052283, 0.059067, 0.0824, 0.06181, 0.058428, 0.061003, 0.084651, 0.059913, 0.054163, 0.055002, 0.084784, 0.053594, 0.041372, 0.055168, 0.052565]	[0.085856, 0.054537, 0.053681, 0.095069, 0.089213, 0.063681, 0.055556, 0.086875, 0.053796, 0.044306, 0.050324, 0.096134, 0.048449, 0.027361, 0.044745, 0.050417]	15.958333	225.000001	5.805905	1170.369115	0.998916	[312.743073, 176.565109, 211.34436, 355.152405, 277.69577, 231.8591, 195.25061, 331.762268, 183.306503, 157.161255, 190.659454, 324.171478, 188.691376, 106.771469, 168.325012, 188.540924]
1776898245.306	2	500	500	1.465540e-05	0.094132	0.094121	0.000000	0.001085	0.000000	0.146816	0.160018	0.160007							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.064542	1.345422	-4.743729	8.263594	1.000000	0.000000	1.623029	0.493139	0.000277	0.000000	1.000000	0.000000	-0.051172	0.213576	-0.049455	0.213466	5.924827	1.270522	2.000000	2.000000	0.052083	0.352809	0.633470	1.000000	0.000000	1.125925	[0.084756, 0.051228, 0.061473, 0.085773, 0.059778, 0.060876, 0.060561, 0.08109, 0.060383, 0.049635, 0.056914, 0.082032, 0.055234, 0.043309, 0.053373, 0.053586]	[0.08662, 0.050417, 0.060347, 0.099954, 0.084676, 0.066551, 0.053449, 0.081667, 0.058287, 0.036574, 0.053449, 0.094468, 0.049074, 0.031458, 0.043056, 0.049954]	15.958333	225.000001	6.366233	1137.524554	0.998915	[310.701904, 173.09964, 214.126648, 359.907715, 268.993011, 255.668213, 175.395386, 319.890839, 200.369492, 160.523621, 190.604492, 326.909271, 172.227539, 115.991936, 167.767868, 187.82251]
