# run_started_at	20260423_065652
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776898632.288	0	50	50	0	0.029390	0.009863	0.038657	2.636316	2.665343	0.853513	0.890882	0.919753
1776898632.288	0	50	50	1	0.068335	0.027155	0.056095	2.259325	2.285846	0.739910	0.769806	0.882087
1776898632.288	0	50	50	2	0.117639	0.049386	0.075467	2.463533	2.545688	0.689088	0.757848	0.914795
1776898632.288	0	50	50	3	0.118570	0.050372	0.071299	2.129744	2.130117	0.877429	0.757848	0.917858
1776898632.288	0	50	50	4	0.111556	0.045789	0.079912	2.388447	2.447673	0.793722	0.770553	0.893709
1776898632.289	0	50	50	5	0.130735	0.057478	0.063115	2.255535	2.335933	0.741405	0.761584	0.923888
1776898632.289	0	50	50	6	0.212527	0.098593	0.061362	2.118301	2.245470	0.759342	0.787743	0.918177
1776898632.289	0	50	50	7	0.257432	0.121136	0.060643	1.812681	1.983934	0.844544	0.828102	0.905993
1776898632.289	0	50	50	8	0.337496	0.159740	0.072064	1.838145	2.041782	0.811659	0.796712	0.901342
1776898632.289	0	50	50	9	0.336922	0.159463	0.071982	1.783252	1.997179	0.835575	0.818386	0.913182
1776898632.289	0	50	50	10	0.345082	0.162448	0.080746	1.864459	2.068369	0.768311	0.775037	0.906725
1776898632.289	0	50	50	11	0.358454	0.168804	0.083384	1.681692	1.914293	0.831091	0.815396	0.902888
1776898632.289	0	50	50	12	0.387670	0.184534	0.074409	1.598197	1.801796	0.786248	0.802691	0.897796
1776898632.289	0	50	50	13	0.394550	0.188275	0.071998	1.410134	1.624035	0.838565	0.830344	0.905336
1776898632.289	0	50	50	14	0.421087	0.202632	0.063295	1.378330	1.580310	0.856502	0.843049	0.913160
1776898632.289	0	50	50	15	0.286827	0.137662	0.046012	1.551823	1.721551	0.823617	0.840807	0.920460
1776898632.289	0	50	50	16	0.455398	0.219611	0.064703	1.286602	1.486511	0.849028	0.816891	0.917332
1776898632.289	0	50	50	17	0.532760	0.257837	0.068344	0.970984	1.167603	0.892377	0.799701	0.896142
1776898632.289	0	50	50	18	0.457185	0.219973	0.068954	1.300947	1.491700	0.829596	0.826607	0.906708
1776898632.289	0	50	50	19	0.527176	0.255746	0.062736	0.854488	1.051986	0.896861	0.846786	0.909298
1776898632.289	0	50	50	20	0.638858	0.309700	0.077834	0.862194	1.042069	0.865471	0.835575	0.898558
1776898632.289	0	50	50	21	0.682969	0.332467	0.072141	0.877190	1.144037	0.878924	0.835575	0.912372
1776898632.289	0	50	50	22	0.605012	0.293862	0.069152	0.880591	1.034788	0.902840	0.849028	0.903568
1776898632.289	0	50	50	23	1.175183	0.574593	0.103988	0.223012	0.276058	0.910314	0.812407	0.873408
1776898650.725	0	100	100	0	0.007967	0.002528	0.011644	2.630532	2.643187	0.955446	0.948845	0.945943
1776898650.725	0	100	100	1	0.027175	0.010671	0.023334	2.223748	2.237654	0.828383	0.857261	0.923548
1776898650.725	0	100	100	2	0.043255	0.017807	0.030564	2.500314	2.530356	0.785479	0.842409	0.963892
1776898650.725	0	100	100	3	0.054286	0.023570	0.028585	2.120639	2.134337	0.925743	0.834158	0.965002
1776898650.725	0	100	100	4	0.048023	0.019649	0.034902	2.366105	2.392347	0.866337	0.853135	0.945217
1776898650.725	0	100	100	5	0.055462	0.023979	0.030019	2.252111	2.289350	0.793729	0.831683	0.958670
