# run_started_at	20260423_070852
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_winogrande/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776899389.852	0	50	50	2.701987e-05	0.600009	0.599977	0.000000	0.003152	0.000000	2.389052	3.091228	3.091196							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.048231	1.368858	-4.905299	8.114135	1.000000	0.000000	1.634083	0.484317	0.000229	0.000000	1.000000	0.000000	-0.053163	0.168895	-0.049455	0.213466	6.031244	1.368856	2.000000	2.000000	0.018229	0.335156	0.633479	1.000000	0.000000	1.052182	[0.091232, 0.060638, 0.063646, 0.080693, 0.067627, 0.043128, 0.071674, 0.063161, 0.053245, 0.069524, 0.060649, 0.048061, 0.070652, 0.044258, 0.048185, 0.063627]	[0.109306, 0.05463, 0.062662, 0.081829, 0.090231, 0.032106, 0.083565, 0.066574, 0.041713, 0.07206, 0.061667, 0.036389, 0.078773, 0.034537, 0.038241, 0.055718]	16.000000	224.999999	15.661567	1118.548088	0.996848	[393.039154, 195.747223, 241.720581, 285.669891, 300.185181, 131.171082, 299.882263, 225.756775, 168.579681, 240.166306, 220.458008, 126.629379, 257.877319, 129.470261, 171.532623, 212.114349]
1776899441.462	0	100	100	5.350993e-05	0.415119	0.415087	0.000000	0.003162	0.000000	0.370087	1.358327	1.358295							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.044131	1.368213	-5.088727	8.006191	1.000000	0.000000	1.602392	0.499156	0.000227	0.000000	1.000000	0.000000	-0.053159	0.169159	-0.049455	0.213466	6.001154	1.392893	2.000000	2.000000	0.028646	0.354249	0.644064	1.000000	0.000000	1.169086	[0.104464, 0.062024, 0.057825, 0.079772, 0.072118, 0.040827, 0.078964, 0.059003, 0.050616, 0.061727, 0.056069, 0.046078, 0.069082, 0.043499, 0.050321, 0.067611]	[0.133218, 0.054005, 0.047963, 0.07544, 0.099005, 0.026782, 0.097338, 0.063935, 0.037153, 0.059977, 0.057731, 0.031597, 0.074468, 0.031111, 0.04463, 0.065648]	16.000000	224.999999	17.094156	1125.373395	0.996838	[405.562836, 227.274033, 199.422394, 311.364807, 289.747559, 123.6436, 303.19281, 236.521851, 169.689545, 234.564133, 203.845566, 128.421326, 247.512451, 129.138794, 155.166504, 234.931931]
1776899495.882	0	150	150	8.000000e-05	0.349354	0.349322	0.000000	0.003189	0.000000	0.384908	0.743456	0.743424							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.040774	1.385323	-4.816360	8.358575	1.000000	0.000000	1.579655	0.505113	0.000208	0.000000	1.000000	0.000000	-0.053150	0.170540	-0.049455	0.213466	5.987820	1.411667	2.000000	2.000000	0.023438	0.362292	0.647933	1.000000	0.000000	1.087299	[0.101258, 0.054217, 0.057965, 0.084521, 0.066263, 0.044487, 0.069331, 0.063478, 0.049622, 0.067912, 0.052126, 0.046192, 0.072735, 0.050698, 0.049884, 0.06931]	[0.127917, 0.043704, 0.051088, 0.083542, 0.085972, 0.030301, 0.084931, 0.06831, 0.043403, 0.074421, 0.045926, 0.031551, 0.080301, 0.041852, 0.040718, 0.066065]	16.000000	225.000001	11.978413	1134.176788	0.996811	[436.68866, 191.793686, 187.822327, 319.027222, 290.924286, 103.382874, 286.035645, 224.553696, 177.324707, 269.474731, 187.469849, 115.506638, 268.975891, 153.155396, 147.460342, 240.404083]
1776899555.301	0	200	200	7.998222e-05	0.341278	0.341246	0.000000	0.003217	0.000000	0.394004	0.516608	0.516576	0.338892	0.338892	0.000000	0.000000	0.000000	1.403391	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.043910	1.385171	-4.954763	8.316659	1.000000	0.000000	1.588958	0.500771	0.000228	0.000000	1.000000	0.000000	-0.053137	0.171204	-0.049455	0.213466	5.877773	1.305486	2.000000	2.000000	0.033854	0.354522	0.647019	1.000000	0.000000	1.172563	[0.093168, 0.050001, 0.050164, 0.081243, 0.069206, 0.040685, 0.074142, 0.054304, 0.063266, 0.077089, 0.067329, 0.047672, 0.077658, 0.047653, 0.04481, 0.061612]	[0.116458, 0.040856, 0.03838, 0.077662, 0.096968, 0.02537, 0.085324, 0.055949, 0.058588, 0.089861, 0.066944, 0.035486, 0.084144, 0.036366, 0.031204, 0.06044]	16.000000	224.999999	11.060092	1162.725801	0.996783	[416.222626, 175.591919, 146.650055, 280.541321, 312.674286, 106.210892, 292.528076, 195.243286, 204.800507, 285.540436, 256.35556, 133.755646, 293.349701, 137.783554, 130.976868, 231.775436]
1776899607.233	0	250	250	7.992745e-05	0.336137	0.336104	0.000000	0.003259	0.000000	0.362585	0.419977	0.419945							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.045899	1.408601	-5.127187	8.413334	1.000000	0.000000	1.545068	0.518830	0.000197	0.000000	1.000000	0.000000	-0.053135	0.171883	-0.049455	0.213466	5.887658	1.310513	2.000000	2.000000	0.026042	0.378119	0.659541	1.000000	0.000000	1.194447	[0.090427, 0.049238, 0.057342, 0.077861, 0.070368, 0.055535, 0.069647, 0.049531, 0.070214, 0.055953, 0.069345, 0.05261, 0.070425, 0.049812, 0.049715, 0.061979]	[0.107222, 0.035926, 0.055833, 0.070185, 0.093681, 0.071481, 0.062269, 0.040556, 0.066759, 0.049421, 0.076505, 0.049282, 0.081435, 0.041736, 0.044144, 0.053565]	15.958333	225.000000	11.713347	1136.903056	0.996741	[325.621338, 167.368927, 177.221649, 250.95874, 307.368286, 231.086639, 234.120407, 156.558762, 257.268921, 205.203583, 268.783783, 202.243439, 280.77887, 145.440887, 165.489243, 224.486725]
1776899661.137	0	300	300	7.983572e-05	0.435196	0.435163	0.000000	0.003277	0.000000	0.362783	0.386868	0.386835							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.050366	1.436502	-5.015809	8.844165	1.000000	0.000000	1.557436	0.511312	0.000199	0.000000	1.000000	0.000000	-0.053123	0.171960	-0.049455	0.213466	5.945218	1.265134	2.000000	2.000000	0.036458	0.368221	0.654404	1.000000	0.000000	1.159447	[0.094112, 0.051276, 0.054801, 0.080333, 0.067314, 0.064214, 0.067644, 0.057527, 0.066121, 0.05445, 0.059231, 0.066652, 0.064282, 0.041903, 0.051509, 0.05863]	[0.112269, 0.045139, 0.049699, 0.083565, 0.094653, 0.074907, 0.059051, 0.053449, 0.062708, 0.048148, 0.053704, 0.068171, 0.063287, 0.029028, 0.046065, 0.056157]	16.000000	225.000000	13.727255	1070.467214	0.996723	[397.293427, 171.9888, 189.702087, 295.456665, 299.955444, 212.279114, 230.679367, 188.441086, 234.43042, 176.970734, 212.245285, 191.56012, 228.554977, 138.964233, 165.099731, 266.378632]
1776899716.523	0	350	350	7.970715e-05	0.303280	0.303247	0.000000	0.003298	0.000000	0.344979	0.360198	0.360165							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.051595	1.448818	-5.059593	8.905813	1.000000	0.000000	1.499749	0.533949	0.000217	0.000000	1.000000	0.000000	-0.053113	0.172406	-0.049455	0.213466	5.952445	1.269885	2.000000	2.000000	0.018229	0.392925	0.674972	1.000000	0.000000	1.143640	[0.100153, 0.052628, 0.046648, 0.073604, 0.05979, 0.067404, 0.083123, 0.06502, 0.0658, 0.050574, 0.047756, 0.071882, 0.063891, 0.040344, 0.051379, 0.060005]	[0.119398, 0.042153, 0.041019, 0.077894, 0.090764, 0.062454, 0.076921, 0.066319, 0.063102, 0.044028, 0.035486, 0.073935, 0.06706, 0.030579, 0.040903, 0.067986]	16.000000	224.999999	11.884682	1141.393277	0.996702	[415.958099, 193.927719, 167.868164, 249.220551, 287.365204, 222.950287, 298.578857, 214.221527, 230.930054, 147.63446, 152.961655, 238.499741, 236.586487, 115.26857, 166.159271, 261.869446]
1776899776.484	0	400	400	7.954185e-05	0.236393	0.236360	0.000000	0.003319	0.000000	0.352262	0.355847	0.355814	0.347447	0.347447	0.000000	0.000000	0.000000	1.415449	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.041454	1.451712	-5.056908	8.941147	1.000000	0.000000	1.435046	0.563368	0.000248	0.000000	1.000000	0.000000	-0.053109	0.172219	-0.049455	0.213466	5.817272	1.464118	2.000000	2.000000	0.036458	0.432943	0.693792	1.000000	0.000000	1.232636	[0.102743, 0.060011, 0.061087, 0.065299, 0.058212, 0.058096, 0.075798, 0.055222, 0.060173, 0.044529, 0.057729, 0.059989, 0.06491, 0.04586, 0.052883, 0.077461]	[0.115, 0.070787, 0.058565, 0.066111, 0.091875, 0.047014, 0.069028, 0.049977, 0.054699, 0.037523, 0.063495, 0.050069, 0.064491, 0.037801, 0.054444, 0.06912]	15.958333	224.999999	9.770597	1395.852613	0.996681	[392.959961, 236.868698, 193.747849, 242.24585, 288.226166, 226.793152, 257.13208, 221.123032, 193.71994, 132.850891, 215.021729, 187.268921, 253.985657, 126.95089, 162.377014, 268.728271]
1776899831.048	0	450	450	7.934000e-05	0.313419	0.313385	0.000000	0.003331	0.000000	0.343681	0.347642	0.347609							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.037521	1.492000	-5.156767	8.727648	1.000000	0.000000	1.411397	0.568049	0.000225	0.000000	1.000000	0.000000	-0.053092	0.172687	-0.049455	0.213466	5.909183	1.231887	2.000000	2.000000	0.036458	0.435912	0.700187	1.000000	0.000000	1.351847	[0.111545, 0.054086, 0.054993, 0.063094, 0.055457, 0.060786, 0.080604, 0.053197, 0.065765, 0.049113, 0.060594, 0.047498, 0.07587, 0.039632, 0.049596, 0.07817]	[0.12206, 0.051042, 0.048519, 0.065486, 0.080949, 0.066875, 0.077106, 0.056019, 0.059051, 0.042546, 0.062153, 0.036042, 0.082824, 0.030208, 0.042986, 0.076134]	16.000000	225.000003	9.495191	1435.771729	0.996669	[412.043945, 213.487122, 172.213898, 226.192963, 250.396851, 236.814301, 293.249512, 205.373581, 213.107224, 161.604034, 228.977417, 138.719345, 272.984009, 117.151634, 170.351959, 287.332367]
1776899886.217	0	500	500	7.910180e-05	0.269603	0.269569	0.000000	0.003351	0.000000	0.346831	0.347686	0.347652							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033139	1.493613	-5.118632	9.216446	1.000000	0.000000	1.404025	0.568182	0.000231	0.000000	1.000000	0.000000	-0.053085	0.173014	-0.049455	0.213466	5.877622	1.296825	2.000000	2.000000	0.036458	0.432594	0.703770	1.000000	0.000000	1.348850	[0.119792, 0.057782, 0.056839, 0.062974, 0.05231, 0.064959, 0.074426, 0.049574, 0.061484, 0.056727, 0.058173, 0.046096, 0.073826, 0.042294, 0.04913, 0.073615]	[0.134745, 0.052917, 0.056181, 0.06206, 0.070648, 0.073796, 0.068264, 0.047269, 0.053403, 0.051366, 0.064745, 0.034444, 0.077963, 0.034005, 0.044653, 0.073542]	16.000000	224.999999	7.543487	1495.837504	0.996649	[460.019623, 234.086182, 190.47435, 224.652557, 249.398911, 256.037598, 270.818207, 193.669113, 194.892151, 185.224411, 212.71347, 107.502747, 284.047485, 104.46373, 165.879303, 266.1203]
