# run_started_at	20260423_155219
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/CB_piqa"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/CB_piqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.1
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776930809.144	0	50	50	6.688525e-05	1.985246	1.985224	0.000000	0.002221	0.000000	2.675895	2.794853	2.794831							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033534	1.329568	-4.946380	8.119239	1.000000	0.000000	1.674144	0.473103	0.000224	0.000000	1.000000	0.000000	-0.052574	0.184883	-0.049455	0.213466	5.955478	1.359126	2.000000	2.000000	0.023438	0.326030	0.620175	1.000000	0.000000	1.044791	[0.067579, 0.058678, 0.062771, 0.069479, 0.068616, 0.05691, 0.058768, 0.075045, 0.062551, 0.066524, 0.04971, 0.066979, 0.065706, 0.043676, 0.053084, 0.073922]	[0.076296, 0.083356, 0.052546, 0.06, 0.064259, 0.047755, 0.064097, 0.090394, 0.06625, 0.066713, 0.043634, 0.062917, 0.072384, 0.031458, 0.045694, 0.072245]	16.000000	225.000001	15.204817	998.066816	0.997779	[274.778717, 286.013763, 218.872406, 259.535919, 218.967285, 179.539612, 229.856247, 283.438782, 199.257965, 251.004486, 154.909088, 230.856369, 255.375229, 136.623322, 157.831573, 263.139374]
1776930870.590	0	100	100	7.993082e-05	1.872254	1.872231	0.000000	0.002262	0.000000	1.970357	2.266252	2.266230							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042338	1.365494	-4.869095	8.487493	1.000000	0.000000	1.652122	0.480273	0.000245	0.000000	1.000000	0.000000	-0.052551	0.185530	-0.049455	0.213466	6.004635	1.200972	2.000000	2.000000	0.013021	0.327384	0.633162	1.000000	0.000000	1.261858	[0.061481, 0.050784, 0.066331, 0.070067, 0.069364, 0.066608, 0.058687, 0.084566, 0.067387, 0.051076, 0.047567, 0.092784, 0.05677, 0.045622, 0.050986, 0.059921]	[0.064954, 0.073403, 0.069583, 0.065532, 0.065231, 0.074259, 0.046343, 0.09412, 0.062917, 0.042431, 0.033495, 0.098588, 0.051852, 0.049583, 0.043588, 0.06412]	16.000000	224.999997	14.782572	1165.187337	0.997738	[231.24826, 246.672729, 252.351837, 243.36412, 261.714478, 259.808228, 181.573776, 311.492889, 254.028244, 167.670883, 134.706558, 324.132141, 187.23613, 176.584198, 166.700897, 200.714722]
1776930932.169	0	150	150	7.964021e-05	1.808744	1.808721	0.000000	0.002288	0.000000	1.921439	2.042120	2.042097							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.046054	1.330156	-4.761842	7.817649	1.000000	0.000000	1.671057	0.477660	0.000330	0.000000	1.000000	0.000000	-0.052527	0.186956	-0.049455	0.213466	5.790884	1.182577	2.000000	2.000000	0.046875	0.330218	0.625102	1.000000	0.000000	1.236723	[0.072899, 0.052518, 0.059941, 0.064852, 0.070387, 0.057609, 0.057123, 0.079136, 0.061327, 0.054804, 0.054761, 0.095045, 0.060219, 0.04561, 0.052963, 0.060806]	[0.081968, 0.062361, 0.054074, 0.058079, 0.07331, 0.053889, 0.04787, 0.084699, 0.055972, 0.045093, 0.044676, 0.10625, 0.061088, 0.064699, 0.047477, 0.058495]	16.000000	225.000002	16.746805	1218.484507	0.997712	[285.070374, 242.306885, 214.960327, 222.297897, 269.228607, 194.089325, 171.1745, 285.661987, 235.221313, 170.629303, 172.284897, 345.65332, 216.178467, 185.004669, 175.332672, 214.905609]
1776930998.996	0	200	200	7.912449e-05	1.992367	1.992344	0.000000	0.002308	0.000000	1.883451	1.946727	1.946704	1.918128	1.918128	0.000000	0.000000	0.000000	6.808203	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042582	1.320507	-4.691052	7.744861	1.000000	0.000000	1.725504	0.455779	0.000336	0.000000	1.000000	0.000000	-0.052515	0.187788	-0.049455	0.213466	5.774266	1.149716	2.000000	2.000000	0.033854	0.304764	0.606795	1.000000	0.000000	1.207666	[0.078044, 0.049151, 0.061558, 0.068365, 0.072791, 0.054887, 0.059287, 0.07601, 0.061767, 0.057023, 0.050849, 0.095628, 0.05739, 0.046574, 0.052189, 0.058486]	[0.093819, 0.073912, 0.056968, 0.066157, 0.076736, 0.046111, 0.051551, 0.085231, 0.046782, 0.049514, 0.040023, 0.104051, 0.051505, 0.052315, 0.043935, 0.061389]	15.958333	225.000002	14.643029	1069.467908	0.997692	[318.257996, 239.942505, 233.360535, 233.279175, 272.6091, 209.663147, 181.878159, 261.345734, 228.723999, 171.557526, 179.06926, 318.847656, 181.924744, 180.644012, 179.813385, 209.083237]
1776931062.836	0	250	250	7.838694e-05	1.936290	1.936267	0.000000	0.002324	0.000000	1.872665	1.898362	1.898339							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.046432	1.345164	-4.668176	7.910146	1.000000	0.000000	1.707631	0.460842	0.000387	0.000000	1.000000	0.000000	-0.052508	0.188500	-0.049455	0.213466	5.824743	1.120488	2.000000	2.000000	0.044271	0.310610	0.611075	1.000000	0.000000	1.232462	[0.075231, 0.04798, 0.067548, 0.070586, 0.06501, 0.050181, 0.055623, 0.077851, 0.065647, 0.053062, 0.057176, 0.096314, 0.058891, 0.046676, 0.047861, 0.064362]	[0.103704, 0.085394, 0.063657, 0.06581, 0.066644, 0.036181, 0.041042, 0.081111, 0.054421, 0.039606, 0.051829, 0.105347, 0.055694, 0.035324, 0.037292, 0.076944]	16.000000	224.999999	13.145574	1124.825239	0.997676	[305.715057, 232.933441, 283.431091, 251.017303, 260.728394, 148.484558, 189.514069, 263.747559, 210.111969, 181.398254, 205.607971, 301.643402, 208.767197, 170.83989, 144.893219, 241.166718]
1776931125.385	0	300	300	7.743219e-05	1.962455	1.962432	0.000000	0.002333	0.000000	1.862695	1.880518	1.880494							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.041873	1.349102	-4.607710	7.917609	1.000000	0.000000	1.703337	0.461202	0.000335	0.000000	1.000000	0.000000	-0.052506	0.189203	-0.049455	0.213466	5.840957	1.150641	2.000000	2.000000	0.028646	0.311060	0.611345	1.000000	0.000000	1.187631	[0.072992, 0.048506, 0.072129, 0.063632, 0.067831, 0.050388, 0.055959, 0.078198, 0.068335, 0.05162, 0.063786, 0.079509, 0.061928, 0.047671, 0.049775, 0.06774]	[0.10331, 0.050139, 0.073287, 0.049329, 0.078796, 0.044329, 0.043727, 0.078056, 0.05588, 0.041991, 0.059306, 0.07956, 0.059144, 0.068819, 0.041042, 0.073287]	15.916667	225.000001	14.309634	1142.721855	0.997667	[304.511078, 228.649094, 249.661987, 214.986755, 244.177551, 179.125839, 179.350494, 300.823547, 237.139771, 159.08757, 186.794785, 315.280457, 213.500458, 188.196884, 152.028107, 246.685654]
1776931187.836	0	350	350	7.626629e-05	1.758914	1.758890	0.000000	0.002339	0.000000	1.903003	1.898677	1.898653							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033322	1.312519	-4.703196	7.824035	1.000000	0.000000	1.735921	0.454617	0.000308	0.000000	1.000000	0.000000	-0.052490	0.189408	-0.049455	0.213466	5.717165	1.150056	2.000000	2.000000	0.044271	0.305692	0.603541	1.000000	0.000000	1.239992	[0.069888, 0.050691, 0.075117, 0.066383, 0.072361, 0.049349, 0.059311, 0.074977, 0.059563, 0.05227, 0.064738, 0.07653, 0.066201, 0.044421, 0.048723, 0.069478]	[0.098681, 0.087106, 0.072546, 0.054606, 0.080787, 0.03662, 0.053032, 0.077847, 0.043727, 0.045579, 0.06287, 0.068287, 0.06544, 0.035903, 0.040926, 0.076042]	15.916667	224.999999	10.605282	1114.302567	0.997661	[320.291565, 244.237656, 271.418335, 236.534348, 270.685974, 165.09314, 198.996063, 249.88974, 175.705734, 178.845642, 231.364914, 271.620117, 234.88591, 167.810242, 125.661858, 256.958862]
1776931256.601	0	400	400	7.489661e-05	1.975295	1.975272	0.000000	0.002344	0.000000	1.858443	1.874951	1.874928	1.874392	1.874392	0.000000	0.000000	0.000000	6.516857	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.023004	1.326740	-4.729597	7.928924	1.000000	0.000000	1.701797	0.465464	0.000407	0.000000	1.000000	0.000000	-0.052478	0.190952	-0.049455	0.213466	5.729851	1.169544	2.000000	2.000000	0.039062	0.316644	0.614285	1.000000	0.000000	1.172482	[0.062729, 0.051469, 0.073435, 0.073259, 0.068642, 0.061041, 0.066675, 0.070429, 0.056332, 0.051714, 0.059862, 0.065955, 0.066104, 0.047604, 0.052698, 0.072052]	[0.077824, 0.059861, 0.073287, 0.070625, 0.072338, 0.060926, 0.066134, 0.070625, 0.04456, 0.041528, 0.055972, 0.054398, 0.070833, 0.064167, 0.041782, 0.075139]	15.875000	225.000001	10.297887	1158.168798	0.997656	[251.030685, 220.091965, 289.88446, 274.110413, 253.494537, 181.198959, 229.940857, 224.824463, 176.025177, 209.913376, 213.612305, 239.925537, 236.489746, 164.467072, 151.924332, 283.066193]
1776931319.479	0	450	450	7.333177e-05	2.102859	2.102835	0.000000	0.002355	0.000000	1.841640	1.856362	1.856339							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.029837	1.301090	-4.603914	7.914382	1.000000	0.000000	1.751537	0.448107	0.000368	0.000000	1.000000	0.000000	-0.052468	0.191763	-0.049455	0.213466	5.576873	1.155480	2.000000	2.000000	0.036458	0.295359	0.600855	1.000000	0.000000	1.283091	[0.065361, 0.053236, 0.070139, 0.072997, 0.075285, 0.060909, 0.066129, 0.069151, 0.054632, 0.056832, 0.060341, 0.062899, 0.065576, 0.044769, 0.05192, 0.069823]	[0.08169, 0.064236, 0.074815, 0.060046, 0.086088, 0.049583, 0.07544, 0.071759, 0.037755, 0.047199, 0.067431, 0.048032, 0.065255, 0.046852, 0.045718, 0.078102]	15.875000	224.999999	12.885018	1136.101138	0.997645	[267.74704, 236.898041, 240.9832, 252.005051, 271.78302, 186.147263, 281.940002, 257.27179, 180.809326, 186.830292, 213.844482, 225.444809, 232.273239, 167.488174, 150.364487, 248.169891]
1776931380.799	0	500	500	7.158169e-05	1.531325	1.531302	0.000000	0.002362	0.000000	1.835232	1.836739	1.836715							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.039305	1.356978	-4.794399	8.101621	1.000000	0.000000	1.725769	0.450397	0.000354	0.000000	1.000000	0.000000	-0.052460	0.191788	-0.049455	0.213466	5.789272	1.145645	2.000000	2.000000	0.031250	0.295903	0.604891	1.000000	0.000000	1.176950	[0.066863, 0.057968, 0.072899, 0.071179, 0.067277, 0.053294, 0.060847, 0.069738, 0.063319, 0.055766, 0.063769, 0.0671, 0.060608, 0.046599, 0.050102, 0.072673]	[0.089491, 0.065995, 0.076551, 0.065718, 0.075347, 0.040764, 0.050324, 0.063958, 0.058356, 0.051968, 0.065532, 0.052731, 0.057685, 0.054815, 0.037407, 0.093356]	15.875000	225.000003	12.783915	1049.369853	0.997638	[279.99115, 237.568298, 271.489075, 250.189423, 261.912109, 169.348663, 211.660736, 266.695251, 183.144821, 189.347198, 197.167877, 247.642059, 232.463928, 181.342224, 138.593628, 281.443695]
