# run_started_at	20260423_173126
# arg	batch_size	4
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e_wova"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776936701.116	0	50	50	0	0.031197	0.010335	0.042109	2.619813	2.655756	0.866109	0.859833	0.906239
1776936701.116	0	50	50	1	0.069762	0.028371	0.052081	2.159276	2.181619	0.778243	0.820084	0.898149
1776936701.116	0	50	50	2	0.110855	0.047863	0.060518	2.344941	2.408702	0.841004	0.794979	0.932690
1776936701.116	0	50	50	3	0.141100	0.061071	0.075834	2.177043	2.215987	0.794979	0.767782	0.912972
1776936701.116	0	50	50	4	0.118938	0.050477	0.071939	2.360290	2.431854	0.811715	0.755230	0.906427
1776936701.116	0	50	50	5	0.116125	0.050315	0.061979	2.257321	2.335186	0.698745	0.799163	0.926928
1776936701.116	0	50	50	6	0.169828	0.078020	0.055155	2.113990	2.208231	0.694561	0.755230	0.927597
1776936701.116	0	50	50	7	0.224447	0.105370	0.054828	1.824290	1.973336	0.753138	0.834728	0.913857
1776936701.116	0	50	50	8	0.249731	0.116976	0.063114	1.888664	2.100463	0.782427	0.792887	0.910020
1776936701.116	0	50	50	9	0.306334	0.145749	0.059343	1.765468	1.974472	0.832636	0.815900	0.926485
1776936701.116	0	50	50	10	0.295871	0.138860	0.072605	1.842803	2.050027	0.803347	0.776151	0.915297
1776936701.116	0	50	50	11	0.324439	0.154060	0.065278	1.638083	1.869806	0.836820	0.828452	0.924492
1776936701.116	0	50	50	12	0.312118	0.147510	0.068391	1.630283	1.808346	0.794979	0.780335	0.905002
1776936701.116	0	50	50	13	0.319747	0.152591	0.058263	1.358251	1.492477	0.815900	0.817992	0.916713
1776936701.116	0	50	50	14	0.297632	0.142370	0.051568	1.457166	1.586506	0.794979	0.874477	0.922157
1776936701.116	0	50	50	15	0.243483	0.116564	0.041416	1.464372	1.591894	0.845188	0.855649	0.922464
1776936701.116	0	50	50	16	0.406825	0.196037	0.059007	1.367464	1.525048	0.824268	0.815900	0.921955
1776936701.116	0	50	50	17	0.389165	0.187476	0.056854	0.994090	1.109880	0.920502	0.799163	0.901099
1776936701.116	0	50	50	18	0.402969	0.193465	0.064154	1.173490	1.246415	0.845188	0.851464	0.902428
1776936701.116	0	50	50	19	0.504790	0.244397	0.063981	0.890522	0.997881	0.870293	0.799163	0.900448
1776936701.116	0	50	50	20	0.545474	0.263920	0.070536	0.893334	1.058174	0.882845	0.851464	0.901509
1776936701.117	0	50	50	21	0.547365	0.265408	0.066197	0.991669	1.188518	0.866109	0.864017	0.915301
1776936701.117	0	50	50	22	0.570997	0.276714	0.070280	0.818730	0.912287	0.861925	0.811715	0.901003
1776936701.117	0	50	50	23	1.044209	0.508453	0.109213	0.187667	0.269384	0.928870	0.771967	0.861741
1776936715.280	0	100	100	0	0.009315	0.003293	0.010914	2.621056	2.636708	0.937063	0.928322	0.945690
1776936715.280	0	100	100	1	0.026283	0.010707	0.019479	2.200641	2.212414	0.874126	0.868881	0.928274
1776936715.280	0	100	100	2	0.050281	0.021005	0.033083	2.370386	2.394852	0.891608	0.821678	0.962024
1776936715.280	0	100	100	3	0.056004	0.023931	0.032571	2.119923	2.144548	0.909091	0.849650	0.959627
1776936715.280	0	100	100	4	0.052690	0.021298	0.040372	2.373349	2.402045	0.856643	0.828671	0.939265
1776936715.280	0	100	100	5	0.055192	0.023695	0.031206	2.286211	2.312483	0.853147	0.833916	0.959452
1776936715.280	0	100	100	6	0.076813	0.035256	0.025201	2.096072	2.165514	0.867133	0.870629	0.961270
1776936715.280	0	100	100	7	0.107068	0.050317	0.025738	1.789175	1.856416	0.860140	0.916084	0.948496
1776936715.280	0	100	100	8	0.113560	0.053490	0.026319	1.891240	1.981440	0.919580	0.889860	0.951149
1776936715.280	0	100	100	9	0.134638	0.063651	0.029343	1.775273	1.875118	0.909091	0.867133	0.959149
1776936715.280	0	100	100	10	0.114853	0.053509	0.031337	1.792441	1.875533	0.912587	0.830420	0.961111
1776936715.280	0	100	100	11	0.120041	0.055708	0.034497	1.697271	1.775973	0.870629	0.881119	0.957933
1776936715.280	0	100	100	12	0.162953	0.077151	0.034601	1.649498	1.783660	0.881119	0.833916	0.942156
1776936715.280	0	100	100	13	0.139774	0.066118	0.030153	1.411145	1.465384	0.905594	0.900350	0.948236
1776936715.280	0	100	100	14	0.142376	0.067674	0.028112	1.437882	1.498932	0.881119	0.902098	0.948390
1776936715.280	0	100	100	15	0.115066	0.054924	0.020874	1.518977	1.596187	0.867133	0.884615	0.943525
1776936715.280	0	100	100	16	0.211773	0.101363	0.036188	1.306791	1.386708	0.919580	0.900350	0.946695
1776936715.280	0	100	100	17	0.188424	0.090631	0.028648	1.039126	1.098189	0.940559	0.867133	0.932421
1776936715.280	0	100	100	18	0.202721	0.097131	0.033837	1.255430	1.316095	0.884615	0.882867	0.935675
1776936715.280	0	100	100	19	0.216033	0.104043	0.031793	0.819288	0.918944	0.944056	0.868881	0.932730
1776936715.280	0	100	100	20	0.301966	0.146248	0.037877	0.923721	0.984219	0.895105	0.898601	0.937813
1776936715.280	0	100	100	21	0.265217	0.128153	0.035646	1.002913	1.068339	0.919580	0.891608	0.947973
1776936715.280	0	100	100	22	0.305021	0.147945	0.036519	0.787455	0.861412	0.905594	0.888112	0.934067
1776936715.280	0	100	100	23	0.451907	0.217756	0.065577	0.184359	0.215261	0.961538	0.828671	0.907312
