# run_started_at	20260423_173429
# arg	batch_size	4
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e_wova"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_e_wova/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776936926.026	0	50	50	5.948498e-05	0.316097	0.316085	0.000000	0.001174	0.000000	0.895402	1.836693	1.836681							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.056247	1.401859	-4.403058	8.029103	1.000000	0.000000	1.542260	0.522684	0.000243	0.000000	1.000000	0.000000	-0.051540	0.206694	-0.049455	0.213466	6.297325	1.592383	2.000000	2.000000	0.052083	0.384879	0.660488	1.000000	0.000000	0.967616	[0.072441, 0.055537, 0.05718, 0.071058, 0.071525, 0.061735, 0.053667, 0.078718, 0.061789, 0.052899, 0.052695, 0.093697, 0.047606, 0.044933, 0.064842, 0.059677]	[0.083542, 0.044306, 0.064028, 0.065347, 0.079861, 0.065556, 0.041458, 0.0875, 0.05875, 0.041875, 0.045208, 0.105139, 0.040486, 0.033542, 0.070972, 0.072431]	15.833333	75.000000	4.088437	322.549091	0.998826	[89.367729, 64.963837, 73.819817, 96.750481, 89.265343, 71.042099, 57.583031, 113.626183, 62.464554, 50.84713, 55.085396, 116.111992, 63.794579, 43.662914, 79.367157, 72.247772]
1776936982.450	0	100	100	5.690731e-05	0.228361	0.228349	0.000000	0.001199	0.000000	0.428600	0.932391	0.932379							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.057547	1.375159	-4.417300	7.759635	1.000000	0.000000	1.567982	0.514232	0.000253	0.000000	1.000000	0.000000	-0.051531	0.206701	-0.049455	0.213466	6.268758	1.369508	2.000000	2.000000	0.062500	0.370837	0.657627	1.000000	0.000000	1.004656	[0.074165, 0.050626, 0.061029, 0.075639, 0.07039, 0.060465, 0.057664, 0.089523, 0.059329, 0.046568, 0.05091, 0.087513, 0.051904, 0.044395, 0.063279, 0.056603]	[0.085833, 0.03375, 0.081806, 0.076597, 0.068611, 0.059236, 0.049306, 0.111875, 0.052778, 0.034583, 0.0475, 0.094583, 0.049583, 0.035694, 0.056319, 0.061944]	15.958333	75.000000	4.490480	288.931430	0.998801	[83.680107, 57.620453, 80.394722, 90.308701, 86.109863, 69.724701, 63.515205, 122.215355, 66.875732, 58.333767, 59.184582, 113.514519, 64.084991, 45.006832, 71.993919, 67.436569]
1776937038.687	0	150	150	5.236453e-05	0.266397	0.266385	0.000000	0.001219	0.000000	0.372646	0.569690	0.569678							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.056191	1.359261	-4.234957	8.033602	1.000000	0.000000	1.601744	0.497589	0.000206	0.000000	1.000000	0.000000	-0.051532	0.206655	-0.049455	0.213466	6.135755	1.242600	2.000000	2.000000	0.065104	0.350485	0.644694	1.000000	0.000000	1.113750	[0.067928, 0.049049, 0.062345, 0.070756, 0.065659, 0.055751, 0.056314, 0.092493, 0.056257, 0.049077, 0.054684, 0.092071, 0.058266, 0.04731, 0.065731, 0.056308]	[0.076528, 0.031597, 0.09125, 0.075, 0.059306, 0.057639, 0.046042, 0.116042, 0.04125, 0.033889, 0.044375, 0.108819, 0.056667, 0.044097, 0.056458, 0.061042]	15.958333	75.000000	3.826497	324.504299	0.998781	[87.698227, 52.327129, 91.294479, 79.963005, 86.609825, 68.538284, 62.831005, 118.569901, 57.353043, 46.845928, 58.313141, 125.326225, 67.831268, 55.429806, 72.425316, 68.643463]
1776937104.387	0	200	200	4.623003e-05	0.463577	0.463565	0.000000	0.001234	0.000000	0.409290	0.468461	0.468449	0.368788	0.368788	0.000000	0.000000	0.000000	1.445981	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.045150	1.383088	-4.324967	7.859035	1.000000	0.000000	1.511474	0.536678	0.000187	0.000000	1.000000	0.000000	-0.051534	0.206360	-0.049455	0.213466	6.239522	1.299676	2.000000	2.000000	0.036458	0.399968	0.673388	1.000000	0.000000	0.990065	[0.069479, 0.048729, 0.062785, 0.074262, 0.063234, 0.063533, 0.061539, 0.08864, 0.059249, 0.052149, 0.054254, 0.077207, 0.061169, 0.048259, 0.057777, 0.057736]	[0.074792, 0.033819, 0.089236, 0.074306, 0.054931, 0.070903, 0.057569, 0.105486, 0.048472, 0.039028, 0.04875, 0.081319, 0.061528, 0.044514, 0.058264, 0.057083]	15.916667	75.000000	3.382718	395.526020	0.998766	[99.540451, 44.3918, 95.052048, 92.449722, 71.273132, 80.829361, 70.821701, 130.640991, 63.549706, 44.511681, 53.793953, 110.511681, 64.948692, 49.988052, 62.178001, 65.519081]
1776937161.397	0	250	250	3.900807e-05	0.442094	0.442081	0.000000	0.001248	0.000000	0.357542	0.396201	0.396188							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.056774	1.388771	-4.209477	7.898405	1.000000	0.000000	1.558764	0.518254	0.000209	0.000000	1.000000	0.000000	-0.051522	0.206217	-0.049455	0.213466	6.304395	1.142910	2.000000	2.000000	0.080729	0.372531	0.663978	1.000000	0.000000	1.261555	[0.073806, 0.045916, 0.063026, 0.074445, 0.059485, 0.073513, 0.058658, 0.091984, 0.061816, 0.047831, 0.048638, 0.086815, 0.054882, 0.046512, 0.057059, 0.055614]	[0.078333, 0.0225, 0.090764, 0.082569, 0.044236, 0.096458, 0.049583, 0.109861, 0.052292, 0.030764, 0.037153, 0.099444, 0.058472, 0.042014, 0.048889, 0.056667]	15.875000	75.000000	5.348084	335.476298	0.998752	[92.73027, 50.848614, 91.041061, 86.204376, 76.11618, 82.296288, 63.960228, 124.798912, 67.519211, 49.076519, 55.219296, 115.336639, 71.701889, 48.052734, 59.881226, 65.216599]
1776937219.735	1	300	300	3.129225e-05	0.301172	0.301160	0.000000	0.001253	0.000000	0.296842	0.325070	0.325058							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.059117	1.408274	-4.434090	7.943327	1.000000	0.000000	1.529046	0.528036	0.000201	0.000000	1.000000	0.000000	-0.051521	0.206769	-0.049455	0.213466	6.256874	1.249097	2.000000	2.000000	0.091146	0.385585	0.670486	1.000000	0.000000	1.222217	[0.077005, 0.04582, 0.059825, 0.073195, 0.05695, 0.06803, 0.063042, 0.093941, 0.068285, 0.04785, 0.047911, 0.085424, 0.053193, 0.046215, 0.062333, 0.050981]	[0.078681, 0.026528, 0.090903, 0.088681, 0.041042, 0.078889, 0.058403, 0.105625, 0.06625, 0.036111, 0.035764, 0.088472, 0.048819, 0.042778, 0.062222, 0.050833]	15.916667	75.000000	3.289410	335.885216	0.998747	[94.416832, 56.846916, 96.400772, 84.620979, 80.197266, 71.787338, 67.69136, 120.758575, 70.930626, 51.731533, 54.020966, 105.10128, 63.505108, 47.023903, 71.395302, 63.57127]
1776937278.855	1	350	350	2.371681e-05	0.063402	0.063390	0.000000	0.001255	0.000000	0.214363	0.250375	0.250363							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042820	1.404905	-4.539025	7.851829	1.000000	0.000000	1.512495	0.531973	0.000204	0.000000	1.000000	0.000000	-0.051522	0.206997	-0.049455	0.213466	6.250145	1.282190	2.000000	2.000000	0.075521	0.390640	0.673307	1.000000	0.000000	1.017497	[0.080205, 0.047458, 0.065912, 0.062182, 0.06281, 0.058912, 0.05759, 0.094373, 0.059344, 0.052456, 0.054175, 0.079119, 0.059412, 0.048055, 0.06101, 0.056986]	[0.091319, 0.033264, 0.093889, 0.054583, 0.054861, 0.061319, 0.048333, 0.112153, 0.047986, 0.041111, 0.042361, 0.088889, 0.065, 0.042222, 0.059236, 0.063472]	15.916667	75.000001	3.663417	339.626836	0.998745	[91.631256, 57.632683, 91.324333, 74.274239, 81.75798, 71.921539, 64.641449, 125.173965, 70.411797, 54.264351, 59.953918, 103.934509, 74.348846, 43.312145, 72.940544, 62.476482]
1776937351.321	1	400	400	1.690442e-05	0.365233	0.365221	0.000000	0.001256	0.000000	0.222765	0.229037	0.229025	0.349200	0.349200	0.000000	0.000000	0.000000	1.417932	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.054819	1.376249	-4.154107	8.093950	1.000000	0.000000	1.605922	0.500076	0.000327	0.000000	1.000000	0.000000	-0.051523	0.206915	-0.049455	0.213466	6.269351	1.161132	2.000000	2.000000	0.083333	0.354491	0.645661	1.000000	0.000000	1.234050	[0.079382, 0.047683, 0.058835, 0.069504, 0.069979, 0.061211, 0.059487, 0.096581, 0.06269, 0.050816, 0.050151, 0.082092, 0.056153, 0.044621, 0.057085, 0.05373]	[0.093472, 0.024583, 0.085, 0.070208, 0.066528, 0.071319, 0.046597, 0.113056, 0.048472, 0.040764, 0.040556, 0.090625, 0.057153, 0.039028, 0.048125, 0.064514]	15.916667	75.000000	4.081786	314.968073	0.998744	[89.603073, 58.408531, 86.530724, 81.644318, 83.266586, 73.003906, 60.907131, 120.838829, 74.885132, 51.202892, 61.497581, 104.890625, 71.635674, 46.612747, 70.918091, 64.154205]
1776937408.798	1	450	450	1.141505e-05	0.171662	0.171649	0.000000	0.001257	0.000000	0.168733	0.191756	0.191744							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.041097	1.419944	-4.485961	8.212377	1.000000	0.000000	1.487117	0.539476	0.000202	0.000000	1.000000	0.000000	-0.051525	0.207032	-0.049455	0.213466	6.424933	1.309453	2.000000	2.000000	0.041667	0.402419	0.676534	1.000000	0.000000	0.896181	[0.070311, 0.054925, 0.067596, 0.0662, 0.071014, 0.056499, 0.058001, 0.089294, 0.065681, 0.052839, 0.051279, 0.07594, 0.058707, 0.043354, 0.06278, 0.055581]	[0.079583, 0.043194, 0.089583, 0.061528, 0.067708, 0.051667, 0.048889, 0.101875, 0.066944, 0.045972, 0.043542, 0.085139, 0.064514, 0.035208, 0.060764, 0.053889]	16.000000	75.000000	4.524734	288.808193	0.998743	[93.225525, 57.655281, 92.411621, 82.326263, 83.81369, 74.836212, 59.357098, 111.937744, 66.020309, 56.174313, 59.958862, 99.347595, 73.763062, 52.993675, 69.034889, 67.14389]
1776937465.751	1	500	500	7.699891e-06	0.168841	0.168828	0.000000	0.001258	0.000000	0.228433	0.221383	0.221371							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.045179	1.380532	-4.434420	7.885977	1.000000	0.000000	1.564873	0.511935	0.000223	0.000000	1.000000	0.000000	-0.051526	0.207029	-0.049455	0.213466	6.223749	1.221116	2.000000	2.000000	0.072917	0.371143	0.652727	1.000000	0.000000	1.099078	[0.07504, 0.051722, 0.065535, 0.069669, 0.069513, 0.055996, 0.054088, 0.098376, 0.066134, 0.049378, 0.059558, 0.07274, 0.053742, 0.044706, 0.056233, 0.057573]	[0.089514, 0.035347, 0.085556, 0.065694, 0.066736, 0.056111, 0.0475, 0.112986, 0.059583, 0.035903, 0.067222, 0.080486, 0.051181, 0.033819, 0.049375, 0.062986]	15.916667	75.000000	3.546087	318.050631	0.998742	[89.466179, 53.572311, 85.28112, 80.851288, 88.003448, 79.656746, 62.321968, 112.546021, 73.628448, 54.091839, 61.581009, 101.224976, 73.679749, 49.047695, 68.928741, 66.118469]
