# run_started_at	20260423_204307
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776948205.131	0	50	50	0	0.030356	0.010279	0.039195	2.621012	2.663710	0.826159	0.865066	0.916793
1776948205.131	0	50	50	1	0.074042	0.030857	0.049314	2.183074	2.226368	0.743378	0.776490	0.901979
1776948205.131	0	50	50	2	0.133546	0.058034	0.069914	2.305030	2.412214	0.769868	0.771523	0.920781
1776948205.131	0	50	50	3	0.157342	0.069567	0.072832	2.170592	2.243879	0.789735	0.770695	0.916088
1776948205.131	0	50	50	4	0.137297	0.058562	0.080696	2.371165	2.464421	0.781457	0.763245	0.895296
1776948205.131	0	50	50	5	0.151964	0.067242	0.069920	2.268460	2.375671	0.711921	0.784768	0.917381
1776948205.131	0	50	50	6	0.184461	0.084569	0.061287	2.122054	2.237229	0.723510	0.759934	0.922536
1776948205.131	0	50	50	7	0.235127	0.110638	0.055407	1.815353	1.998934	0.759934	0.846026	0.917027
1776948205.131	0	50	50	8	0.272261	0.128281	0.062798	1.877527	2.085444	0.798013	0.824503	0.912971
1776948205.131	0	50	50	9	0.293846	0.138561	0.066899	1.759392	1.938259	0.846026	0.820364	0.918375
1776948205.131	0	50	50	10	0.323430	0.152458	0.074055	1.805104	2.031602	0.809603	0.785596	0.914141
1776948205.131	0	50	50	11	0.305614	0.143694	0.072906	1.700835	1.923277	0.799669	0.808775	0.916218
1776948205.131	0	50	50	12	0.332745	0.157536	0.070688	1.651451	1.851422	0.831126	0.783113	0.904181
1776948205.131	0	50	50	13	0.360318	0.172776	0.059066	1.332355	1.510088	0.834437	0.813742	0.916539
1776948205.131	0	50	50	14	0.399591	0.192395	0.059202	1.398351	1.599566	0.817881	0.848510	0.914549
1776948205.131	0	50	50	15	0.264802	0.126683	0.045745	1.501319	1.656958	0.850993	0.837748	0.916882
1776948205.131	0	50	50	16	0.494223	0.239220	0.063135	1.319474	1.530099	0.804636	0.834437	0.917560
1776948205.131	0	50	50	17	0.478216	0.231291	0.062534	0.970970	1.174998	0.923841	0.800497	0.895996
1776948205.131	0	50	50	18	0.542831	0.262894	0.068176	1.138541	1.322487	0.846026	0.842715	0.898418
1776948205.131	0	50	50	19	0.557965	0.270004	0.071831	0.845653	1.028737	0.895695	0.788907	0.892455
1776948205.131	0	50	50	20	0.620746	0.300747	0.077009	0.915846	1.138494	0.855960	0.834437	0.894346
1776948205.131	0	50	50	21	0.563278	0.273172	0.067739	0.976872	1.198560	0.907285	0.836921	0.912504
1776948205.131	0	50	50	22	0.669155	0.325606	0.071769	0.787097	0.934865	0.875828	0.815397	0.898516
1776948205.131	0	50	50	23	1.228860	0.600299	0.113046	0.182487	0.247021	0.899007	0.774007	0.856188
1776948222.561	0	100	100	0	0.008391	0.002752	0.011548	2.628201	2.643357	0.941581	0.937285	0.947779
1776948222.561	0	100	100	1	0.027805	0.011311	0.020733	2.224010	2.240420	0.871134	0.862543	0.927215
1776948222.561	0	100	100	2	0.042631	0.017885	0.027446	2.376570	2.408280	0.867698	0.837629	0.967847
1776948222.561	0	100	100	3	0.053951	0.023410	0.028521	2.100740	2.131386	0.902062	0.853952	0.964263
1776948222.561	0	100	100	4	0.050609	0.020917	0.035101	2.377798	2.417423	0.878007	0.841065	0.945811
1776948222.561	0	100	100	5	0.053080	0.023059	0.027845	2.288985	2.324991	0.843643	0.844502	0.963442
