# run_started_at	20260423_204723
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_e/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776948508.108	0	50	50	5.955928e-05	0.292969	0.292956	0.000000	0.001232	0.000000	0.982440	1.946949	1.946937							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.052751	1.419256	-4.567667	8.202264	1.000000	0.000000	1.505048	0.530649	0.000259	0.000000	1.000000	0.000000	-0.051616	0.203748	-0.049455	0.213466	6.393555	1.387777	2.000000	2.000000	0.023438	0.388880	0.672417	1.000000	0.000000	0.980119	[0.083375, 0.051615, 0.054935, 0.076655, 0.058873, 0.056051, 0.05429, 0.089754, 0.057801, 0.065424, 0.045781, 0.075822, 0.059194, 0.043772, 0.068603, 0.058056]	[0.096076, 0.042431, 0.051285, 0.075347, 0.063507, 0.0475, 0.043403, 0.111667, 0.051458, 0.063125, 0.038542, 0.082014, 0.064132, 0.035556, 0.068542, 0.065417]	15.958333	75.000000	7.256303	297.414766	0.998768	[108.737366, 59.935631, 58.822227, 98.897064, 71.916412, 59.999313, 71.917503, 116.589401, 69.105972, 70.264816, 50.421082, 93.98159, 67.11319, 53.458527, 77.012939, 71.827049]
1776948570.730	0	100	100	5.725228e-05	0.246908	0.246895	0.000000	0.001256	0.000000	0.381833	0.943848	0.943836							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.057927	1.426869	-4.551005	8.104106	1.000000	0.000000	1.499443	0.533459	0.000237	0.000000	1.000000	0.000000	-0.051609	0.204283	-0.049455	0.213466	6.320237	1.380897	2.000000	2.000000	0.036458	0.393273	0.673646	1.000000	0.000000	1.043765	[0.079121, 0.054822, 0.054474, 0.076363, 0.060924, 0.059984, 0.048515, 0.091869, 0.059348, 0.055131, 0.05288, 0.076749, 0.063739, 0.042983, 0.069651, 0.053447]	[0.094687, 0.043403, 0.04566, 0.078819, 0.073264, 0.055625, 0.03559, 0.115451, 0.054201, 0.045486, 0.048715, 0.077361, 0.060243, 0.037361, 0.074514, 0.059618]	15.958333	75.000000	2.432206	393.430490	0.998744	[126.718582, 57.224998, 71.814636, 91.655243, 76.675507, 59.68235, 51.33828, 135.962585, 69.509651, 60.077908, 51.92384, 93.337242, 66.702744, 40.253536, 83.677788, 63.445152]
1776948633.650	0	150	150	5.313410e-05	0.328105	0.328092	0.000000	0.001277	0.000000	0.379993	0.587011	0.586999							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.052834	1.417365	-4.518625	8.264118	1.000000	0.000000	1.522113	0.526153	0.000231	0.000000	1.000000	0.000000	-0.051607	0.204801	-0.049455	0.213466	6.190410	1.284405	2.000000	2.000000	0.065104	0.384439	0.667867	1.000000	0.000000	1.143571	[0.074538, 0.05659, 0.056868, 0.075291, 0.066906, 0.060004, 0.046217, 0.091121, 0.064216, 0.060127, 0.057945, 0.073095, 0.056027, 0.039098, 0.068989, 0.05297]	[0.093125, 0.041076, 0.056076, 0.072986, 0.077674, 0.055625, 0.032569, 0.114965, 0.057465, 0.060694, 0.058681, 0.069236, 0.050694, 0.029167, 0.072153, 0.057812]	16.000000	75.000000	3.360258	312.285297	0.998723	[103.213364, 57.108345, 65.759048, 87.786316, 94.5065, 65.396423, 51.951641, 114.728745, 66.043907, 78.945755, 62.682617, 90.950439, 71.543137, 43.082394, 84.764175, 61.537216]
1776948706.659	0	200	200	4.751229e-05	0.418724	0.418711	0.000000	0.001287	0.000000	0.355431	0.437878	0.437865	0.336036	0.336036	0.000000	0.000000	0.000000	1.399390	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.049341	1.423966	-4.394767	8.122217	1.000000	0.000000	1.509492	0.530529	0.000224	0.000000	1.000000	0.000000	-0.051605	0.205222	-0.049455	0.213466	6.291782	1.339874	2.000000	2.000000	0.041667	0.388332	0.672726	1.000000	0.000000	0.989233	[0.077047, 0.055042, 0.056313, 0.068918, 0.066691, 0.06386, 0.04987, 0.072192, 0.062281, 0.057954, 0.05644, 0.081369, 0.060523, 0.045959, 0.071047, 0.054495]	[0.096285, 0.042917, 0.053333, 0.065451, 0.062049, 0.066875, 0.037153, 0.090694, 0.057188, 0.069931, 0.053715, 0.08434, 0.058854, 0.039514, 0.066875, 0.054826]	15.875000	75.000000	3.542997	323.192830	0.998713	[108.999527, 59.857616, 62.16766, 87.152466, 90.854187, 69.641022, 50.242935, 107.072632, 73.65554, 85.91021, 58.356655, 87.503387, 65.763542, 43.024323, 87.849968, 61.948364]
1776948769.709	0	250	250	4.080669e-05	0.264805	0.264792	0.000000	0.001297	0.000000	0.328498	0.370629	0.370616							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.041904	1.415384	-4.536656	8.503768	1.000000	0.000000	1.527023	0.525455	0.000209	0.000000	1.000000	0.000000	-0.051606	0.206022	-0.049455	0.213466	6.202516	1.292071	2.000000	2.000000	0.041667	0.383470	0.667440	1.000000	0.000000	1.000352	[0.072773, 0.05929, 0.054323, 0.072124, 0.069453, 0.059406, 0.050966, 0.0741, 0.069292, 0.062753, 0.051315, 0.072767, 0.058746, 0.045596, 0.07036, 0.056736]	[0.086319, 0.052118, 0.048715, 0.073368, 0.068229, 0.05934, 0.040243, 0.084618, 0.068333, 0.076007, 0.045, 0.073021, 0.059722, 0.035903, 0.068646, 0.060417]	16.000000	75.000000	3.748459	294.002492	0.998703	[96.763138, 68.607391, 64.981766, 78.310394, 92.577301, 67.930504, 57.899475, 94.563019, 78.914116, 85.314667, 55.825897, 83.834869, 71.939072, 52.393379, 84.932785, 65.21225]
1776948832.604	1	300	300	3.351808e-05	0.286156	0.286143	0.000000	0.001302	0.000000	0.312061	0.331832	0.331819							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.062403	1.432558	-4.496453	8.153131	1.000000	0.000000	1.557694	0.513016	0.000218	0.000000	1.000000	0.000000	-0.051601	0.205939	-0.049455	0.213466	6.201706	1.277320	2.000000	2.000000	0.054688	0.367488	0.658545	1.000000	0.000000	1.157964	[0.071272, 0.061608, 0.051746, 0.067338, 0.060776, 0.060856, 0.050039, 0.079742, 0.074199, 0.074015, 0.048491, 0.077006, 0.057329, 0.04254, 0.065279, 0.057766]	[0.079028, 0.059861, 0.048576, 0.063403, 0.05375, 0.0625, 0.034167, 0.096076, 0.069549, 0.092986, 0.037396, 0.080521, 0.059965, 0.032813, 0.062569, 0.06684]	15.875000	75.000000	2.216087	425.574422	0.998698	[90.730698, 72.765518, 66.19767, 83.010086, 67.694366, 72.40593, 44.826591, 107.5495, 73.193825, 97.948898, 57.301037, 100.856293, 68.376549, 52.882324, 65.48172, 78.779045]
1776948895.686	1	350	350	2.619078e-05	0.257404	0.257391	0.000000	0.001307	0.000000	0.200930	0.245447	0.245434							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.058613	1.422388	-4.463956	8.366254	1.000000	0.000000	1.561935	0.510617	0.000227	0.000000	1.000000	0.000000	-0.051600	0.205904	-0.049455	0.213466	6.260252	1.307844	2.000000	2.000000	0.041667	0.367969	0.653264	1.000000	0.000000	1.057459	[0.070523, 0.060586, 0.053783, 0.067049, 0.060937, 0.059725, 0.056491, 0.076783, 0.05935, 0.076006, 0.048516, 0.083085, 0.060146, 0.04256, 0.067866, 0.056595]	[0.080729, 0.054757, 0.054861, 0.060868, 0.058438, 0.062743, 0.042361, 0.087083, 0.046493, 0.100139, 0.0375, 0.095208, 0.063194, 0.03309, 0.062951, 0.059583]	16.000000	75.000000	3.688286	325.224604	0.998693	[93.043991, 75.016953, 55.453243, 83.035667, 76.590958, 62.754513, 54.071178, 106.80217, 77.920097, 94.205322, 48.465508, 104.628296, 70.090614, 55.172279, 76.120346, 66.628891]
1776948970.184	1	400	400	1.937200e-05	0.123096	0.123083	0.000000	0.001310	0.000000	0.195720	0.211015	0.211002	0.311882	0.311882	0.000000	0.000000	0.000000	1.365993	0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042621	1.426663	-4.670139	8.324861	1.000000	0.000000	1.548238	0.516751	0.000244	0.000000	1.000000	0.000000	-0.051601	0.205849	-0.049455	0.213466	6.296981	1.320108	2.000000	2.000000	0.057292	0.375598	0.657904	1.000000	0.000000	1.001850	[0.072785, 0.057728, 0.057125, 0.069724, 0.066292, 0.053608, 0.054952, 0.079865, 0.063385, 0.06406, 0.049711, 0.074131, 0.059128, 0.043313, 0.073183, 0.061009]	[0.088368, 0.051979, 0.056181, 0.063611, 0.062847, 0.052083, 0.04184, 0.096215, 0.056701, 0.081215, 0.038542, 0.078438, 0.060451, 0.03316, 0.071181, 0.067188]	15.958333	75.000000	3.585537	327.561981	0.998690	[104.968529, 63.224159, 57.571434, 87.096855, 78.250908, 62.118126, 64.526787, 101.272301, 64.281647, 91.893005, 51.9589, 107.066711, 66.519684, 47.045269, 87.611465, 64.594238]
1776949033.478	1	450	450	1.357097e-05	0.141302	0.141289	0.000000	0.001311	0.000000	0.198029	0.202872	0.202859							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.055180	1.410805	-4.570473	8.347766	1.000000	0.000000	1.577534	0.509285	0.000302	0.000000	1.000000	0.000000	-0.051602	0.205944	-0.049455	0.213466	6.260195	1.296038	2.000000	2.000000	0.049479	0.369047	0.649522	1.000000	0.000000	1.126031	[0.070784, 0.054933, 0.055006, 0.071272, 0.06576, 0.059268, 0.058199, 0.087117, 0.059422, 0.066109, 0.046691, 0.07856, 0.058745, 0.044003, 0.068132, 0.056]	[0.077535, 0.050764, 0.056597, 0.065556, 0.065868, 0.056146, 0.045833, 0.105313, 0.048472, 0.083021, 0.034618, 0.083438, 0.05934, 0.03566, 0.06684, 0.065]	15.916667	75.000000	3.342614	354.526831	0.998689	[98.366882, 76.669693, 60.125088, 79.178886, 78.387085, 62.055084, 58.316479, 110.879051, 64.527924, 88.475487, 47.150642, 101.18837, 72.157166, 47.508068, 86.245789, 68.768341]
1776949097.832	1	500	500	9.220915e-06	0.148754	0.148741	0.000000	0.001312	0.000000	0.185520	0.190629	0.190616							0.000000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.047993	1.428435	-4.595875	8.335132	1.000000	0.000000	1.545500	0.515966	0.000259	0.000000	1.000000	0.000000	-0.051602	0.205944	-0.049455	0.213466	6.344001	1.284585	2.000000	2.000000	0.031250	0.372128	0.659804	1.000000	0.000000	1.006687	[0.073679, 0.061078, 0.055796, 0.068991, 0.066461, 0.054621, 0.055568, 0.083522, 0.063522, 0.060958, 0.047926, 0.076291, 0.062086, 0.043228, 0.069297, 0.056977]	[0.076493, 0.060868, 0.055937, 0.061285, 0.06316, 0.051354, 0.043125, 0.101007, 0.056424, 0.079444, 0.037951, 0.08816, 0.062014, 0.03434, 0.066354, 0.062083]	15.916667	75.000000	2.674676	376.400327	0.998688	[101.866272, 81.193008, 62.937393, 90.25264, 77.353706, 60.520977, 49.860241, 111.787674, 61.004242, 93.070457, 42.795792, 90.57811, 71.161156, 51.460751, 83.092651, 71.06498]
