# run_started_at	20260423_235717
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"redpajama"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"redpajama"
# arg	eval_every	200
# arg	eval_max_samples	100
# arg	eval_split	"train"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/CB_redpajama"
# arg	redpajama_local_dir	"/mnt/data/datasets/RedPajama-Data-1T-Sample"
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/CB_redpajama/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	60000
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts
1776959923.809	0	50	50	2.720000e-05	4.650928	4.650928	0.000000	0.000014	0.000000	5.884977	6.200110	6.200110							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.015218	0.381840	-1.514127	2.064640	1.000000	0.000000	2.604431	0.163185	0.010610	0.000000	1.000000	0.000000	-0.049501	0.213468	-0.049455	0.213466	5.421266	1.201233	2.000000	2.000000	0.156250	0.061766	0.264605	1.000000	0.000000	1.194666	[0.072084, 0.067106, 0.055703, 0.054883, 0.061638, 0.05913, 0.062057, 0.064613, 0.06187, 0.059267, 0.059988, 0.077315, 0.057939, 0.059743, 0.062067, 0.064597]	[0.099005, 0.096019, 0.051667, 0.025926, 0.062338, 0.054421, 0.05831, 0.070023, 0.062106, 0.061412, 0.050671, 0.075394, 0.054815, 0.051644, 0.056597, 0.069653]	15.833333	224.999997	10.349822	1097.341965	0.999986	[331.626007, 320.441498, 184.518723, 109.348503, 231.288818, 192.688461, 205.748016, 246.360077, 224.589783, 222.293442, 208.195465, 275.725281, 215.064072, 203.376526, 196.97583, 231.759567]
1776960005.224	0	100	100	5.386667e-05	3.842684	3.842683	0.000000	0.000122	0.000000	4.220498	4.899313	4.899313							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.014158	0.435938	-1.653766	2.925724	1.000000	0.000000	2.525941	0.205747	0.007129	0.000000	1.000000	0.000000	-0.049623	0.209884	-0.049455	0.213466	5.505701	1.224887	2.000000	2.000000	0.171875	0.102539	0.308955	1.000000	0.000000	1.133529	[0.079646, 0.065275, 0.060003, 0.056457, 0.063549, 0.062267, 0.060021, 0.060627, 0.057286, 0.061918, 0.056432, 0.068817, 0.06505, 0.05605, 0.056456, 0.070148]	[0.108981, 0.099722, 0.084931, 0.032894, 0.062824, 0.057593, 0.044838, 0.046829, 0.043333, 0.064514, 0.050764, 0.071944, 0.079306, 0.040093, 0.035116, 0.076319]	15.875000	225.000001	4.716633	942.274089	0.999878	[354.29306, 322.596558, 281.488312, 127.76577, 253.209473, 213.704559, 167.56897, 174.957504, 175.844772, 237.50975, 180.521835, 285.302368, 266.902954, 164.487732, 142.260925, 251.585556]
1776960086.736	0	150	150	8.000000e-05	3.083959	3.083955	0.000000	0.000324	0.000000	3.599053	4.052067	4.052065							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.012355	0.500764	-1.979793	3.554927	1.000000	0.000000	2.433965	0.244120	0.005360	0.000000	1.000000	0.000000	-0.049765	0.206872	-0.049455	0.213466	5.624826	1.178956	2.000000	2.000000	0.205729	0.139763	0.348477	1.000000	0.000000	1.024357	[0.069761, 0.06519, 0.062854, 0.053491, 0.064964, 0.061207, 0.062578, 0.071038, 0.054602, 0.063491, 0.05403, 0.064698, 0.067561, 0.056357, 0.05863, 0.069551]	[0.08956, 0.092477, 0.082708, 0.024954, 0.072153, 0.053727, 0.06912, 0.061991, 0.037801, 0.061736, 0.043472, 0.064097, 0.070255, 0.044583, 0.042106, 0.089259]	16.000000	224.999999	2.284259	826.761344	0.999676	[303.392792, 308.76001, 289.145081, 115.715134, 273.359436, 196.783447, 241.271912, 230.906464, 147.77179, 230.631378, 184.673279, 210.922165, 241.749847, 178.681427, 157.099213, 289.136749]
1776960169.531	0	200	200	7.998112e-05	3.301554	3.301548	0.000000	0.000539	0.000000	3.380259	3.617852	3.617849	3.076408	3.076408	0.000000	0.000000	0.000000	21.680394	0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.012777	0.560358	-2.383530	3.893842	1.000000	0.000000	2.348448	0.277593	0.004271	0.000000	1.000000	0.000000	-0.049881	0.205055	-0.049455	0.213466	5.615606	1.184522	2.000000	2.000000	0.236979	0.170978	0.384209	1.000000	0.000000	0.971955	[0.069156, 0.064352, 0.060271, 0.054927, 0.067614, 0.063285, 0.062003, 0.071637, 0.054434, 0.063674, 0.058372, 0.062776, 0.067753, 0.054141, 0.05737, 0.068236]	[0.08419, 0.085995, 0.072917, 0.040903, 0.079051, 0.055903, 0.059421, 0.066481, 0.037014, 0.063565, 0.060741, 0.05544, 0.070926, 0.042708, 0.039491, 0.085255]	15.708333	224.999999	0.857206	768.886959	0.999461	[295.767456, 270.402557, 268.690887, 154.039139, 295.070526, 217.212494, 217.841293, 237.173752, 148.024902, 230.873581, 215.775848, 203.824387, 234.399872, 166.473633, 141.420258, 303.009583]
1776960249.589	0	250	250	7.992450e-05	3.352191	3.352184	0.000000	0.000715	0.000000	3.267626	3.396431	3.396426							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.008914	0.599368	-2.378219	4.232147	1.000000	0.000000	2.299918	0.295665	0.003480	0.000000	1.000000	0.000000	-0.049956	0.205303	-0.049455	0.213466	5.608170	1.189182	2.000000	2.000000	0.236979	0.186116	0.405214	1.000000	0.000000	0.983470	[0.07391, 0.066828, 0.06249, 0.055002, 0.066097, 0.056857, 0.060498, 0.071806, 0.05431, 0.061112, 0.055758, 0.059641, 0.073905, 0.056493, 0.057649, 0.067644]	[0.097338, 0.08338, 0.080046, 0.042477, 0.072361, 0.044954, 0.053356, 0.066019, 0.0375, 0.057199, 0.068935, 0.050764, 0.077454, 0.049421, 0.042176, 0.07662]	15.541667	224.999999	0.473692	762.781115	0.999285	[339.413269, 289.764526, 282.236694, 154.476105, 261.06604, 185.275925, 206.932007, 224.641113, 150.675644, 207.701111, 220.556946, 215.29422, 252.635468, 178.493866, 156.132736, 274.704468]
1776960327.426	0	300	300	7.983020e-05	3.039180	3.039172	0.000000	0.000852	0.000000	3.185032	3.251764	3.251757							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.013851	0.645889	-2.766666	4.524047	1.000000	0.000000	2.248001	0.312519	0.002699	0.000000	1.000000	0.000000	-0.050016	0.204371	-0.049455	0.213466	5.684006	1.213350	2.000000	2.000000	0.244792	0.200348	0.424689	1.000000	0.000000	0.945608	[0.071009, 0.060685, 0.060747, 0.053975, 0.067983, 0.062796, 0.063653, 0.071592, 0.051974, 0.06161, 0.059136, 0.066441, 0.068264, 0.055601, 0.056263, 0.068273]	[0.088542, 0.073194, 0.074352, 0.041806, 0.076736, 0.059931, 0.063426, 0.063241, 0.033796, 0.057569, 0.067106, 0.066389, 0.062153, 0.047593, 0.040856, 0.08331]	15.833333	225.000002	0.425527	747.050460	0.999148	[306.490448, 247.581573, 257.81076, 174.054504, 284.365784, 197.812195, 227.091675, 233.454086, 141.633972, 210.320541, 219.198044, 224.92485, 241.713593, 185.916122, 154.54834, 293.083618]
1776960405.016	0	350	350	7.969832e-05	3.019275	3.019265	0.000000	0.000979	0.000000	3.071114	3.136738	3.136729							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.010415	0.662573	-2.779235	4.405131	1.000000	0.000000	2.200272	0.331496	0.003206	0.000000	1.000000	0.000000	-0.050061	0.202188	-0.049455	0.213466	5.700801	1.151728	2.000000	2.000000	0.226562	0.221560	0.441432	1.000000	0.000000	0.923013	[0.071446, 0.063067, 0.059993, 0.055532, 0.066411, 0.058266, 0.061794, 0.074681, 0.05386, 0.061875, 0.058464, 0.064649, 0.06928, 0.056143, 0.056287, 0.068252]	[0.091296, 0.075856, 0.06875, 0.046412, 0.068102, 0.045463, 0.063218, 0.072153, 0.037639, 0.061898, 0.063704, 0.060556, 0.066806, 0.055162, 0.041481, 0.081505]	15.625000	225.000000	0.322998	723.359132	0.999021	[326.314087, 248.99646, 259.965149, 182.810059, 275.774811, 177.531067, 238.558441, 236.538788, 148.004791, 204.404388, 214.682419, 224.652756, 218.137863, 203.707245, 148.652817, 291.268951]
1776960490.483	0	400	400	7.952900e-05	2.990623	2.990612	0.000000	0.001115	0.000000	3.115374	3.114773	3.114763	2.787046	2.787046	0.000000	0.000000	0.000000	16.233000	0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.010210	0.692885	-2.917268	4.753970	1.000000	0.000000	2.157595	0.346964	0.002800	0.000000	1.000000	0.000000	-0.050103	0.201825	-0.049455	0.213466	5.705826	1.147723	2.000000	2.000000	0.239583	0.236737	0.457190	1.000000	0.000000	0.909484	[0.070632, 0.060521, 0.060417, 0.056092, 0.068758, 0.056267, 0.06348, 0.071685, 0.05253, 0.062255, 0.060318, 0.063511, 0.071746, 0.053958, 0.057378, 0.070451]	[0.088611, 0.066551, 0.071944, 0.049213, 0.077407, 0.049745, 0.06463, 0.061806, 0.038403, 0.05956, 0.063935, 0.061435, 0.070949, 0.04419, 0.044375, 0.087245]	15.791667	224.999997	0.437969	696.838506	0.998885	[301.146698, 232.194763, 249.432953, 180.568039, 295.011078, 217.450287, 241.980011, 218.071747, 142.598373, 209.597397, 232.924591, 223.739075, 238.732788, 159.756622, 140.168228, 316.627441]
1776960568.788	0	450	450	7.932241e-05	3.044302	3.044290	0.000000	0.001240	0.000000	3.054746	3.075468	3.075457							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.009731	0.717832	-3.112819	4.817243	1.000000	0.000000	2.153153	0.344933	0.002303	0.000000	1.000000	0.000000	-0.050125	0.203210	-0.049455	0.213466	5.680154	1.181147	2.000000	2.000000	0.236979	0.230292	0.459574	1.000000	0.000000	0.930113	[0.069485, 0.060422, 0.061908, 0.054047, 0.070107, 0.057529, 0.06144, 0.076238, 0.050641, 0.061981, 0.058525, 0.064344, 0.070428, 0.054932, 0.055753, 0.07222]	[0.087083, 0.065394, 0.080046, 0.044444, 0.075995, 0.044954, 0.059051, 0.071713, 0.032755, 0.058264, 0.057963, 0.064745, 0.070162, 0.048079, 0.039815, 0.099537]	15.583333	224.999999	0.300536	684.615214	0.998760	[287.2146, 254.173447, 265.177673, 159.349457, 274.129395, 180.889877, 245.756821, 246.367798, 142.87529, 204.621338, 217.472153, 236.285324, 222.825241, 191.647675, 149.150269, 322.063721]
1776960646.813	0	500	500	7.907878e-05	3.014528	3.014514	0.000000	0.001382	0.000000	3.029010	3.047550	3.047537							0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.006428	0.744944	-3.068438	5.169380	1.000000	0.000000	2.116014	0.356495	0.002274	0.000000	1.000000	0.000000	-0.050160	0.204444	-0.049455	0.213466	5.700380	1.186584	2.000000	2.000000	0.223958	0.240936	0.472054	1.000000	0.000000	0.898820	[0.073066, 0.064184, 0.062204, 0.053483, 0.071116, 0.057086, 0.062361, 0.071802, 0.052656, 0.0595, 0.060291, 0.060863, 0.069745, 0.056454, 0.056975, 0.068214]	[0.08831, 0.076435, 0.069514, 0.050671, 0.079306, 0.045718, 0.062222, 0.066759, 0.036088, 0.055949, 0.072176, 0.056296, 0.067176, 0.052083, 0.043542, 0.077755]	15.708333	224.999999	0.209047	654.390780	0.998618	[290.7276, 265.240662, 249.56871, 171.341293, 284.92868, 216.173492, 229.892075, 248.788086, 136.777054, 205.292358, 222.739975, 221.759857, 215.892685, 190.550598, 153.546066, 296.780853]
