# run_started_at	20260424_074011
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776987634.682	0	50	50	0	0.226578	0.067047	0.369940	2.661395	2.743809	0.387097	0.438172	0.483577
1776987634.682	0	50	50	1	0.652102	0.293821	0.257838	2.400330	2.704441	0.256272	0.451613	0.691477
1776987634.682	0	50	50	2	0.504786	0.200695	0.413586	2.530868	2.679365	0.170251	0.259857	0.426374
1776987634.682	0	50	50	3	0.734963	0.321146	0.370685	2.226905	2.657073	0.577061	0.438172	0.508382
1776987634.682	0	50	50	4	0.674229	0.289521	0.380744	2.384904	2.696554	0.324373	0.434588	0.472792
1776987634.682	0	50	50	5	1.007517	0.449554	0.433635	2.303142	2.668716	0.308244	0.429211	0.451136
1776987634.682	0	50	50	6	1.063218	0.482091	0.396141	2.193208	2.669131	0.369176	0.455197	0.475018
1776987634.682	0	50	50	7	1.471920	0.683443	0.420132	1.832175	2.638109	0.462366	0.482079	0.417647
1776987634.682	0	50	50	8	1.299692	0.598420	0.411411	1.993153	2.630329	0.338710	0.379928	0.475398
1776987634.682	0	50	50	9	1.441889	0.674555	0.371113	1.848102	2.624879	0.489247	0.439068	0.521375
1776987634.682	0	50	50	10	1.141655	0.521046	0.398249	2.049752	2.643075	0.444444	0.469534	0.494826
1776987634.682	0	50	50	11	1.581169	0.740847	0.397898	1.735579	2.592688	0.551971	0.469534	0.463495
1776987634.682	0	50	50	12	1.574982	0.738767	0.389790	1.849929	2.645777	0.295699	0.413082	0.460682
1776987634.682	0	50	50	13	2.493211	1.198532	0.384589	1.433539	2.611645	0.480287	0.480287	0.489169
1776987634.682	0	50	50	14	2.246964	1.075075	0.387253	1.547884	2.606148	0.498208	0.508065	0.452334
1776987634.682	0	50	50	15	2.084937	0.994399	0.384554	1.657151	2.504776	0.311828	0.476703	0.497562
1776987634.682	0	50	50	16	2.509537	1.203057	0.413695	1.519943	2.547817	0.324373	0.422939	0.472939
1776987634.682	0	50	50	17	3.321319	1.603331	0.458627	1.119135	2.491059	0.344086	0.391577	0.396061
1776987634.682	0	50	50	18	2.955136	1.420735	0.454663	1.394242	2.570859	0.344086	0.390681	0.380547
1776987634.682	0	50	50	19	3.618521	1.757857	0.411226	1.182378	2.548731	0.446237	0.439964	0.456733
1776987634.682	0	50	50	20	4.083748	1.984839	0.456280	1.062509	2.557097	0.392473	0.379032	0.400514
1776987634.682	0	50	50	21	3.407235	1.641139	0.499831	1.228592	2.617535	0.318996	0.356631	0.326379
1776987634.682	0	50	50	22	2.894538	1.390485	0.454276	1.381080	2.547108	0.372760	0.469534	0.426811
1776987634.682	0	50	50	23	9.915883	4.893725	0.513731	0.527375	2.521428	0.421147	0.358423	0.346652
1776987656.850	0	100	100	0	0.190881	0.056902	0.308305	2.659740	2.738546	0.536972	0.590669	0.577867
1776987656.850	0	100	100	1	0.682578	0.311560	0.237830	2.369843	2.700853	0.441901	0.471831	0.711970
1776987656.850	0	100	100	2	0.538083	0.226517	0.340193	2.461879	2.674637	0.156690	0.272887	0.549214
1776987656.850	0	100	100	3	0.737244	0.324956	0.349328	2.179476	2.648809	0.660211	0.496479	0.543254
1776987656.850	0	100	100	4	0.602393	0.260025	0.329374	2.378009	2.694510	0.382042	0.470951	0.535318
1776987656.850	0	100	100	5	0.973031	0.436425	0.400726	2.269373	2.669693	0.318662	0.453345	0.503240
1776987656.850	0	100	100	6	1.075944	0.492305	0.365340	2.149246	2.659514	0.447183	0.455986	0.517497
