# run_started_at	20260424_074927
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_loss_coef	0.01
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_anchor	loss_value_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_loss	eval_ce_loss	eval_pairwise_loss	eval_pairwise_acc	eval_pairwise_margin	eval_ppl	pairwise_coef	router_top_k	router_anchor_loss_coef	router_value_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	post_v_entropy	post_v_top1_mass	expert_key_pairwise_cos_mean	expert_key_pairwise_cos_max	expert_anchor_pairwise_cos_mean	expert_anchor_pairwise_cos_max	value_anchor_cosine_mean	value_matrix_row_entropy_mean	value_matrix_diag_mass_mean	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	anchor_active_expert_count	anchor_proto_count_mean	anchor_proto_count_min	anchor_proto_count_max	anchor_key_cosine_mean	anchor_proto_counts	value_anchor_active_expert_count	value_anchor_proto_count_mean	value_anchor_proto_count_min	value_anchor_proto_count_max	value_anchor_cosine_mean_stat	value_anchor_proto_counts
1776988243.975	0	50	50	3.264000e-05	2.676561	2.676405	0.000000	0.012155	0.003507	0.000000	3.491672	3.608691	3.608548							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.098684	2.089369	-6.591896	9.836508	1.000000	0.000000	1.374878	0.524420	0.004368	0.000000	1.000000	0.000000	2.593344	0.170495	-0.052498	0.204082	-0.049455	0.213466	0.996493	2.350509	0.062497	6.744931	1.456787	2.000000	2.000000	0.145833	0.057889	0.283101	1.000000	0.000000	1.272562	[0.075927, 0.056606, 0.062632, 0.06609, 0.06271, 0.05966, 0.0685, 0.065993, 0.055323, 0.05892, 0.064598, 0.070436, 0.058227, 0.055973, 0.057436, 0.060969]	[0.126157, 0.040787, 0.058171, 0.071644, 0.082431, 0.046319, 0.097384, 0.085093, 0.015949, 0.048727, 0.063171, 0.083333, 0.042315, 0.052778, 0.039074, 0.046667]	15.458333	225.000000	4.853534	1204.265071	0.987845	[415.698456, 165.751053, 182.40947, 255.289963, 269.655548, 234.94342, 322.551208, 259.836548, 83.553131, 190.511765, 219.527924, 305.500244, 162.276947, 176.352936, 178.23938, 177.902084]	15.458333	450.000000	10.916667	2123.791667	0.996493	[795.875, 328.916687, 367.166687, 540.541687, 555.458374, 483.916687, 644.083374, 491.916687, 179.125, 381.416687, 420.125, 564.708374, 331.583344, 363.625, 372.958344, 378.583344]
1776988317.586	0	100	100	6.464000e-05	1.626270	1.626023	0.000000	0.012142	0.012598	0.000000	2.114594	2.614785	2.614606							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.087329	2.073292	-6.558543	9.927627	1.000000	0.000000	1.390187	0.526560	0.003931	0.000000	1.000000	0.000000	2.596320	0.168997	-0.052500	0.203676	-0.049455	0.213466	0.987402	2.350481	0.062504	6.666008	1.388534	2.000000	2.000000	0.161458	0.056440	0.281553	1.000000	0.000000	1.251728	[0.075123, 0.061845, 0.063445, 0.062388, 0.060695, 0.057925, 0.069416, 0.065455, 0.052891, 0.060452, 0.06578, 0.066435, 0.059464, 0.05687, 0.062688, 0.059127]	[0.127083, 0.107014, 0.058102, 0.048472, 0.063588, 0.050625, 0.080833, 0.084028, 0.019468, 0.044676, 0.060949, 0.062662, 0.042477, 0.050741, 0.053889, 0.045394]	15.416667	225.000001	4.567530	1106.368296	0.987858	[395.215546, 261.723206, 206.783447, 208.857605, 238.495575, 216.82579, 305.906128, 264.60733, 89.259789, 199.469467, 234.974915, 248.415924, 159.751266, 180.883972, 216.486176, 172.343979]	15.416667	450.000000	10.833333	1976.041667	0.987402	[751.541687, 498.625, 415.916687, 445.625, 489.958344, 443.0, 618.125, 509.5, 186.5, 405.083344, 462.25, 481.458344, 325.541687, 366.291687, 439.541687, 361.041687]
1776988391.631	0	150	150	7.999323e-05	1.720261	1.719732	0.000000	0.012088	0.040837	0.000000	1.709457	2.030682	2.030367							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.067406	2.027912	-6.397128	9.854889	1.000000	0.000000	1.389483	0.527476	0.003997	0.000000	1.000000	0.000000	2.598733	0.168195	-0.052515	0.203398	-0.049455	0.213466	0.959163	2.350522	0.062518	6.644112	1.409946	2.000000	2.000000	0.148438	0.055629	0.280761	1.000000	0.000000	1.260719	[0.074127, 0.061675, 0.063274, 0.06167, 0.059976, 0.061212, 0.071789, 0.064522, 0.054219, 0.059864, 0.065459, 0.066721, 0.057595, 0.056356, 0.060591, 0.060949]	[0.131528, 0.081528, 0.055231, 0.042037, 0.056528, 0.062245, 0.092338, 0.085764, 0.026319, 0.065185, 0.056713, 0.055046, 0.042662, 0.05375, 0.045602, 0.047523]	15.500000	225.000002	4.930606	1120.456518	0.987912	[412.951294, 242.081421, 197.13028, 188.631226, 229.151794, 241.675583, 352.697876, 254.360931, 104.017082, 231.341537, 215.883698, 219.729294, 147.346466, 177.289429, 201.18277, 184.529358]	15.500000	450.000000	11.916667	1995.333333	0.959163	[754.583374, 466.25, 392.083344, 395.25, 479.041687, 489.625, 716.583374, 485.75, 220.916672, 462.333344, 435.333344, 436.25, 296.5, 356.25, 420.958344, 392.291687]
1776988470.433	0	200	200	7.993912e-05	1.696964	1.695755	0.000000	0.012057	0.108788	0.000000	1.614559	1.763134	1.762455	1.592061	1.592061	0.000000	0.000000	0.000000	4.913864	0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.067165	1.962753	-6.287197	9.811793	1.000000	0.000000	1.382886	0.536735	0.003988	0.000000	1.000000	0.000000	2.594774	0.169169	-0.052520	0.203621	-0.049455	0.213466	0.891212	2.350621	0.062534	6.542370	1.371199	2.000000	2.000000	0.164062	0.055925	0.282413	1.000000	0.000000	1.302249	[0.072497, 0.06261, 0.064616, 0.061164, 0.062001, 0.060994, 0.072108, 0.063234, 0.053585, 0.061683, 0.065526, 0.065482, 0.057616, 0.056637, 0.058269, 0.061978]	[0.12294, 0.060741, 0.059931, 0.039745, 0.063426, 0.062153, 0.106366, 0.074977, 0.033681, 0.078843, 0.060231, 0.051389, 0.045324, 0.044792, 0.038889, 0.056574]	15.375000	225.000001	3.875027	1180.292188	0.987943	[380.1651, 228.917526, 201.1091, 153.721695, 222.870407, 240.821198, 387.69165, 240.576385, 131.898438, 251.853577, 252.858322, 211.427521, 150.007355, 165.262405, 155.223618, 225.595795]	15.375000	450.000000	9.000000	2159.958333	0.891212	[709.041687, 453.958344, 391.625, 323.208344, 472.208344, 483.333344, 771.875, 462.375, 270.333344, 493.375, 506.25, 419.958344, 296.541687, 341.166687, 332.916687, 471.833344]
1776988546.034	0	250	250	7.983098e-05	1.472681	1.470159	0.000000	0.012039	0.240167	0.000000	1.568675	1.640383	1.638908							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.057724	1.923307	-6.243296	9.788318	1.000000	0.000000	1.397052	0.534545	0.004138	0.000000	1.000000	0.000000	2.600180	0.167753	-0.052518	0.203672	-0.049455	0.213466	0.759833	2.350757	0.062551	6.451842	1.304192	2.000000	2.000000	0.169271	0.055746	0.279761	1.000000	0.000000	1.406890	[0.071365, 0.06255, 0.063361, 0.062916, 0.059812, 0.061431, 0.072868, 0.064549, 0.053224, 0.062368, 0.064285, 0.064991, 0.058355, 0.05735, 0.057717, 0.062858]	[0.122477, 0.057292, 0.051181, 0.047431, 0.047361, 0.072106, 0.110023, 0.082801, 0.038681, 0.084653, 0.052847, 0.047569, 0.050648, 0.043495, 0.031319, 0.060116]	15.375000	224.999999	4.622000	1240.583773	0.987961	[383.28537, 242.971252, 181.432129, 162.408066, 207.178391, 241.693085, 406.776001, 262.919647, 147.088715, 247.824631, 229.696777, 190.915146, 169.142731, 173.18103, 136.214233, 217.272873]	15.375000	450.000000	12.166667	2260.375000	0.759833	[694.708374, 484.375, 367.416687, 327.458344, 440.166687, 493.25, 814.666687, 502.208344, 301.208344, 488.458344, 452.666687, 395.333344, 333.291687, 357.375, 305.291687, 442.125]
1776988621.318	0	300	300	7.966898e-05	1.314119	1.309721	0.000000	0.012037	0.427835	0.000000	1.554113	1.582734	1.579902							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.048725	1.890127	-6.190239	9.805631	1.000000	0.000000	1.391601	0.538438	0.004031	0.000000	1.000000	0.000000	2.598998	0.165360	-0.052509	0.203194	-0.049455	0.213466	0.572165	2.350921	0.062570	6.399343	1.272813	2.000000	2.000000	0.182292	0.051148	0.279571	1.000000	0.000000	1.438411	[0.070272, 0.064215, 0.063027, 0.062329, 0.059608, 0.057793, 0.073492, 0.06449, 0.053454, 0.064956, 0.067578, 0.062012, 0.057373, 0.057695, 0.056796, 0.064912]	[0.125949, 0.064792, 0.047153, 0.037407, 0.042106, 0.046273, 0.112986, 0.075671, 0.040324, 0.092431, 0.062731, 0.03794, 0.053264, 0.056458, 0.036019, 0.068495]	15.375000	225.000000	3.387876	1233.906413	0.987963	[361.659119, 260.921356, 182.049561, 144.388824, 170.955368, 209.21991, 409.610474, 258.819824, 138.413681, 281.261292, 265.288879, 155.466599, 174.273972, 200.252182, 154.25235, 233.166595]	15.375000	450.000000	8.000000	2261.291667	0.572165	[660.541687, 526.166687, 364.291687, 289.291687, 366.0, 427.5, 840.75, 503.0, 280.166687, 554.791687, 526.666687, 316.916687, 339.5, 404.625, 326.125, 473.666687]
1776988698.038	0	350	350	7.945335e-05	1.462869	1.456623	0.000000	0.012047	0.612554	0.000000	1.518260	1.540296	1.535754							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.040355	1.877367	-6.105897	9.697315	1.000000	0.000000	1.397852	0.536746	0.003901	0.000000	1.000000	0.000000	2.596764	0.167427	-0.052504	0.203584	-0.049455	0.213466	0.387446	2.351098	0.062589	6.420573	1.307710	2.000000	2.000000	0.164062	0.053114	0.281740	1.000000	0.000000	1.437089	[0.068742, 0.063793, 0.064104, 0.063612, 0.058558, 0.060929, 0.071462, 0.06601, 0.055338, 0.064184, 0.067857, 0.061324, 0.0569, 0.055518, 0.057727, 0.063942]	[0.125231, 0.058218, 0.053981, 0.039282, 0.043171, 0.065278, 0.090787, 0.096759, 0.041574, 0.077569, 0.073356, 0.035694, 0.055347, 0.051667, 0.035972, 0.056111]	15.375000	225.000001	3.863528	1211.420380	0.987953	[372.189941, 235.571701, 180.748993, 165.424622, 170.097412, 239.985397, 387.0625, 295.027039, 143.591187, 259.240051, 260.335571, 164.641739, 184.436874, 183.739853, 139.163208, 218.743988]	15.375000	450.000000	9.333333	2261.666667	0.387446	[681.708374, 480.916687, 367.666687, 333.958344, 355.416687, 475.458344, 823.958374, 575.625, 294.5, 512.208374, 492.041687, 339.166687, 357.041687, 371.208344, 291.125, 448.0]
1776988777.723	0	400	400	7.918442e-05	1.543532	1.535908	0.000000	0.012058	0.750385	0.000000	1.518599	1.529140	1.522967	1.526851	1.526851	0.000000	0.000000	0.000000	4.603659	0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.044215	1.865319	-6.083471	9.968289	1.000000	0.000000	1.389428	0.541398	0.003759	0.000000	1.000000	0.000000	2.592465	0.170070	-0.052508	0.204166	-0.049455	0.213466	0.249615	2.351275	0.062609	6.369096	1.308509	2.000000	2.000000	0.169271	0.056351	0.283788	1.000000	0.000000	1.371333	[0.07166, 0.06347, 0.064336, 0.064181, 0.059825, 0.059067, 0.071459, 0.063871, 0.053218, 0.063026, 0.065369, 0.06306, 0.057889, 0.05698, 0.057472, 0.065117]	[0.128727, 0.053634, 0.0575, 0.051181, 0.051181, 0.050972, 0.112176, 0.077523, 0.039282, 0.076042, 0.057685, 0.045995, 0.056435, 0.055, 0.030208, 0.056458]	15.333333	225.000002	3.341536	1273.306338	0.987942	[380.219116, 237.428513, 203.217499, 194.37149, 195.127533, 241.264771, 400.334473, 252.114807, 128.028656, 259.480225, 227.653442, 170.049545, 158.476776, 179.925934, 136.622787, 235.684494]	15.333333	450.000000	7.791667	2289.625000	0.249615	[692.666687, 480.958344, 406.458344, 381.25, 406.083344, 481.125, 809.875, 487.5, 260.166687, 516.5, 458.375, 352.375, 312.25, 364.875, 291.375, 498.166687]
1776988852.880	0	450	450	7.886260e-05	1.384517	1.375986	0.000000	0.012088	0.840994	0.000000	1.525319	1.521821	1.514361							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033207	1.847614	-6.049205	9.710373	1.000000	0.000000	1.416600	0.534399	0.003778	0.000000	1.000000	0.000000	2.598967	0.166071	-0.052503	0.205298	-0.049455	0.213466	0.159006	2.351450	0.062631	6.254244	1.297890	2.000000	2.000000	0.184896	0.051665	0.280477	1.000000	0.000000	1.466880	[0.07062, 0.06321, 0.064427, 0.064056, 0.059001, 0.060496, 0.069363, 0.065569, 0.054637, 0.064389, 0.066029, 0.062057, 0.058175, 0.05758, 0.056293, 0.064101]	[0.124606, 0.054352, 0.053981, 0.051042, 0.053681, 0.054444, 0.081551, 0.086088, 0.041227, 0.076134, 0.070718, 0.037454, 0.060972, 0.066042, 0.031667, 0.056042]	15.375000	225.000001	2.604472	1230.692164	0.987912	[369.828674, 235.657928, 199.727142, 179.536438, 182.433044, 233.908249, 378.742249, 280.471741, 133.967529, 248.846161, 252.583832, 173.302429, 176.440964, 201.785248, 127.675529, 225.092987]	15.375000	450.000000	6.375000	2270.041667	0.159006	[683.333374, 479.541687, 406.916687, 353.291687, 378.375, 466.583344, 814.166687, 539.541687, 271.25, 495.125, 477.833344, 355.375, 337.291687, 400.458344, 268.458344, 472.458344]
1776988927.694	0	500	500	7.848836e-05	1.540724	1.531626	0.000000	0.012119	0.897654	0.000000	1.464123	1.486855	1.478487							0.800000	2	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	-0.035267	1.847811	-6.102717	9.698948	1.000000	0.000000	1.396161	0.543164	0.003767	0.000000	1.000000	0.000000	2.596582	0.167855	-0.052499	0.205088	-0.049455	0.213466	0.102346	2.351629	0.062652	6.276750	1.326809	2.000000	2.000000	0.177083	0.053648	0.282062	1.000000	0.000000	1.411880	[0.070115, 0.062563, 0.062611, 0.064443, 0.059552, 0.060573, 0.070102, 0.065796, 0.055015, 0.064484, 0.063616, 0.066201, 0.05768, 0.057776, 0.056207, 0.063265]	[0.121343, 0.05625, 0.054097, 0.052824, 0.056065, 0.064375, 0.085972, 0.090903, 0.036736, 0.073472, 0.056458, 0.055787, 0.053634, 0.062477, 0.032315, 0.047292]	15.291667	225.000000	2.429990	1198.710195	0.987881	[370.098694, 232.399994, 194.335556, 180.808823, 188.313217, 240.017502, 382.410522, 277.62851, 139.416183, 262.179871, 213.770203, 195.149841, 180.665405, 202.864426, 129.079956, 210.861511]	15.291667	450.000000	6.333333	2194.791667	0.102346	[686.291687, 465.708344, 389.458344, 359.041687, 390.166687, 480.875, 796.041687, 531.75, 283.125, 534.833374, 428.791687, 381.375, 354.208344, 406.916687, 267.625, 443.791687]
