# run_started_at	20260424_100326
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	500
# arg	eval_max_samples	100
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776996231.873	0	50	50	0	0.012155	0.003646	0.019446	2.658618	2.669099	0.937500	0.928385	0.948684
1776996231.873	0	50	50	1	0.030052	0.011932	0.024756	2.379518	2.389664	0.772135	0.831380	0.928422
1776996231.873	0	50	50	2	0.048246	0.020531	0.028735	2.421848	2.449629	0.783854	0.858724	0.967355
1776996231.873	0	50	50	3	0.059518	0.025025	0.037871	2.165674	2.192399	0.864583	0.817057	0.955419
1776996231.873	0	50	50	4	0.054200	0.021676	0.043390	2.393973	2.419862	0.865885	0.830078	0.941461
1776996231.873	0	50	50	5	0.057015	0.024806	0.029614	2.316190	2.350635	0.782552	0.807943	0.959546
1776996231.873	0	50	50	6	0.084902	0.038813	0.029105	2.132031	2.175138	0.864583	0.814453	0.953715
1776996231.873	0	50	50	7	0.104351	0.048409	0.030134	1.737648	1.785311	0.924479	0.878255	0.939547
1776996231.873	0	50	50	8	0.109261	0.051147	0.027868	1.849809	1.916711	0.876302	0.880208	0.950733
1776996231.873	0	50	50	9	0.119824	0.056394	0.028139	1.699507	1.781048	0.899740	0.856120	0.963892
1776996231.873	0	50	50	10	0.121676	0.056906	0.031452	1.839511	1.900651	0.897135	0.858073	0.961940
1776996231.873	0	50	50	11	0.148624	0.069345	0.039733	1.658342	1.744063	0.880208	0.859375	0.951880
1776996231.873	0	50	50	12	0.144271	0.067790	0.034767	1.714274	1.779677	0.861979	0.864583	0.942469
1776996231.873	0	50	50	13	0.178001	0.084518	0.035859	1.249340	1.330475	0.921875	0.873047	0.946681
1776996231.873	0	50	50	14	0.154397	0.073566	0.029059	1.392072	1.471348	0.942708	0.881510	0.951827
1776996231.873	0	50	50	15	0.147302	0.070451	0.025599	1.490047	1.566975	0.877604	0.896484	0.942457
1776996231.873	0	50	50	16	0.202797	0.097227	0.033371	1.265219	1.317933	0.885417	0.893229	0.952356
1776996231.873	0	50	50	17	0.204401	0.097886	0.034513	0.823723	0.871047	0.960938	0.862630	0.935104
1776996231.873	0	50	50	18	0.215387	0.103139	0.036433	1.167675	1.197828	0.925781	0.894531	0.938558
1776996231.873	0	50	50	19	0.228690	0.109918	0.035416	0.878833	0.919206	0.930990	0.889323	0.935599
1776996231.873	0	50	50	20	0.263473	0.126840	0.039167	0.727506	0.787059	0.934896	0.882812	0.942199
1776996231.873	0	50	50	21	0.229304	0.109976	0.037409	0.940225	0.975822	0.955729	0.898438	0.947321
1776996231.873	0	50	50	22	0.269535	0.129859	0.039267	0.849460	0.895702	0.947917	0.895833	0.935355
1776996231.873	0	50	50	23	0.422364	0.202092	0.072716	0.170301	0.175648	0.972656	0.808594	0.901528
1776996256.053	0	100	100	0	0.002948	0.000808	0.005332	2.662467	2.664467	0.971242	0.964052	0.963122
1776996256.053	0	100	100	1	0.012653	0.005017	0.010472	2.362720	2.370471	0.881046	0.906536	0.941851
1776996256.053	0	100	100	2	0.016408	0.006978	0.009806	2.420076	2.437655	0.898039	0.918301	0.987307
1776996256.053	0	100	100	3	0.021238	0.008984	0.013076	2.135018	2.144036	0.962092	0.913072	0.982130
1776996256.053	0	100	100	4	0.020549	0.008134	0.017123	2.405202	2.423232	0.898039	0.900654	0.970447
1776996256.053	0	100	100	5	0.018050	0.007835	0.009522	2.314302	2.330634	0.888889	0.900654	0.981366
1776996256.053	0	100	100	6	0.021063	0.009594	0.007502	2.139252	2.157948	0.926797	0.935948	0.976539
