# run_started_at	20260424_101105
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	500
# arg	eval_max_samples	100
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_value_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_top_k	router_value_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_value_pairwise_cos_mean	expert_value_pairwise_cos_max	value_anchor_pairwise_cos_mean	value_anchor_pairwise_cos_max	value_anchor_cosine_mean	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	value_anchor_active_expert_count	value_anchor_proto_count_mean	value_anchor_proto_count_min	value_anchor_proto_count_max	value_anchor_cosine_mean_stat	value_anchor_proto_counts
1776996744.964	0	50	50	4.294737e-05	1.747290	1.747283	0.000000	0.000708	0.000000	2.915325	3.167101	3.167094		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.043333	1.422363	-4.865076	8.767841	1.000000	0.000000	1.576957	0.502388	0.000182	0.000000	1.000000	0.000000	-0.051202	0.189747	-0.049455	0.213466	0.999292	5.673238	1.299510	2.000000	2.000000	0.015625	0.355403	0.649373	1.000000	0.000000	1.103923	[0.084006, 0.05451, 0.074361, 0.09226, 0.060721, 0.047664, 0.065009, 0.063958, 0.049588, 0.048617, 0.067485, 0.05863, 0.057772, 0.046834, 0.05679, 0.071797]	[0.093212, 0.058281, 0.081493, 0.098385, 0.063733, 0.055694, 0.057326, 0.062865, 0.033455, 0.034462, 0.080174, 0.051042, 0.057483, 0.050052, 0.055885, 0.066458]	16.000000	600.000000	48.750000	2441.208333	0.999292	[831.208374, 608.416687, 747.083374, 990.666687, 605.416687, 482.833344, 590.458374, 585.0, 453.083344, 409.083344, 681.416687, 480.708344, 549.5, 526.208374, 513.5, 545.416687]
1776996821.704	0	100	100	7.999953e-05	1.450106	1.450099	0.000000	0.000744	0.000000	1.635288	2.175068	2.175061		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.038673	1.422559	-5.110330	9.417146	1.000000	0.000000	1.576820	0.504663	0.000140	0.000000	1.000000	0.000000	-0.051186	0.189836	-0.049455	0.213466	0.999256	5.502510	1.199878	2.000000	2.000000	0.023438	0.358194	0.651132	1.000000	0.000000	1.112099	[0.080518, 0.049658, 0.067025, 0.082889, 0.063951, 0.054813, 0.077089, 0.063357, 0.051645, 0.057314, 0.058689, 0.071759, 0.062405, 0.047201, 0.052335, 0.059352]	[0.096111, 0.045938, 0.06691, 0.082153, 0.069479, 0.056632, 0.083628, 0.057587, 0.040069, 0.046649, 0.06066, 0.065903, 0.058663, 0.068368, 0.050486, 0.050764]	15.916667	600.000000	40.250000	2373.958333	0.999256	[788.041687, 653.666687, 660.791687, 779.958374, 638.666687, 506.375, 788.416687, 561.375, 445.166687, 533.875, 554.333374, 558.083374, 664.583374, 549.208374, 462.166687, 455.291687]
1776996898.275	0	150	150	7.994311e-05	1.461804	1.461796	0.000000	0.000763	0.000000	1.486057	1.734367	1.734360		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033403	1.464058	-5.413396	9.334535	1.000000	0.000000	1.552285	0.509563	0.000128	0.000000	1.000000	0.000000	-0.051172	0.190788	-0.049455	0.213466	0.999237	5.603094	1.190305	2.000000	2.000000	0.036458	0.358188	0.660938	1.000000	0.000000	1.172331	[0.07868, 0.048633, 0.068511, 0.079284, 0.06803, 0.046321, 0.073404, 0.06698, 0.055741, 0.056883, 0.071881, 0.063319, 0.058569, 0.04516, 0.055103, 0.0635]	[0.100833, 0.040382, 0.068073, 0.074392, 0.068594, 0.045538, 0.080503, 0.062066, 0.052344, 0.043403, 0.082153, 0.051962, 0.059323, 0.061146, 0.055399, 0.053889]	15.875000	600.000000	44.500000	2479.083333	0.999237	[728.708374, 520.916687, 622.833374, 880.25, 674.125, 421.666687, 813.708374, 569.166687, 520.458374, 537.5, 741.333374, 501.583344, 580.666687, 516.541687, 450.875, 519.666687]
1776996975.531	0	200	200	7.979279e-05	1.396452	1.396444	0.000000	0.000778	0.000000	1.455017	1.555193	1.555185		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.027403	1.449197	-5.163209	9.118834	1.000000	0.000000	1.560874	0.507490	0.000083	0.000000	1.000000	0.000000	-0.051170	0.191559	-0.049455	0.213466	0.999222	5.498666	1.162366	2.000000	2.000000	0.041667	0.357270	0.657709	1.000000	0.000000	1.235249	[0.082976, 0.050418, 0.07285, 0.082051, 0.061258, 0.043617, 0.067495, 0.0647, 0.058052, 0.058192, 0.080066, 0.051901, 0.057998, 0.047976, 0.045451, 0.075]	[0.103785, 0.045174, 0.072153, 0.083924, 0.055122, 0.041372, 0.071736, 0.062049, 0.050937, 0.04809, 0.094549, 0.038229, 0.060087, 0.06158, 0.036111, 0.075104]	15.958333	600.000000	49.875000	2579.000000	0.999222	[739.041687, 578.083374, 740.041687, 783.375, 690.541687, 397.666687, 706.958374, 607.583374, 578.125, 474.416687, 740.666687, 428.083344, 599.25, 497.083344, 377.166687, 661.916687]
1776997052.545	0	250	250	7.954897e-05	1.414986	1.414978	0.000000	0.000787	0.000000	1.403395	1.456995	1.456987		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.023801	1.443646	-5.322601	8.919103	1.000000	0.000000	1.583899	0.501225	0.000054	0.000000	1.000000	0.000000	-0.051166	0.191742	-0.049455	0.213466	0.999213	5.457848	1.128973	2.000000	2.000000	0.036458	0.353588	0.648863	1.000000	0.000000	1.187324	[0.08219, 0.052974, 0.07191, 0.078154, 0.064538, 0.043724, 0.068405, 0.06675, 0.052227, 0.052531, 0.078055, 0.054598, 0.067156, 0.047584, 0.046767, 0.072438]	[0.102292, 0.054983, 0.067691, 0.077708, 0.060052, 0.039097, 0.073333, 0.06191, 0.040816, 0.043559, 0.091667, 0.040399, 0.079583, 0.05875, 0.037847, 0.070312]	15.958333	600.000000	49.750000	2573.083333	0.999213	[774.166687, 597.625, 713.5, 771.208374, 633.875, 394.291687, 713.0, 568.166687, 503.458344, 468.125, 720.166687, 422.125, 761.875, 529.75, 388.75, 639.916687]
1776997129.609	0	300	300	7.921229e-05	1.214339	1.214331	0.000000	0.000802	0.000000	1.409613	1.424594	1.424587		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.018883	1.446979	-5.202765	9.011872	1.000000	0.000000	1.591445	0.499873	0.000047	0.000000	1.000000	0.000000	-0.051149	0.191812	-0.049455	0.213466	0.999198	5.307839	1.102288	2.000000	2.000000	0.033854	0.352940	0.646806	1.000000	0.000000	1.217361	[0.088965, 0.051666, 0.067562, 0.085686, 0.062411, 0.042065, 0.065321, 0.067687, 0.046659, 0.056639, 0.073715, 0.054266, 0.067862, 0.050016, 0.044871, 0.074609]	[0.114688, 0.063247, 0.058837, 0.089688, 0.069427, 0.028281, 0.088385, 0.061875, 0.029444, 0.04283, 0.086892, 0.040608, 0.075938, 0.040087, 0.035556, 0.074219]	15.916667	600.000000	58.000000	2573.625000	0.999198	[842.458374, 594.041687, 569.416687, 854.25, 630.333374, 364.0, 757.291687, 580.416687, 390.75, 418.583344, 734.791687, 482.625, 696.958374, 595.791687, 412.541687, 675.75]
1776997207.207	0	350	350	7.878363e-05	1.366203	1.366195	0.000000	0.000810	0.000000	1.377037	1.394477	1.394469		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.016358	1.460549	-5.492909	9.316963	1.000000	0.000000	1.579867	0.503475	0.000041	0.000000	1.000000	0.000000	-0.051140	0.192577	-0.049455	0.213466	0.999190	5.370123	1.101820	2.000000	2.000000	0.041667	0.357248	0.649703	1.000000	0.000000	1.171692	[0.093146, 0.049256, 0.059417, 0.076779, 0.062141, 0.044922, 0.074261, 0.066364, 0.053284, 0.052658, 0.074976, 0.056887, 0.066223, 0.048789, 0.046736, 0.074162]	[0.118299, 0.059306, 0.050382, 0.066476, 0.062847, 0.032396, 0.096302, 0.062222, 0.042708, 0.040747, 0.096632, 0.046684, 0.066302, 0.038594, 0.042552, 0.077552]	15.875000	600.000000	51.916667	2607.666667	0.999190	[826.5, 632.25, 496.958344, 744.666687, 655.625, 349.458344, 752.375, 635.833374, 471.875, 437.375, 767.958374, 479.833344, 655.875, 534.958374, 390.75, 767.708374]
1776997283.082	0	400	400	7.826410e-05	1.275452	1.275444	0.000000	0.000810	0.000000	1.389702	1.390701	1.390693		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.014922	1.471574	-5.527740	8.914025	1.000000	0.000000	1.556396	0.510796	0.000036	0.000000	1.000000	0.000000	-0.051129	0.192752	-0.049455	0.213466	0.999190	5.438383	1.088866	2.000000	2.000000	0.039062	0.363649	0.657942	1.000000	0.000000	1.165833	[0.085461, 0.048647, 0.062569, 0.071417, 0.065498, 0.049727, 0.069266, 0.069625, 0.057231, 0.050014, 0.079218, 0.058607, 0.061716, 0.049239, 0.05054, 0.071226]	[0.116632, 0.064271, 0.052951, 0.063125, 0.066354, 0.04184, 0.078767, 0.068715, 0.046372, 0.036354, 0.09467, 0.047292, 0.058976, 0.042622, 0.044531, 0.076528]	15.833333	600.000000	48.583333	2503.791667	0.999190	[837.416687, 570.541687, 486.375, 745.041687, 736.583374, 475.75, 698.875, 577.333374, 538.583374, 354.458344, 779.375, 485.166687, 633.041687, 535.5, 491.541687, 654.416687]
1776997359.285	0	450	450	7.765506e-05	1.482960	1.482952	0.000000	0.000815	0.000000	1.385947	1.388805	1.388797		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.022758	1.504367	-5.437559	9.155601	1.000000	0.000000	1.540105	0.513238	0.000055	0.000000	1.000000	0.000000	-0.051116	0.192819	-0.049455	0.213466	0.999185	5.482564	1.087310	2.000000	2.000000	0.028646	0.364562	0.661914	1.000000	0.000000	1.264496	[0.075849, 0.047906, 0.062847, 0.078645, 0.058141, 0.045142, 0.069999, 0.073157, 0.054762, 0.042516, 0.075953, 0.075698, 0.062585, 0.053031, 0.047859, 0.075913]	[0.099722, 0.063264, 0.051823, 0.073993, 0.057483, 0.038472, 0.084149, 0.073073, 0.039792, 0.027396, 0.089444, 0.06658, 0.063698, 0.047378, 0.042847, 0.080885]	15.875000	600.000000	61.916667	2737.791667	0.999185	[791.166687, 592.791687, 577.625, 745.083374, 582.208374, 386.625, 781.666687, 623.875, 540.291687, 341.833344, 736.416687, 597.291687, 634.291687, 557.958374, 402.916687, 707.958374]
1776997439.347	0	500	500	7.695811e-05	1.456333	1.456325	0.000000	0.000818	0.000000	1.381878	1.384875	1.384867	0.500000	0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.012978	1.557986	-5.465354	9.100878	1.000000	0.000000	1.503476	0.526776	0.000053	0.000000	1.000000	0.000000	-0.051099	0.193866	-0.049455	0.213466	0.999182	5.687008	1.028659	2.000000	2.000000	0.033854	0.379028	0.674524	1.000000	0.000000	1.339514	[0.070442, 0.049474, 0.072298, 0.077082, 0.066732, 0.038565, 0.073229, 0.063724, 0.060166, 0.042083, 0.094499, 0.057388, 0.055659, 0.056772, 0.043808, 0.078077]	[0.082448, 0.036858, 0.072951, 0.07092, 0.063177, 0.037396, 0.084549, 0.057257, 0.04967, 0.029896, 0.127587, 0.042222, 0.049774, 0.076354, 0.03342, 0.085521]	15.875000	600.000000	46.291667	2989.625000	0.999182	[649.541687, 507.166687, 621.625, 735.166687, 720.916687, 342.875, 751.875, 571.416687, 662.0, 326.083344, 973.625, 538.583374, 516.291687, 526.333374, 399.875, 756.625]
