# run_started_at	20260424_125712
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	500
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_value_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_top_k	router_value_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_value_pairwise_cos_mean	expert_value_pairwise_cos_max	value_anchor_pairwise_cos_mean	value_anchor_pairwise_cos_max	value_anchor_cosine_mean	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	value_anchor_active_expert_count	value_anchor_proto_count_mean	value_anchor_proto_count_min	value_anchor_proto_count_max	value_anchor_cosine_mean_stat	value_anchor_proto_counts
1777006706.896	0	50	50	7.989846e-05	1.763216	1.763212	0.000000	0.000453	0.000000	2.334003	2.570297	2.570293		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.045213	1.377413	-4.901115	9.505406	1.000000	0.000000	1.626620	0.489257	0.000211	0.000000	1.000000	0.000000	-0.050771	0.199004	-0.049455	0.213466	0.999547	5.534394	1.244170	2.000000	2.000000	0.065104	0.345581	0.632933	1.000000	0.000000	1.067094	[0.084503, 0.051364, 0.059763, 0.090491, 0.066039, 0.047137, 0.053817, 0.070587, 0.053231, 0.053318, 0.070557, 0.054617, 0.058876, 0.046315, 0.067007, 0.072376]	[0.114479, 0.036285, 0.052951, 0.09566, 0.09316, 0.031632, 0.042153, 0.07059, 0.038576, 0.046944, 0.084097, 0.053194, 0.058646, 0.039826, 0.057222, 0.084583]	15.958333	300.000000	20.666667	1132.250000	0.999547	[436.291687, 251.125, 263.458344, 416.625, 378.25, 248.25, 294.333344, 338.041687, 222.333344, 242.125, 312.666687, 306.958344, 270.125, 212.875, 296.708344, 309.833344]
1777006778.692	0	100	100	7.891739e-05	1.821830	1.821825	0.000000	0.000482	0.000000	1.769922	2.053612	2.053607		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.039307	1.422517	-4.833522	9.189176	1.000000	0.000000	1.566385	0.509370	0.000297	0.000000	1.000000	0.000000	-0.050746	0.200774	-0.049455	0.213466	0.999518	5.615328	1.238015	2.000000	2.000000	0.039062	0.367246	0.651493	1.000000	0.000000	0.949402	[0.084764, 0.054769, 0.06552, 0.074418, 0.06574, 0.045647, 0.056792, 0.087006, 0.051554, 0.044815, 0.06704, 0.061674, 0.063577, 0.047506, 0.058329, 0.070849]	[0.101632, 0.058194, 0.066701, 0.073958, 0.093958, 0.028785, 0.048681, 0.101319, 0.040521, 0.032917, 0.072951, 0.061806, 0.062708, 0.04, 0.049444, 0.066424]	15.958333	300.000000	31.291667	1117.708333	0.999518	[382.125, 263.708344, 314.083344, 337.458344, 401.0, 212.75, 303.208344, 444.458344, 224.833344, 175.583344, 304.083344, 290.416687, 289.625, 243.791672, 265.583344, 347.291687]
1777006850.308	0	150	150	7.692089e-05	1.543400	1.543395	0.000000	0.000499	0.000000	1.744777	1.852455	1.852450		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042161	1.407244	-4.712204	8.885240	1.000000	0.000000	1.607553	0.495124	0.000275	0.000000	1.000000	0.000000	-0.050737	0.201106	-0.049455	0.213466	0.999501	5.542324	1.134868	2.000000	2.000000	0.062500	0.348550	0.641698	1.000000	0.000000	1.070873	[0.083434, 0.058833, 0.061169, 0.072023, 0.072335, 0.037127, 0.054718, 0.077191, 0.066408, 0.046989, 0.063988, 0.062404, 0.063415, 0.054276, 0.056665, 0.069025]	[0.112396, 0.048472, 0.053542, 0.071528, 0.108299, 0.021875, 0.063194, 0.078264, 0.060764, 0.036042, 0.061771, 0.060069, 0.061458, 0.046528, 0.047153, 0.068646]	15.875000	300.000000	29.750000	1149.625000	0.999501	[394.166687, 241.875, 305.625, 326.625, 420.166687, 151.208344, 304.791687, 338.666687, 310.75, 182.375, 266.166687, 318.0, 295.583344, 313.541687, 232.333344, 398.125]
1777006922.577	0	200	200	7.396701e-05	1.827137	1.827132	0.000000	0.000511	0.000000	1.704750	1.760168	1.760163		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.039463	1.418354	-4.990956	9.079042	1.000000	0.000000	1.560815	0.512512	0.000290	0.000000	1.000000	0.000000	-0.050720	0.201752	-0.049455	0.213466	0.999489	5.592258	1.153398	2.000000	2.000000	0.057292	0.370030	0.654993	1.000000	0.000000	1.042660	[0.076743, 0.05263, 0.058524, 0.062444, 0.070775, 0.050252, 0.057363, 0.079169, 0.069002, 0.045845, 0.056559, 0.08419, 0.063038, 0.051087, 0.051328, 0.071052]	[0.103403, 0.040799, 0.049479, 0.051528, 0.100313, 0.038785, 0.045833, 0.090104, 0.071215, 0.037014, 0.050486, 0.098021, 0.059549, 0.044965, 0.033576, 0.084931]	15.958333	300.000000	23.958333	1243.791667	0.999489	[365.083344, 216.708344, 244.416672, 283.375, 449.541687, 211.75, 269.458344, 483.625, 305.208344, 176.666672, 228.791672, 405.666687, 274.583344, 270.458344, 222.875, 391.791687]
1777006994.826	0	250	250	7.014167e-05	1.620520	1.620515	0.000000	0.000523	0.000000	1.683300	1.713791	1.713786		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.045731	1.421986	-4.785805	8.886547	1.000000	0.000000	1.531150	0.526249	0.000276	0.000000	1.000000	0.000000	-0.050715	0.201653	-0.049455	0.213466	0.999477	5.584380	1.106868	2.000000	2.000000	0.057292	0.386246	0.666251	1.000000	0.000000	1.165746	[0.089333, 0.053174, 0.066283, 0.054855, 0.061466, 0.042014, 0.060019, 0.095282, 0.064961, 0.049291, 0.057173, 0.070025, 0.056695, 0.0568, 0.051279, 0.071349]	[0.107639, 0.038785, 0.061458, 0.041562, 0.072257, 0.024687, 0.056667, 0.112083, 0.053125, 0.040208, 0.055972, 0.0775, 0.058611, 0.061563, 0.035, 0.102882]	15.916667	300.000000	30.458333	1204.375000	0.999477	[369.541687, 281.291687, 258.833344, 226.25, 433.416687, 243.5, 265.041687, 469.5, 281.166687, 206.708344, 249.458344, 366.708344, 248.208344, 298.791687, 219.541672, 382.041687]
1777007067.519	0	300	300	6.555610e-05	1.527779	1.527773	0.000000	0.000531	0.000000	1.706829	1.709134	1.709129		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.053063	1.426935	-4.847815	8.755027	1.000000	0.000000	1.509263	0.537721	0.000310	0.000000	1.000000	0.000000	-0.050708	0.202273	-0.049455	0.213466	0.999469	5.475952	1.125236	2.000000	2.000000	0.065104	0.398436	0.677005	1.000000	0.000000	1.257773	[0.085057, 0.047198, 0.056411, 0.057206, 0.073992, 0.052101, 0.058856, 0.10501, 0.062041, 0.046744, 0.050502, 0.090943, 0.052149, 0.046965, 0.052109, 0.062717]	[0.10625, 0.051042, 0.041597, 0.043819, 0.074479, 0.046771, 0.050139, 0.126493, 0.053299, 0.03809, 0.042639, 0.111146, 0.050278, 0.061597, 0.043646, 0.058715]	15.875000	300.000000	25.125000	1364.750000	0.999469	[415.958344, 246.791672, 255.208344, 319.958344, 486.166687, 287.208344, 241.0, 464.958344, 261.0, 168.75, 218.083344, 403.333344, 208.583344, 240.083344, 246.5, 336.416687]
1777007141.835	1	350	350	6.034366e-05	1.457943	1.457938	0.000000	0.000538	0.000000	1.630110	1.649297	1.649291		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.051664	1.450245	-4.981454	8.833474	1.000000	0.000000	1.565662	0.506074	0.000277	0.000000	1.000000	0.000000	-0.050710	0.202897	-0.049455	0.213466	0.999462	5.712461	1.060463	2.000000	2.000000	0.075521	0.353829	0.658319	1.000000	0.000000	1.220669	[0.08214, 0.059915, 0.058025, 0.055788, 0.068318, 0.04912, 0.057393, 0.085139, 0.065524, 0.046347, 0.069272, 0.080306, 0.051649, 0.048066, 0.050599, 0.072401]	[0.113646, 0.0525, 0.045243, 0.043438, 0.088437, 0.034931, 0.04875, 0.091389, 0.059167, 0.033056, 0.0725, 0.093368, 0.047535, 0.048924, 0.035313, 0.091806]	15.708333	300.000000	26.791667	1257.291667	0.999462	[413.625, 283.958344, 242.666672, 233.541672, 446.291687, 246.833344, 241.833344, 407.083344, 271.958344, 206.208344, 318.166687, 449.708344, 210.125, 271.208344, 214.541672, 342.25]
1777007214.644	1	400	400	5.465593e-05	1.563962	1.563956	0.000000	0.000545	0.000000	1.563799	1.591811	1.591806		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.042393	1.452366	-4.969523	8.757098	1.000000	0.000000	1.553682	0.511280	0.000245	0.000000	1.000000	0.000000	-0.050714	0.203298	-0.049455	0.213466	0.999455	5.590078	1.109154	2.000000	2.000000	0.067708	0.364910	0.657650	1.000000	0.000000	1.122302	[0.082893, 0.059646, 0.058265, 0.059713, 0.065195, 0.052704, 0.057564, 0.082725, 0.065936, 0.047815, 0.064534, 0.07261, 0.05986, 0.049256, 0.054214, 0.06707]	[0.10875, 0.070868, 0.047986, 0.050069, 0.082708, 0.041771, 0.043576, 0.090278, 0.058125, 0.036701, 0.06434, 0.087153, 0.060903, 0.04184, 0.042986, 0.071944]	15.750000	300.000000	36.041667	1197.875000	0.999455	[368.791687, 331.041687, 253.166672, 257.75, 429.625, 263.75, 274.083344, 398.958344, 301.041687, 181.916672, 265.041687, 379.0, 234.666672, 266.666687, 254.083344, 340.416687]
1777007287.719	1	450	450	4.865831e-05	1.598936	1.598931	0.000000	0.000546	0.000000	1.603810	1.601044	1.601038		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.038285	1.453010	-5.129283	8.739029	1.000000	0.000000	1.537251	0.518209	0.000286	0.000000	1.000000	0.000000	-0.050703	0.204532	-0.049455	0.213466	0.999454	5.611860	1.137797	2.000000	2.000000	0.057292	0.370796	0.665622	1.000000	0.000000	1.096231	[0.073577, 0.056929, 0.059141, 0.063398, 0.080504, 0.047462, 0.056407, 0.091086, 0.059223, 0.045417, 0.060593, 0.069559, 0.054907, 0.062335, 0.053758, 0.065705]	[0.085729, 0.046701, 0.050868, 0.055799, 0.114444, 0.044722, 0.051597, 0.103993, 0.052917, 0.034618, 0.055278, 0.081146, 0.048264, 0.060243, 0.045174, 0.068507]	15.708333	300.000000	34.750000	1162.166667	0.999454	[366.833344, 235.375, 248.5, 321.916687, 439.416687, 260.916687, 297.083344, 404.416687, 251.791672, 190.541672, 283.25, 370.125, 250.458344, 302.708344, 226.625, 350.041687]
1777007370.362	1	500	500	4.252523e-05	1.613395	1.613390	0.000000	0.000549	0.000000	1.603012	1.597520	1.597514	0.305000	0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.036867	1.458100	-4.935088	9.204233	1.000000	0.000000	1.545977	0.513796	0.000295	0.000000	1.000000	0.000000	-0.050707	0.204775	-0.049455	0.213466	0.999451	5.599866	1.107377	2.000000	2.000000	0.059896	0.364771	0.662822	1.000000	0.000000	1.125119	[0.079892, 0.053858, 0.066444, 0.067333, 0.068149, 0.050443, 0.058184, 0.083576, 0.058016, 0.048714, 0.059076, 0.073769, 0.055789, 0.052684, 0.053972, 0.070099]	[0.101806, 0.046389, 0.059444, 0.064653, 0.08875, 0.041146, 0.058299, 0.092778, 0.050313, 0.040833, 0.053993, 0.090035, 0.050486, 0.048611, 0.041458, 0.071007]	15.916667	300.000000	24.500000	1205.958333	0.999451	[367.666687, 275.166687, 265.041687, 329.875, 426.958344, 248.125, 291.583344, 419.75, 242.083344, 183.416672, 260.75, 378.791687, 240.333344, 281.208344, 208.416672, 380.833344]
