# run_started_at	20260424_132349
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	500
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa_10v"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777008257.620	0	50	50	0	0.011919	0.003636	0.018588	2.657741	2.668166	0.929399	0.911486	0.949207
1777008257.620	0	50	50	1	0.030005	0.012037	0.023723	2.341970	2.352721	0.774499	0.843520	0.929787
1777008257.620	0	50	50	2	0.046765	0.019833	0.028391	2.428172	2.447785	0.790306	0.839305	0.967573
1777008257.620	0	50	50	3	0.059666	0.025518	0.034522	2.154678	2.200583	0.881981	0.847208	0.958871
1777008257.620	0	50	50	4	0.054148	0.021780	0.042348	2.395520	2.421380	0.868282	0.829821	0.942486
1777008257.620	0	50	50	5	0.056630	0.024436	0.031033	2.313088	2.345159	0.769231	0.815068	0.957745
1777008257.620	0	50	50	6	0.085638	0.039255	0.028514	2.143769	2.182991	0.853530	0.835090	0.954284
1777008257.620	0	50	50	7	0.103795	0.048307	0.028725	1.741937	1.809048	0.923077	0.848261	0.941210
1777008257.620	0	50	50	8	0.106757	0.050064	0.026514	1.852694	1.918643	0.895680	0.891992	0.952210
1777008257.620	0	50	50	9	0.109738	0.051591	0.026223	1.729475	1.806258	0.894626	0.856691	0.965732
1777008257.620	0	50	50	10	0.118823	0.055558	0.030828	1.821463	1.904861	0.903056	0.868809	0.962802
1777008257.620	0	50	50	11	0.131155	0.060799	0.038228	1.680434	1.750391	0.863014	0.877239	0.953618
1777008257.620	0	50	50	12	0.137491	0.064500	0.033966	1.703255	1.781877	0.861960	0.879874	0.943506
1777008257.620	0	50	50	13	0.158262	0.074636	0.035959	1.276972	1.357383	0.900948	0.865648	0.946203
1777008257.620	0	50	50	14	0.146844	0.069751	0.029363	1.423173	1.474877	0.932561	0.879347	0.950760
1777008257.620	0	50	50	15	0.139191	0.066426	0.025353	1.467825	1.549986	0.874605	0.884615	0.941883
1777008257.620	0	50	50	16	0.202246	0.097112	0.032086	1.239863	1.307345	0.904110	0.907798	0.953679
1777008257.620	0	50	50	17	0.186851	0.089221	0.033632	0.820747	0.871080	0.968388	0.866702	0.934770
1777008257.620	0	50	50	18	0.213776	0.102265	0.036986	1.146501	1.197927	0.929399	0.902529	0.936466
1777008257.620	0	50	50	19	0.234431	0.112569	0.037167	0.881358	0.939160	0.919916	0.902002	0.933068
1777008257.620	0	50	50	20	0.262251	0.126318	0.038458	0.689941	0.748362	0.951528	0.883562	0.942497
1777008257.620	0	50	50	21	0.245562	0.118002	0.038231	0.920228	0.964134	0.944152	0.885142	0.946367
1777008257.620	0	50	50	22	0.274623	0.132404	0.039261	0.840672	0.906053	0.946259	0.885669	0.936041
1777008257.620	0	50	50	23	0.452254	0.216899	0.073823	0.177261	0.183049	0.962065	0.805585	0.901313
1777008284.276	0	100	100	0	0.002843	0.000790	0.005052	2.660695	2.662416	0.975584	0.951699	0.963556
1777008284.276	0	100	100	1	0.012841	0.005032	0.011108	2.377137	2.385402	0.888535	0.907643	0.941971
1777008284.276	0	100	100	2	0.015249	0.006460	0.009317	2.423060	2.437348	0.867304	0.904989	0.988183
1777008284.276	0	100	100	3	0.021998	0.009403	0.012764	2.149284	2.165297	0.954352	0.927813	0.982141
1777008284.276	0	100	100	4	0.018507	0.007434	0.014553	2.391566	2.402997	0.897028	0.910828	0.973025
1777008284.276	0	100	100	5	0.018722	0.008107	0.010029	2.316418	2.332725	0.882166	0.907113	0.980571
1777008284.276	0	100	100	6	0.021632	0.009881	0.007481	2.139377	2.158746	0.920382	0.915605	0.976744
