# run_started_at	20260424_133036
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	500
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa_10v"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa_10v/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.1
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_value_anchor	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_top_k	router_value_anchor_loss_coef	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_value_pairwise_cos_mean	expert_value_pairwise_cos_max	value_anchor_pairwise_cos_mean	value_anchor_pairwise_cos_max	value_anchor_cosine_mean	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load	value_anchor_active_expert_count	value_anchor_proto_count_mean	value_anchor_proto_count_min	value_anchor_proto_count_max	value_anchor_cosine_mean_stat	value_anchor_proto_counts
1777008733.843	0	50	50	5.440000e-05	1.759061	1.759054	0.000000	0.000682	0.000000	2.806822	3.105515	3.105509		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.046946	1.435909	-5.144937	8.922627	1.000000	0.000000	1.541092	0.519633	0.000076	0.000000	1.000000	0.000000	-0.051151	0.190693	-0.049455	0.213466	0.999318	5.671954	1.261760	2.000000	2.000000	0.026042	0.376303	0.662963	1.000000	0.000000	1.157226	[0.083634, 0.054088, 0.068762, 0.083055, 0.065502, 0.048634, 0.067209, 0.063174, 0.044074, 0.051763, 0.079222, 0.057291, 0.059866, 0.051535, 0.054749, 0.067441]	[0.093264, 0.040694, 0.077333, 0.081, 0.092222, 0.060056, 0.061819, 0.056153, 0.027236, 0.038028, 0.103611, 0.047625, 0.064639, 0.041333, 0.054389, 0.060597]	16.000000	750.000000	52.333333	3207.041667	0.999318	[1113.041748, 566.0, 835.875, 1096.0, 909.75, 544.0, 899.75, 648.708374, 461.458344, 507.625, 1044.375, 618.916687, 698.375, 711.0, 643.291687, 701.833374]
1777008826.699	0	100	100	7.998143e-05	1.583539	1.583531	0.000000	0.000717	0.000000	1.575484	2.120719	2.120712		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.034882	1.436790	-5.225710	9.532778	1.000000	0.000000	1.564739	0.512369	0.000136	0.000000	1.000000	0.000000	-0.051138	0.191082	-0.049455	0.213466	0.999283	5.490437	1.224307	2.000000	2.000000	0.033854	0.367989	0.656750	1.000000	0.000000	1.205725	[0.09397, 0.043334, 0.068013, 0.081805, 0.068434, 0.043275, 0.0576, 0.05846, 0.054857, 0.048897, 0.093163, 0.059187, 0.061041, 0.059401, 0.050938, 0.057624]	[0.130694, 0.024, 0.063, 0.083542, 0.066792, 0.045056, 0.055708, 0.044444, 0.048319, 0.036333, 0.125125, 0.043583, 0.062097, 0.080486, 0.045806, 0.045014]	15.875000	750.000000	65.208333	3332.041667	0.999283	[1170.25, 359.708344, 850.75, 1033.958374, 1026.791748, 612.541687, 706.25, 617.875, 580.625, 525.625, 1178.625, 586.208374, 740.958374, 798.416687, 591.166687, 620.25]
1777008919.412	0	150	150	7.983297e-05	1.577285	1.577277	0.000000	0.000735	0.000000	1.451355	1.698648	1.698641		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033849	1.432517	-5.227902	9.302371	1.000000	0.000000	1.570085	0.509171	0.000175	0.000000	1.000000	0.000000	-0.051119	0.191910	-0.049455	0.213466	0.999265	5.444673	1.140213	2.000000	2.000000	0.026042	0.364200	0.654141	1.000000	0.000000	1.191863	[0.098725, 0.05511, 0.055714, 0.072206, 0.078656, 0.044534, 0.065026, 0.06234, 0.051203, 0.050579, 0.08271, 0.053009, 0.060143, 0.060345, 0.043308, 0.066392]	[0.125417, 0.04575, 0.045375, 0.071514, 0.087472, 0.03275, 0.074681, 0.055014, 0.043431, 0.041, 0.109264, 0.039222, 0.057722, 0.08775, 0.028944, 0.054694]	15.958333	750.000000	60.750000	3272.833333	0.999265	[1242.75, 538.666687, 626.166687, 881.875, 1132.166748, 506.875, 827.708374, 771.25, 510.875, 611.791687, 1036.625, 614.875, 706.0, 769.166687, 470.916687, 752.291687]
1777009009.899	0	200	200	7.953666e-05	1.359564	1.359556	0.000000	0.000742	0.000000	1.419868	1.520165	1.520157		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.031804	1.459068	-5.177049	9.046381	1.000000	0.000000	1.534468	0.524499	0.000208	0.000000	1.000000	0.000000	-0.051115	0.192455	-0.049455	0.213466	0.999258	5.558991	1.117333	2.000000	2.000000	0.033854	0.382678	0.666321	1.000000	0.000000	1.245159	[0.099408, 0.051406, 0.059703, 0.083516, 0.081474, 0.046588, 0.066592, 0.06616, 0.050835, 0.046629, 0.097264, 0.051266, 0.052106, 0.052464, 0.039596, 0.054993]	[0.13275, 0.041861, 0.050764, 0.095403, 0.089708, 0.038514, 0.071819, 0.062694, 0.040556, 0.031764, 0.130389, 0.038847, 0.045639, 0.067125, 0.025542, 0.036625]	15.875000	750.000000	58.708333	3406.333333	0.999258	[1240.208374, 521.125, 627.291687, 1030.875, 1119.958374, 640.083374, 789.083374, 769.0, 587.625, 480.208344, 1100.125, 557.416687, 728.416687, 751.333374, 423.041687, 634.208374]
1777009101.732	0	250	250	7.909373e-05	1.337460	1.337452	0.000000	0.000753	0.000000	1.399180	1.442839	1.442831		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.029555	1.460441	-5.186507	9.033020	1.000000	0.000000	1.555656	0.517430	0.000205	0.000000	1.000000	0.000000	-0.051098	0.191973	-0.049455	0.213466	0.999247	5.495078	1.120145	2.000000	2.000000	0.044271	0.373958	0.660902	1.000000	0.000000	1.240826	[0.088916, 0.05296, 0.056066, 0.07958, 0.080265, 0.050658, 0.063889, 0.078376, 0.047066, 0.045683, 0.094476, 0.062123, 0.050241, 0.052554, 0.044135, 0.053013]	[0.114458, 0.03975, 0.044528, 0.084514, 0.110028, 0.043931, 0.075042, 0.078667, 0.032681, 0.032778, 0.125611, 0.056514, 0.045514, 0.047306, 0.034264, 0.034417]	15.875000	750.000000	75.250000	3327.916667	0.999247	[1073.791748, 585.958374, 584.25, 987.333374, 1142.083374, 647.791687, 789.666687, 880.458374, 502.083344, 449.541687, 1143.916748, 663.458374, 679.458374, 775.083374, 486.916687, 608.208374]
1777009195.428	0	300	300	7.850599e-05	1.349882	1.349874	0.000000	0.000757	0.000000	1.400393	1.414685	1.414677		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.020608	1.461501	-5.172747	8.985983	1.000000	0.000000	1.548668	0.516773	0.000154	0.000000	1.000000	0.000000	-0.051092	0.193151	-0.049455	0.213466	0.999243	5.460889	1.090471	2.000000	2.000000	0.044271	0.373625	0.659921	1.000000	0.000000	1.249839	[0.092919, 0.059756, 0.053355, 0.068746, 0.07288, 0.047276, 0.062314, 0.069126, 0.053145, 0.054628, 0.086752, 0.061261, 0.058125, 0.048421, 0.047278, 0.064019]	[0.113306, 0.066722, 0.042958, 0.064806, 0.110236, 0.044208, 0.062875, 0.074028, 0.045694, 0.040681, 0.102597, 0.057417, 0.052264, 0.037347, 0.035472, 0.049389]	15.833333	750.000000	65.208333	3376.750000	0.999243	[1042.583374, 776.916687, 541.25, 814.708374, 1023.75, 633.291687, 754.791687, 873.583374, 597.333374, 535.166687, 1164.666748, 635.333374, 758.291687, 699.916687, 488.625, 659.791687]
1777009291.537	0	350	350	7.777589e-05	1.521868	1.521860	0.000000	0.000763	0.000000	1.384868	1.396993	1.396986		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.025543	1.470450	-5.362902	8.955787	1.000000	0.000000	1.577581	0.506206	0.000143	0.000000	1.000000	0.000000	-0.051085	0.193425	-0.049455	0.213466	0.999237	5.433603	1.068003	2.000000	2.000000	0.039062	0.360439	0.651972	1.000000	0.000000	1.312414	[0.083599, 0.052515, 0.05381, 0.081315, 0.084037, 0.047801, 0.065675, 0.072267, 0.062452, 0.045347, 0.084361, 0.063877, 0.051147, 0.048318, 0.048616, 0.054864]	[0.112917, 0.040458, 0.043097, 0.077514, 0.121472, 0.056944, 0.064875, 0.066542, 0.061222, 0.028819, 0.119069, 0.059167, 0.039431, 0.034819, 0.038444, 0.035208]	15.833333	750.000000	79.333333	3468.416667	0.999237	[1007.208374, 664.458374, 606.375, 836.5, 1195.958374, 693.375, 813.958374, 821.75, 738.833374, 388.958344, 1086.333374, 789.833374, 616.125, 678.166687, 526.5, 535.666687]
1777009384.954	0	400	400	7.690642e-05	1.358764	1.358757	0.000000	0.000769	0.000000	1.374670	1.384277	1.384269		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.028326	1.469857	-5.263515	9.162701	1.000000	0.000000	1.517763	0.530199	0.000147	0.000000	1.000000	0.000000	-0.051069	0.193352	-0.049455	0.213466	0.999231	5.458580	1.089101	2.000000	2.000000	0.039062	0.389839	0.670560	1.000000	0.000000	1.228127	[0.097677, 0.058485, 0.052469, 0.068557, 0.080513, 0.047412, 0.067855, 0.070879, 0.052552, 0.044998, 0.090508, 0.057802, 0.050097, 0.056229, 0.044332, 0.059635]	[0.122361, 0.049486, 0.042208, 0.071014, 0.110472, 0.034139, 0.082458, 0.068903, 0.044625, 0.030792, 0.125667, 0.050333, 0.037389, 0.054653, 0.030931, 0.044569]	15.833333	750.000000	72.583333	3460.333333	0.999231	[1066.041748, 850.166687, 539.708374, 825.291687, 1163.625, 679.0, 876.083374, 793.041687, 543.208374, 424.708344, 1058.958374, 678.0, 706.75, 775.041687, 433.583344, 586.791687]
1777009477.422	0	450	450	7.590119e-05	1.508919	1.508911	0.000000	0.000771	0.000000	1.365349	1.373611	1.373604		0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.028386	1.467851	-5.526772	9.400879	1.000000	0.000000	1.534182	0.521967	0.000197	0.000000	1.000000	0.000000	-0.051055	0.194160	-0.049455	0.213466	0.999229	5.379337	1.110123	2.000000	2.000000	0.033854	0.380613	0.663321	1.000000	0.000000	1.181165	[0.099655, 0.071856, 0.059452, 0.070529, 0.072517, 0.051209, 0.066195, 0.078386, 0.053409, 0.038107, 0.075856, 0.059897, 0.055531, 0.04659, 0.045, 0.055812]	[0.119403, 0.071278, 0.056681, 0.070958, 0.104722, 0.039847, 0.078347, 0.073417, 0.044486, 0.025347, 0.104708, 0.052486, 0.049153, 0.03875, 0.030583, 0.039833]	15.958333	750.000000	81.541667	3311.666667	0.999229	[1129.125, 975.25, 694.291687, 811.208374, 1015.583374, 646.125, 856.041687, 920.833374, 596.333374, 294.5, 1049.625, 699.333374, 722.458374, 661.0, 419.125, 509.166687]
1777009576.748	0	500	500	7.476432e-05	1.392017	1.392010	0.000000	0.000777	0.000000	1.369889	1.369685	1.369677	0.415000	0.800000	2	0.010000	0.000000	0.000000	0.000000	0.000000	-0.033088	1.492590	-5.530332	9.135249	1.000000	0.000000	1.493671	0.538969	0.000242	0.000000	1.000000	0.000000	-0.051038	0.194421	-0.049455	0.213466	0.999223	5.384362	1.074682	2.000000	2.000000	0.044271	0.399555	0.678383	1.000000	0.000000	1.242360	[0.095477, 0.059241, 0.060255, 0.062104, 0.084063, 0.046662, 0.074876, 0.073047, 0.051256, 0.039963, 0.082688, 0.061127, 0.062306, 0.048016, 0.04664, 0.052278]	[0.119486, 0.049167, 0.053944, 0.053708, 0.115722, 0.029153, 0.098889, 0.0685, 0.041625, 0.026125, 0.108639, 0.055792, 0.061361, 0.040431, 0.038292, 0.039167]	15.833333	750.000000	58.208333	3475.250000	0.999223	[1069.958374, 722.375, 795.333374, 774.166687, 1075.25, 622.958374, 941.333374, 770.75, 587.833374, 378.25, 1037.25, 604.375, 884.5, 677.75, 429.958344, 627.958374]
