# run_started_at	20260424_175247
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777024404.874	0	50	50	0	0.000353	0.000097	0.000634	2.631608	2.630539	0.992509	0.987828	0.924888
1777024404.874	0	50	50	1	0.001546	0.000608	0.001317	2.246295	2.251512	0.962547	0.957865	0.911444
1777024404.874	0	50	50	2	0.000653	0.000276	0.000403	2.421247	2.422202	0.979401	0.983146	0.982839
1777024404.874	0	50	50	3	0.001036	0.000460	0.000462	2.116179	2.108701	0.985019	0.976592	0.954937
1777024404.874	0	50	50	4	0.000629	0.000265	0.000398	2.377602	2.379779	0.962547	0.978464	0.964411
1777024404.874	0	50	50	5	0.000512	0.000227	0.000234	2.277875	2.276542	0.977528	0.981273	0.974897
1777024404.874	0	50	50	6	0.000689	0.000317	0.000217	2.029559	2.027835	0.986891	0.985955	0.977038
1777024404.874	0	50	50	7	0.000810	0.000379	0.000210	1.815870	1.816340	0.990637	0.982210	0.971123
1777024404.874	0	50	50	8	0.000672	0.000309	0.000214	1.837640	1.837323	0.996255	0.983146	0.981260
1777024404.874	0	50	50	9	0.000809	0.000375	0.000241	1.805807	1.808705	0.996255	0.988764	0.977523
1777024404.874	0	50	50	10	0.000700	0.000326	0.000192	1.805400	1.803958	0.994382	0.981273	0.992464
1777024404.874	0	50	50	11	0.000769	0.000355	0.000237	1.692989	1.688769	0.998127	0.990637	0.992166
1777024404.874	0	50	50	12	0.001067	0.000496	0.000298	1.641372	1.644859	0.983146	0.980337	0.970235
1777024404.874	0	50	50	13	0.001414	0.000670	0.000296	1.406034	1.414018	0.994382	0.985019	0.979862
1777024404.874	0	50	50	14	0.001625	0.000772	0.000324	1.454977	1.455499	0.990637	0.989700	0.966849
1777024404.874	0	50	50	15	0.002356	0.001128	0.000395	1.499055	1.500160	0.981273	0.988764	0.958298
1777024404.874	0	50	50	16	0.001721	0.000825	0.000285	1.295592	1.287757	0.983146	0.994382	0.972755
1777024404.874	0	50	50	17	0.003328	0.001598	0.000528	1.050582	1.036758	0.986891	0.986891	0.953037
1777024404.874	0	50	50	18	0.002112	0.001019	0.000295	1.276612	1.278074	0.990637	0.986891	0.961421
1777024404.874	0	50	50	19	0.002356	0.001130	0.000382	0.833362	0.833576	0.994382	0.980337	0.960458
1777024404.874	0	50	50	20	0.002693	0.001293	0.000426	0.846865	0.849069	0.992509	0.985019	0.977188
1777024404.874	0	50	50	21	0.002375	0.001143	0.000356	0.949698	0.955088	0.986891	0.978464	0.978951
1777024404.874	0	50	50	22	0.002899	0.001393	0.000453	0.801267	0.808637	0.990637	0.978464	0.972677
1777024404.874	0	50	50	23	0.020513	0.009989	0.002138	0.213096	0.219505	0.994382	0.964419	0.975930
1777024440.095	0	100	100	0	0.000026	0.000007	0.000049	2.637981	2.637674	0.994718	0.995599	0.929082
1777024440.095	0	100	100	1	0.000128	0.000049	0.000118	2.306842	2.307625	0.980634	0.979753	0.897031
1777024440.095	0	100	100	2	0.000028	0.000011	0.000020	2.444054	2.443643	0.992958	0.998239	0.982882
1777024440.095	0	100	100	3	0.000054	0.000024	0.000025	2.098239	2.099161	0.998239	0.996479	0.952312
1777024440.096	0	100	100	4	0.000019	0.000008	0.000014	2.369331	2.369432	0.998239	0.997359	0.967965
1777024440.096	0	100	100	5	0.000015	0.000007	0.000008	2.300771	2.300804	0.996479	0.996479	0.980913
1777024440.096	0	100	100	6	0.000025	0.000011	0.000007	2.027426	2.027668	0.996479	0.996479	0.976350
