# run_started_at	20260424_175758
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	0.8
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777024765.712	0	50	50	7.988404e-05	1.873224	1.873224	0.000000	0.000000	2.423388	2.831576	2.831576		0.800000	2	3.241750	0.000000	0.000000	0.000000	0.000000	-0.061953	2.322406	-10.934303	16.133012	1.000000	0.000000	1.120834	0.634399	0.000000	0.000000	1.000000	0.000000	-0.002448	0.662735	4.244663	1.542554	5.346415	1.122649	2.000000	2.000000	0.135417	0.483651	0.785148	1.000000	0.000000	1.203542	[0.092871, 0.047488, 0.045185, 0.066854, 0.06941, 0.062213, 0.067829, 0.081133, 0.043382, 0.051673, 0.062666, 0.084091, 0.06085, 0.04327, 0.056073, 0.065014]	[0.103924, 0.040278, 0.038125, 0.062292, 0.069028, 0.051007, 0.062917, 0.111875, 0.034236, 0.050556, 0.069757, 0.085035, 0.055382, 0.039583, 0.055833, 0.070174]
1777024849.517	0	100	100	7.883753e-05	1.822598	1.822598	0.000000	0.000000	1.857886	2.208889	2.208889		0.800000	2	2.039041	0.000000	0.000000	0.000000	0.000000	-0.014882	2.861998	-12.888575	19.189753	1.000000	0.000000	0.901277	0.706916	0.000001	0.000000	1.000000	0.000000	-0.010091	0.670247	5.222264	1.524472	4.991796	1.141515	2.000000	2.000000	0.161458	0.571770	0.842062	1.000000	0.000000	1.290816	[0.09656, 0.090374, 0.050215, 0.060276, 0.068081, 0.034891, 0.036636, 0.095279, 0.04204, 0.041945, 0.06324, 0.060784, 0.073199, 0.052857, 0.056182, 0.077441]	[0.099132, 0.102153, 0.044688, 0.054896, 0.088507, 0.028993, 0.030243, 0.098438, 0.038819, 0.038021, 0.060799, 0.057569, 0.070625, 0.047569, 0.053542, 0.086007]
1777024933.746	0	150	150	7.673250e-05	1.878230	1.878230	0.000000	0.000000	1.816724	1.960665	1.960665		0.800000	2	1.996690	0.000000	0.000000	0.000000	0.000000	-0.035847	3.455906	-14.148855	21.148103	1.000000	0.000000	0.815563	0.727900	0.000019	0.000000	1.000000	0.000000	-0.012001	0.674764	6.015521	1.676731	5.165314	1.056155	2.000000	2.000000	0.156250	0.601925	0.853874	1.000000	0.000000	1.187762	[0.086641, 0.070918, 0.05288, 0.052457, 0.071608, 0.056846, 0.037089, 0.097831, 0.044423, 0.038176, 0.039322, 0.11516, 0.051302, 0.043148, 0.075629, 0.066573]	[0.08691, 0.069514, 0.057743, 0.058368, 0.093854, 0.052674, 0.02809, 0.098611, 0.046007, 0.032674, 0.037014, 0.116146, 0.047292, 0.036979, 0.066389, 0.071736]
1777025027.548	0	200	200	7.363291e-05	1.770695	1.770695	0.000000	0.000000	1.778012	1.843876	1.843876	0.285000	0.800000	2	1.325892	0.000000	0.000000	0.000000	0.000000	0.034136	3.686040	-15.060424	22.187068	1.000000	0.000000	0.757746	0.743431	0.000000	0.000000	1.000000	0.000000	-0.013912	0.664955	6.547304	1.678213	4.991572	1.130585	2.000000	2.000000	0.143229	0.619198	0.867663	1.000000	0.000000	1.115991	[0.086602, 0.071044, 0.057443, 0.063817, 0.058741, 0.03349, 0.042935, 0.075915, 0.073873, 0.063935, 0.048638, 0.088314, 0.073367, 0.037632, 0.052488, 0.071766]	[0.081597, 0.081389, 0.0525, 0.058924, 0.056632, 0.027431, 0.044479, 0.07934, 0.075625, 0.083924, 0.040903, 0.089583, 0.077118, 0.032813, 0.048403, 0.06934]
1777025110.044	0	250	250	6.963294e-05	1.582450	1.582450	0.000000	0.000000	1.770363	1.789708	1.789708		0.800000	2	1.340130	0.000000	0.000000	0.000000	0.000000	-0.087128	4.321489	-15.691113	25.464296	1.000000	0.000000	0.528900	0.821375	0.000000	0.000000	1.000000	0.000000	-0.007787	0.649089	6.951552	1.830268	5.157934	1.051982	2.000000	2.000000	0.200521	0.728135	0.914615	1.000000	0.000000	1.363113	[0.141843, 0.04348, 0.047947, 0.028311, 0.047491, 0.022039, 0.042698, 0.102302, 0.0381, 0.079671, 0.065215, 0.126371, 0.065886, 0.036595, 0.052167, 0.059883]	[0.139792, 0.041181, 0.057292, 0.024306, 0.055764, 0.016632, 0.038056, 0.101597, 0.03684, 0.083507, 0.062257, 0.128993, 0.071354, 0.032083, 0.050903, 0.059444]
1777025192.852	0	300	300	6.485412e-05	1.752422	1.752422	0.000000	0.000000	1.743827	1.757389	1.757389		0.800000	2	1.292585	0.000000	0.000000	0.000000	0.000000	0.116622	4.392732	-16.407167	26.029917	1.000000	0.000000	0.571343	0.801391	0.000000	0.000000	1.000000	0.000000	-0.013129	0.634557	7.129616	1.885474	4.929035	1.077167	2.000000	2.000000	0.205729	0.688568	0.914214	1.000000	0.000000	1.330718	[0.103009, 0.070697, 0.046242, 0.068232, 0.056376, 0.027945, 0.036701, 0.099643, 0.036685, 0.065063, 0.08623, 0.084973, 0.079265, 0.04453, 0.037302, 0.057105]	[0.103646, 0.068576, 0.044861, 0.069063, 0.055694, 0.025347, 0.036042, 0.118229, 0.03684, 0.064757, 0.080937, 0.080174, 0.084271, 0.039896, 0.034618, 0.057049]
1777025278.245	1	350	350	5.944166e-05	1.689789	1.689789	0.000000	0.000000	1.717753	1.731418	1.731418		0.800000	2	1.524035	0.000000	0.000000	0.000000	0.000000	-0.025499	4.758302	-17.272246	27.842287	1.000000	0.000000	0.553769	0.809622	0.000000	0.000000	1.000000	0.000000	-0.013959	0.649318	7.318458	1.899765	5.130225	1.032278	2.000000	2.000000	0.192708	0.708908	0.910337	1.000000	0.000000	1.294259	[0.108609, 0.071326, 0.054572, 0.068617, 0.049499, 0.027284, 0.046657, 0.100617, 0.041439, 0.069758, 0.078849, 0.081443, 0.080379, 0.039618, 0.038696, 0.042637]	[0.105104, 0.06809, 0.054063, 0.067847, 0.070104, 0.024722, 0.045451, 0.101424, 0.037604, 0.083403, 0.075243, 0.078854, 0.0775, 0.032604, 0.037361, 0.040625]
1777025373.214	1	400	400	5.356002e-05	1.780221	1.780221	0.000000	0.000000	1.687222	1.705572	1.705572	0.320000	0.800000	2	1.106620	0.000000	0.000000	0.000000	0.000000	-0.038838	4.621211	-18.729071	28.123603	1.000000	0.000000	0.537695	0.817635	0.000000	0.000000	1.000000	0.000000	-0.018988	0.630395	7.390176	1.860314	4.911340	1.057885	2.000000	2.000000	0.174479	0.720613	0.914657	1.000000	0.000000	1.264582	[0.10284, 0.054399, 0.055558, 0.071237, 0.066653, 0.033244, 0.041632, 0.113392, 0.032362, 0.040999, 0.094783, 0.07826, 0.081263, 0.050711, 0.039868, 0.042798]	[0.098507, 0.051806, 0.054167, 0.086979, 0.071458, 0.034618, 0.040278, 0.119618, 0.028681, 0.035243, 0.091319, 0.086354, 0.080799, 0.045035, 0.035451, 0.039688]
1777025456.540	1	450	450	4.738790e-05	1.816762	1.816762	0.000000	0.000000	1.661665	1.677859	1.677859		0.800000	2	1.422673	0.000000	0.000000	0.000000	0.000000	-0.008171	4.826723	-20.099063	27.711486	1.000000	0.000000	0.523087	0.817108	0.000000	0.000000	1.000000	0.000000	-0.022158	0.617945	7.354289	1.800924	5.051576	1.005078	2.000000	2.000000	0.177083	0.709461	0.924755	1.000000	0.000000	1.266799	[0.104427, 0.074198, 0.048675, 0.051198, 0.058839, 0.03281, 0.033909, 0.110935, 0.028265, 0.040658, 0.086524, 0.106576, 0.074881, 0.044656, 0.04229, 0.061159]	[0.105, 0.084688, 0.049896, 0.04434, 0.053507, 0.031042, 0.029931, 0.129097, 0.025, 0.040035, 0.085104, 0.110278, 0.071042, 0.042014, 0.040139, 0.058889]
1777025541.969	1	500	500	4.111284e-05	1.576849	1.576849	0.000000	0.000000	1.671513	1.672924	1.672924		0.800000	2	1.049376	0.000000	0.000000	0.000000	0.000000	0.151017	4.988309	-19.615531	27.341644	1.000000	0.000000	0.490523	0.826278	0.000000	0.000000	1.000000	0.000000	-0.017509	0.616796	7.366898	1.807146	5.071922	1.041029	2.000000	2.000000	0.166667	0.724970	0.927587	1.000000	0.000000	1.277985	[0.09405, 0.083266, 0.051542, 0.0669, 0.063097, 0.025899, 0.036701, 0.098089, 0.026594, 0.047189, 0.078744, 0.087538, 0.079712, 0.035029, 0.042531, 0.083118]	[0.091563, 0.081389, 0.050208, 0.077222, 0.061319, 0.022187, 0.031806, 0.119167, 0.025035, 0.046979, 0.076667, 0.085417, 0.071528, 0.031597, 0.041493, 0.086424]
