# run_started_at	20260424_184730
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777027737.963	0	50	50	7.988404e-05	1.852807	1.852807	0.000000	2.647897	0.000000	2.448677	2.838657	2.838657		0.800000	0.000000	2	2.150327	0.000000	0.000000	0.000000	0.000000	-0.077305	2.439530	-10.968878	16.936945	1.000000	0.000000	1.499375	0.527588	0.000006	0.000000	1.000000	0.000000	-0.009547	0.683315	4.339027	1.591211	5.402511	1.170219	2.000000	2.000000	0.135417	0.373272	0.681903	1.000000	0.000000	1.220518	[0.077065, 0.070969, 0.047908, 0.061792, 0.091754, 0.050306, 0.062366, 0.056678, 0.050029, 0.051606, 0.061974, 0.083862, 0.071898, 0.060461, 0.044975, 0.056356]	[0.095035, 0.077361, 0.038646, 0.05684, 0.12934, 0.039861, 0.060417, 0.042292, 0.048264, 0.042292, 0.066042, 0.084444, 0.072743, 0.060868, 0.034028, 0.051528]
1777027822.044	0	100	100	7.883753e-05	1.797279	1.797279	0.000000	3.322410	0.000000	1.832597	2.195184	2.195184		0.800000	0.000000	2	1.477212	0.000000	0.000000	0.000000	0.000000	-0.166791	2.854387	-11.783446	17.491547	1.000000	0.000000	1.242117	0.608909	0.000000	0.000000	1.000000	0.000000	-0.017236	0.681067	5.142347	1.476518	5.106352	1.039604	2.000000	2.000000	0.184896	0.461653	0.756166	1.000000	0.000000	1.358320	[0.065185, 0.047591, 0.047148, 0.06821, 0.078397, 0.049305, 0.058943, 0.086462, 0.041982, 0.040526, 0.065543, 0.112982, 0.064087, 0.041089, 0.064773, 0.067777]	[0.069167, 0.033021, 0.03684, 0.075278, 0.097917, 0.049236, 0.050937, 0.083299, 0.029479, 0.03191, 0.069271, 0.138715, 0.054722, 0.035, 0.062431, 0.082778]
1777027904.768	0	150	150	7.673250e-05	1.845295	1.845295	0.000000	2.842813	0.000000	1.800093	1.943691	1.943691		0.800000	0.000000	2	1.588224	0.000000	0.000000	0.000000	0.000000	-0.102241	3.228882	-13.433865	20.011421	1.000000	0.000000	1.199777	0.618261	0.000018	0.000000	1.000000	0.000000	-0.015045	0.657126	5.683125	1.663506	5.012143	1.102819	2.000000	2.000000	0.184896	0.474674	0.761847	1.000000	0.000000	1.253527	[0.066055, 0.062917, 0.044908, 0.064778, 0.077825, 0.048326, 0.058302, 0.070629, 0.060455, 0.062525, 0.067045, 0.080387, 0.063655, 0.047539, 0.049598, 0.075056]	[0.078542, 0.060451, 0.046597, 0.052465, 0.093715, 0.037917, 0.053021, 0.0825, 0.058819, 0.058576, 0.07691, 0.077569, 0.06191, 0.040208, 0.039444, 0.081354]
1777028007.514	0	200	200	7.363291e-05	1.678292	1.678292	0.000000	2.587247	0.000000	1.764107	1.827450	1.827450	0.300000	0.800000	0.000000	2	0.928060	0.000000	0.000000	0.000000	0.000000	-0.023194	3.504683	-15.029088	22.132297	1.000000	0.000000	1.119510	0.636828	0.000017	0.000000	1.000000	0.000000	-0.016740	0.632360	6.195779	1.768229	5.015747	1.119918	2.000000	2.000000	0.166667	0.496674	0.776981	1.000000	0.000000	1.108373	[0.058671, 0.047956, 0.041555, 0.063302, 0.090201, 0.072729, 0.056035, 0.073038, 0.041443, 0.057254, 0.050842, 0.105852, 0.052368, 0.068036, 0.057752, 0.062966]	[0.05375, 0.049306, 0.031389, 0.057674, 0.12059, 0.083403, 0.046701, 0.067049, 0.032882, 0.055451, 0.056563, 0.10941, 0.045972, 0.066563, 0.053854, 0.069444]
1777028091.342	0	250	250	6.963294e-05	1.583448	1.583448	0.000000	3.064441	0.000000	1.753570	1.773559	1.773559		0.800000	0.000000	2	1.280947	0.000000	0.000000	0.000000	0.000000	-0.110189	3.714351	-16.074626	22.415203	1.000000	0.000000	1.049395	0.659837	0.000000	0.000000	1.000000	0.000000	-0.013933	0.620841	6.522153	1.737102	4.997047	1.047933	2.000000	2.000000	0.182292	0.518827	0.800848	1.000000	0.000000	1.289160	[0.06509, 0.051818, 0.044787, 0.067708, 0.114908, 0.061042, 0.055644, 0.050825, 0.053956, 0.071296, 0.048453, 0.086122, 0.072043, 0.043512, 0.057908, 0.054889]	[0.062569, 0.060347, 0.034931, 0.06125, 0.133646, 0.051944, 0.061597, 0.057326, 0.048125, 0.077604, 0.051597, 0.088576, 0.06809, 0.036979, 0.059132, 0.046285]
1777028173.911	0	300	300	6.485412e-05	1.712673	1.712673	0.000000	4.292083	0.000000	1.714448	1.734437	1.734437		0.800000	0.000000	2	1.040891	0.000000	0.000000	0.000000	0.000000	-0.230090	4.128824	-17.076083	24.038573	1.000000	0.000000	0.889189	0.702530	0.000000	0.000000	1.000000	0.000000	-0.014606	0.606869	6.681174	1.734887	5.053577	1.012274	2.000000	2.000000	0.192708	0.558120	0.846940	1.000000	0.000000	1.480735	[0.06258, 0.061744, 0.029015, 0.075921, 0.135036, 0.041151, 0.04263, 0.054093, 0.040431, 0.060854, 0.0883, 0.121416, 0.048364, 0.042376, 0.047333, 0.048755]	[0.060521, 0.081458, 0.023681, 0.073611, 0.168194, 0.034444, 0.031632, 0.051563, 0.035486, 0.0575, 0.090347, 0.120521, 0.045208, 0.036319, 0.045382, 0.044132]
1777028258.333	1	350	350	5.944166e-05	1.679345	1.679345	0.000000	3.309224	0.000000	1.690340	1.705948	1.705948		0.800000	0.000000	2	1.235991	0.000000	0.000000	0.000000	0.000000	-0.213377	4.240381	-17.208140	24.843535	1.000000	0.000000	0.873179	0.715045	0.000000	0.000000	1.000000	0.000000	-0.014871	0.614856	6.859622	1.778149	4.989230	1.040175	2.000000	2.000000	0.177083	0.584694	0.845396	1.000000	0.000000	1.178014	[0.112944, 0.058796, 0.042363, 0.066242, 0.086737, 0.046859, 0.042195, 0.08273, 0.034831, 0.065849, 0.060505, 0.082054, 0.0659, 0.045384, 0.056177, 0.050435]	[0.115139, 0.070868, 0.03625, 0.064271, 0.083333, 0.044236, 0.035868, 0.108576, 0.027813, 0.071736, 0.060486, 0.081667, 0.060486, 0.040694, 0.050972, 0.047604]
1777028364.646	1	400	400	5.356002e-05	1.801248	1.801248	0.000000	2.710395	0.000000	1.663477	1.681078	1.681078	0.350000	0.800000	0.000000	2	0.872235	0.000000	0.000000	0.000000	0.000000	-0.191927	4.252934	-18.594830	24.707516	1.000000	0.000000	0.919703	0.700291	0.000006	0.000000	1.000000	0.000000	-0.014093	0.600840	7.043662	1.772796	4.876341	1.121957	2.000000	2.000000	0.184896	0.571492	0.829090	1.000000	0.000000	1.167474	[0.083107, 0.049337, 0.047839, 0.071882, 0.102334, 0.049295, 0.049515, 0.058141, 0.047094, 0.046542, 0.065221, 0.075698, 0.056988, 0.037662, 0.062137, 0.097207]	[0.086736, 0.043056, 0.045208, 0.087986, 0.108646, 0.040694, 0.043576, 0.080104, 0.042986, 0.04059, 0.057187, 0.07, 0.0475, 0.031181, 0.061597, 0.112951]
1777028446.719	1	450	450	4.738790e-05	1.784555	1.784555	0.000000	2.900561	0.000000	1.633898	1.652120	1.652120		0.800000	0.000000	2	0.943151	0.000000	0.000000	0.000000	0.000000	-0.053660	4.257406	-17.953434	24.210271	1.000000	0.000000	0.963983	0.684329	0.000002	0.000000	1.000000	0.000000	-0.013728	0.615696	7.066628	1.798924	4.774377	1.102502	2.000000	2.000000	0.171875	0.551708	0.816950	1.000000	0.000000	1.178108	[0.089544, 0.053135, 0.045665, 0.072371, 0.064978, 0.034481, 0.061932, 0.075858, 0.031332, 0.069456, 0.060046, 0.074312, 0.072331, 0.038941, 0.073347, 0.082269]	[0.088958, 0.066875, 0.040139, 0.072882, 0.087813, 0.026563, 0.055104, 0.069861, 0.024479, 0.071285, 0.057153, 0.072014, 0.066632, 0.031181, 0.082049, 0.087014]
1777028527.515	1	500	500	4.111284e-05	1.557239	1.557239	0.000000	2.437461	0.000000	1.652018	1.651112	1.651112		0.800000	0.000000	2	0.831321	0.000000	0.000000	0.000000	0.000000	-0.045460	4.202271	-17.500369	24.930291	1.000000	0.000000	0.970396	0.678084	0.000001	0.000000	1.000000	0.000000	-0.016008	0.620919	7.048627	1.718030	4.828323	1.080673	2.000000	2.000000	0.156250	0.533780	0.822389	1.000000	0.000000	1.048937	[0.066649, 0.067197, 0.061416, 0.068367, 0.078259, 0.037369, 0.054392, 0.062609, 0.044819, 0.062286, 0.071733, 0.083808, 0.059108, 0.044421, 0.058624, 0.078944]	[0.067222, 0.086354, 0.060139, 0.061806, 0.077049, 0.028333, 0.049896, 0.079444, 0.043333, 0.065, 0.069514, 0.079132, 0.053611, 0.039479, 0.060764, 0.078924]
