# run_started_at	20260424_194026
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777030927.428	0	50	50	4.387097e-05	1.876772	1.859248	0.000000	1.752406	0.000000	2.789000	3.045830	3.026886		0.800000	0.010000	2	2.462252	0.000000	0.000000	0.000000	0.000000	-0.028809	1.721869	-8.873969	13.832089	1.000000	0.000000	1.846678	0.417074	0.000165	0.000000	1.000000	0.000000	0.019419	0.662993	3.304481	1.288963	5.278608	1.193576	2.000000	2.000000	0.033854	0.274575	0.559573	1.000000	0.000000	1.011264	[0.075054, 0.058151, 0.047272, 0.065283, 0.0626, 0.064697, 0.072068, 0.063002, 0.056627, 0.05556, 0.063232, 0.072092, 0.067792, 0.054809, 0.05472, 0.067044]	[0.082865, 0.044635, 0.034948, 0.083802, 0.062622, 0.067222, 0.089444, 0.055503, 0.050521, 0.046944, 0.070417, 0.074219, 0.07342, 0.047222, 0.043611, 0.072604]
1777031025.234	0	100	100	7.999906e-05	1.692517	1.678020	0.000000	1.449750	0.000000	1.678962	2.162958	2.146156		0.800000	0.010000	2	1.274197	0.000000	0.000000	0.000000	0.000000	-0.014936	2.332850	-10.614903	15.718759	1.000000	0.000000	1.577281	0.495595	0.000007	0.000000	1.000000	0.000000	-0.004000	0.675260	4.569772	1.333740	5.434120	1.343390	2.000000	2.000000	0.065104	0.355662	0.635528	1.000000	0.000000	0.721360	[0.07535, 0.056515, 0.062161, 0.064739, 0.055038, 0.053643, 0.070397, 0.071778, 0.051265, 0.055113, 0.066551, 0.063471, 0.066392, 0.059674, 0.061752, 0.06616]	[0.082205, 0.068438, 0.061319, 0.074566, 0.047153, 0.053663, 0.077448, 0.067517, 0.040208, 0.042934, 0.065365, 0.064427, 0.073872, 0.052396, 0.061319, 0.06717]
1777031122.286	0	150	150	7.993752e-05	1.545615	1.531325	0.000000	1.429049	0.000000	1.527328	1.754822	1.739227		0.800000	0.010000	2	0.840041	0.000000	0.000000	0.000000	0.000000	-0.030799	2.776507	-13.360947	19.388508	1.000000	0.000000	1.523020	0.501875	0.000000	0.000000	1.000000	0.000000	-0.014935	0.666532	5.497292	1.417200	5.093769	1.130513	2.000000	2.000000	0.041667	0.357245	0.646504	1.000000	0.000000	0.737374	[0.058562, 0.048802, 0.059532, 0.069229, 0.068175, 0.046052, 0.068012, 0.06569, 0.064283, 0.056793, 0.065691, 0.070162, 0.060078, 0.061467, 0.070982, 0.066489]	[0.062899, 0.041302, 0.051892, 0.064097, 0.084913, 0.043177, 0.058785, 0.065816, 0.065417, 0.068316, 0.064427, 0.073941, 0.056788, 0.06, 0.073941, 0.064288]
1777031234.033	0	200	200	7.977999e-05	1.553982	1.540199	0.000000	1.378297	0.000000	1.474867	1.577320	1.562730	0.425000	0.800000	0.010000	2	1.055965	0.000000	0.000000	0.000000	0.000000	-0.005721	3.061272	-14.172332	22.336380	1.000000	0.000000	1.452500	0.523487	0.000001	0.000000	1.000000	0.000000	-0.012106	0.618611	6.133855	1.509627	4.838178	1.138579	2.000000	2.000000	0.036458	0.381064	0.665910	1.000000	0.000000	0.670901	[0.070941, 0.059055, 0.06431, 0.059435, 0.071954, 0.050931, 0.065761, 0.07254, 0.062387, 0.060071, 0.061625, 0.05726, 0.070092, 0.061668, 0.055554, 0.056417]	[0.068368, 0.060729, 0.076128, 0.065087, 0.073733, 0.047066, 0.070382, 0.072396, 0.053368, 0.06283, 0.055573, 0.04599, 0.080938, 0.063663, 0.047222, 0.056528]
1777031329.992	0	250	250	7.952690e-05	1.423197	1.408673	0.000000	1.452322	0.000000	1.462057	1.501513	1.486919		0.800000	0.010000	2	1.381628	0.000000	0.000000	0.000000	0.000000	-0.013516	3.368175	-16.320100	22.646946	1.000000	0.000000	1.371470	0.544842	0.000000	0.000000	1.000000	0.000000	-0.010896	0.638458	6.684336	1.614399	4.715382	1.116372	2.000000	2.000000	0.033854	0.399359	0.690326	1.000000	0.000000	0.724747	[0.076017, 0.065994, 0.054644, 0.063951, 0.07238, 0.054352, 0.072727, 0.059025, 0.058505, 0.062595, 0.063402, 0.070404, 0.057768, 0.060391, 0.055934, 0.051913]	[0.088299, 0.065694, 0.048073, 0.066076, 0.074497, 0.071059, 0.07941, 0.051545, 0.050451, 0.063125, 0.058333, 0.063524, 0.05184, 0.059288, 0.052413, 0.056372]
1777031426.869	0	300	300	7.917890e-05	1.510699	1.496803	0.000000	1.389569	0.000000	1.442553	1.464957	1.450489		0.800000	0.010000	2	1.316514	0.000000	0.000000	0.000000	0.000000	0.030194	3.665608	-17.723832	23.435435	1.000000	0.000000	1.281036	0.570898	0.000000	0.000000	1.000000	0.000000	-0.021824	0.626761	7.068915	1.559437	4.665158	1.120547	2.000000	2.000000	0.036458	0.428043	0.713753	1.000000	0.000000	0.645460	[0.071574, 0.059952, 0.058978, 0.057647, 0.069204, 0.050138, 0.059912, 0.069257, 0.063747, 0.065523, 0.061793, 0.070813, 0.06062, 0.060348, 0.059351, 0.061142]	[0.092101, 0.070903, 0.05651, 0.054809, 0.078906, 0.045677, 0.055955, 0.067396, 0.056319, 0.070694, 0.062135, 0.070347, 0.05599, 0.050903, 0.056649, 0.054705]
1777031521.977	0	350	350	7.873695e-05	1.394791	1.380910	0.000000	1.388045	0.000000	1.424117	1.431395	1.417088		0.800000	0.010000	2	0.639695	0.000000	0.000000	0.000000	0.000000	0.092999	3.937420	-17.981229	24.732868	1.000000	0.000000	1.247653	0.579833	0.000000	0.000000	1.000000	0.000000	-0.021575	0.613300	7.424908	1.541441	4.512283	1.131688	2.000000	2.000000	0.023438	0.437198	0.722469	1.000000	0.000000	0.653739	[0.071829, 0.059966, 0.05448, 0.062088, 0.0657, 0.060873, 0.050951, 0.06122, 0.059654, 0.05728, 0.065218, 0.077011, 0.067598, 0.064468, 0.054468, 0.067196]	[0.09599, 0.063299, 0.047448, 0.056753, 0.064566, 0.068281, 0.044375, 0.058837, 0.062587, 0.052465, 0.061198, 0.084635, 0.066233, 0.060035, 0.048889, 0.06441]
1777031633.286	0	400	400	7.820221e-05	1.315662	1.302431	0.000000	1.323147	0.000000	1.404932	1.413578	1.400034	0.455000	0.800000	0.010000	2	0.484692	0.000000	0.000000	0.000000	0.000000	0.109836	3.920773	-17.571345	25.706843	1.000000	0.000000	1.281184	0.572803	0.000000	0.000000	1.000000	0.000000	-0.018257	0.589866	7.580963	1.509796	4.388465	1.183146	2.000000	2.000000	0.018229	0.435379	0.710227	1.000000	0.000000	0.608035	[0.076116, 0.059425, 0.06, 0.063562, 0.06268, 0.056824, 0.059111, 0.063654, 0.056964, 0.058628, 0.070706, 0.059895, 0.073159, 0.069315, 0.054256, 0.055707]	[0.083021, 0.075677, 0.053976, 0.060347, 0.057743, 0.061302, 0.05217, 0.06158, 0.056458, 0.055313, 0.068802, 0.059688, 0.07625, 0.072813, 0.048264, 0.056597]
1777031728.812	0	450	450	7.757611e-05	1.465496	1.452668	0.000000	1.282798	0.000000	1.408620	1.408664	1.395536		0.800000	0.010000	2	0.502611	0.000000	0.000000	0.000000	0.000000	0.140281	4.071469	-19.992331	27.320242	1.000000	0.000000	1.270303	0.572418	0.000000	0.000000	1.000000	0.000000	-0.019908	0.625559	7.827127	1.627717	4.431063	1.133289	2.000000	2.000000	0.028646	0.431818	0.713018	1.000000	0.000000	0.577417	[0.070435, 0.060385, 0.072913, 0.057935, 0.062382, 0.066677, 0.059751, 0.060804, 0.054902, 0.056456, 0.061266, 0.06314, 0.060212, 0.063093, 0.065416, 0.064234]	[0.071319, 0.055694, 0.071649, 0.053038, 0.058594, 0.081389, 0.07026, 0.056979, 0.045035, 0.046111, 0.051285, 0.088767, 0.057135, 0.060625, 0.064531, 0.067587]
1777031824.872	0	500	500	7.686033e-05	1.422557	1.408032	0.000000	1.452445	0.000000	1.414328	1.413296	1.400012		0.800000	0.010000	2	0.929892	0.000000	0.000000	0.000000	0.000000	0.010378	4.332689	-20.537229	30.289041	1.000000	0.000000	1.224284	0.586658	0.000000	0.000000	1.000000	0.000000	-0.018150	0.609945	8.169632	1.668404	4.339383	1.145662	2.000000	2.000000	0.039062	0.445055	0.728262	1.000000	0.000000	0.670842	[0.052922, 0.0685, 0.059259, 0.076213, 0.060843, 0.047717, 0.052538, 0.055392, 0.071707, 0.063918, 0.062528, 0.063697, 0.059282, 0.059675, 0.070577, 0.075233]	[0.043333, 0.075434, 0.065938, 0.078507, 0.055903, 0.042413, 0.046719, 0.051875, 0.066615, 0.062934, 0.060885, 0.056632, 0.073802, 0.064497, 0.063958, 0.090556]
