# run_started_at	20260424_212535
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777037173.614	0	50	50	0	0.000210	0.000057	0.000382	2.628481	2.628087	0.994898	0.990306	0.923193
1777037173.614	0	50	50	1	0.000944	0.000370	0.000818	2.225222	2.225717	0.972449	0.968367	0.920587
1777037173.614	0	50	50	2	0.000331	0.000134	0.000253	2.496804	2.496091	0.967347	0.982143	0.986664
1777037173.614	0	50	50	3	0.000542	0.000238	0.000262	2.090803	2.089945	0.992857	0.988265	0.940935
1777037173.614	0	50	50	4	0.000363	0.000150	0.000253	2.361705	2.363152	0.991837	0.987245	0.954445
1777037173.614	0	50	50	5	0.000360	0.000157	0.000184	2.257153	2.257658	0.984694	0.990306	0.966822
1777037173.614	0	50	50	6	0.000446	0.000203	0.000159	2.123590	2.125105	0.988775	0.988265	0.977108
1777037173.614	0	50	50	7	0.000503	0.000231	0.000166	1.821120	1.821412	0.996939	0.990816	0.965313
1777037173.614	0	50	50	8	0.000452	0.000209	0.000142	1.858158	1.858649	0.991837	0.993878	0.976315
1777037173.614	0	50	50	9	0.000535	0.000248	0.000157	1.745433	1.744555	0.990816	0.990816	0.978725
1777037173.614	0	50	50	10	0.000437	0.000200	0.000147	1.862664	1.861942	0.993878	0.991837	0.992258
1777037173.614	0	50	50	11	0.000481	0.000220	0.000165	1.732051	1.729795	0.978571	0.992347	0.991761
1777037173.614	0	50	50	12	0.000680	0.000315	0.000202	1.606138	1.609584	0.996939	0.990306	0.970191
1777037173.614	0	50	50	13	0.000698	0.000329	0.000165	1.402089	1.402606	0.994898	0.992347	0.974940
1777037173.614	0	50	50	14	0.000862	0.000407	0.000195	1.398141	1.395845	0.995918	0.991837	0.964677
1777037173.614	0	50	50	15	0.001433	0.000683	0.000266	1.505841	1.508839	0.982653	0.990816	0.952465
1777037173.614	0	50	50	16	0.001127	0.000538	0.000207	1.232939	1.233040	0.991837	0.989796	0.971958
1777037173.614	0	50	50	17	0.001109	0.000526	0.000223	0.958797	0.959259	0.978571	0.981122	0.951878
1777037173.614	0	50	50	18	0.001303	0.000619	0.000260	1.295110	1.299546	0.995918	0.989796	0.964468
1777037173.614	0	50	50	19	0.001516	0.000725	0.000269	0.815813	0.815412	0.995918	0.993878	0.963360
1777037173.614	0	50	50	20	0.001400	0.000669	0.000244	0.776562	0.775963	0.995918	0.990306	0.977689
1777037173.614	0	50	50	21	0.001884	0.000898	0.000351	0.878348	0.875847	0.997959	0.991327	0.981686
1777037173.614	0	50	50	22	0.001367	0.000651	0.000256	0.829851	0.830498	0.998980	0.989796	0.972836
1777037173.614	0	50	50	23	0.010587	0.005126	0.001342	0.217751	0.216933	0.991837	0.962245	0.977366
1777037210.156	0	100	100	0	0.000011	0.000003	0.000023	2.631351	2.631379	0.998068	0.998068	0.921105
1777037210.156	0	100	100	1	0.000079	0.000031	0.000068	2.235601	2.236005	0.996135	0.994686	0.917313
1777037210.156	0	100	100	2	0.000009	0.000004	0.000006	2.496988	2.497113	0.997101	0.996618	0.986287
1777037210.156	0	100	100	3	0.000028	0.000012	0.000012	2.090430	2.089622	1.000000	0.997585	0.941993
1777037210.156	0	100	100	4	0.000008	0.000003	0.000007	2.369434	2.369413	0.999034	0.999517	0.957747
1777037210.156	0	100	100	5	0.000010	0.000004	0.000006	2.253242	2.253293	0.996135	0.999517	0.966806
1777037210.156	0	100	100	6	0.000017	0.000008	0.000005	2.122588	2.121802	0.996135	0.997585	0.977377
