# run_started_at	20260424_213428
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_winogrande/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777037765.990	0	50	50	4.533333e-05	1.741263	1.726281	0.000000	1.498170	0.000000	2.789259	3.159065	3.140577		0.800000	0.010000	2	1.546050	0.000000	0.000000	0.000000	0.000000	-0.040930	1.665497	-7.939455	11.773299	1.000000	0.000000	1.824419	0.427242	0.000080	0.000000	1.000000	0.000000	0.011337	0.683101	3.049032	1.184162	5.272558	1.361599	2.000000	2.000000	0.020833	0.289026	0.565458	1.000000	0.000000	0.810757	[0.074498, 0.057716, 0.053092, 0.072736, 0.064938, 0.05344, 0.069775, 0.069105, 0.05443, 0.052429, 0.065588, 0.068419, 0.062479, 0.049813, 0.065638, 0.065903]	[0.085083, 0.083181, 0.046472, 0.078847, 0.067292, 0.051625, 0.063625, 0.069653, 0.046458, 0.051681, 0.067167, 0.062583, 0.059347, 0.037542, 0.059847, 0.069597]
1777037860.441	0	100	100	7.999794e-05	1.514521	1.499335	0.000000	1.518605	0.000000	1.577956	2.140860	2.124658		0.800000	0.010000	2	44.036390	0.000000	0.000000	0.000000	0.000000	-0.031444	2.092216	-10.385109	15.279770	1.000000	0.000000	1.730528	0.444951	0.000053	0.000000	1.000000	0.000000	-0.010287	0.669155	4.238978	1.240028	5.121621	1.170591	2.000000	2.000000	0.033854	0.299781	0.590120	1.000000	0.000000	0.809894	[0.065875, 0.058629, 0.073828, 0.07053, 0.061609, 0.058942, 0.070912, 0.073862, 0.057709, 0.060201, 0.056216, 0.068296, 0.059698, 0.0569, 0.050848, 0.055944]	[0.0795, 0.060764, 0.085972, 0.066778, 0.065042, 0.073722, 0.062875, 0.082333, 0.053264, 0.048903, 0.055639, 0.059681, 0.058028, 0.055431, 0.041986, 0.050083]
1777037955.076	0	150	150	7.992588e-05	1.474976	1.460760	0.000000	1.421607	0.000000	1.458323	1.703209	1.688040		0.800000	0.010000	2	0.754663	0.000000	0.000000	0.000000	0.000000	0.026550	2.520790	-12.098446	17.752884	1.000000	0.000000	1.572139	0.491466	0.000000	0.000000	1.000000	0.000000	-0.009440	0.650760	5.293289	1.395390	4.879780	1.179355	2.000000	2.000000	0.026042	0.346957	0.635974	1.000000	0.000000	0.712360	[0.069056, 0.067983, 0.059444, 0.069132, 0.063598, 0.061631, 0.070046, 0.062585, 0.052998, 0.055065, 0.066755, 0.082348, 0.054403, 0.054105, 0.050613, 0.060238]	[0.078625, 0.061306, 0.058347, 0.059361, 0.071736, 0.089319, 0.079611, 0.079861, 0.042444, 0.044861, 0.063181, 0.085667, 0.048625, 0.045903, 0.039583, 0.051569]
1777038057.528	0	200	200	7.975109e-05	1.390490	1.377023	0.000000	1.346717	0.000000	1.398330	1.509836	1.495774	0.512500	0.800000	0.010000	2	0.933369	0.000000	0.000000	0.000000	0.000000	-0.042095	2.771758	-13.509902	18.949742	1.000000	0.000000	1.500803	0.510862	0.000001	0.000000	1.000000	0.000000	-0.013883	0.645180	5.753966	1.409805	4.840143	1.206718	2.000000	2.000000	0.031250	0.367897	0.653826	1.000000	0.000000	0.643495	[0.06448, 0.070154, 0.065051, 0.063166, 0.057513, 0.060322, 0.062927, 0.056612, 0.061376, 0.062055, 0.058129, 0.068245, 0.060178, 0.05983, 0.060816, 0.069146]	[0.063986, 0.066764, 0.063917, 0.089444, 0.061014, 0.066125, 0.058694, 0.050819, 0.056222, 0.057236, 0.054986, 0.070306, 0.057903, 0.053556, 0.049944, 0.079083]
1777038150.692	0	250	250	7.947405e-05	1.444887	1.431863	0.000000	1.302421	0.000000	1.373883	1.423669	1.410135		0.800000	0.010000	2	0.611006	0.000000	0.000000	0.000000	0.000000	-0.060079	3.066636	-13.561506	20.911298	1.000000	0.000000	1.425516	0.531508	0.000000	0.000000	1.000000	0.000000	-0.010463	0.653198	6.205388	1.495656	4.809576	1.186005	2.000000	2.000000	0.020833	0.389212	0.673803	1.000000	0.000000	0.574021	[0.051771, 0.070996, 0.059799, 0.061427, 0.060912, 0.06542, 0.059498, 0.074966, 0.054956, 0.061567, 0.053273, 0.072101, 0.069516, 0.063528, 0.065591, 0.05468]	[0.048958, 0.079653, 0.061833, 0.056681, 0.056917, 0.069667, 0.056597, 0.099653, 0.047375, 0.056014, 0.051056, 0.074417, 0.068292, 0.059431, 0.063264, 0.050194]
1777038243.738	0	300	300	7.909557e-05	1.337405	1.324482	0.000000	1.292309	0.000000	1.340073	1.370810	1.357282		0.800000	0.010000	2	0.644477	0.000000	0.000000	0.000000	0.000000	-0.052381	3.196682	-13.994025	21.606689	1.000000	0.000000	1.395772	0.538262	0.000002	0.000000	1.000000	0.000000	-0.017578	0.621474	6.458406	1.444301	4.593874	1.176211	2.000000	2.000000	0.026042	0.392650	0.683875	1.000000	0.000000	0.599411	[0.06416, 0.066087, 0.055287, 0.068382, 0.063771, 0.047005, 0.069585, 0.073193, 0.064694, 0.063416, 0.054271, 0.063637, 0.056038, 0.066137, 0.065217, 0.059121]	[0.066181, 0.067333, 0.053181, 0.071819, 0.059708, 0.038819, 0.072306, 0.083458, 0.078889, 0.059292, 0.047389, 0.070792, 0.048889, 0.066694, 0.059028, 0.056222]
1777038336.630	0	350	350	7.861672e-05	1.327880	1.314620	0.000000	1.326014	0.000000	1.336827	1.348934	1.335702		0.800000	0.010000	2	0.582686	0.000000	0.000000	0.000000	0.000000	0.029214	3.343509	-14.610160	21.766816	1.000000	0.000000	1.370365	0.545516	0.000003	0.000000	1.000000	0.000000	-0.013323	0.604625	6.789002	1.438808	4.496955	1.209929	2.000000	2.000000	0.026042	0.403135	0.687898	1.000000	0.000000	0.578294	[0.073019, 0.064041, 0.071037, 0.063916, 0.059006, 0.048457, 0.060404, 0.058675, 0.059551, 0.059512, 0.064035, 0.062776, 0.064292, 0.067838, 0.06245, 0.060989]	[0.085653, 0.066597, 0.079153, 0.064486, 0.071667, 0.043208, 0.065986, 0.059028, 0.058319, 0.047292, 0.057417, 0.060597, 0.060514, 0.064333, 0.057625, 0.058125]
1777038438.964	0	400	400	7.803888e-05	1.265377	1.250612	0.000000	1.476442	0.000000	1.312387	1.326023	1.312819	0.505000	0.800000	0.010000	2	0.557789	0.000000	0.000000	0.000000	0.000000	0.116123	3.437434	-15.477452	24.329449	1.000000	0.000000	1.345459	0.554205	0.000001	0.000000	1.000000	0.000000	-0.021033	0.598550	7.082767	1.484341	4.398093	1.250190	2.000000	2.000000	0.028646	0.408487	0.699922	1.000000	0.000000	0.719318	[0.068369, 0.069266, 0.059021, 0.067549, 0.057531, 0.049879, 0.063737, 0.055648, 0.059249, 0.05813, 0.061114, 0.074277, 0.068871, 0.059006, 0.060545, 0.067808]	[0.070556, 0.067764, 0.051306, 0.068833, 0.055583, 0.048014, 0.058736, 0.053431, 0.059236, 0.053444, 0.061944, 0.103611, 0.0675, 0.060167, 0.058042, 0.061833]
1777038533.560	0	450	450	7.736369e-05	1.357371	1.344812	0.000000	1.255842	0.000000	1.327948	1.324883	1.311927		0.800000	0.010000	2	0.546417	0.000000	0.000000	0.000000	0.000000	0.056985	3.691414	-16.906550	25.783233	1.000000	0.000000	1.324659	0.557535	0.000008	0.000000	1.000000	0.000000	-0.022929	0.609671	7.377022	1.581032	4.494814	1.214525	2.000000	2.000000	0.020833	0.413050	0.702021	1.000000	0.000000	0.584428	[0.070621, 0.055237, 0.074493, 0.067525, 0.056644, 0.052341, 0.061799, 0.057169, 0.056552, 0.069487, 0.069459, 0.055132, 0.067221, 0.065327, 0.061167, 0.059826]	[0.075528, 0.049306, 0.077319, 0.062611, 0.05675, 0.050028, 0.062806, 0.056111, 0.050139, 0.103792, 0.062792, 0.049736, 0.064458, 0.068819, 0.051306, 0.0585]
1777038625.069	0	500	500	7.659309e-05	1.247075	1.234587	0.000000	1.248845	0.000000	1.309467	1.316059	1.303391		0.800000	0.010000	2	0.443404	0.000000	0.000000	0.000000	0.000000	0.088641	3.751843	-16.978207	26.720091	1.000000	0.000000	1.295435	0.567059	0.000022	0.000000	1.000000	0.000000	-0.024042	0.590267	7.581817	1.564746	4.464169	1.192624	2.000000	2.000000	0.018229	0.425204	0.708915	1.000000	0.000000	0.545758	[0.066102, 0.056132, 0.065728, 0.063323, 0.071977, 0.051204, 0.064588, 0.066255, 0.055864, 0.063695, 0.058977, 0.062864, 0.058562, 0.05915, 0.069476, 0.066101]	[0.068069, 0.053639, 0.059792, 0.061181, 0.080972, 0.051542, 0.067097, 0.069792, 0.065375, 0.061931, 0.058806, 0.055417, 0.052389, 0.059139, 0.073403, 0.061458]
