# run_started_at	20260424_231249
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	5e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777043602.712	0	50	50	0	0.000251	0.000068	0.000459	2.623456	2.623214	0.994175	0.995146	0.919856
1777043602.712	0	50	50	1	0.001085	0.000437	0.000844	2.225304	2.222483	0.959223	0.968932	0.912466
1777043602.712	0	50	50	2	0.000717	0.000297	0.000487	2.413266	2.411589	0.970874	0.984466	0.982166
1777043602.712	0	50	50	3	0.000833	0.000370	0.000372	2.094882	2.102088	0.990291	0.972816	0.955489
1777043602.712	0	50	50	4	0.000695	0.000295	0.000420	2.355970	2.350061	0.980583	0.980583	0.962874
1777043602.712	0	50	50	5	0.000526	0.000228	0.000276	2.285397	2.283417	0.976699	0.983495	0.981054
1777043602.712	0	50	50	6	0.000726	0.000333	0.000241	2.079225	2.075347	0.986408	0.979612	0.979881
1777043602.712	0	50	50	7	0.000756	0.000352	0.000205	1.733694	1.732779	0.992233	0.986408	0.971460
1777043602.712	0	50	50	8	0.000775	0.000358	0.000240	1.919969	1.921466	0.994175	0.980583	0.980639
1777043602.712	0	50	50	9	0.001030	0.000482	0.000261	1.770255	1.771010	0.992233	0.983495	0.978479
1777043602.712	0	50	50	10	0.000785	0.000361	0.000253	1.803118	1.804128	0.988349	0.987379	0.992267
1777043602.712	0	50	50	11	0.001105	0.000513	0.000313	1.673540	1.672889	0.994175	0.989320	0.991370
1777043602.712	0	50	50	12	0.001254	0.000588	0.000312	1.622301	1.619333	0.988349	0.988349	0.969756
1777043602.712	0	50	50	13	0.001566	0.000747	0.000289	1.370332	1.361298	0.986408	0.988349	0.975500
1777043602.712	0	50	50	14	0.001664	0.000792	0.000318	1.452858	1.454178	0.974757	0.992233	0.964364
1777043602.712	0	50	50	15	0.002821	0.001351	0.000478	1.476550	1.480941	0.988349	0.971845	0.956059
1777043602.712	0	50	50	16	0.001845	0.000879	0.000345	1.321630	1.316421	0.982524	0.993204	0.970752
1777043602.712	0	50	50	17	0.002342	0.001124	0.000381	1.030472	1.043462	0.990291	0.984466	0.944868
1777043602.712	0	50	50	18	0.002054	0.000982	0.000362	1.218507	1.217294	0.992233	0.991262	0.956506
1777043602.712	0	50	50	19	0.002994	0.001444	0.000425	0.825733	0.820249	0.992233	0.985437	0.956101
1777043602.712	0	50	50	20	0.003328	0.001608	0.000446	0.921306	0.929553	0.992233	0.989320	0.976091
1777043602.712	0	50	50	21	0.003000	0.001440	0.000480	0.957850	0.963800	0.996117	0.982524	0.980878
1777043602.712	0	50	50	22	0.003610	0.001751	0.000434	0.784680	0.778732	0.986408	0.983495	0.974596
1777043602.712	0	50	50	23	0.019154	0.009338	0.001916	0.202021	0.202465	0.990291	0.969903	0.976039
