# run_started_at	20260424_233037
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-c"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-c"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_c"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777044667.891	0	50	50	0	0.001111	0.000319	0.001893	2.626942	2.626473	0.972028	0.989510	0.917778
1777044667.891	0	50	50	1	0.004275	0.001760	0.003020	2.192340	2.210198	0.944056	0.954545	0.920166
1777044667.891	0	50	50	2	0.005136	0.002195	0.002986	2.457843	2.453527	0.895105	0.926573	0.980003
1777044667.891	0	50	50	3	0.008118	0.003724	0.002682	2.139937	2.103264	0.951049	0.954545	0.954920
1777044667.891	0	50	50	4	0.003799	0.001625	0.002195	2.363789	2.353952	0.951049	0.958042	0.949782
1777044667.891	0	50	50	5	0.001909	0.000851	0.000831	2.231356	2.226723	0.944056	0.986014	0.982728
1777044667.891	0	50	50	6	0.003288	0.001514	0.001041	2.098526	2.098981	0.965035	0.954545	0.979649
1777044667.891	0	50	50	7	0.005267	0.002454	0.001435	1.817372	1.831505	0.993007	0.972028	0.970560
1777044667.891	0	50	50	8	0.004941	0.002320	0.001206	1.879140	1.877737	0.965035	0.979021	0.979958
1777044667.891	0	50	50	9	0.004752	0.002241	0.001076	1.776779	1.782264	0.979021	0.972028	0.977091
1777044667.891	0	50	50	10	0.003069	0.001442	0.000743	1.843421	1.832505	1.000000	0.982517	0.993139
1777044667.891	0	50	50	11	0.005280	0.002484	0.001248	1.668076	1.682613	0.979021	0.986014	0.989554
1777044667.891	0	50	50	12	0.005768	0.002683	0.001609	1.714108	1.718994	0.972028	0.982517	0.964022
1777044667.891	0	50	50	13	0.009022	0.004303	0.001660	1.372672	1.376816	0.965035	0.972028	0.970579
1777044667.891	0	50	50	14	0.018090	0.008789	0.002048	1.344990	1.348654	0.993007	0.954545	0.957882
1777044667.891	0	50	50	15	0.019083	0.009265	0.002213	1.516283	1.537935	0.965035	0.968531	0.939667
1777044667.891	0	50	50	16	0.010178	0.004877	0.001701	1.252700	1.247001	0.986014	0.972028	0.965918
1777044667.891	0	50	50	17	0.025306	0.012082	0.004568	1.045287	1.061073	0.972028	0.951049	0.925848
1777044667.891	0	50	50	18	0.012231	0.005904	0.001689	1.239470	1.252695	0.965035	0.968531	0.947050
1777044667.891	0	50	50	19	0.018415	0.008856	0.002815	0.857994	0.873652	0.979021	0.951049	0.939934
1777044667.891	0	50	50	20	0.016835	0.008105	0.002502	0.774634	0.772565	0.993007	0.944056	0.965906
1777044667.891	0	50	50	21	0.015447	0.007429	0.002359	1.044080	1.044533	0.986014	0.947552	0.974248
1777044667.891	0	50	50	22	0.040475	0.019664	0.004585	0.751077	0.729217	0.993007	0.958042	0.961826
1777044667.891	0	50	50	23	0.059946	0.028965	0.008062	0.175211	0.167280	0.993007	0.898601	0.967708
1777044697.502	0	100	100	0	0.000111	0.000031	0.000197	2.636384	2.637382	1.000000	0.997159	0.928036
1777044697.502	0	100	100	1	0.000624	0.000268	0.000349	2.330370	2.324099	0.977273	0.988636	0.915246
1777044697.502	0	100	100	2	0.000800	0.000347	0.000422	2.340271	2.339079	0.965909	0.971591	0.983223
1777044697.502	0	100	100	3	0.002616	0.001207	0.000812	2.022144	2.039717	0.994318	0.946023	0.948853
1777044697.502	0	100	100	4	0.000349	0.000149	0.000202	2.337212	2.337454	1.000000	0.988636	0.968014
1777044697.502	0	100	100	5	0.000087	0.000038	0.000048	2.334898	2.334049	0.994318	0.991477	0.985772
1777044697.502	0	100	100	6	0.000812	0.000376	0.000241	2.179913	2.179898	0.982955	0.988636	0.980791
