# run_started_at	20260424_233446
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-c"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-c"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_c"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_c/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777044960.662	0	50	50	5.947738e-05	1.639876	1.621504	0.000000	1.837112	0.000000	1.961543	2.114039	2.096215		0.800000	0.010000	2	4.427059	0.000000	0.000000	0.000000	0.000000	-0.012218	1.967191	-8.131996	11.934705	1.000000	0.000000	1.612287	0.500759	0.000005	0.000000	1.000000	0.000000	-0.009345	0.698774	3.952322	1.244249	5.283740	1.349720	2.000000	2.000000	0.148438	0.364778	0.636739	1.000000	0.000000	0.945313	[0.077281, 0.079083, 0.057483, 0.0756, 0.075481, 0.05111, 0.051663, 0.070563, 0.054644, 0.058297, 0.050329, 0.063458, 0.052395, 0.049705, 0.061552, 0.071356]	[0.097917, 0.092083, 0.049861, 0.072639, 0.100694, 0.042778, 0.046944, 0.070556, 0.049167, 0.049306, 0.049028, 0.053194, 0.048889, 0.040833, 0.058194, 0.077917]
1777045031.833	0	100	100	5.686240e-05	1.640566	1.619797	0.000000	2.076893	0.000000	1.615573	1.792587	1.773929		0.800000	0.010000	2	3.406359	0.000000	0.000000	0.000000	0.000000	-0.143218	2.340046	-9.396672	14.292690	1.000000	0.000000	1.550851	0.505692	0.000005	0.000000	1.000000	0.000000	-0.015252	0.679285	4.472323	1.238249	5.426666	1.086502	2.000000	2.000000	0.210938	0.354091	0.657293	1.000000	0.000000	1.088186	[0.089272, 0.048118, 0.054422, 0.068539, 0.071833, 0.058544, 0.048009, 0.073185, 0.072645, 0.055743, 0.049263, 0.090876, 0.058473, 0.044677, 0.058618, 0.057782]	[0.108889, 0.0475, 0.044444, 0.068611, 0.077639, 0.058056, 0.034722, 0.08625, 0.065139, 0.05, 0.055556, 0.106111, 0.047917, 0.031111, 0.050417, 0.067639]
1777045102.444	0	150	150	5.225715e-05	1.321882	1.305571	0.000000	1.631172	0.000000	1.548252	1.643783	1.625351		0.800000	0.010000	2	2.830893	0.000000	0.000000	0.000000	0.000000	-0.023274	2.530407	-9.324996	15.166735	1.000000	0.000000	1.439614	0.543464	0.000303	0.000000	1.000000	0.000000	-0.010980	0.640740	4.820963	1.249729	5.318183	1.176119	2.000000	2.000000	0.148438	0.407942	0.678986	1.000000	0.000000	0.835260	[0.065033, 0.059194, 0.054926, 0.073935, 0.07515, 0.053434, 0.05982, 0.068352, 0.053872, 0.060737, 0.063658, 0.065256, 0.053264, 0.048874, 0.074607, 0.069888]	[0.067361, 0.068472, 0.046667, 0.077361, 0.084306, 0.050694, 0.082778, 0.074028, 0.045833, 0.050972, 0.060556, 0.065694, 0.044722, 0.037639, 0.074306, 0.068611]
1777045217.369	0	200	200	4.604573e-05	1.071918	1.053856	0.000000	1.806232	0.000000	1.511665	1.555229	1.537018	0.236486	0.800000	0.010000	2	2.335559	0.000000	0.000000	0.000000	0.000000	0.028781	2.610642	-9.632900	14.312342	1.000000	0.000000	1.463257	0.532901	0.000099	0.000000	1.000000	0.000000	-0.013467	0.632500	5.169679	1.314912	4.922512	1.174728	2.000000	2.000000	0.164062	0.391391	0.674411	1.000000	0.000000	0.951138	[0.067216, 0.062647, 0.062622, 0.069621, 0.062854, 0.053749, 0.071619, 0.077802, 0.059392, 0.066538, 0.056589, 0.068156, 0.061791, 0.044794, 0.057137, 0.057473]	[0.073472, 0.069167, 0.0675, 0.062083, 0.061944, 0.043333, 0.077361, 0.088472, 0.063889, 0.069167, 0.054861, 0.0725, 0.055833, 0.034861, 0.044583, 0.060972]
1777045290.178	0	250	250	3.874621e-05	1.340478	1.320513	0.000000	1.996490	0.000000	1.505339	1.516957	1.499317		0.800000	0.010000	2	2.100515	0.000000	0.000000	0.000000	0.000000	0.025654	2.747129	-9.297845	15.477550	1.000000	0.000000	1.379115	0.559912	0.000006	0.000000	1.000000	0.000000	-0.013328	0.616591	5.287299	1.247967	5.044908	1.132106	2.000000	2.000000	0.166667	0.420066	0.699757	1.000000	0.000000	1.000944	[0.086378, 0.058606, 0.06074, 0.061573, 0.061953, 0.046283, 0.055814, 0.092245, 0.053884, 0.060557, 0.066047, 0.059421, 0.068313, 0.043207, 0.068906, 0.056073]	[0.112083, 0.049028, 0.053472, 0.048194, 0.070833, 0.031389, 0.083056, 0.104167, 0.047083, 0.055833, 0.071389, 0.059722, 0.063611, 0.032361, 0.075833, 0.041944]
1777045363.589	1	300	300	3.096742e-05	0.959859	0.942044	0.000000	1.781481	0.000000	1.482832	1.493670	1.475797		0.800000	0.010000	2	1.689831	0.000000	0.000000	0.000000	0.000000	-0.038150	2.790103	-9.620100	15.851539	1.000000	0.000000	1.371446	0.558271	0.000006	0.000000	1.000000	0.000000	-0.013932	0.611787	5.259765	1.167578	5.104733	1.141134	2.000000	2.000000	0.158854	0.418340	0.698202	1.000000	0.000000	0.867202	[0.063109, 0.060314, 0.057966, 0.074615, 0.070154, 0.059353, 0.074779, 0.06004, 0.057993, 0.071236, 0.055647, 0.066311, 0.069178, 0.048236, 0.058339, 0.05273]	[0.063194, 0.071944, 0.045417, 0.08875, 0.071111, 0.066528, 0.071667, 0.058472, 0.05125, 0.07, 0.053472, 0.067639, 0.083333, 0.035556, 0.045556, 0.056111]
1777045436.698	1	350	350	2.335817e-05	1.550829	1.533522	0.000000	1.730748	0.000000	1.465845	1.466428	1.449286		0.800000	0.010000	2	2.806545	0.000000	0.000000	0.000000	0.000000	-0.162343	2.771824	-10.286865	14.982274	1.000000	0.000000	1.405707	0.544425	0.000006	0.000000	1.000000	0.000000	-0.017213	0.617736	5.309488	1.163775	5.062205	1.162975	2.000000	2.000000	0.132812	0.403817	0.685032	1.000000	0.000000	0.894097	[0.051814, 0.057163, 0.055117, 0.069537, 0.077031, 0.072172, 0.064254, 0.066726, 0.059353, 0.069449, 0.049806, 0.068373, 0.065987, 0.050413, 0.069376, 0.053429]	[0.041528, 0.056111, 0.047917, 0.0725, 0.098611, 0.065972, 0.094861, 0.058194, 0.053611, 0.06125, 0.051389, 0.058472, 0.073333, 0.040139, 0.072917, 0.053194]
1777045553.432	1	400	400	1.655310e-05	1.590417	1.574925	0.000000	1.549183	0.000000	1.351940	1.393951	1.377862	0.246622	0.800000	0.010000	2	2.002271	0.000000	0.000000	0.000000	0.000000	-0.041175	2.893128	-9.815789	15.383088	1.000000	0.000000	1.299547	0.581929	0.000028	0.000000	1.000000	0.000000	-0.017380	0.600186	5.305573	1.156841	5.162994	1.136679	2.000000	2.000000	0.119792	0.451677	0.712181	1.000000	0.000000	0.729875	[0.059807, 0.061866, 0.063403, 0.064943, 0.073858, 0.056878, 0.060338, 0.069918, 0.061877, 0.077352, 0.060136, 0.059884, 0.060109, 0.048499, 0.069667, 0.051466]	[0.056806, 0.059583, 0.068472, 0.081389, 0.109444, 0.049583, 0.058194, 0.071111, 0.054861, 0.073611, 0.059167, 0.055694, 0.052778, 0.038194, 0.066667, 0.044444]
1777045627.317	1	450	450	1.111980e-05	1.718043	1.702970	0.000000	1.507277	0.000000	1.372823	1.387184	1.371532		0.800000	0.010000	2	1.724640	0.000000	0.000000	0.000000	0.000000	-0.029210	2.690315	-9.626727	15.053004	1.000000	0.000000	1.432787	0.539896	0.000028	0.000000	1.000000	0.000000	-0.016497	0.595237	5.258121	1.110205	4.964868	1.100531	2.000000	2.000000	0.104167	0.404801	0.674992	1.000000	0.000000	0.812555	[0.060901, 0.067814, 0.055731, 0.068039, 0.078445, 0.053718, 0.06064, 0.062291, 0.057764, 0.075647, 0.055373, 0.070566, 0.069848, 0.048785, 0.067718, 0.04672]	[0.062083, 0.077639, 0.044444, 0.074444, 0.104722, 0.041806, 0.081389, 0.053472, 0.04875, 0.087083, 0.047917, 0.067639, 0.065972, 0.04, 0.0675, 0.035139]
1777045699.634	1	500	500	7.511460e-06	1.308898	1.293239	0.000000	1.565844	0.000000	1.451094	1.432028	1.416829		0.800000	0.010000	2	2.186725	0.000000	0.000000	0.000000	0.000000	-0.039080	2.625015	-9.706698	14.826822	1.000000	0.000000	1.534212	0.500927	0.000028	0.000000	1.000000	0.000000	-0.015892	0.597941	5.249713	1.095258	4.893294	1.050801	2.000000	2.000000	0.132812	0.360978	0.640876	1.000000	0.000000	0.908393	[0.056038, 0.066516, 0.060076, 0.0651, 0.06279, 0.06088, 0.057687, 0.07437, 0.058448, 0.079284, 0.058217, 0.067192, 0.062428, 0.048442, 0.06982, 0.052712]	[0.062778, 0.061944, 0.065139, 0.081528, 0.080139, 0.045556, 0.050972, 0.079861, 0.049028, 0.088889, 0.048611, 0.065139, 0.051528, 0.040417, 0.070417, 0.058056]
