# run_started_at	20260425_030844
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	600
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa_nopairwise"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.002f
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa_nopairwise/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777057803.923	0	50	50	7.949586e-05	1.739704	1.735066	0.000000	2.318968	0.000000	2.322416	2.711701	2.706987		0.400000	0.002000	2	1.440908	0.000000	0.000000	0.000000	0.000000	-0.072209	2.307887	-10.674007	16.411973	1.000000	0.000000	1.477563	0.527495	0.000014	0.000000	1.000000	0.000000	-0.003283	0.680277	4.479332	1.573497	5.180344	1.128233	2.000000	2.000000	0.117188	0.375449	0.679541	1.000000	0.000000	1.133522	[0.089048, 0.061523, 0.06008, 0.061841, 0.077126, 0.060438, 0.062264, 0.071134, 0.047557, 0.049488, 0.050274, 0.066873, 0.068803, 0.043992, 0.0506, 0.078961]	[0.116736, 0.072847, 0.051019, 0.056366, 0.090208, 0.053866, 0.062384, 0.072269, 0.037269, 0.040856, 0.045764, 0.070046, 0.070255, 0.034745, 0.041713, 0.083657]
1777057879.245	0	100	100	7.673250e-05	1.777190	1.773137	0.000000	2.026373	0.000000	1.829878	2.145679	2.141069		0.400000	0.002000	2	1.377584	0.000000	0.000000	0.000000	0.000000	-0.039001	2.679883	-11.937409	17.122976	1.000000	0.000000	1.300057	0.582743	0.000002	0.000000	1.000000	0.000000	-0.005662	0.637436	5.120565	1.409823	4.975363	1.179322	2.000000	2.000000	0.093750	0.447185	0.718300	1.000000	0.000000	0.961927	[0.067812, 0.057591, 0.058525, 0.064339, 0.058896, 0.046912, 0.051792, 0.069362, 0.064627, 0.067761, 0.060134, 0.069316, 0.07503, 0.047968, 0.078963, 0.060972]	[0.090185, 0.048704, 0.061921, 0.058032, 0.068681, 0.035185, 0.049514, 0.07044, 0.059815, 0.068773, 0.063542, 0.070023, 0.078125, 0.036898, 0.076042, 0.06412]
1777057953.603	0	150	150	7.173848e-05	1.813665	1.809488	0.000000	2.088529	0.000000	1.766982	1.903949	1.899680		0.400000	0.002000	2	1.159179	0.000000	0.000000	0.000000	0.000000	0.096033	2.941395	-12.209603	17.884264	1.000000	0.000000	1.280804	0.582432	0.000010	0.000000	1.000000	0.000000	-0.010060	0.624361	5.613615	1.475787	4.939281	1.073256	2.000000	2.000000	0.106771	0.440053	0.724812	1.000000	0.000000	1.043870	[0.080546, 0.070923, 0.048499, 0.052075, 0.079549, 0.04824, 0.056917, 0.063391, 0.040711, 0.080981, 0.07523, 0.071355, 0.074244, 0.045342, 0.055613, 0.056384]	[0.107616, 0.09669, 0.040648, 0.036921, 0.089792, 0.036505, 0.047199, 0.061644, 0.030648, 0.074884, 0.102917, 0.075116, 0.065579, 0.030671, 0.049306, 0.053866]
1777058048.636	0	200	200	6.485412e-05	1.793672	1.789289	0.000000	2.191301	0.000000	1.720139	1.785194	1.781126	0.310000	0.400000	0.002000	2	1.095041	0.000000	0.000000	0.000000	0.000000	-0.063951	3.091321	-13.074644	18.132381	1.000000	0.000000	1.234105	0.600119	0.000028	0.000000	1.000000	0.000000	-0.010854	0.637589	5.868337	1.448927	4.793666	1.073818	2.000000	2.000000	0.114583	0.463019	0.737219	1.000000	0.000000	1.040925	[0.085199, 0.063133, 0.061545, 0.06276, 0.083331, 0.055223, 0.047779, 0.067212, 0.048735, 0.052857, 0.073354, 0.074597, 0.059171, 0.050915, 0.059997, 0.054191]	[0.101782, 0.057593, 0.055046, 0.049815, 0.099167, 0.044329, 0.037338, 0.064514, 0.040694, 0.058981, 0.087014, 0.075856, 0.075116, 0.04419, 0.057106, 0.051458]
1777058125.641	1	250	250	5.654859e-05	1.796766	1.793133	0.000000	1.816661	0.000000	1.694468	1.725964	1.722044		0.400000	0.002000	2	1.025880	0.000000	0.000000	0.000000	0.000000	0.005461	3.163574	-13.626711	19.545538	1.000000	0.000000	1.230573	0.602468	0.000001	0.000000	1.000000	0.000000	-0.011122	0.629895	6.120117	1.494178	4.768243	1.153373	2.000000	2.000000	0.085938	0.464317	0.740618	1.000000	0.000000	0.897173	[0.070422, 0.066088, 0.061177, 0.062865, 0.072032, 0.060828, 0.052088, 0.069718, 0.046312, 0.05492, 0.054761, 0.061763, 0.086946, 0.056514, 0.057739, 0.065825]	[0.080532, 0.066458, 0.056065, 0.05662, 0.096898, 0.06162, 0.057106, 0.072454, 0.035301, 0.04581, 0.045579, 0.060301, 0.09588, 0.050903, 0.051528, 0.066944]
1777058199.689	1	300	300	4.738790e-05	1.664954	1.661038	0.000000	1.958012	0.000000	1.646141	1.675548	1.671859		0.400000	0.002000	2	0.791832	0.000000	0.000000	0.000000	0.000000	-0.150147	3.388111	-14.191420	21.208700	1.000000	0.000000	1.188671	0.608301	0.000003	0.000000	1.000000	0.000000	-0.010656	0.605232	6.214858	1.503768	4.869426	1.060947	2.000000	2.000000	0.088542	0.467252	0.749350	1.000000	0.000000	0.989259	[0.061967, 0.05835, 0.065794, 0.062694, 0.065901, 0.065002, 0.044809, 0.085391, 0.053568, 0.068392, 0.053717, 0.081781, 0.060351, 0.054631, 0.065153, 0.0525]	[0.063032, 0.053634, 0.068981, 0.050926, 0.090602, 0.075139, 0.034583, 0.095278, 0.059792, 0.063079, 0.048588, 0.076505, 0.051551, 0.061088, 0.061412, 0.04581]
1777058274.068	1	350	350	3.799633e-05	1.728611	1.725368	0.000000	1.621915	0.000000	1.676512	1.678330	1.674761		0.400000	0.002000	2	0.704042	0.000000	0.000000	0.000000	0.000000	-0.074181	3.300958	-13.970490	19.740895	1.000000	0.000000	1.243304	0.590466	0.000011	0.000000	1.000000	0.000000	-0.012814	0.605491	6.144338	1.414035	4.726106	1.068700	2.000000	2.000000	0.083333	0.454330	0.726603	1.000000	0.000000	0.781956	[0.077922, 0.055592, 0.062363, 0.065862, 0.061593, 0.053336, 0.041622, 0.065862, 0.057517, 0.061758, 0.065158, 0.072502, 0.081089, 0.065208, 0.060217, 0.0524]	[0.090069, 0.055046, 0.058796, 0.061343, 0.057222, 0.051389, 0.038333, 0.058009, 0.058356, 0.057708, 0.066435, 0.073125, 0.099653, 0.060949, 0.055556, 0.058009]
1777058368.762	1	400	400	2.901389e-05	1.791256	1.787915	0.000000	1.670670	0.000000	1.624295	1.645431	1.642018	0.324000	0.400000	0.002000	2	1.037918	0.000000	0.000000	0.000000	0.000000	-0.023766	3.154008	-13.407754	19.487069	1.000000	0.000000	1.310256	0.571082	0.000005	0.000000	1.000000	0.000000	-0.014551	0.584946	6.039650	1.380923	4.497465	1.114238	2.000000	2.000000	0.075521	0.433244	0.708921	1.000000	0.000000	0.856585	[0.073483, 0.057569, 0.044685, 0.070398, 0.064101, 0.04464, 0.050585, 0.077869, 0.064048, 0.06642, 0.067582, 0.064522, 0.086031, 0.060211, 0.051467, 0.056387]	[0.081204, 0.051505, 0.035648, 0.060926, 0.07706, 0.03412, 0.053565, 0.079954, 0.06875, 0.072176, 0.059282, 0.065856, 0.103843, 0.056574, 0.045602, 0.053935]
1777058445.221	2	450	450	2.105274e-05	1.655014	1.652169	0.000000	1.422350	0.000000	1.557450	1.584512	1.581310		0.400000	0.002000	2	0.771427	0.000000	0.000000	0.000000	0.000000	-0.044875	3.323472	-13.580961	20.242827	1.000000	0.000000	1.239838	0.595297	0.000006	0.000000	1.000000	0.000000	-0.015341	0.584855	6.072859	1.381392	4.679296	1.178338	2.000000	2.000000	0.062500	0.464721	0.725872	1.000000	0.000000	0.663313	[0.071063, 0.06509, 0.056802, 0.073658, 0.062242, 0.053, 0.051398, 0.072555, 0.060124, 0.057262, 0.065292, 0.069892, 0.073131, 0.058024, 0.054949, 0.055519]	[0.079236, 0.062199, 0.051713, 0.070579, 0.07544, 0.050741, 0.052569, 0.074444, 0.058009, 0.048356, 0.060139, 0.071458, 0.085903, 0.054421, 0.048773, 0.056019]
1777058519.177	2	500	500	1.465540e-05	1.581854	1.578928	0.000000	1.463247	0.000000	1.554154	1.563648	1.560656		0.400000	0.002000	2	0.718069	0.000000	0.000000	0.000000	0.000000	-0.014141	3.206867	-13.833902	19.806989	1.000000	0.000000	1.271241	0.585882	0.000016	0.000000	1.000000	0.000000	-0.015031	0.577710	6.121699	1.403276	4.602391	1.131557	2.000000	2.000000	0.067708	0.455754	0.716009	1.000000	0.000000	0.680528	[0.072014, 0.06093, 0.054647, 0.068287, 0.060691, 0.04835, 0.053129, 0.073386, 0.053694, 0.067899, 0.059226, 0.072936, 0.085879, 0.057642, 0.054566, 0.056726]	[0.072546, 0.061736, 0.049583, 0.066852, 0.069514, 0.045648, 0.046551, 0.070833, 0.051227, 0.071343, 0.051505, 0.082384, 0.110486, 0.048356, 0.047523, 0.053912]
