# run_started_at	20260425_111320
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	200
# arg	eval_max_samples	600
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa_nopairwise"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.002
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa_nopairwise/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777086900.234	0	50	50	7.418182e-05	2.055367	1.868056	0.918866	1.769117	0.000000	2.708080	2.908184	2.764829		0.200000	0.002000	2	0.162655	0.500000	-0.239325	-1.118363	-0.879038	-0.053697	1.241833	-4.781716	8.107881	1.000000	0.000000	2.048393	0.355635	0.000424	0.000000	1.000000	0.000000	-0.030800	0.557202	25.104035	4.967568	6.064742	1.350648	2.000000	2.000000	0.117188	0.216016	0.495253	1.000000	0.000000	1.104435	[0.072034, 0.057846, 0.057743, 0.067282, 0.068609, 0.053152, 0.054597, 0.081726, 0.065536, 0.059024, 0.056363, 0.065566, 0.058771, 0.056752, 0.056613, 0.068387]	[0.109236, 0.056157, 0.046574, 0.059144, 0.092257, 0.033808, 0.035995, 0.09566, 0.064306, 0.044769, 0.061227, 0.076991, 0.055509, 0.048113, 0.037627, 0.082627]
1777086997.542	0	100	100	7.988927e-05	1.806152	1.673328	0.647246	1.687104	0.000000	1.944479	2.285001	2.146742		0.200000	0.002000	2	0.104993	0.666667	0.233883	-0.539375	-0.773259	-0.031001	1.195431	-4.572038	7.844904	1.000000	0.000000	2.068352	0.353453	0.000466	0.000000	1.000000	0.000000	-0.030094	0.564419	25.554894	5.029435	5.938217	1.273155	2.000000	2.000000	0.117188	0.219713	0.487194	1.000000	0.000000	1.065204	[0.066628, 0.059846, 0.059654, 0.067166, 0.071406, 0.05769, 0.054752, 0.079019, 0.062219, 0.052865, 0.06001, 0.072965, 0.057675, 0.052041, 0.053006, 0.073059]	[0.09463, 0.048843, 0.045012, 0.068056, 0.101042, 0.047292, 0.037269, 0.077743, 0.048808, 0.037303, 0.075312, 0.087697, 0.056829, 0.038981, 0.034063, 0.101123]
1777087096.540	0	150	150	7.950737e-05	1.805499	1.682585	0.599042	1.552543	0.000000	1.851208	2.008533	1.872008		0.200000	0.002000	2	0.072297	0.750000	0.419621	-0.576020	-0.995641	-0.029111	1.180522	-4.668581	8.169068	1.000000	0.000000	2.079896	0.347887	0.000618	0.000000	1.000000	0.000000	-0.029822	0.547604	25.801479	4.922668	5.859905	1.308912	2.000000	2.000000	0.080729	0.215011	0.480762	1.000000	0.000000	1.016653	[0.067228, 0.063667, 0.062068, 0.068528, 0.070759, 0.054184, 0.050831, 0.073007, 0.062597, 0.055769, 0.061742, 0.067197, 0.059395, 0.055341, 0.062363, 0.065325]	[0.085428, 0.08559, 0.052894, 0.067766, 0.108692, 0.060116, 0.026215, 0.07015, 0.058113, 0.037685, 0.066574, 0.066759, 0.05147, 0.039178, 0.050336, 0.073032]
1777087213.785	0	200	200	7.885585e-05	1.766562	1.642991	0.603682	1.417174	0.000000	1.794893	1.874172	1.747588	0.316000	0.200000	0.002000	2	0.067414	0.666667	0.309242	-0.527615	-0.836857	-0.009607	1.188007	-4.814604	7.687939	1.000000	0.000000	2.092084	0.338827	0.000555	0.000000	1.000000	0.000000	-0.029852	0.544915	26.114799	4.925370	5.752049	1.299874	2.000000	2.000000	0.072917	0.206810	0.470845	1.000000	0.000000	0.913439	[0.059578, 0.059472, 0.057444, 0.071182, 0.063904, 0.055633, 0.057525, 0.075278, 0.069473, 0.059047, 0.059377, 0.065098, 0.064846, 0.054792, 0.059822, 0.067531]	[0.065949, 0.05934, 0.0411, 0.07147, 0.107523, 0.045405, 0.04515, 0.083067, 0.07191, 0.047326, 0.069803, 0.066574, 0.064063, 0.040081, 0.046655, 0.074583]
1777087311.541	0	250	250	7.793963e-05	2.026624	1.918144	0.528958	1.344327	0.000000	1.797793	1.826597	1.706368		0.200000	0.002000	2	0.087048	0.583333	0.586120	-0.280979	-0.867099	0.014082	1.183677	-4.790611	8.382940	1.000000	0.000000	2.044969	0.358830	0.000570	0.000000	1.000000	0.000000	-0.029402	0.549731	26.446879	5.018872	5.623787	1.404235	2.000000	2.000000	0.062500	0.232207	0.485454	1.000000	0.000000	0.776016	[0.067457, 0.061422, 0.064381, 0.074052, 0.066986, 0.053782, 0.054662, 0.072971, 0.057341, 0.057266, 0.061154, 0.064978, 0.065847, 0.053212, 0.05661, 0.067879]	[0.090856, 0.065451, 0.065127, 0.086852, 0.099491, 0.038113, 0.040984, 0.070602, 0.046076, 0.041944, 0.058623, 0.079942, 0.072269, 0.0375, 0.041019, 0.06515]
1777087409.254	0	300	300	7.676569e-05	1.552048	1.437628	0.559150	1.294846	0.000000	1.738235	1.766620	1.655280		0.200000	0.002000	2	0.082600	0.583333	0.714999	-0.642260	-1.357258	0.015167	1.191173	-5.127038	7.928207	1.000000	0.000000	2.064574	0.350476	0.000597	0.000000	1.000000	0.000000	-0.029790	0.547968	26.754955	5.067134	5.563588	1.452517	2.000000	2.000000	0.072917	0.222623	0.478330	1.000000	0.000000	0.746296	[0.062852, 0.062301, 0.060781, 0.066112, 0.066315, 0.055679, 0.056057, 0.069267, 0.06672, 0.061267, 0.059922, 0.064026, 0.065243, 0.056947, 0.063498, 0.063014]	[0.075532, 0.077558, 0.07, 0.058009, 0.093588, 0.040984, 0.04647, 0.065706, 0.064803, 0.052917, 0.06081, 0.06912, 0.065579, 0.044352, 0.0636, 0.050972]
1777087506.380	0	350	350	7.534293e-05	1.514657	1.441914	0.351207	1.250908	0.000000	1.715846	1.731579	1.625292		0.200000	0.002000	2	0.068738	0.916667	1.984931	-0.131108	-2.116039	0.001070	1.170886	-5.111305	8.025002	1.000000	0.000000	2.079435	0.344072	0.000530	0.000000	1.000000	0.000000	-0.030315	0.550614	27.083350	5.096052	5.400530	1.465235	2.000000	2.000000	0.072917	0.217610	0.470534	1.000000	0.000000	0.704798	[0.058549, 0.061276, 0.061632, 0.066369, 0.069915, 0.055332, 0.057925, 0.066223, 0.070234, 0.061474, 0.060062, 0.063532, 0.064466, 0.058713, 0.055858, 0.068441]	[0.053588, 0.064132, 0.066609, 0.07985, 0.09956, 0.039745, 0.059838, 0.06147, 0.068981, 0.05353, 0.060174, 0.06794, 0.065069, 0.05816, 0.039329, 0.062025]
1777087623.460	0	400	400	7.368216e-05	1.890396	1.803942	0.418459	1.381114	0.000000	1.664006	1.691872	1.591466	0.304000	0.200000	0.002000	2	0.075272	0.833333	1.562751	-0.347627	-1.910378	-0.027182	1.221468	-5.164468	8.158509	1.000000	0.000000	2.031103	0.362016	0.000616	0.000000	1.000000	0.000000	-0.029139	0.562670	27.362973	5.116111	5.629318	1.324869	2.000000	2.000000	0.070312	0.233987	0.490044	1.000000	0.000000	0.818402	[0.060517, 0.059425, 0.057439, 0.065084, 0.061446, 0.0559, 0.057341, 0.071361, 0.069358, 0.057057, 0.060417, 0.075509, 0.063164, 0.057925, 0.063033, 0.065024]	[0.066933, 0.048194, 0.053495, 0.056227, 0.084583, 0.041227, 0.050521, 0.070718, 0.071979, 0.044977, 0.087269, 0.101285, 0.059109, 0.049792, 0.052373, 0.061319]
1777087720.021	0	450	450	7.179600e-05	1.650857	1.551278	0.485452	1.244104	0.000000	1.647676	1.661438	1.566819		0.200000	0.002000	2	0.075364	0.750000	0.877587	-0.211679	-1.089266	0.008729	1.252528	-5.258434	8.496465	1.000000	0.000000	1.998973	0.371623	0.000553	0.000000	1.000000	0.000000	-0.028833	0.559236	27.697695	5.157453	5.578404	1.435454	2.000000	2.000000	0.059896	0.246244	0.497002	1.000000	0.000000	0.643217	[0.05875, 0.064223, 0.062087, 0.063929, 0.061683, 0.055126, 0.056566, 0.068121, 0.066055, 0.064704, 0.061895, 0.062823, 0.06845, 0.057593, 0.061239, 0.066757]	[0.060521, 0.059873, 0.061076, 0.055602, 0.083877, 0.041447, 0.05397, 0.071424, 0.065243, 0.060637, 0.058449, 0.078125, 0.074468, 0.045417, 0.05853, 0.071343]
1777087816.804	0	500	500	6.969876e-05	1.762953	1.687197	0.366449	1.233224	0.000000	1.614165	1.632317	1.540365		0.200000	0.002000	2	0.078010	0.916667	1.245827	-0.112760	-1.358587	0.011434	1.235612	-5.173770	8.371327	1.000000	0.000000	2.020936	0.362139	0.000524	0.000000	1.000000	0.000000	-0.029500	0.562768	28.025911	5.129315	5.421907	1.506674	2.000000	2.000000	0.062500	0.236501	0.487778	1.000000	0.000000	0.653708	[0.061018, 0.064275, 0.060482, 0.066077, 0.061404, 0.0546, 0.055263, 0.074032, 0.066501, 0.060569, 0.062905, 0.062674, 0.06276, 0.061787, 0.061341, 0.064311]	[0.061076, 0.085706, 0.061701, 0.060405, 0.068102, 0.043241, 0.044074, 0.088229, 0.071308, 0.04985, 0.056076, 0.068137, 0.065532, 0.06934, 0.048958, 0.058264]
