# run_started_at	20260425_144442
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	5e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e_o20"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_e_o20/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777099576.916	0	50	50	4.998752e-05	1.388550	1.373258	0.652505	1.529202	0.000000	2.137492	2.193799	2.178512		0.000000	0.010000	2	0.083185	0.625000	0.171257	-0.383424	-0.554681	-0.045174	1.234969	-5.075746	7.729941	1.000000	0.000000	2.139348	0.329301	0.000522	0.000000	1.000000	0.000000	-0.026401	0.653603	22.895246	5.321851	6.088658	1.434958	2.000000	2.000000	0.151042	0.199587	0.459016	1.000000	0.000000	1.013900	[0.061569, 0.059233, 0.059135, 0.065548, 0.065911, 0.056828, 0.058305, 0.067776, 0.069123, 0.06384, 0.057549, 0.071479, 0.057661, 0.051903, 0.060578, 0.073562]	[0.057969, 0.064531, 0.04816, 0.052535, 0.091597, 0.050972, 0.05842, 0.079948, 0.079531, 0.055139, 0.057014, 0.079878, 0.053767, 0.037917, 0.056128, 0.076493]
1777099666.507	0	100	100	4.970744e-05	1.482320	1.469540	0.751257	1.277977	0.000000	1.516662	1.758757	1.744556		0.000000	0.010000	2	0.080528	0.375000	-0.096428	-0.554719	-0.458291	-0.014381	1.234121	-5.028813	7.610519	1.000000	0.000000	2.132381	0.329721	0.000643	0.000000	1.000000	0.000000	-0.025712	0.644679	23.314533	5.295058	6.090320	1.414341	2.000000	2.000000	0.101562	0.202501	0.456941	1.000000	0.000000	0.791604	[0.060762, 0.064924, 0.061622, 0.06825, 0.063037, 0.056226, 0.057034, 0.067523, 0.065417, 0.059284, 0.05975, 0.069521, 0.058791, 0.056119, 0.063657, 0.068083]	[0.078872, 0.079097, 0.047274, 0.065764, 0.083576, 0.038056, 0.050573, 0.066181, 0.060122, 0.049271, 0.05092, 0.082014, 0.06026, 0.047396, 0.074306, 0.066319]
1777099756.034	0	150	150	4.906332e-05	1.239388	1.227245	0.556114	1.214345	0.000000	1.427785	1.543010	1.529913		0.000000	0.010000	2	0.070494	0.625000	0.669321	-0.272717	-0.942037	-0.010448	1.207046	-5.072508	7.688333	1.000000	0.000000	2.158320	0.317850	0.000753	0.000000	1.000000	0.000000	-0.024913	0.639103	23.686960	5.348176	5.997077	1.392179	2.000000	2.000000	0.078125	0.191424	0.444275	1.000000	0.000000	0.722654	[0.061204, 0.066274, 0.06249, 0.064923, 0.063651, 0.056802, 0.054533, 0.06823, 0.065367, 0.060572, 0.060298, 0.070333, 0.060494, 0.05836, 0.063309, 0.063159]	[0.075174, 0.089965, 0.052847, 0.052049, 0.082066, 0.040781, 0.045365, 0.066667, 0.058715, 0.045816, 0.05724, 0.083785, 0.056042, 0.059097, 0.066128, 0.068264]
1777099865.879	0	200	200	4.806570e-05	1.381370	1.369147	0.594141	1.222303	0.000000	1.375153	1.434419	1.421978	0.442500	0.000000	0.010000	2	0.075839	0.625000	0.263947	-0.283757	-0.547704	-0.008257	1.189456	-5.039347	7.518422	1.000000	0.000000	2.179597	0.310014	0.000858	0.000000	1.000000	0.000000	-0.024829	0.630842	24.021638	5.341380	5.954150	1.331743	2.000000	2.000000	0.096354	0.184074	0.435955	1.000000	0.000000	0.756618	[0.062239, 0.065578, 0.060537, 0.068035, 0.065387, 0.061226, 0.056455, 0.064898, 0.066303, 0.060135, 0.059075, 0.069464, 0.062777, 0.057957, 0.058796, 0.061138]	[0.057795, 0.073576, 0.056476, 0.070104, 0.077969, 0.06717, 0.04717, 0.063681, 0.069983, 0.047049, 0.049497, 0.083767, 0.06283, 0.066545, 0.051562, 0.054826]
1777099955.174	0	250	250	4.673095e-05	1.310258	1.298552	0.591036	1.170631	0.000000	1.337733	1.373964	1.361956		0.000000	0.010000	2	0.071789	0.875000	0.289558	-0.248306	-0.537864	0.002539	1.197264	-4.882208	7.521897	1.000000	0.000000	2.155218	0.320404	0.000797	0.000000	1.000000	0.000000	-0.025200	0.622190	24.322475	5.362315	5.846098	1.445356	2.000000	2.000000	0.065104	0.198474	0.442333	1.000000	0.000000	0.600692	[0.062759, 0.064753, 0.064188, 0.068024, 0.064238, 0.056243, 0.055362, 0.067509, 0.066228, 0.061243, 0.062225, 0.062881, 0.063425, 0.056797, 0.059525, 0.0646]	[0.065069, 0.085347, 0.057691, 0.066441, 0.088854, 0.036927, 0.055764, 0.064913, 0.061128, 0.053316, 0.065625, 0.067066, 0.064531, 0.045278, 0.059826, 0.062222]
1777100043.240	0	300	300	4.508093e-05	1.210770	1.199284	0.563132	1.148566	0.000000	1.321236	1.338044	1.326363		0.000000	0.010000	2	0.077391	0.875000	0.331042	-0.328555	-0.659597	0.010830	1.235416	-5.147761	7.564854	1.000000	0.000000	2.134325	0.325446	0.000842	0.000000	1.000000	0.000000	-0.025248	0.618345	24.702369	5.497018	5.939779	1.406537	2.000000	2.000000	0.075521	0.201715	0.449178	1.000000	0.000000	0.565688	[0.064371, 0.064309, 0.061396, 0.070511, 0.064718, 0.058847, 0.057613, 0.066712, 0.065362, 0.057365, 0.061038, 0.060532, 0.061364, 0.058452, 0.06203, 0.065381]	[0.07592, 0.076285, 0.053264, 0.076424, 0.081806, 0.047274, 0.057951, 0.065972, 0.058889, 0.043194, 0.064149, 0.074115, 0.060191, 0.046753, 0.060694, 0.057118]
1777100131.553	0	350	350	4.314271e-05	1.348922	1.337729	0.632306	1.119237	0.000000	1.247693	1.280650	1.269200		0.000000	0.010000	2	0.069424	0.625000	0.248776	-0.387841	-0.636616	0.006327	1.217279	-5.255402	7.675689	1.000000	0.000000	2.158091	0.315373	0.000926	0.000000	1.000000	0.000000	-0.024091	0.609136	25.033645	5.584045	5.771343	1.432285	2.000000	2.000000	0.054688	0.191711	0.439035	1.000000	0.000000	0.526485	[0.063344, 0.063572, 0.063379, 0.066857, 0.064094, 0.05797, 0.055995, 0.066834, 0.065045, 0.061356, 0.060267, 0.063424, 0.061197, 0.061994, 0.058946, 0.065726]	[0.070052, 0.068524, 0.054358, 0.060017, 0.085677, 0.053715, 0.051858, 0.068993, 0.062604, 0.051163, 0.059844, 0.06651, 0.065295, 0.057257, 0.054878, 0.069253]
1777100239.411	0	400	400	4.094806e-05	1.296607	1.285612	0.640416	1.099427	0.000000	1.234171	1.250828	1.239537	0.430000	0.000000	0.010000	2	0.074544	0.625000	0.153129	-0.456449	-0.609578	0.016531	1.211533	-5.330689	7.615053	1.000000	0.000000	2.176435	0.306293	0.000791	0.000000	1.000000	0.000000	-0.023917	0.603714	25.408869	5.613229	5.667555	1.419983	2.000000	2.000000	0.065104	0.184220	0.428367	1.000000	0.000000	0.552385	[0.064235, 0.062721, 0.060765, 0.067527, 0.060919, 0.059271, 0.05694, 0.067147, 0.066099, 0.061874, 0.059774, 0.061539, 0.064723, 0.061283, 0.061232, 0.06395]	[0.066302, 0.063663, 0.051771, 0.065017, 0.072552, 0.053594, 0.061753, 0.067066, 0.061406, 0.056597, 0.056424, 0.062344, 0.080521, 0.070608, 0.056163, 0.054219]
1777100328.152	1	450	450	3.853294e-05	1.317989	1.306988	0.657413	1.100048	0.000000	1.182246	1.208557	1.197415		0.000000	0.010000	2	0.078597	0.625000	0.164799	-0.313140	-0.477939	0.011943	1.305006	-5.651975	8.037549	1.000000	0.000000	2.087537	0.339207	0.000881	0.000000	1.000000	0.000000	-0.023441	0.601017	25.806288	5.772169	5.936808	1.411073	2.000000	2.000000	0.059896	0.214073	0.464341	1.000000	0.000000	0.485400	[0.061571, 0.065973, 0.060814, 0.067913, 0.063467, 0.057783, 0.054896, 0.065193, 0.064825, 0.063616, 0.060946, 0.062965, 0.062932, 0.060096, 0.062869, 0.064142]	[0.067448, 0.078142, 0.052587, 0.063663, 0.06651, 0.048403, 0.047726, 0.062292, 0.061094, 0.055347, 0.061927, 0.070052, 0.072813, 0.068889, 0.063351, 0.059757]
1777100417.167	1	500	500	3.593696e-05	1.078074	1.067148	0.353717	1.092606	0.000000	1.129481	1.156379	1.145332		0.000000	0.010000	2	0.064720	1.000000	1.123883	-0.070759	-1.194642	0.008697	1.319018	-5.809334	7.924920	1.000000	0.000000	2.100442	0.333024	0.000812	0.000000	1.000000	0.000000	-0.023193	0.604659	26.304590	5.898354	5.901133	1.407669	2.000000	2.000000	0.054688	0.208378	0.457670	1.000000	0.000000	0.467956	[0.064194, 0.063725, 0.062931, 0.066881, 0.063093, 0.057969, 0.055994, 0.065257, 0.064599, 0.062462, 0.061552, 0.060677, 0.061547, 0.061153, 0.063604, 0.064363]	[0.067465, 0.07526, 0.05816, 0.057726, 0.06901, 0.061319, 0.051094, 0.061892, 0.06599, 0.051944, 0.064531, 0.063125, 0.060191, 0.068142, 0.06375, 0.060399]
