# run_started_at	20260425_184918
# arg	batch_size	24
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	400
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa_pw20"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777114193.370	0	50	50	0	0.100324	0.044514	0.045185	2.659341	2.745966	0.798742	0.841869	0.881367
1777114193.370	0	50	50	1	0.102108	0.042366	0.069506	2.383796	2.416435	0.557053	0.662174	0.831317
1777114193.370	0	50	50	2	0.167203	0.069000	0.116817	2.487729	2.577748	0.536388	0.657682	0.857997
1777114193.370	0	50	50	3	0.210594	0.088806	0.131930	2.180343	2.268835	0.788859	0.693621	0.809143
1777114193.370	0	50	50	4	0.158581	0.064856	0.115482	2.367122	2.425632	0.757412	0.745732	0.845069
1777114193.370	0	50	50	5	0.196549	0.085837	0.099496	2.308583	2.397210	0.611860	0.697215	0.861508
1777114193.370	0	50	50	6	0.243554	0.111013	0.086111	2.165965	2.298090	0.675651	0.681491	0.884843
1777114193.370	0	50	50	7	0.342947	0.159122	0.098815	1.750126	1.973998	0.811321	0.784367	0.865831
1777114193.370	0	50	50	8	0.329168	0.153285	0.090394	1.854890	2.020652	0.773585	0.752471	0.880533
1777114193.370	0	50	50	9	0.408105	0.192068	0.095877	1.701230	1.957592	0.847260	0.726864	0.879615
1777114193.370	0	50	50	10	0.367397	0.171137	0.100493	1.902594	2.116158	0.746631	0.768194	0.880787
1777114193.370	0	50	50	11	0.455819	0.212031	0.127028	1.655207	1.936857	0.770889	0.738994	0.851771
1777114193.370	0	50	50	12	0.484496	0.227995	0.114022	1.714600	1.966139	0.796945	0.749326	0.841384
1777114193.370	0	50	50	13	0.544376	0.258029	0.113268	1.311995	1.549233	0.815813	0.760108	0.856688
1777114193.370	0	50	50	14	0.495848	0.235606	0.098548	1.444967	1.667154	0.793351	0.784816	0.861711
1777114193.370	0	50	50	15	0.395761	0.188560	0.074567	1.518742	1.758574	0.838275	0.798742	0.874524
1777114193.370	0	50	50	16	0.637812	0.306262	0.101152	1.290295	1.567182	0.803235	0.766846	0.856896
1777114193.370	0	50	50	17	0.821809	0.394811	0.128748	0.847283	1.120182	0.857143	0.725067	0.820663
1777114193.370	0	50	50	18	0.586155	0.280076	0.104015	1.189295	1.447681	0.813118	0.783468	0.852133
1777114193.370	0	50	50	19	0.732389	0.352338	0.110857	0.905469	1.174332	0.858940	0.803684	0.835905
1777114193.370	0	50	50	20	0.968557	0.468309	0.127759	0.750705	1.076974	0.867026	0.770889	0.839461
1777114193.370	0	50	50	21	0.812225	0.392189	0.111388	0.996361	1.286715	0.855346	0.825696	0.856551
1777114193.370	0	50	50	22	0.693670	0.332898	0.111495	0.887879	1.053376	0.832884	0.848607	0.843172
1777114193.370	0	50	50	23	1.560138	0.755120	0.199590	0.139242	0.280954	0.955076	0.724618	0.752615
1777114226.836	0	100	100	0	0.011728	0.003626	0.017904	2.659172	2.669842	0.933392	0.926380	0.911526
1777114226.836	0	100	100	1	0.051039	0.020606	0.039309	2.363235	2.389965	0.709904	0.758545	0.874175
1777114226.836	0	100	100	2	0.060917	0.025565	0.039147	2.431942	2.465612	0.798422	0.840929	0.945110
1777114226.836	0	100	100	3	0.093376	0.038966	0.061777	2.194038	2.236223	0.861525	0.827344	0.880757
1777114226.836	0	100	100	4	0.068881	0.027492	0.055591	2.387315	2.422277	0.858019	0.853199	0.893593
1777114226.836	0	100	100	5	0.057520	0.024911	0.030792	2.302241	2.344984	0.799299	0.810254	0.931920
1777114226.836	0	100	100	6	0.066472	0.029980	0.026045	2.150266	2.197455	0.822086	0.863278	0.948613
