# run_started_at	20260425_190857
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	400
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa_pw20"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa_pw20/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777115441.914	0	50	50	5.440000e-05	1.927455	1.807768	0.517722	1.614219	0.000000	3.060817	3.302026	3.108196		0.200000	0.010000	2	0.116609	0.700000	0.514629	-2.907788	-3.422417	62	60	62	-0.027110	1.437087	-5.349211	8.673725	1.000000	0.000000	1.900295	0.409442	0.000542	0.000000	1.000000	0.000000	-0.037294	0.264053	31.729288	3.200786	6.192748	1.402594	2.000000	2.000000	0.020833	0.274759	0.544125	1.000000	0.000000	0.920326	[0.077051, 0.054595, 0.05803, 0.088767, 0.062366, 0.05631, 0.059932, 0.071229, 0.054652, 0.059738, 0.061118, 0.065842, 0.056623, 0.057781, 0.058186, 0.05778]	[0.083227, 0.048302, 0.054745, 0.133989, 0.067824, 0.07419, 0.049855, 0.071325, 0.037143, 0.057214, 0.057755, 0.063301, 0.053559, 0.048611, 0.051427, 0.047531]
1777115544.197	0	100	100	7.998120e-05	1.785182	1.648202	0.614968	1.398589	0.000000	1.773183	2.312357	2.155730		0.200000	0.010000	2	0.064430	0.700000	0.455338	-2.669614	-3.124952	62	62	61	-0.005948	1.401846	-5.359598	8.924522	1.000000	0.000000	1.930485	0.398316	0.000357	0.000000	1.000000	0.000000	-0.036499	0.286011	32.084086	3.397306	5.968501	1.333459	2.000000	2.000000	0.028646	0.267671	0.528960	1.000000	0.000000	0.810681	[0.066065, 0.062275, 0.061384, 0.070794, 0.063156, 0.056442, 0.068875, 0.069798, 0.058998, 0.059878, 0.063468, 0.066742, 0.05923, 0.057866, 0.056315, 0.058713]	[0.061439, 0.06168, 0.052643, 0.091474, 0.066329, 0.056829, 0.097405, 0.069068, 0.062095, 0.056588, 0.060079, 0.0655, 0.056346, 0.048621, 0.046084, 0.04782]
1777115644.062	0	150	150	7.983090e-05	1.505657	1.428156	0.326961	1.210951	0.000000	1.589197	1.847928	1.715806		0.200000	0.010000	2	0.043760	0.900000	1.251591	-1.956205	-3.207796	66	66	65	-0.000616	1.367595	-5.444479	9.045595	1.000000	0.000000	1.971000	0.382806	0.000376	0.000000	1.000000	0.000000	-0.036308	0.308393	32.111681	3.376775	5.850291	1.378034	2.000000	2.000000	0.026042	0.255934	0.509678	1.000000	0.000000	0.635035	[0.066621, 0.063687, 0.067563, 0.067039, 0.062832, 0.055043, 0.059131, 0.063188, 0.062348, 0.06019, 0.064334, 0.067057, 0.057367, 0.056109, 0.058158, 0.069332]	[0.069975, 0.070573, 0.073553, 0.08966, 0.060156, 0.050212, 0.058594, 0.064747, 0.055739, 0.054012, 0.060581, 0.06603, 0.05054, 0.042641, 0.050338, 0.082649]
1777115743.427	0	200	200	7.953093e-05	1.517774	1.383064	0.614032	1.190331	0.000000	1.554892	1.658694	1.536473		0.200000	0.010000	2	0.049895	0.650000	0.702757	-2.636119	-3.338876	60	60	60	0.010460	1.361410	-5.555399	9.042298	1.000000	0.000000	1.972689	0.382734	0.000378	0.000000	1.000000	0.000000	-0.036137	0.320497	32.176815	3.382829	5.803864	1.368990	2.000000	2.000000	0.023438	0.257851	0.507618	1.000000	0.000000	0.583359	[0.069662, 0.061804, 0.063904, 0.069428, 0.062215, 0.053263, 0.060489, 0.063655, 0.06054, 0.061237, 0.066034, 0.065646, 0.059885, 0.057672, 0.060582, 0.063983]	[0.07064, 0.065789, 0.065374, 0.096952, 0.061362, 0.04374, 0.061622, 0.062838, 0.051225, 0.053607, 0.069329, 0.067159, 0.057504, 0.047174, 0.0549, 0.070785]
1777115842.598	0	250	250	7.908255e-05	1.534492	1.415644	0.536617	1.152382	0.000000	1.539501	1.586098	1.468542		0.200000	0.010000	2	0.043144	0.650000	0.747879	-2.356379	-3.104258	66	66	58	-0.002186	1.364072	-5.714601	8.719503	1.000000	0.000000	1.971099	0.383306	0.000445	0.000000	1.000000	0.000000	-0.036163	0.323812	32.247968	3.421644	5.845999	1.337768	2.000000	2.000000	0.015625	0.259352	0.507261	1.000000	0.000000	0.535058	[0.066832, 0.0613, 0.064462, 0.071106, 0.068131, 0.053162, 0.062955, 0.066702, 0.058872, 0.060382, 0.064602, 0.065618, 0.055992, 0.059884, 0.057782, 0.062218]	[0.07662, 0.063445, 0.064622, 0.091146, 0.075849, 0.043605, 0.064902, 0.077305, 0.046586, 0.050926, 0.058796, 0.067265, 0.054099, 0.050347, 0.049595, 0.064892]
1777115941.459	0	300	300	7.848762e-05	1.466218	1.387061	0.340075	1.114234	0.000000	1.488440	1.522034	1.412234		0.200000	0.010000	2	0.042456	0.850000	1.472787	-1.996189	-3.468976	66	66	66	-0.000021	1.358204	-5.716916	8.698126	1.000000	0.000000	1.981856	0.379055	0.000416	0.000000	1.000000	0.000000	-0.035544	0.328585	32.306090	3.377544	5.814952	1.334336	2.000000	2.000000	0.010417	0.255042	0.503068	1.000000	0.000000	0.481507	[0.064712, 0.059532, 0.067092, 0.065212, 0.064081, 0.054504, 0.061634, 0.065785, 0.061482, 0.062258, 0.063313, 0.064777, 0.059993, 0.05948, 0.059651, 0.066493]	[0.067332, 0.064815, 0.07255, 0.068981, 0.069869, 0.046807, 0.055122, 0.08341, 0.054138, 0.05463, 0.057629, 0.063966, 0.059684, 0.050704, 0.05055, 0.079813]
1777116039.276	0	350	350	7.774864e-05	1.422491	1.329597	0.408717	1.115055	0.000000	1.502549	1.508755	1.399889		0.200000	0.010000	2	0.037401	0.850000	1.240304	-1.931670	-3.171975	60	60	60	0.002980	1.351756	-5.813557	8.617911	1.000000	0.000000	1.992495	0.374003	0.000463	0.000000	1.000000	0.000000	-0.035660	0.334663	32.370934	3.521447	5.735462	1.329447	2.000000	2.000000	0.013021	0.251957	0.496049	1.000000	0.000000	0.478890	[0.066557, 0.061911, 0.062044, 0.065998, 0.065286, 0.059096, 0.061504, 0.064527, 0.063157, 0.062644, 0.064859, 0.060865, 0.059505, 0.060615, 0.058502, 0.062929]	[0.07391, 0.065596, 0.063358, 0.06686, 0.074826, 0.055874, 0.064699, 0.078347, 0.058719, 0.055257, 0.062693, 0.056597, 0.057321, 0.052035, 0.051032, 0.062876]
1777116145.946	0	400	400	7.686868e-05	1.466162	1.351566	0.518637	1.086943	0.000000	1.486127	1.495836	1.393471	0.515000	0.200000	0.010000	2	0.054585	0.750000	0.873184	-2.236085	-3.109269	62	59	62	0.000991	1.318204	-5.551067	8.702386	1.000000	0.000000	2.018763	0.366590	0.000427	0.000000	1.000000	0.000000	-0.035728	0.330693	32.400133	3.410920	5.630349	1.354303	2.000000	2.000000	0.005208	0.245718	0.487462	1.000000	0.000000	0.416733	[0.069532, 0.060381, 0.063071, 0.069836, 0.062621, 0.058269, 0.065396, 0.065638, 0.063324, 0.058147, 0.063844, 0.060025, 0.059011, 0.059418, 0.060997, 0.060488]	[0.078617, 0.068084, 0.059809, 0.077267, 0.078935, 0.047328, 0.070592, 0.06522, 0.061294, 0.054794, 0.056597, 0.059606, 0.054572, 0.053376, 0.05244, 0.061468]
1777116243.350	0	450	450	7.585142e-05	1.485281	1.392302	0.410439	1.089104	0.000000	1.491281	1.491022	1.386689		0.200000	0.010000	2	0.034099	0.750000	1.561459	-2.283181	-3.844640	62	61	62	0.000067	1.346123	-6.004375	8.722690	1.000000	0.000000	1.994108	0.375711	0.000409	0.000000	1.000000	0.000000	-0.035846	0.338994	32.478036	3.450196	5.709451	1.334933	2.000000	2.000000	0.013021	0.253846	0.497576	1.000000	0.000000	0.455804	[0.065808, 0.064173, 0.065894, 0.070631, 0.062439, 0.05818, 0.06385, 0.064282, 0.061237, 0.05938, 0.063388, 0.061654, 0.057946, 0.059465, 0.060183, 0.061489]	[0.070351, 0.08289, 0.06358, 0.085629, 0.072791, 0.05053, 0.061777, 0.067737, 0.053289, 0.049161, 0.055826, 0.057128, 0.055006, 0.062731, 0.049817, 0.061757]
1777116339.739	0	500	500	7.470112e-05	1.474423	1.379597	0.420386	1.074862	0.000000	1.491818	1.493938	1.388014		0.200000	0.010000	2	0.033459	0.800000	1.115414	-2.216820	-3.332233	58	58	57	-0.010433	1.339393	-5.921666	8.689757	1.000000	0.000000	2.008382	0.369384	0.000530	0.000000	1.000000	0.000000	-0.036058	0.342846	32.451915	3.487950	5.707722	1.308685	2.000000	2.000000	0.015625	0.246770	0.491997	1.000000	0.000000	0.410309	[0.066095, 0.060454, 0.06267, 0.068825, 0.06191, 0.059621, 0.064576, 0.060459, 0.061557, 0.059996, 0.065669, 0.063133, 0.058747, 0.062325, 0.063802, 0.060161]	[0.075463, 0.061757, 0.059616, 0.073823, 0.068239, 0.055218, 0.064111, 0.056028, 0.061507, 0.054813, 0.065056, 0.070226, 0.055353, 0.064217, 0.058478, 0.056096]
