# run_started_at	20260426_104500
# arg	batch_size	14
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	128
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	1200
# arg	eval_max_samples	600
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa_pw20"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.002
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa_pw20/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777171611.125	0	50	50	7.999933e-05	1.859609	1.824993	0.621932	1.759883	0.000000	2.560210	2.798113	2.760210		0.050000	0.002000	2	0.100586	0.571429	0.215123	-0.527235	-0.742358	80	80	73	-0.033405	1.235074	-4.901813	8.029925	1.000000	0.000000	2.036682	0.363131	0.000350	0.000000	1.000000	0.000000	-0.030016	0.589407	23.945669	5.029926	6.062433	1.415776	2.000000	2.000000	0.119792	0.230124	0.496138	1.000000	0.000000	1.081396	[0.063938, 0.058777, 0.058942, 0.063719, 0.06154, 0.059345, 0.05236, 0.072735, 0.066121, 0.065975, 0.056681, 0.067696, 0.058826, 0.058498, 0.05768, 0.077166]	[0.07437, 0.070812, 0.046747, 0.055501, 0.083612, 0.062302, 0.035098, 0.074881, 0.051549, 0.066488, 0.070522, 0.07566, 0.045364, 0.048875, 0.049421, 0.088797]
1777171714.407	0	100	100	7.979141e-05	1.669922	1.638532	0.566087	1.543007	0.000000	1.815195	2.163727	2.126827		0.050000	0.002000	2	0.064170	0.714286	0.360163	-0.526044	-0.886207	101	101	99	-0.029058	1.200250	-4.819145	7.608671	1.000000	0.000000	2.057251	0.353864	0.000438	0.000000	1.000000	0.000000	-0.028814	0.582293	24.385292	4.954768	5.900046	1.359969	2.000000	2.000000	0.101562	0.219517	0.488211	1.000000	0.000000	1.004599	[0.064272, 0.061973, 0.059257, 0.069401, 0.067599, 0.054617, 0.054366, 0.077361, 0.064383, 0.061971, 0.05619, 0.067705, 0.060921, 0.052415, 0.056727, 0.070841]	[0.078218, 0.057943, 0.045933, 0.06622, 0.095192, 0.0512, 0.053862, 0.079578, 0.048549, 0.057815, 0.049863, 0.070789, 0.064337, 0.041469, 0.047468, 0.091564]
1777171811.576	0	150	150	7.921433e-05	1.782565	1.752832	0.539220	1.386313	0.000000	1.731746	1.886873	1.851592		0.050000	0.002000	2	0.056963	0.857143	0.514681	-0.426786	-0.941467	73	73	72	-0.007294	1.205377	-4.614948	7.383861	1.000000	0.000000	2.043668	0.359059	0.000490	0.000000	1.000000	0.000000	-0.028491	0.576707	24.677377	4.964999	5.880668	1.420563	2.000000	2.000000	0.091146	0.227499	0.490619	1.000000	0.000000	0.849712	[0.066577, 0.061072, 0.060878, 0.068152, 0.065767, 0.055535, 0.0559, 0.06975, 0.064075, 0.060732, 0.056185, 0.070115, 0.06241, 0.056455, 0.058711, 0.067686]	[0.090692, 0.06393, 0.054339, 0.059396, 0.090937, 0.049177, 0.045805, 0.069394, 0.059535, 0.051583, 0.049212, 0.073928, 0.060407, 0.0522, 0.048514, 0.08095]
1777171928.517	0	200	200	7.827402e-05	1.532922	1.504001	0.527439	1.274413	0.000000	1.707390	1.771350	1.737558		0.050000	0.002000	2	0.058985	0.785714	0.435398	-0.408827	-0.844225	80	80	80	0.001766	1.175297	-4.681767	7.635258	1.000000	0.000000	2.081479	0.344065	0.000483	0.000000	1.000000	0.000000	-0.029042	0.576697	25.013624	4.965605	5.659463	1.459352	2.000000	2.000000	0.080729	0.214661	0.473470	1.000000	0.000000	0.743587	[0.062569, 0.065625, 0.059019, 0.063646, 0.068209, 0.055592, 0.05836, 0.069934, 0.068696, 0.060868, 0.058178, 0.063178, 0.062296, 0.055314, 0.060031, 0.068486]	[0.074719, 0.059977, 0.056338, 0.048258, 0.105213, 0.04305, 0.070336, 0.071498, 0.069243, 0.054467, 0.051072, 0.061198, 0.067057, 0.044155, 0.051014, 0.072405]
1777172051.492	0	250	250	7.698020e-05	1.581084	1.553026	0.510301	1.271512	0.000000	1.676477	1.705282	1.673613		0.050000	0.002000	2	0.055864	0.785714	0.874879	-0.350634	-1.225513	86	83	86	-0.007836	1.157015	-4.961524	7.466864	1.000000	0.000000	2.100680	0.336366	0.000624	0.000000	1.000000	0.000000	-0.027862	0.576733	25.454531	5.030306	5.443894	1.521877	2.000000	2.000000	0.078125	0.209804	0.462929	1.000000	0.000000	0.748558	[0.055424, 0.063252, 0.060082, 0.065556, 0.063625, 0.059835, 0.061315, 0.06803, 0.065197, 0.063536, 0.057425, 0.069577, 0.060821, 0.059827, 0.059842, 0.066658]	[0.053874, 0.081159, 0.058652, 0.057524, 0.091227, 0.050084, 0.069789, 0.063581, 0.061117, 0.056106, 0.054176, 0.0768, 0.061663, 0.055315, 0.051502, 0.057431]
1777172139.471	0	300	300	7.534620e-05	1.519636	1.495329	0.434966	1.279143	0.000000	1.627723	1.654598	1.624188		0.050000	0.002000	2	0.057725	0.857143	1.163612	-0.193228	-1.356840	75	75	74	-0.012081	1.202628	-4.786934	7.558484	1.000000	0.000000	2.047391	0.356533	0.000545	0.000000	1.000000	0.000000	-0.027075	0.574286	25.878125	5.088164	5.712113	1.382835	2.000000	2.000000	0.091146	0.226620	0.486446	1.000000	0.000000	0.747670	[0.065269, 0.065864, 0.057191, 0.061248, 0.068676, 0.056181, 0.061055, 0.067861, 0.066861, 0.065347, 0.057183, 0.066427, 0.060966, 0.057938, 0.058293, 0.063641]	[0.083496, 0.068045, 0.049921, 0.050967, 0.092494, 0.045038, 0.058838, 0.063767, 0.069138, 0.059791, 0.0605, 0.07022, 0.057245, 0.059326, 0.048375, 0.062837]
1777172243.901	0	350	350	7.338889e-05	1.569325	1.545425	0.426723	1.282086	0.000000	1.588140	1.615553	1.586189		0.050000	0.002000	2	0.060635	0.857143	1.037693	-0.132348	-1.170041	92	92	88	-0.011224	1.230010	-4.938394	7.766085	1.000000	0.000000	2.022821	0.365546	0.000545	0.000000	1.000000	0.000000	-0.027240	0.577893	26.262459	5.129185	5.731921	1.411538	2.000000	2.000000	0.091146	0.236872	0.494221	1.000000	0.000000	0.741037	[0.062409, 0.066196, 0.058679, 0.064725, 0.064894, 0.0566, 0.057618, 0.065578, 0.063933, 0.062068, 0.057397, 0.068055, 0.065651, 0.056859, 0.060257, 0.069083]	[0.077858, 0.079369, 0.057478, 0.054467, 0.069348, 0.044713, 0.04977, 0.065534, 0.061593, 0.052537, 0.052095, 0.075614, 0.068487, 0.067708, 0.051793, 0.071638]
1777172330.584	0	400	400	7.112844e-05	1.490085	1.452808	0.696078	1.236577	0.000000	1.554191	1.574562	1.546152		0.050000	0.002000	2	0.056843	0.500000	0.165464	-0.523831	-0.689296	101	101	98	-0.004430	1.236765	-5.038773	7.739395	1.000000	0.000000	2.024608	0.363247	0.000581	0.000000	1.000000	0.000000	-0.026286	0.575667	26.643988	5.254256	5.658567	1.445331	2.000000	2.000000	0.093750	0.234841	0.491654	1.000000	0.000000	0.674206	[0.062579, 0.065949, 0.056349, 0.06805, 0.066692, 0.057828, 0.060803, 0.067044, 0.063173, 0.06216, 0.058446, 0.066056, 0.062622, 0.056784, 0.060679, 0.064786]	[0.077823, 0.076928, 0.049189, 0.065883, 0.096691, 0.051049, 0.061117, 0.064639, 0.0615, 0.053292, 0.053234, 0.073579, 0.061024, 0.047898, 0.0492, 0.056955]
1777172416.046	0	450	450	6.858818e-05	1.464537	1.444513	0.352217	1.206344	0.000000	1.523128	1.542125	1.515452		0.050000	0.002000	2	0.062109	0.928571	1.078041	-0.126772	-1.204813	83	83	80	0.002219	1.257411	-5.069753	8.023574	1.000000	0.000000	2.013674	0.365857	0.000358	0.000000	1.000000	0.000000	-0.026206	0.575007	27.070278	5.265445	5.595829	1.470910	2.000000	2.000000	0.091146	0.237744	0.493970	1.000000	0.000000	0.639403	[0.062438, 0.064151, 0.060118, 0.069495, 0.066089, 0.059207, 0.056532, 0.061178, 0.065329, 0.064822, 0.058633, 0.06494, 0.063086, 0.058664, 0.059771, 0.065548]	[0.069673, 0.069464, 0.057385, 0.068138, 0.093111, 0.053583, 0.061058, 0.054304, 0.059233, 0.05621, 0.05735, 0.072475, 0.063244, 0.051874, 0.057175, 0.055722]
1777172504.901	0	500	500	6.579430e-05	1.530694	1.507145	0.422932	1.200908	0.000000	1.498240	1.515002	1.489924		0.050000	0.002000	2	0.060874	0.785714	0.912527	-0.278419	-1.190946	87	82	87	0.010354	1.272970	-5.464271	8.147953	1.000000	0.000000	2.002964	0.369017	0.000378	0.000000	1.000000	0.000000	-0.026064	0.577492	27.484111	5.361873	5.509877	1.486565	2.000000	2.000000	0.078125	0.242131	0.495904	1.000000	0.000000	0.635126	[0.061713, 0.065078, 0.060873, 0.068333, 0.065342, 0.057887, 0.057203, 0.065743, 0.062655, 0.063145, 0.058511, 0.066307, 0.067477, 0.057233, 0.059601, 0.062899]	[0.066569, 0.065372, 0.063221, 0.068476, 0.09375, 0.06007, 0.059896, 0.06193, 0.064442, 0.052676, 0.056722, 0.071824, 0.070126, 0.046084, 0.049107, 0.049735]
