# run_started_at	20260426_131945
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	5e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e_pw20"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_e_pw20/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777180856.516	0	50	50	4.998752e-05	1.427979	1.380560	0.643093	1.526433	0.000000	2.191599	2.242703	2.189451		0.050000	0.010000	2	0.085554	0.625000	0.169040	-0.352929	-0.521969	108	108	108	-0.038907	1.240879	-5.078106	7.567468	1.000000	0.000000	2.131492	0.331792	0.000429	0.000000	1.000000	0.000000	-0.027096	0.653260	22.883473	5.325095	6.115386	1.489678	2.000000	2.000000	0.148438	0.201088	0.462495	1.000000	0.000000	0.995870	[0.061127, 0.059769, 0.062694, 0.064442, 0.066196, 0.053807, 0.056667, 0.069217, 0.068511, 0.06584, 0.057179, 0.0698, 0.059922, 0.050177, 0.05883, 0.075823]	[0.060625, 0.062309, 0.054913, 0.055312, 0.094132, 0.043576, 0.060538, 0.078472, 0.074236, 0.064774, 0.06, 0.073003, 0.057031, 0.032014, 0.052292, 0.076771]
1777180926.894	0	100	100	4.970744e-05	1.516511	1.467215	0.728334	1.287977	0.000000	1.551637	1.799565	1.750247		0.050000	0.010000	2	0.085297	0.500000	-0.049173	-0.454749	-0.405575	150	150	150	-0.013712	1.217350	-4.984025	7.316913	1.000000	0.000000	2.136985	0.328766	0.000599	0.000000	1.000000	0.000000	-0.026602	0.645821	23.277752	5.265327	6.077519	1.414544	2.000000	2.000000	0.109375	0.200727	0.456805	1.000000	0.000000	0.783655	[0.060664, 0.06507, 0.062296, 0.067188, 0.063721, 0.056541, 0.055942, 0.068297, 0.066011, 0.060069, 0.05938, 0.067329, 0.061024, 0.055091, 0.06234, 0.069034]	[0.068472, 0.080556, 0.059983, 0.060799, 0.081233, 0.043698, 0.052622, 0.072448, 0.06309, 0.051493, 0.051267, 0.077344, 0.055694, 0.04401, 0.065035, 0.072257]
1777180999.541	0	150	150	4.906332e-05	1.280395	1.241481	0.530775	1.237552	0.000000	1.464738	1.581691	1.535589		0.050000	0.010000	2	0.072194	0.500000	0.652664	-0.259547	-0.912211	124	123	124	-0.006030	1.200233	-4.971558	7.664255	1.000000	0.000000	2.159441	0.318690	0.000675	0.000000	1.000000	0.000000	-0.025862	0.643457	23.568824	5.283754	6.032265	1.370517	2.000000	2.000000	0.101562	0.191008	0.446373	1.000000	0.000000	0.719782	[0.062454, 0.06418, 0.062012, 0.064914, 0.063889, 0.05488, 0.055755, 0.067625, 0.067735, 0.061718, 0.061693, 0.072101, 0.061273, 0.056343, 0.060302, 0.063125]	[0.077101, 0.069948, 0.057135, 0.056198, 0.094965, 0.038108, 0.047031, 0.066823, 0.066111, 0.047604, 0.058889, 0.091302, 0.051059, 0.044201, 0.057743, 0.075781]
1777181090.557	0	200	200	4.806570e-05	1.418855	1.379704	0.538080	1.224748	0.000000	1.412624	1.472144	1.427158	0.430000	0.050000	0.010000	2	0.078132	0.750000	0.410622	-0.242014	-0.652636	94	94	94	-0.002373	1.160290	-4.922069	7.229629	1.000000	0.000000	2.199216	0.304077	0.001005	0.000000	1.000000	0.000000	-0.026041	0.639091	23.847828	5.251943	5.827295	1.408276	2.000000	2.000000	0.104167	0.180554	0.427601	1.000000	0.000000	0.760198	[0.064259, 0.062096, 0.061004, 0.067404, 0.062267, 0.05764, 0.055221, 0.065287, 0.068143, 0.061285, 0.063432, 0.066535, 0.064108, 0.055797, 0.060312, 0.06521]	[0.090243, 0.072622, 0.052205, 0.073924, 0.079826, 0.040035, 0.04474, 0.056667, 0.066372, 0.048299, 0.056684, 0.076441, 0.068229, 0.052691, 0.057344, 0.063681]
1777181162.746	0	250	250	4.673095e-05	1.347798	1.307267	0.573218	1.187023	0.000000	1.375649	1.411872	1.368114		0.050000	0.010000	2	0.078932	0.750000	0.315755	-0.277249	-0.593004	99	97	99	-0.000575	1.177814	-4.771623	7.372883	1.000000	0.000000	2.173463	0.314286	0.000758	0.000000	1.000000	0.000000	-0.025151	0.632634	24.192551	5.283733	5.863480	1.434888	2.000000	2.000000	0.085938	0.191045	0.437526	1.000000	0.000000	0.637442	[0.063642, 0.06519, 0.062872, 0.064905, 0.06471, 0.056307, 0.056692, 0.066864, 0.066212, 0.061651, 0.063666, 0.063989, 0.064175, 0.056125, 0.059939, 0.063062]	[0.074167, 0.080503, 0.058698, 0.06092, 0.089931, 0.035556, 0.051719, 0.063837, 0.06151, 0.051389, 0.069774, 0.072066, 0.068767, 0.04401, 0.06125, 0.055903]
1777181235.015	0	300	300	4.508093e-05	1.252916	1.215658	0.512050	1.165551	0.000000	1.356895	1.374250	1.332480		0.050000	0.010000	2	0.079083	0.875000	0.460032	-0.356402	-0.816433	121	121	121	0.007720	1.206670	-5.100363	7.615832	1.000000	0.000000	2.149068	0.322066	0.000847	0.000000	1.000000	0.000000	-0.024153	0.623254	24.571836	5.391471	5.905563	1.434220	2.000000	2.000000	0.075521	0.198342	0.445790	1.000000	0.000000	0.595283	[0.06674, 0.063707, 0.059623, 0.069323, 0.063759, 0.057766, 0.057962, 0.065531, 0.066384, 0.060927, 0.062316, 0.060649, 0.063831, 0.056787, 0.061567, 0.063128]	[0.076753, 0.072031, 0.054358, 0.069028, 0.081094, 0.041319, 0.055017, 0.070781, 0.059288, 0.047483, 0.06375, 0.070382, 0.064861, 0.048229, 0.061719, 0.063906]
1777181308.439	0	350	350	4.314271e-05	1.357965	1.320810	0.514554	1.142697	0.000000	1.284466	1.316983	1.276742		0.050000	0.010000	2	0.070362	0.875000	0.526501	-0.245060	-0.771560	98	97	98	0.001552	1.195776	-5.206600	7.718180	1.000000	0.000000	2.173005	0.310999	0.001052	0.000000	1.000000	0.000000	-0.023891	0.616303	24.858479	5.507457	5.781572	1.429256	2.000000	2.000000	0.065104	0.188780	0.433218	1.000000	0.000000	0.574049	[0.065769, 0.064768, 0.063255, 0.066471, 0.0606, 0.056888, 0.056237, 0.065168, 0.06691, 0.060807, 0.061527, 0.067528, 0.063658, 0.057615, 0.057128, 0.065669]	[0.075503, 0.07099, 0.06276, 0.063681, 0.076667, 0.043003, 0.058385, 0.064271, 0.058594, 0.048403, 0.060503, 0.07967, 0.075226, 0.048316, 0.047049, 0.066979]
1777181401.499	0	400	400	4.094806e-05	1.360484	1.319861	0.589382	1.115392	0.000000	1.265370	1.283754	1.244795	0.427500	0.050000	0.010000	2	0.079248	0.750000	0.258802	-0.471825	-0.730628	86	80	86	0.006651	1.174533	-5.283162	7.509163	1.000000	0.000000	2.203617	0.297883	0.001222	0.000000	1.000000	0.000000	-0.023873	0.612880	25.205915	5.496946	5.638482	1.426073	2.000000	2.000000	0.075521	0.176040	0.419725	1.000000	0.000000	0.565631	[0.063778, 0.065202, 0.060765, 0.068733, 0.062113, 0.059185, 0.057596, 0.066323, 0.06642, 0.061177, 0.061491, 0.062129, 0.062294, 0.060373, 0.059082, 0.063337]	[0.063194, 0.084306, 0.055642, 0.06059, 0.070365, 0.056042, 0.063976, 0.077431, 0.067639, 0.046563, 0.055521, 0.067517, 0.056215, 0.065642, 0.052188, 0.05717]
1777181475.045	1	450	450	3.853294e-05	1.346137	1.305548	0.591310	1.102385	0.000000	1.219707	1.244669	1.208108		0.050000	0.010000	2	0.075908	0.625000	0.336182	-0.254654	-0.590836	132	130	132	0.007379	1.265769	-5.392781	7.922474	1.000000	0.000000	2.122307	0.327442	0.001035	0.000000	1.000000	0.000000	-0.023755	0.609897	25.582001	5.626495	5.871998	1.440962	2.000000	2.000000	0.070312	0.204078	0.450806	1.000000	0.000000	0.510722	[0.063767, 0.064991, 0.060689, 0.066596, 0.062713, 0.056247, 0.05541, 0.067435, 0.066004, 0.064307, 0.061254, 0.062864, 0.062602, 0.058438, 0.063275, 0.063409]	[0.064965, 0.082847, 0.0575, 0.057222, 0.066719, 0.038125, 0.054427, 0.067135, 0.06375, 0.055833, 0.059531, 0.067847, 0.064219, 0.074392, 0.065156, 0.06033]
1777181546.139	1	500	500	3.593696e-05	1.124349	1.097877	0.310172	1.096356	0.000000	1.164036	1.191243	1.155823		0.050000	0.010000	2	0.062253	1.000000	1.376013	-0.054361	-1.430374	119	116	119	0.003174	1.281782	-5.620936	7.963854	1.000000	0.000000	2.127374	0.324771	0.001058	0.000000	1.000000	0.000000	-0.023162	0.613978	26.103848	5.738901	5.847747	1.432267	2.000000	2.000000	0.070312	0.200260	0.449282	1.000000	0.000000	0.485136	[0.062268, 0.064429, 0.062448, 0.065502, 0.061455, 0.057879, 0.056154, 0.067525, 0.064656, 0.062857, 0.063693, 0.061546, 0.062988, 0.061392, 0.06196, 0.063249]	[0.063698, 0.078125, 0.058403, 0.05526, 0.06776, 0.053229, 0.057847, 0.077465, 0.056788, 0.05342, 0.072865, 0.06875, 0.058194, 0.060278, 0.057448, 0.060469]
