# run_started_at	20260426_140328
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-c"
# arg	device	"cuda"
# arg	epochs	2
# arg	eval_dataset	"arc-c"
# arg	eval_every	200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_c_pw20"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777183436.439	0	50	50	0	0.080361	0.027762	0.099347	2.626942	2.683886	0.699301	0.695804	0.796228
1777183436.439	0	50	50	1	0.204641	0.087989	0.114655	2.230170	2.349700	0.503497	0.601399	0.814317
1777183436.439	0	50	50	2	0.176967	0.071548	0.135486	2.501225	2.544757	0.594406	0.695804	0.835186
1777183436.439	0	50	50	3	0.287256	0.121732	0.175167	2.274253	2.345113	0.671329	0.604895	0.758708
1777183436.439	0	50	50	4	0.218979	0.090598	0.151133	2.382787	2.488247	0.643357	0.632867	0.792411
1777183436.439	0	50	50	5	0.258364	0.114302	0.119040	2.261018	2.398400	0.629371	0.716783	0.847424
1777183436.439	0	50	50	6	0.361364	0.166416	0.114132	2.119672	2.284276	0.650350	0.657343	0.859261
1777183436.439	0	50	50	7	0.404673	0.187436	0.119201	1.864056	2.110708	0.741259	0.758741	0.842730
1777183436.439	0	50	50	8	0.459579	0.215137	0.117218	1.940402	2.195457	0.643357	0.716783	0.853410
1777183436.439	0	50	50	9	0.526592	0.247900	0.123163	1.833524	2.148147	0.741259	0.716783	0.844989
1777183436.439	0	50	50	10	0.419522	0.194517	0.121954	1.913898	2.128606	0.699301	0.674825	0.861084
1777183436.439	0	50	50	11	0.466710	0.218539	0.118525	1.701728	2.008080	0.783217	0.786713	0.864008
1777183436.439	0	50	50	12	0.576660	0.270295	0.144283	1.715486	1.976178	0.671329	0.748252	0.807537
1777183436.439	0	50	50	13	0.794380	0.379918	0.138175	1.448876	1.799473	0.671329	0.744755	0.823132
1777183436.439	0	50	50	14	0.662041	0.315728	0.122343	1.377997	1.716377	0.776224	0.818182	0.833896
1777183436.439	0	50	50	15	0.428340	0.204306	0.078915	1.581256	1.788575	0.734266	0.755245	0.863617
1777183436.439	0	50	50	16	0.780902	0.376857	0.108752	1.338086	1.697582	0.762238	0.790210	0.851780
1777183436.439	0	50	50	17	0.927959	0.445842	0.145098	1.117500	1.492071	0.748252	0.667832	0.773371
1777183436.439	0	50	50	18	0.771422	0.367839	0.142972	1.293688	1.555645	0.692308	0.755245	0.801640
1777183436.439	0	50	50	19	0.875854	0.419807	0.144960	0.976745	1.346988	0.853147	0.723776	0.791627
1777183436.439	0	50	50	20	1.105683	0.535583	0.138069	0.911967	1.232191	0.783217	0.741259	0.830374
1777183436.439	0	50	50	21	0.921271	0.444582	0.128431	1.159534	1.494192	0.741259	0.786713	0.836415
1777183436.439	0	50	50	22	1.054405	0.509171	0.144258	0.885318	1.141885	0.832168	0.783217	0.813030
1777183436.439	0	50	50	23	2.123253	1.038782	0.182758	0.194218	0.398150	0.867133	0.702797	0.770555
1777183460.991	0	100	100	0	0.018852	0.005579	0.030775	2.636384	2.654327	0.863636	0.934659	0.887517
1777183460.991	0	100	100	1	0.093862	0.038086	0.070758	2.335110	2.381314	0.653409	0.710227	0.855775
1777183460.991	0	100	100	2	0.086802	0.036733	0.053342	2.318994	2.353056	0.835227	0.835227	0.927091
1777183460.991	0	100	100	3	0.159448	0.068540	0.089471	2.149710	2.186692	0.886364	0.724432	0.857555
1777183460.991	0	100	100	4	0.104588	0.042183	0.080892	2.376794	2.412296	0.863636	0.809659	0.873237
1777183460.991	0	100	100	5	0.089644	0.038116	0.053649	2.342716	2.383923	0.761364	0.801136	0.923583
1777183460.991	0	100	100	6	0.121316	0.054500	0.049264	2.183842	2.244707	0.727273	0.801136	0.931982
1777183460.991	0	100	100	7	0.184410	0.085213	0.055941	1.861230	1.969095	0.761364	0.798295	0.916440
1777183460.991	0	100	100	8	0.130341	0.060053	0.040938	1.907861	1.979817	0.892045	0.852273	0.939702
1777183460.991	0	100	100	9	0.194033	0.090947	0.048554	1.680424	1.811151	0.892045	0.857955	0.931676
1777183460.991	0	100	100	10	0.215548	0.100338	0.059487	1.725150	1.888900	0.886364	0.792614	0.929419
1777183460.991	0	100	100	11	0.214596	0.099580	0.061745	1.678012	1.809518	0.795455	0.829545	0.926343
1777183460.991	0	100	100	12	0.266144	0.125185	0.063096	1.619157	1.754527	0.852273	0.784091	0.904703
1777183460.991	0	100	100	13	0.255141	0.120446	0.057000	1.305865	1.393198	0.863636	0.857955	0.917781
1777183460.991	0	100	100	14	0.282612	0.133238	0.064544	1.410419	1.507314	0.840909	0.812500	0.906063
1777183460.991	0	100	100	15	0.187563	0.088985	0.038374	1.472208	1.614337	0.863636	0.829545	0.926486
1777183460.991	0	100	100	16	0.374090	0.178264	0.070245	1.364634	1.551023	0.789773	0.835227	0.901160
1777183460.991	0	100	100	17	0.311923	0.148082	0.063035	1.049408	1.127087	0.937500	0.801136	0.879818
1777183460.991	0	100	100	18	0.309891	0.147279	0.061337	1.245488	1.355738	0.875000	0.855114	0.897766
1777183460.991	0	100	100	19	0.333869	0.159420	0.060116	1.039449	1.069462	0.869318	0.829545	0.891611
1777183460.991	0	100	100	20	0.409298	0.196514	0.065080	1.018799	1.152699	0.857955	0.781250	0.913500
1777183460.991	0	100	100	21	0.397998	0.191144	0.062837	1.070092	1.127175	0.926136	0.843750	0.908203
1777183460.991	0	100	100	22	0.429596	0.205526	0.074175	0.849600	0.930136	0.852273	0.835227	0.891407
1777183460.991	0	100	100	23	0.713164	0.343642	0.103516	0.235567	0.270541	0.897727	0.849432	0.861981
