# run_started_at	20260426_210749
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	800
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande_pw005"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777208901.650	0	50	50	0	0.062339	0.022114	0.072448	2.630497	2.668739	0.768029	0.809495	0.850200
1777208901.650	0	50	50	1	0.148704	0.062494	0.094859	2.231570	2.312597	0.599760	0.649639	0.795060
1777208901.650	0	50	50	2	0.148032	0.060528	0.107906	2.502844	2.579059	0.593750	0.673077	0.866070
1777208901.650	0	50	50	3	0.203721	0.085876	0.127874	2.193175	2.276936	0.751202	0.720553	0.798861
1777208901.650	0	50	50	4	0.173587	0.071123	0.125365	2.389732	2.477833	0.801683	0.700721	0.807673
1777208901.650	0	50	50	5	0.218972	0.096453	0.104266	2.252198	2.392628	0.621394	0.722957	0.856741
1777208901.650	0	50	50	6	0.302889	0.139006	0.099505	2.103720	2.295074	0.667067	0.739183	0.870464
1777208901.650	0	50	50	7	0.354208	0.164590	0.100111	1.823864	2.058655	0.798077	0.752404	0.865057
1777208901.650	0	50	50	8	0.350064	0.163392	0.093118	1.905970	2.093356	0.711538	0.753005	0.876257
1777208901.650	0	50	50	9	0.435432	0.205178	0.100307	1.772783	2.009035	0.762019	0.758413	0.872652
1777208901.650	0	50	50	10	0.368513	0.170885	0.106975	1.918824	2.145712	0.712740	0.730769	0.876657
1777208901.650	0	50	50	11	0.496487	0.232404	0.126714	1.721558	2.023987	0.800481	0.766226	0.853872
1777208901.650	0	50	50	12	0.529040	0.250415	0.112845	1.602522	1.893450	0.763221	0.737981	0.843777
1777208901.650	0	50	50	13	0.610026	0.289243	0.126160	1.441856	1.752454	0.775240	0.770433	0.841468
1777208901.650	0	50	50	14	0.638759	0.304332	0.120384	1.392129	1.655674	0.774038	0.821514	0.840278
1777208901.650	0	50	50	15	0.470948	0.224653	0.086569	1.546520	1.810508	0.728365	0.756611	0.866647
1777208901.650	0	50	50	16	0.603164	0.289053	0.100235	1.288144	1.524932	0.760817	0.786058	0.866009
1777208901.650	0	50	50	17	0.857821	0.413145	0.126128	0.987351	1.371426	0.854567	0.734976	0.817952
1777208901.650	0	50	50	18	0.664771	0.317251	0.121078	1.310528	1.603074	0.790865	0.795673	0.841454
1777208901.650	0	50	50	19	0.807828	0.388891	0.120179	0.868812	1.126675	0.830529	0.805889	0.835019
1777208901.650	0	50	50	20	0.929733	0.448966	0.127202	0.857006	1.157171	0.866587	0.803486	0.846523
1777208901.650	0	50	50	21	0.917179	0.442927	0.125304	0.926126	1.268798	0.867788	0.796875	0.850575
1777208901.650	0	50	50	22	0.811537	0.390732	0.120294	0.942444	1.129489	0.840144	0.796875	0.841085
1777208901.650	0	50	50	23	1.485382	0.719618	0.184585	0.245464	0.389354	0.906250	0.788462	0.768196
1777208935.637	0	100	100	0	0.009815	0.003098	0.014481	2.622117	2.633973	0.923267	0.931931	0.919024
1777208935.637	0	100	100	1	0.066226	0.027048	0.048521	2.206291	2.243692	0.728960	0.775371	0.862317
1777208935.637	0	100	100	2	0.056990	0.023870	0.036996	2.481982	2.521320	0.797030	0.830446	0.943417
1777208935.637	0	100	100	3	0.128157	0.055280	0.070384	2.155170	2.186370	0.827970	0.773515	0.856853
1777208935.637	0	100	100	4	0.077534	0.031555	0.057699	2.370932	2.411693	0.861386	0.823639	0.882627
1777208935.637	0	100	100	5	0.083055	0.036278	0.041996	2.241546	2.286978	0.793317	0.784035	0.924688
1777208935.637	0	100	100	6	0.079532	0.036280	0.027891	2.110698	2.170071	0.837871	0.873144	0.948259
