# run_started_at	20260426_213549
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	800
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande_pw005"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_winogrande_pw005/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777210645.274	0	50	50	2.701987e-05	2.242792	2.178235	0.910119	1.905144	0.000000	3.237749	3.491019	3.427749		0.050000	0.010000	2	0.144367	0.500000	-0.278966	-1.223100	-0.944135	75	74	75	-0.038644	1.373960	-5.015093	8.039958	1.000000	0.000000	1.954808	0.392696	0.000660	0.000000	1.000000	0.000000	-0.038641	0.241722	33.321055	2.475204	5.847013	1.362862	2.000000	2.000000	0.010417	0.254877	0.530515	1.000000	0.000000	1.083826	[0.076266, 0.051906, 0.062746, 0.07162, 0.062332, 0.048327, 0.074349, 0.060454, 0.057889, 0.061654, 0.058308, 0.054773, 0.069528, 0.058922, 0.05677, 0.074155]	[0.097813, 0.041829, 0.061574, 0.063762, 0.084942, 0.032407, 0.083808, 0.072002, 0.058356, 0.061863, 0.051748, 0.040336, 0.080498, 0.052778, 0.042569, 0.073715]
1777210736.896	0	100	100	5.350993e-05	1.598656	1.543875	0.793798	1.509053	0.000000	1.758441	2.362792	2.306471		0.050000	0.010000	2	0.066669	0.333333	-0.089839	-0.450624	-0.360785	56	56	56	-0.059231	1.407272	-5.812847	8.052253	1.000000	0.000000	1.980150	0.378156	0.000567	0.000000	1.000000	0.000000	-0.038583	0.267547	33.397403	2.675628	5.968326	1.398869	2.000000	2.000000	0.031250	0.238606	0.517705	1.000000	0.000000	0.889791	[0.074152, 0.053621, 0.057394, 0.066554, 0.070003, 0.059858, 0.070184, 0.066801, 0.05616, 0.055613, 0.060344, 0.071992, 0.05989, 0.056028, 0.056625, 0.06478]	[0.083194, 0.034838, 0.052755, 0.064167, 0.103299, 0.049595, 0.088877, 0.072396, 0.046852, 0.058472, 0.056285, 0.071111, 0.061366, 0.041713, 0.043831, 0.07125]
1777210827.245	0	150	150	8.000000e-05	1.480441	1.423647	0.882054	1.269170	0.000000	1.531173	1.824876	1.771092		0.050000	0.010000	2	0.048522	0.333333	-0.281002	-0.530728	-0.249726	65	64	65	-0.030442	1.328782	-5.416541	8.156604	1.000000	0.000000	2.050106	0.354230	0.000781	0.000000	1.000000	0.000000	-0.038788	0.284497	33.398369	2.843601	5.760454	1.323053	2.000000	2.000000	0.028646	0.220135	0.488326	1.000000	0.000000	0.701292	[0.066504, 0.062169, 0.063581, 0.060854, 0.068797, 0.056988, 0.067342, 0.070902, 0.058709, 0.054431, 0.059347, 0.070016, 0.055287, 0.056331, 0.0608, 0.067942]	[0.066655, 0.071505, 0.067083, 0.050741, 0.110058, 0.059109, 0.066019, 0.075347, 0.046481, 0.047917, 0.052072, 0.063958, 0.058796, 0.042778, 0.049433, 0.072049]
1777210917.326	0	200	200	7.998222e-05	1.402118	1.351196	0.774102	1.221661	0.000000	1.461143	1.588690	1.537805		0.050000	0.010000	2	0.050603	0.416667	-0.123412	-0.434584	-0.311172	58	58	58	-0.014159	1.294713	-5.091251	8.106604	1.000000	0.000000	2.077377	0.343774	0.000808	0.000000	1.000000	0.000000	-0.038690	0.294334	33.508563	2.889461	5.629591	1.277067	2.000000	2.000000	0.026042	0.210746	0.476803	1.000000	0.000000	0.672180	[0.064073, 0.062197, 0.060087, 0.062636, 0.068494, 0.056758, 0.065356, 0.068037, 0.061371, 0.056009, 0.059026, 0.068832, 0.0607, 0.056246, 0.067112, 0.063065]	[0.062014, 0.097685, 0.059711, 0.053877, 0.076667, 0.060718, 0.061597, 0.071134, 0.051736, 0.04853, 0.056123, 0.071863, 0.061806, 0.043472, 0.06037, 0.062697]
1777211007.824	0	250	250	7.992745e-05	1.421091	1.371993	0.748446	1.167581	0.000000	1.423739	1.483701	1.433840		0.050000	0.010000	2	0.045086	0.416667	-0.083767	-0.391651	-0.307884	59	59	58	0.010070	1.267116	-5.003164	8.199601	1.000000	0.000000	2.088908	0.340387	0.000852	0.000000	1.000000	0.000000	-0.038871	0.290571	33.546940	2.874738	5.492577	1.352564	2.000000	2.000000	0.013021	0.210495	0.470279	1.000000	0.000000	0.596375	[0.064733, 0.064617, 0.058591, 0.066789, 0.059821, 0.05712, 0.067733, 0.064904, 0.05952, 0.059692, 0.06032, 0.066229, 0.064, 0.060055, 0.062079, 0.063796]	[0.062674, 0.093576, 0.050764, 0.061331, 0.062593, 0.060706, 0.077269, 0.068113, 0.048229, 0.0525, 0.063738, 0.065451, 0.06985, 0.048715, 0.057604, 0.056887]
1777211099.999	0	300	300	7.983572e-05	1.295311	1.249338	0.689432	1.150183	0.000000	1.385125	1.421165	1.372305		0.050000	0.010000	2	0.049253	0.583333	0.053084	-0.358969	-0.412054	55	54	55	-0.003023	1.260532	-5.225237	8.386949	1.000000	0.000000	2.105938	0.335366	0.000871	0.000000	1.000000	0.000000	-0.038167	0.299007	33.599458	3.011012	5.543241	1.314725	2.000000	2.000000	0.023438	0.206476	0.464256	1.000000	0.000000	0.559925	[0.062869, 0.061795, 0.060115, 0.06279, 0.065459, 0.05657, 0.059028, 0.062416, 0.062981, 0.061407, 0.06162, 0.072219, 0.062042, 0.058246, 0.064373, 0.066071]	[0.065428, 0.077917, 0.058113, 0.055069, 0.08353, 0.059907, 0.0511, 0.059745, 0.052546, 0.054468, 0.062616, 0.082859, 0.062037, 0.044537, 0.057083, 0.073044]
1777211190.189	0	350	350	7.970715e-05	1.539861	1.495019	0.673533	1.116542	0.000000	1.399281	1.403304	1.355027		0.050000	0.010000	2	0.041365	0.500000	0.126332	-0.323329	-0.449660	59	59	59	0.014701	1.246686	-4.895786	8.112790	1.000000	0.000000	2.095741	0.339930	0.000989	0.000000	1.000000	0.000000	-0.037824	0.304574	33.665175	3.013210	5.373143	1.371968	2.000000	2.000000	0.023438	0.213901	0.465960	1.000000	0.000000	0.467165	[0.063715, 0.065035, 0.05819, 0.060923, 0.065889, 0.057673, 0.063517, 0.064922, 0.059912, 0.059028, 0.064052, 0.065057, 0.062655, 0.059652, 0.062004, 0.067777]	[0.064398, 0.074271, 0.053657, 0.054248, 0.101505, 0.052778, 0.065567, 0.06831, 0.048611, 0.049792, 0.063843, 0.068519, 0.062211, 0.048808, 0.051944, 0.071539]
1777211282.454	0	400	400	7.954185e-05	1.290371	1.244996	0.688673	1.094086	0.000000	1.361901	1.376532	1.328486		0.050000	0.010000	2	0.044610	0.500000	0.101527	-0.323183	-0.424710	60	60	60	0.015827	1.240931	-5.049463	8.176878	1.000000	0.000000	2.104374	0.336819	0.001075	0.000000	1.000000	0.000000	-0.037674	0.315426	33.698942	3.050163	5.345675	1.380200	2.000000	2.000000	0.015625	0.211487	0.462151	1.000000	0.000000	0.422912	[0.063238, 0.0622, 0.061488, 0.06124, 0.06269, 0.058698, 0.063433, 0.059178, 0.061943, 0.062747, 0.063224, 0.067146, 0.058861, 0.060296, 0.064458, 0.069159]	[0.064988, 0.081725, 0.065613, 0.055949, 0.071944, 0.051817, 0.060764, 0.061748, 0.052731, 0.055, 0.060127, 0.068032, 0.056238, 0.053113, 0.058403, 0.081806]
1777211376.989	0	450	450	7.934000e-05	1.307429	1.263976	0.652015	1.085274	0.000000	1.364725	1.368378	1.320851		0.050000	0.010000	2	0.039463	0.666667	0.117873	-0.303576	-0.421449	57	57	56	0.005008	1.241986	-5.121034	8.778009	1.000000	0.000000	2.109930	0.334397	0.000978	0.000000	1.000000	0.000000	-0.038022	0.325419	33.761940	3.105354	5.350759	1.436034	2.000000	2.000000	0.015625	0.208593	0.460200	1.000000	0.000000	0.432036	[0.066371, 0.060064, 0.058115, 0.06328, 0.06271, 0.057255, 0.067434, 0.061142, 0.065536, 0.057024, 0.062122, 0.063801, 0.061424, 0.063198, 0.061642, 0.068883]	[0.072245, 0.054653, 0.053403, 0.061204, 0.074317, 0.051771, 0.071898, 0.058056, 0.057326, 0.057176, 0.061308, 0.06831, 0.060556, 0.063426, 0.052558, 0.081794]
1777211470.484	0	500	500	7.910180e-05	1.267823	1.220333	0.733715	1.080426	0.000000	1.326818	1.347129	1.299997		0.050000	0.010000	2	0.044499	0.416667	-0.026417	-0.350723	-0.324306	62	62	62	0.023289	1.227717	-5.163918	8.462540	1.000000	0.000000	2.121933	0.329148	0.000846	0.000000	1.000000	0.000000	-0.037625	0.340531	33.890026	3.037885	5.157304	1.447541	2.000000	2.000000	0.018229	0.205200	0.453097	1.000000	0.000000	0.396165	[0.061969, 0.062697, 0.058348, 0.063377, 0.062036, 0.056504, 0.060626, 0.06247, 0.065802, 0.066458, 0.061756, 0.064113, 0.060634, 0.062996, 0.064408, 0.065806]	[0.068438, 0.057743, 0.057546, 0.064757, 0.082708, 0.044907, 0.062269, 0.070718, 0.060637, 0.065521, 0.057986, 0.075544, 0.055926, 0.056574, 0.05794, 0.060787]
