# run_started_at	20260427_003800
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	1200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/CB_piqa_pw005"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777221515.485	0	50	50	0	0.068786	0.025580	0.070504	2.654563	2.703175	0.669456	0.771967	0.862936
1777221515.485	0	50	50	1	0.173145	0.072416	0.113252	2.256294	2.335759	0.598326	0.666318	0.803549
1777221515.485	0	50	50	2	0.173370	0.072905	0.110235	2.406224	2.525771	0.710251	0.664749	0.864323
1777221515.485	0	50	50	3	0.236674	0.100837	0.140003	2.197550	2.315798	0.765690	0.683054	0.808025
1777221515.485	0	50	50	4	0.207450	0.087378	0.130773	2.337697	2.416592	0.735356	0.691423	0.804775
1777221515.485	0	50	50	5	0.246131	0.107347	0.125745	2.234256	2.354820	0.643305	0.652720	0.839999
1777221515.485	0	50	50	6	0.291580	0.133738	0.096413	2.111283	2.269217	0.671548	0.718096	0.876686
1777221515.485	0	50	50	7	0.411750	0.192031	0.110747	1.846256	2.058015	0.705021	0.736925	0.857658
1777221515.485	0	50	50	8	0.423506	0.198298	0.107639	1.873025	2.098883	0.748954	0.782950	0.864939
1777221515.485	0	50	50	9	0.580134	0.273801	0.130125	1.635638	1.995622	0.699791	0.673117	0.844162
1777221515.485	0	50	50	10	0.473336	0.221058	0.124882	1.802863	2.117431	0.748954	0.703975	0.858189
1777221515.485	0	50	50	11	0.536267	0.251814	0.130557	1.763883	2.083671	0.716527	0.740063	0.850719
1777221515.485	0	50	50	12	0.624577	0.296517	0.126177	1.548400	1.865545	0.753138	0.754184	0.834997
1777221515.485	0	50	50	13	0.724231	0.345191	0.135397	1.486301	1.860398	0.748954	0.756276	0.835792
1777221515.485	0	50	50	14	0.647031	0.308833	0.117461	1.417331	1.704228	0.830544	0.764121	0.850756
1777221515.485	0	50	50	15	0.426163	0.202906	0.081402	1.498044	1.744825	0.780335	0.803347	0.882084
1777221515.485	0	50	50	16	0.735397	0.352994	0.117639	1.236705	1.434172	0.780335	0.755753	0.854927
1777221515.485	0	50	50	17	0.835638	0.401737	0.128655	0.980941	1.277308	0.849372	0.705544	0.816385
1777221515.485	0	50	50	18	0.705477	0.337643	0.120768	1.184819	1.440775	0.787657	0.746862	0.840325
1777221515.485	0	50	50	19	0.928063	0.449163	0.118950	0.954706	1.253242	0.844142	0.758891	0.832162
1777221515.485	0	50	50	20	0.997032	0.482600	0.127329	0.915447	1.270320	0.828452	0.777720	0.845440
1777221515.485	0	50	50	21	0.839474	0.406080	0.109259	0.956276	1.271779	0.834728	0.827929	0.864270
1777221515.485	0	50	50	22	0.955115	0.461901	0.125254	0.807336	1.021718	0.812761	0.817469	0.830215
1777221515.485	0	50	50	23	2.336453	1.141461	0.214122	0.190971	0.343352	0.844142	0.684100	0.731768
1777221549.951	0	100	100	0	0.007144	0.002144	0.011421	2.649982	2.657620	0.942266	0.931917	0.926193
1777221549.951	0	100	100	1	0.077281	0.031425	0.057723	2.222250	2.260952	0.721133	0.763072	0.842432
1777221549.951	0	100	100	2	0.063339	0.025952	0.045744	2.441050	2.471214	0.851852	0.822440	0.935467
1777221549.951	0	100	100	3	0.109838	0.046622	0.066380	2.148861	2.189565	0.886710	0.820261	0.884509
1777221549.951	0	100	100	4	0.068870	0.027577	0.054860	2.335992	2.366610	0.867102	0.819172	0.881028
1777221549.951	0	100	100	5	0.067751	0.029239	0.037088	2.220962	2.255366	0.806100	0.827887	0.935762
1777221549.951	0	100	100	6	0.080491	0.037017	0.025827	2.075357	2.134175	0.833333	0.884532	0.953619
