# run_started_at	20260427_004258
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	1200
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/CB_piqa_pw005"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/CB_piqa_pw005/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777221887.477	0	50	50	7.997457e-05	2.166292	2.119573	0.624435	1.549698	0.000000	2.652203	2.891929	2.840443		0.050000	0.010000	2	0.060530	0.700000	0.173999	-2.514439	-2.688437	81	76	81	-0.068915	1.447719	-5.908219	9.177309	1.000000	0.000000	1.916408	0.405645	0.000308	0.000000	1.000000	0.000000	-0.035160	0.353777	30.538586	3.818883	6.208230	1.442973	2.000000	2.000000	0.044271	0.269563	0.541726	1.000000	0.000000	0.901180	[0.064947, 0.061196, 0.058263, 0.066753, 0.072745, 0.065677, 0.06355, 0.072332, 0.064474, 0.053513, 0.055006, 0.072761, 0.057675, 0.055502, 0.057662, 0.057944]	[0.077296, 0.084259, 0.052758, 0.065268, 0.081289, 0.06114, 0.053829, 0.080806, 0.063792, 0.039448, 0.041995, 0.07526, 0.062895, 0.065403, 0.044078, 0.050482]
1777221991.362	0	100	100	7.946974e-05	2.035875	1.983630	0.781795	1.315470	0.000000	2.020552	2.331545	2.283284		0.050000	0.010000	2	0.054797	0.650000	-0.094223	-2.667068	-2.572844	108	108	108	-0.039293	1.402944	-5.698536	8.586315	1.000000	0.000000	1.983293	0.376440	0.000467	0.000000	1.000000	0.000000	-0.034611	0.369726	30.818822	3.724601	6.064257	1.340882	2.000000	2.000000	0.049479	0.243399	0.509480	1.000000	0.000000	0.774253	[0.056984, 0.058506, 0.064642, 0.067198, 0.069457, 0.060188, 0.06147, 0.069849, 0.071659, 0.056939, 0.060042, 0.068865, 0.057626, 0.052914, 0.061415, 0.062246]	[0.058111, 0.087818, 0.063841, 0.073023, 0.075135, 0.055922, 0.054003, 0.074566, 0.077566, 0.043731, 0.05624, 0.070438, 0.055218, 0.045988, 0.05054, 0.057861]
1777222095.019	0	150	150	7.832654e-05	1.783499	1.742798	0.572682	1.206756	0.000000	1.944148	2.087871	2.041239		0.050000	0.010000	2	0.062305	0.800000	0.300909	-2.099133	-2.400041	108	108	108	-0.025507	1.331249	-5.468531	8.518222	1.000000	0.000000	2.036409	0.357385	0.000651	0.000000	1.000000	0.000000	-0.034566	0.357995	30.860305	3.649857	5.902796	1.317349	2.000000	2.000000	0.028646	0.229354	0.485416	1.000000	0.000000	0.640416	[0.059058, 0.059607, 0.062872, 0.06755, 0.070919, 0.06265, 0.064109, 0.062691, 0.065579, 0.060812, 0.061024, 0.064623, 0.05714, 0.056202, 0.062191, 0.062972]	[0.05788, 0.062674, 0.067448, 0.06793, 0.075723, 0.064911, 0.058285, 0.06113, 0.066599, 0.055729, 0.058594, 0.060484, 0.056009, 0.077778, 0.049286, 0.059539]
1777222201.041	0	200	200	7.656554e-05	2.011212	1.961922	0.747854	1.189800	0.000000	1.903690	1.972703	1.927220		0.050000	0.010000	2	0.049783	0.600000	-0.085602	-2.487584	-2.401982	95	92	95	-0.020792	1.307584	-5.722058	8.295817	1.000000	0.000000	2.047444	0.353978	0.000499	0.000000	1.000000	0.000000	-0.034776	0.358416	30.969097	3.670705	5.797933	1.313064	2.000000	2.000000	0.036458	0.226882	0.481074	1.000000	0.000000	0.599797	[0.059019, 0.060891, 0.063483, 0.065968, 0.066894, 0.055668, 0.061583, 0.070281, 0.06567, 0.06351, 0.060321, 0.063027, 0.060581, 0.054085, 0.066414, 0.062605]	[0.061883, 0.096248, 0.063956, 0.063648, 0.059934, 0.047338, 0.053829, 0.074855, 0.069869, 0.059066, 0.055372, 0.05625, 0.062162, 0.044203, 0.062539, 0.068846]
1777222306.349	0	250	250	7.421844e-05	1.794832	1.751995	0.622549	1.170857	0.000000	1.916393	1.933723	1.889086		0.050000	0.010000	2	0.046818	0.850000	0.198522	-1.973172	-2.171695	105	103	105	-0.023422	1.339300	-5.636633	8.338060	1.000000	0.000000	1.991962	0.375185	0.000564	0.000000	1.000000	0.000000	-0.033922	0.367943	31.098067	3.585508	5.872977	1.347601	2.000000	2.000000	0.026042	0.250186	0.500184	1.000000	0.000000	0.530992	[0.064373, 0.065307, 0.058281, 0.065735, 0.067925, 0.057044, 0.064221, 0.063994, 0.067738, 0.061957, 0.060203, 0.065672, 0.056125, 0.055772, 0.064851, 0.060801]	[0.075357, 0.099682, 0.051784, 0.066908, 0.070235, 0.042438, 0.058758, 0.059336, 0.068027, 0.055546, 0.060417, 0.064931, 0.06033, 0.048939, 0.058536, 0.058777]
1777222410.026	0	300	300	7.132748e-05	1.974589	1.931267	0.642739	1.118503	0.000000	1.895698	1.908829	1.864346		0.050000	0.010000	2	0.049339	0.650000	0.247374	-2.425658	-2.673033	108	108	108	-0.008438	1.290868	-5.570231	8.160307	1.000000	0.000000	2.050522	0.353094	0.000564	0.000000	1.000000	0.000000	-0.033604	0.377702	31.164406	3.625316	5.689105	1.341806	2.000000	2.000000	0.026042	0.227253	0.478936	1.000000	0.000000	0.498156	[0.061386, 0.062128, 0.060896, 0.06723, 0.067539, 0.058821, 0.06339, 0.062717, 0.064691, 0.060881, 0.060553, 0.062012, 0.058387, 0.057832, 0.065423, 0.066115]	[0.064111, 0.077267, 0.057417, 0.068075, 0.065606, 0.049219, 0.062934, 0.054871, 0.065596, 0.057079, 0.053819, 0.065731, 0.056047, 0.072232, 0.060851, 0.069145]
1777222513.437	0	350	350	6.794468e-05	1.785000	1.745116	0.573870	1.119097	0.000000	1.883724	1.893082	1.849405		0.050000	0.010000	2	0.042206	0.850000	0.271987	-2.126747	-2.398735	108	108	108	0.000584	1.305771	-5.542646	8.245707	1.000000	0.000000	2.012768	0.368500	0.000701	0.000000	1.000000	0.000000	-0.033422	0.385331	31.213094	3.568275	5.709994	1.361394	2.000000	2.000000	0.028646	0.246196	0.490803	1.000000	0.000000	0.450783	[0.063972, 0.063091, 0.059839, 0.064761, 0.066562, 0.060309, 0.06449, 0.061175, 0.061865, 0.060043, 0.06267, 0.062312, 0.06311, 0.059246, 0.06538, 0.061174]	[0.074932, 0.089111, 0.052585, 0.06359, 0.066599, 0.054591, 0.062654, 0.056076, 0.060262, 0.052122, 0.063474, 0.058767, 0.063831, 0.059462, 0.066753, 0.055189]
1777222619.575	0	400	400	6.413094e-05	1.938888	1.895753	0.644873	1.089134	0.000000	1.877744	1.883599	1.839663		0.050000	0.010000	2	0.041783	0.650000	0.137088	-2.239041	-2.376129	101	101	101	-0.003894	1.295468	-5.301614	8.115617	1.000000	0.000000	2.008492	0.370513	0.000724	0.000000	1.000000	0.000000	-0.033783	0.392281	31.209305	3.512032	5.695707	1.369988	2.000000	2.000000	0.023438	0.247841	0.493184	1.000000	0.000000	0.403254	[0.064062, 0.063907, 0.060396, 0.062878, 0.064689, 0.058426, 0.066488, 0.063972, 0.064396, 0.06105, 0.060715, 0.064846, 0.062642, 0.05708, 0.065132, 0.05932]	[0.068605, 0.080691, 0.066001, 0.061931, 0.064371, 0.04946, 0.063166, 0.061458, 0.068084, 0.051601, 0.053434, 0.066532, 0.066792, 0.063561, 0.062568, 0.051746]
1777222730.488	1	450	450	5.995490e-05	1.847968	1.801290	0.718874	1.073436	0.000000	1.829876	1.849709	1.806753		0.050000	0.010000	2	0.050511	0.550000	-0.024579	-2.436250	-2.411671	103	100	103	0.011580	1.272226	-5.478145	8.422686	1.000000	0.000000	2.062978	0.348693	0.000534	0.000000	1.000000	0.000000	-0.033978	0.383798	31.461527	3.509733	5.517742	1.361702	2.000000	2.000000	0.020833	0.225393	0.471994	1.000000	0.000000	0.405423	[0.064656, 0.062614, 0.058497, 0.066061, 0.065317, 0.057843, 0.063995, 0.061976, 0.063677, 0.058239, 0.060611, 0.063481, 0.060331, 0.060136, 0.066091, 0.066476]	[0.070544, 0.072087, 0.052749, 0.064728, 0.06495, 0.048331, 0.060793, 0.072618, 0.063426, 0.048264, 0.054389, 0.065451, 0.060262, 0.067843, 0.064593, 0.068972]
1777222839.471	1	500	500	5.549170e-05	1.820345	1.779066	0.606449	1.095636	0.000000	1.789239	1.813129	1.770819		0.050000	0.010000	2	0.047538	0.700000	0.212089	-2.272455	-2.484545	108	108	108	0.000275	1.352029	-5.536384	8.491560	1.000000	0.000000	1.971774	0.382782	0.000630	0.000000	1.000000	0.000000	-0.033455	0.386956	31.684266	3.508180	5.763441	1.354836	2.000000	2.000000	0.026042	0.259177	0.506387	1.000000	0.000000	0.398835	[0.059803, 0.064365, 0.05907, 0.063759, 0.065454, 0.062274, 0.06546, 0.064074, 0.065082, 0.057878, 0.06036, 0.062542, 0.060261, 0.062033, 0.062955, 0.064631]	[0.06032, 0.074007, 0.053453, 0.061478, 0.069117, 0.058111, 0.062645, 0.067612, 0.070814, 0.044039, 0.058661, 0.060233, 0.056269, 0.082041, 0.060812, 0.060388]
