# run_started_at	20260427_022213
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	192
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-c"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-c"
# arg	eval_every	300
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_c_pw005"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_c_pw005/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777227819.735	0	50	50	5.963296e-05	1.950605	1.847243	0.896810	1.368107	0.000000	2.141815	2.248798	2.152778		0.100000	0.010000	2	0.145942	0.125000	-0.352823	-0.965401	-0.612579	159	159	159	-0.001563	1.088274	-4.908329	7.088226	1.000000	0.000000	2.306805	0.263351	0.001399	0.000000	1.000000	0.000000	-0.022464	0.761891	18.144984	5.678408	5.990214	1.281570	2.000000	2.000000	0.223958	0.137515	0.389188	1.000000	0.000000	0.994490	[0.05915, 0.060523, 0.060271, 0.065623, 0.065163, 0.054833, 0.060574, 0.068971, 0.067602, 0.060358, 0.063568, 0.066683, 0.068965, 0.055082, 0.058509, 0.064124]	[0.088691, 0.045695, 0.042345, 0.059272, 0.103109, 0.036947, 0.077393, 0.061008, 0.066678, 0.042914, 0.068617, 0.078166, 0.083171, 0.031752, 0.057129, 0.057115]
1777227904.032	0	100	100	5.762020e-05	1.673831	1.593181	0.679952	1.265461	0.000000	1.668596	1.867082	1.778956		0.100000	0.010000	2	0.113372	0.625000	0.064598	-0.671131	-0.735729	161	161	156	-0.009049	1.042799	-4.881241	6.844321	1.000000	0.000000	2.342935	0.249006	0.001622	0.000000	1.000000	0.000000	-0.020084	0.747547	18.790893	5.788794	5.873810	1.244614	2.000000	2.000000	0.192708	0.125963	0.372048	1.000000	0.000000	0.908016	[0.062141, 0.062115, 0.060904, 0.065713, 0.061532, 0.059417, 0.062049, 0.068498, 0.06935, 0.057737, 0.062185, 0.064195, 0.064407, 0.05806, 0.059644, 0.062053]	[0.107354, 0.04796, 0.049832, 0.054267, 0.081774, 0.043769, 0.081624, 0.084351, 0.08016, 0.045247, 0.06387, 0.06623, 0.059516, 0.038642, 0.045464, 0.04994]
1777227988.152	0	150	150	5.397856e-05	1.434117	1.362131	0.599361	1.205028	0.000000	1.513175	1.637286	1.556334		0.100000	0.010000	2	0.078319	0.750000	0.259108	-0.350872	-0.609980	164	164	164	0.004522	1.085367	-5.204585	6.991529	1.000000	0.000000	2.283156	0.274992	0.001881	0.000000	1.000000	0.000000	-0.016069	0.740697	19.513049	6.129219	5.892857	1.312389	2.000000	2.000000	0.192708	0.152417	0.397568	1.000000	0.000000	0.786431	[0.065504, 0.061766, 0.060196, 0.066245, 0.061729, 0.057862, 0.061269, 0.070526, 0.063507, 0.06041, 0.060197, 0.066998, 0.063109, 0.058989, 0.060424, 0.06127]	[0.097154, 0.046414, 0.048218, 0.067383, 0.092339, 0.037896, 0.089369, 0.071384, 0.058011, 0.049683, 0.056302, 0.075399, 0.066813, 0.043498, 0.052734, 0.047404]
1777228074.864	0	200	200	4.894898e-05	1.427524	1.355300	0.600837	1.213983	0.000000	1.409787	1.490713	1.412907		0.100000	0.010000	2	0.081370	0.500000	0.276128	-0.212719	-0.488847	165	165	165	0.009642	1.109260	-5.434434	7.184146	1.000000	0.000000	2.278405	0.274996	0.001967	0.000000	1.000000	0.000000	-0.013504	0.735560	20.109797	6.324337	5.821041	1.364939	2.000000	2.000000	0.161458	0.153366	0.396626	1.000000	0.000000	0.787418	[0.061162, 0.062481, 0.06242, 0.069067, 0.061369, 0.057155, 0.060158, 0.064764, 0.068946, 0.060955, 0.060765, 0.063502, 0.062435, 0.060484, 0.060439, 0.063896]	[0.076375, 0.04994, 0.063843, 0.067274, 0.085612, 0.040473, 0.080417, 0.06901, 0.070814, 0.052327, 0.052775, 0.068481, 0.06665, 0.045275, 0.054823, 0.055908]
1777228163.761	1	250	250	4.286421e-05	1.295022	1.235901	0.469882	1.213249	0.000000	1.338246	1.384775	1.313982		0.100000	0.010000	2	0.095512	0.875000	0.939970	-0.206150	-1.146120	109	109	109	0.009156	1.121333	-5.502824	7.505625	1.000000	0.000000	2.283715	0.269023	0.001517	0.000000	1.000000	0.000000	-0.011827	0.730359	20.798809	6.630496	5.630235	1.325247	2.000000	2.000000	0.171875	0.148676	0.389370	1.000000	0.000000	0.823007	[0.062562, 0.060021, 0.060487, 0.069277, 0.05865, 0.060407, 0.060459, 0.068109, 0.064929, 0.061561, 0.060914, 0.063716, 0.065271, 0.059729, 0.059804, 0.064102]	[0.076619, 0.039741, 0.050429, 0.068075, 0.076742, 0.044596, 0.103217, 0.068712, 0.063639, 0.057726, 0.053996, 0.066962, 0.074924, 0.043972, 0.050564, 0.060086]
1777228270.885	1	300	300	3.612682e-05	1.380659	1.323185	0.455992	1.187455	0.000000	1.289711	1.322268	1.255771	0.243243	0.100000	0.010000	2	0.106016	0.875000	0.677198	-0.197681	-0.874879	157	154	157	0.026209	1.184565	-5.832349	7.707768	1.000000	0.000000	2.253098	0.279601	0.001562	0.000000	1.000000	0.000000	-0.010644	0.737938	21.399652	6.808126	5.779520	1.330326	2.000000	2.000000	0.148438	0.156210	0.402993	1.000000	0.000000	0.778290	[0.064502, 0.059109, 0.060708, 0.067322, 0.059473, 0.056598, 0.063114, 0.06635, 0.065585, 0.060493, 0.061467, 0.060849, 0.069175, 0.062843, 0.061324, 0.061089]	[0.083347, 0.040256, 0.053358, 0.066908, 0.081367, 0.03304, 0.094618, 0.067939, 0.066962, 0.056139, 0.053114, 0.061469, 0.086629, 0.052829, 0.051487, 0.050537]
1777228359.975	1	350	350	2.918257e-05	1.189143	1.130220	0.474184	1.150432	0.000000	1.234326	1.263599	1.200504		0.100000	0.010000	2	0.106334	0.875000	0.578447	-0.177644	-0.756090	117	117	117	0.010127	1.203665	-6.165677	8.182493	1.000000	0.000000	2.251668	0.278641	0.001310	0.000000	1.000000	0.000000	-0.009022	0.734297	21.900575	7.016445	5.697409	1.370527	2.000000	2.000000	0.153646	0.157036	0.400246	1.000000	0.000000	0.698746	[0.061714, 0.062822, 0.062357, 0.067788, 0.061237, 0.057227, 0.058672, 0.065828, 0.06584, 0.059167, 0.063257, 0.063713, 0.066762, 0.058692, 0.062877, 0.062047]	[0.080892, 0.050198, 0.056925, 0.07251, 0.079698, 0.038045, 0.096883, 0.064209, 0.069119, 0.047648, 0.052368, 0.073975, 0.070353, 0.042548, 0.05306, 0.051568]
1777228447.741	1	400	400	2.249087e-05	1.190796	1.123616	0.557303	1.144951	0.000000	1.165721	1.203175	1.145152		0.100000	0.010000	2	0.121845	0.625000	0.571559	-0.176265	-0.747824	127	126	127	0.010390	1.226408	-6.262300	8.244249	1.000000	0.000000	2.237674	0.283286	0.001214	0.000000	1.000000	0.000000	-0.008527	0.733491	22.248711	7.143015	5.761558	1.318742	2.000000	2.000000	0.153646	0.161273	0.405299	1.000000	0.000000	0.706352	[0.061645, 0.063346, 0.061908, 0.070547, 0.060969, 0.059716, 0.060508, 0.06598, 0.065822, 0.060598, 0.061811, 0.061405, 0.064602, 0.058858, 0.062355, 0.05993]	[0.078735, 0.051649, 0.054253, 0.08336, 0.078491, 0.047038, 0.102349, 0.064195, 0.070218, 0.050456, 0.055271, 0.062581, 0.060642, 0.041206, 0.053236, 0.046319]
1777228535.804	2	450	450	1.649446e-05	0.979697	0.942935	0.251210	1.164047	0.000000	1.058156	1.102302	1.052487		0.100000	0.010000	2	0.098759	1.000000	2.313167	-0.010430	-2.323596	164	164	164	0.034743	1.272794	-6.402930	8.337739	1.000000	0.000000	2.205034	0.293975	0.001263	0.000000	1.000000	0.000000	-0.007074	0.735950	22.605786	7.318645	5.693682	1.377110	2.000000	2.000000	0.140625	0.170533	0.417417	1.000000	0.000000	0.699804	[0.063275, 0.059571, 0.061818, 0.067942, 0.060712, 0.059258, 0.06027, 0.066951, 0.061979, 0.0609, 0.062504, 0.060808, 0.068001, 0.061835, 0.062211, 0.061966]	[0.074965, 0.046278, 0.05915, 0.068278, 0.075616, 0.044556, 0.097697, 0.065213, 0.055325, 0.055122, 0.050144, 0.065959, 0.075602, 0.050754, 0.06033, 0.055013]
1777228624.494	2	500	500	1.159006e-05	1.168841	1.129054	0.283934	1.139419	0.000000	0.994465	1.031754	0.987476		0.100000	0.010000	2	0.095163	1.000000	1.179357	-0.015090	-1.194448	114	114	112	0.015468	1.294244	-6.537351	8.447537	1.000000	0.000000	2.194984	0.297810	0.001076	0.000000	1.000000	0.000000	-0.007249	0.737872	22.892819	7.459860	5.728232	1.378826	2.000000	2.000000	0.151042	0.174546	0.421073	1.000000	0.000000	0.651395	[0.062842, 0.060677, 0.061376, 0.069684, 0.060758, 0.059486, 0.060867, 0.066947, 0.065019, 0.061783, 0.061436, 0.063709, 0.064682, 0.058713, 0.06192, 0.060101]	[0.07586, 0.048937, 0.058634, 0.077406, 0.07723, 0.044529, 0.097995, 0.062826, 0.065226, 0.053046, 0.052422, 0.067722, 0.063775, 0.043457, 0.05934, 0.051595]
