# run_started_at	20260427_051936
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	72
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	1
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_coef	0.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_piqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/out_moe_att_piqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_expert	loss_kl	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_accuracy	router_aux_loss_coef	router_top_k	expert_embedding_proj_grad_norm	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777238447.778	0	54	50	9.999914e-05	2.833294	2.594974	0.000000	2.383208	0.000000	3.493023	3.647532	3.410909		0.000000	2	3.831038	-1.704272	13.223467	-190.467006	148.014775	1.000000	0.000000	1.348304	0.573510	0.000000	0.000000	1.000000	0.000000	0.323720	0.536453	4.729376	1.233943	10.258565	1.594448	2.000000	2.000000	0.002604	0.465778	0.681243	1.000000	0.000000	0.568488	[0.072462, 0.057187, 0.056992, 0.059837, 0.071829, 0.059945, 0.067554, 0.065641, 0.056233, 0.060593, 0.059251, 0.070765, 0.068297, 0.05162, 0.062494, 0.0593]	[0.099103, 0.058413, 0.05089, 0.058702, 0.075593, 0.056098, 0.070095, 0.061415, 0.057726, 0.057798, 0.060619, 0.066081, 0.070059, 0.044235, 0.057075, 0.056098]
1777238514.779	0	104	100	9.989565e-05	2.272364	2.032459	0.000000	2.399053	0.000000	2.564846	2.939157	2.699998		0.000000	2	1.758113	-1.453504	13.292273	-240.832250	120.513984	1.000000	0.000000	1.324150	0.580920	0.000000	0.000000	1.000000	0.000000	0.286964	0.502340	4.490249	1.046340	10.199539	1.559291	2.000000	2.000000	0.005208	0.478016	0.683823	1.000000	0.000000	0.666233	[0.078549, 0.05741, 0.053893, 0.060734, 0.07344, 0.063308, 0.065749, 0.066492, 0.050155, 0.058612, 0.058697, 0.076001, 0.063032, 0.052946, 0.062904, 0.058079]	[0.101671, 0.050998, 0.043837, 0.056496, 0.071615, 0.068034, 0.072446, 0.064236, 0.055013, 0.053422, 0.060981, 0.078161, 0.060077, 0.040799, 0.058232, 0.063983]
1777238585.288	0	154	150	9.962084e-05	2.411494	2.171185	0.000000	2.403095	0.000000	2.387258	2.585716	2.345886		0.000000	2	1.817732	-2.002574	16.095106	-342.304811	119.877488	1.000000	0.000000	1.381886	0.561186	0.000001	0.000000	1.000000	0.000000	0.259262	0.483383	4.241372	0.926484	10.073354	1.465234	2.000000	2.000000	0.005208	0.457391	0.664982	1.000000	0.000000	0.741333	[0.0776, 0.057546, 0.053628, 0.062372, 0.074227, 0.063724, 0.066972, 0.070385, 0.053801, 0.053703, 0.0541, 0.081993, 0.062176, 0.052932, 0.054586, 0.060255]	[0.101635, 0.052698, 0.042643, 0.057219, 0.074942, 0.065538, 0.069481, 0.063694, 0.067419, 0.044452, 0.051758, 0.091797, 0.059462, 0.047924, 0.044994, 0.064345]
1777238651.635	0	204	200	9.917788e-05	2.243899	2.002711	0.000000	2.411872	0.000000	2.331763	2.422239	2.181840		0.000000	2	2.172316	-1.736194	17.025752	-351.120080	130.222070	1.000000	0.000000	1.311775	0.587047	0.000000	0.000000	1.000000	0.000000	0.260963	0.480474	4.302732	0.963074	10.187065	1.520322	2.000000	2.000000	0.000000	0.488712	0.685383	1.000000	0.000000	0.685177	[0.074426, 0.058149, 0.057015, 0.062976, 0.073537, 0.065806, 0.069292, 0.072723, 0.053534, 0.05841, 0.053888, 0.072066, 0.063994, 0.052655, 0.054605, 0.056923]	[0.098416, 0.051975, 0.055845, 0.056134, 0.079933, 0.064634, 0.07241, 0.068142, 0.05429, 0.052264, 0.049986, 0.072049, 0.060655, 0.048358, 0.047815, 0.067093]
1777238719.049	0	254	250	9.857186e-05	2.369157	2.129110	0.000000	2.400467	0.000000	2.279030	2.339506	2.098974		0.000000	2	1.651847	-2.291296	17.485051	-345.984382	164.084393	1.000000	0.000000	1.369897	0.567136	0.000035	0.000000	1.000000	0.000000	0.263921	0.488988	4.127302	0.965893	9.917125	1.414244	2.000000	2.000000	0.005208	0.469487	0.664786	1.000000	0.000000	0.717494	[0.072627, 0.058293, 0.058258, 0.067115, 0.076706, 0.06664, 0.064507, 0.067284, 0.053352, 0.059021, 0.052928, 0.072223, 0.063079, 0.055644, 0.053913, 0.058409]	[0.100297, 0.053747, 0.053783, 0.061379, 0.076027, 0.068396, 0.068468, 0.067564, 0.051577, 0.050817, 0.047815, 0.072953, 0.0574, 0.048466, 0.043186, 0.078125]
1777238783.838	0	304	300	9.780974e-05	2.173153	1.931958	0.000000	2.411945	0.000000	2.291696	2.308586	2.067764		0.000000	2	3.717927	-2.340009	18.745963	-348.894257	154.096805	1.000000	0.000000	1.295988	0.591138	0.000000	0.000000	1.000000	0.000000	0.253718	0.475825	4.093149	0.919709	10.155123	1.568333	2.000000	2.000000	0.002604	0.493625	0.688651	1.000000	0.000000	0.686721	[0.072597, 0.059868, 0.061399, 0.057396, 0.074558, 0.065053, 0.063636, 0.071932, 0.05341, 0.058837, 0.055691, 0.078388, 0.06018, 0.052059, 0.052718, 0.06228]	[0.100514, 0.05599, 0.053168, 0.051251, 0.081199, 0.064308, 0.058666, 0.075666, 0.058087, 0.052156, 0.052409, 0.076317, 0.057038, 0.042245, 0.046658, 0.074327]
1777238850.458	0	354	350	9.690030e-05	2.238862	1.997448	0.000000	2.414131	0.000000	2.262283	2.282579	2.041666		0.000000	2	2.069354	-2.356132	19.111436	-345.062692	173.287503	1.000000	0.000000	1.352197	0.575001	0.000002	0.000000	1.000000	0.000000	0.254972	0.478083	4.036837	0.926436	9.919192	1.429221	2.000000	2.000000	0.007812	0.477878	0.672125	1.000000	0.000000	0.743345	[0.071885, 0.053944, 0.058357, 0.055254, 0.08528, 0.069786, 0.066929, 0.068574, 0.052873, 0.059263, 0.052242, 0.08028, 0.064239, 0.053386, 0.052175, 0.055535]	[0.09885, 0.04843, 0.046007, 0.047526, 0.095486, 0.070747, 0.073351, 0.077148, 0.061777, 0.049986, 0.048177, 0.075123, 0.063223, 0.046224, 0.041016, 0.05693]
1777238917.400	0	404	400	9.585399e-05	2.218674	1.978115	0.000000	2.405595	0.000000	2.236087	2.250523	2.009929		0.000000	2	0.914678	-1.987591	17.789680	-329.226167	160.493114	1.000000	0.000000	1.323774	0.582808	0.000058	0.000000	1.000000	0.000000	0.252663	0.476313	3.972048	0.850443	9.922774	1.554770	2.000000	2.000000	0.010417	0.486533	0.679084	1.000000	0.000000	0.726451	[0.07412, 0.057725, 0.056799, 0.060362, 0.083513, 0.066294, 0.058058, 0.067161, 0.05266, 0.061408, 0.051768, 0.080761, 0.061828, 0.053828, 0.053755, 0.05996]	[0.099826, 0.057726, 0.049407, 0.054868, 0.088759, 0.062681, 0.04749, 0.079861, 0.067564, 0.055809, 0.048792, 0.075087, 0.059606, 0.043909, 0.043728, 0.064887]
1777238993.460	0	454	450	9.468285e-05	2.084658	1.844006	0.000000	2.406519	0.000000	2.243873	2.243233	2.002927		0.000000	2	1.421563	-1.920429	19.797685	-345.299621	209.868161	1.000000	0.000000	1.328115	0.578176	0.000000	0.000000	1.000000	0.000000	0.241147	0.460831	3.976637	0.877750	10.060035	1.616632	2.000000	2.000000	0.005208	0.480424	0.675929	1.000000	0.000000	0.741217	[0.062431, 0.055206, 0.05859, 0.058593, 0.08667, 0.068755, 0.060091, 0.059554, 0.054817, 0.063858, 0.059645, 0.090518, 0.056641, 0.052011, 0.05434, 0.058281]	[0.072736, 0.051396, 0.051251, 0.052228, 0.096463, 0.083731, 0.054326, 0.069083, 0.069191, 0.057726, 0.054724, 0.086046, 0.05183, 0.03946, 0.043403, 0.066406]
1777239067.514	1	504	500	9.340034e-05	1.900932	1.659621	0.000000	2.413111	0.000000	2.225147	2.228017	1.987280		0.000000	2	2.831140	-2.395657	19.870777	-348.399946	216.646674	1.000000	0.000000	1.243083	0.603335	0.000009	0.000000	1.000000	0.000000	0.214465	0.426971	4.339978	0.902241	10.398261	1.710744	2.000000	2.000000	0.005208	0.499035	0.707636	1.000000	0.000000	0.812417	[0.065846, 0.051638, 0.057104, 0.054487, 0.084452, 0.071273, 0.060531, 0.06573, 0.0539, 0.068334, 0.055738, 0.082936, 0.059103, 0.049337, 0.051939, 0.067652]	[0.082646, 0.045718, 0.052192, 0.048683, 0.082827, 0.079102, 0.054868, 0.080729, 0.059462, 0.063223, 0.055013, 0.077112, 0.054507, 0.03899, 0.042173, 0.082755]
1777239133.882	1	554	550	9.202122e-05	2.211641	1.971355	0.000000	2.402860	0.000000	2.183158	2.200477	1.959814		0.000000	2	1.451600	-1.856225	20.837118	-349.587039	246.214780	1.000000	0.000000	1.327190	0.579804	0.000000	0.000000	1.000000	0.000000	0.279658	0.509196	3.650193	0.859200	9.783586	1.595652	2.000000	2.000000	0.002604	0.486164	0.673443	1.000000	0.000000	0.641491	[0.065814, 0.059228, 0.057976, 0.056614, 0.081279, 0.063149, 0.061735, 0.064021, 0.057901, 0.06117, 0.058994, 0.078933, 0.061044, 0.049781, 0.058278, 0.064084]	[0.082574, 0.062789, 0.049407, 0.052445, 0.087999, 0.0642, 0.055013, 0.066442, 0.062645, 0.05863, 0.059787, 0.076534, 0.058413, 0.039026, 0.047454, 0.076642]
1777239202.570	1	604	600	9.056135e-05	2.332217	2.091787	0.000000	2.404302	0.000000	2.165969	2.181997	1.941391		0.000000	2	0.959658	-2.503629	21.780009	-355.964418	254.803201	1.000000	0.000000	1.299364	0.589284	0.000000	0.000000	1.000000	0.000000	0.239466	0.452337	4.172151	0.956228	9.964767	1.644296	2.000000	2.000000	0.002604	0.493881	0.684687	1.000000	0.000000	0.802784	[0.064403, 0.052945, 0.052866, 0.062828, 0.092064, 0.069111, 0.063692, 0.061307, 0.054488, 0.064392, 0.052668, 0.083397, 0.060747, 0.052132, 0.055927, 0.057034]	[0.10489, 0.058051, 0.043367, 0.055736, 0.107856, 0.07194, 0.053964, 0.053277, 0.063585, 0.058955, 0.049443, 0.07751, 0.055556, 0.046224, 0.046549, 0.053096]
1777239278.601	1	654	650	8.903752e-05	2.091227	1.850498	0.000000	2.407292	0.000000	2.180211	2.179799	1.939254		0.000000	2	1.147721	-3.030125	21.573474	-346.946710	249.053613	1.000000	0.000000	1.320867	0.581705	0.000043	0.000000	1.000000	0.000000	0.246007	0.465444	3.894365	0.865743	9.904204	1.567060	2.000000	2.000000	0.010417	0.482832	0.680579	1.000000	0.000000	0.763918	[0.065206, 0.05306, 0.055215, 0.06339, 0.084415, 0.06906, 0.062887, 0.065171, 0.055819, 0.063409, 0.055018, 0.081298, 0.063385, 0.048316, 0.052681, 0.061668]	[0.092122, 0.047092, 0.059462, 0.057038, 0.098669, 0.071578, 0.052554, 0.062428, 0.068359, 0.057509, 0.051866, 0.080584, 0.059245, 0.03635, 0.043728, 0.061415]
1777239355.178	1	704	700	8.746725e-05	2.134145	1.893000	0.000000	2.411454	0.000000	2.185576	2.179733	1.939127		0.000000	2	0.762179	-2.941934	22.033825	-347.238926	228.887518	1.000000	0.000000	1.330509	0.578120	0.000002	0.000000	1.000000	0.000000	0.253471	0.477412	3.700461	0.851416	9.695673	1.555788	2.000000	2.000000	0.015625	0.483907	0.672334	1.000000	0.000000	0.732797	[0.061382, 0.062372, 0.056544, 0.064417, 0.077225, 0.067559, 0.065457, 0.063329, 0.055506, 0.059504, 0.054463, 0.075593, 0.065908, 0.051426, 0.055946, 0.063366]	[0.083225, 0.065538, 0.055556, 0.057219, 0.083587, 0.072085, 0.0574, 0.057979, 0.068142, 0.054868, 0.049479, 0.066804, 0.06203, 0.042209, 0.050709, 0.07317]
1777239431.850	1	754	750	8.586860e-05	2.200227	1.958971	0.000000	2.412560	0.000000	2.163504	2.169267	1.928381		0.000000	2	0.976307	-3.370266	22.932691	-351.293392	250.165724	1.000000	0.000000	1.307531	0.588665	0.000000	0.000000	1.000000	0.000000	0.289871	0.515432	3.761309	0.958035	9.618516	1.487526	2.000000	2.000000	0.005208	0.501308	0.676023	1.000000	0.000000	0.700964	[0.060169, 0.060153, 0.057323, 0.059392, 0.081982, 0.065452, 0.069704, 0.061909, 0.053118, 0.057575, 0.056476, 0.074868, 0.070673, 0.052071, 0.058327, 0.060808]	[0.086914, 0.0591, 0.051143, 0.052409, 0.090929, 0.070095, 0.069444, 0.054651, 0.063477, 0.049949, 0.052843, 0.072049, 0.071, 0.039569, 0.051107, 0.065321]
1777239503.900	1	804	800	8.425997e-05	2.135705	1.894072	0.000000	2.416328	0.000000	2.138908	2.151556	1.910649		0.000000	2	0.730058	-2.650926	22.475798	-354.479320	236.724803	1.000000	0.000000	1.312365	0.582627	0.000002	0.000000	1.000000	0.000000	0.239601	0.460688	3.908212	0.879081	9.946439	1.617907	2.000000	2.000000	0.013021	0.486644	0.678609	1.000000	0.000000	0.758190	[0.056302, 0.052248, 0.05359, 0.06444, 0.086936, 0.074451, 0.068981, 0.062203, 0.053328, 0.057554, 0.057396, 0.077822, 0.064746, 0.052538, 0.054799, 0.062666]	[0.073278, 0.049877, 0.045103, 0.058558, 0.089699, 0.080114, 0.062826, 0.067057, 0.066515, 0.051468, 0.055628, 0.077908, 0.057581, 0.039822, 0.04673, 0.077836]
1777239573.522	1	854	850	8.265984e-05	2.065241	1.823913	0.000000	2.413284	0.000000	2.127943	2.137788	1.896709		0.000000	2	0.821730	-2.779665	24.174071	-356.097311	277.584314	1.000000	0.000000	1.314742	0.583380	0.000000	0.000000	1.000000	0.000000	0.262151	0.492096	3.694806	0.894826	9.745922	1.577979	2.000000	2.000000	0.010417	0.491178	0.675582	1.000000	0.000000	0.698987	[0.060833, 0.060344, 0.056538, 0.062487, 0.078635, 0.067344, 0.069144, 0.063267, 0.058716, 0.063514, 0.054917, 0.072715, 0.06702, 0.051775, 0.053673, 0.059078]	[0.082755, 0.065394, 0.050998, 0.05476, 0.080982, 0.0676, 0.062247, 0.069336, 0.069806, 0.059353, 0.053566, 0.069842, 0.062789, 0.042101, 0.04626, 0.062211]
1777239651.141	1	904	900	8.108663e-05	2.151508	1.910591	0.000000	2.409175	0.000000	2.120637	2.131234	1.890239		0.000000	2	1.108942	-2.647799	23.966438	-361.199746	300.156456	1.000000	0.000000	1.318086	0.581238	0.000009	0.000000	1.000000	0.000000	0.244713	0.477626	3.867924	0.919547	9.793207	1.581893	2.000000	2.000000	0.013021	0.486528	0.675948	1.000000	0.000000	0.752675	[0.061057, 0.057135, 0.056971, 0.064195, 0.081314, 0.064659, 0.076293, 0.058993, 0.059177, 0.062882, 0.057517, 0.072368, 0.063949, 0.054556, 0.051711, 0.057223]	[0.080295, 0.062898, 0.049226, 0.05816, 0.084889, 0.066732, 0.069915, 0.059534, 0.073749, 0.056785, 0.054, 0.07288, 0.06156, 0.044669, 0.044922, 0.059787]
1777239725.030	1	954	950	7.955843e-05	2.177342	1.936395	0.000000	2.409465	0.000000	2.151303	2.148292	1.907141		0.000000	2	0.820205	-2.519652	21.969541	-344.321264	284.914875	1.000000	0.000000	1.323746	0.580260	0.000000	0.000000	1.000000	0.000000	0.260572	0.493764	3.637308	0.828686	9.720537	1.622315	2.000000	2.000000	0.002604	0.488714	0.671807	1.000000	0.000000	0.694360	[0.059631, 0.05857, 0.05643, 0.061035, 0.08017, 0.068837, 0.074319, 0.058943, 0.056929, 0.059095, 0.057597, 0.075421, 0.066502, 0.05587, 0.051729, 0.058922]	[0.084563, 0.058268, 0.048032, 0.054362, 0.089771, 0.072917, 0.067889, 0.067093, 0.06883, 0.052083, 0.054253, 0.073423, 0.064272, 0.045754, 0.044741, 0.053747]
