# run_started_at	20260427_074210
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_coef	0.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_obqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/out_moe_att_obqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_expert	loss_kl	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_accuracy	router_aux_loss_coef	router_top_k	expert_embedding_proj_grad_norm	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777247013.403	0	50	50	9.978994e-05	2.266464	2.027344	0.000000	2.391206	0.000000	2.897435	3.259949	3.023912		0.000000	2	2.543394	-0.202380	18.142218	-84.679786	485.428012	1.000000	0.000000	1.363353	0.564663	0.000000	0.000000	1.000000	0.000000	0.257055	0.481133	4.309218	1.049998	10.589953	1.555473	2.000000	2.000000	0.005208	0.451272	0.678054	1.000000	0.000000	0.686171	[0.065188, 0.058097, 0.059146, 0.058327, 0.060492, 0.070154, 0.05598, 0.077318, 0.057221, 0.057515, 0.053998, 0.08085, 0.05919, 0.050715, 0.070408, 0.0654]	[0.086581, 0.05009, 0.054173, 0.061632, 0.059478, 0.081469, 0.048547, 0.075039, 0.055009, 0.051762, 0.05128, 0.090824, 0.057935, 0.040992, 0.068158, 0.067033]
1777247094.849	0	100	100	9.863854e-05	2.203823	1.964844	0.000000	2.389793	0.000000	2.295134	2.638703	2.400920		0.000000	2	1.388728	-0.477789	16.171254	-77.850104	468.698298	1.000000	0.000000	1.413221	0.552729	0.000000	0.000000	1.000000	0.000000	0.240852	0.450022	4.166919	0.896408	10.166202	1.460332	2.000000	2.000000	0.007812	0.442161	0.663298	1.000000	0.000000	0.734186	[0.064666, 0.059357, 0.053604, 0.058579, 0.062014, 0.061633, 0.058884, 0.073604, 0.060574, 0.073268, 0.052296, 0.084199, 0.061462, 0.049777, 0.066404, 0.059676]	[0.087899, 0.056488, 0.04501, 0.060024, 0.074588, 0.075746, 0.051215, 0.066615, 0.05427, 0.074074, 0.047968, 0.088284, 0.056166, 0.040188, 0.063497, 0.057967]
1777247176.925	0	150	150	9.655770e-05	2.180816	1.942383	0.000000	2.384332	0.000000	2.173344	2.337999	2.099815		0.000000	2	1.532427	-0.042229	16.797572	-73.118389	486.831866	1.000000	0.000000	1.420164	0.548249	0.000002	0.000000	1.000000	0.000000	0.242928	0.437868	4.285572	0.911007	10.067408	1.419862	2.000000	2.000000	0.010417	0.438205	0.658293	1.000000	0.000000	0.775902	[0.065236, 0.058685, 0.056637, 0.07557, 0.063308, 0.071801, 0.062342, 0.072611, 0.054332, 0.059402, 0.054924, 0.082051, 0.060481, 0.046658, 0.058509, 0.057451]	[0.081919, 0.055781, 0.04829, 0.083816, 0.066937, 0.076003, 0.060603, 0.065297, 0.048708, 0.054913, 0.047936, 0.094072, 0.055202, 0.038227, 0.068062, 0.054237]
1777247259.519	0	200	200	9.368922e-05	2.129319	1.890625	0.000000	2.386941	0.000000	2.080436	2.170599	1.932315		0.000000	2	1.209425	0.608401	16.986973	-78.627503	465.417929	1.000000	0.000000	1.390435	0.557913	0.000000	0.000000	1.000000	0.000000	0.235833	0.426751	4.498967	0.932377	10.212952	1.447685	2.000000	2.000000	0.005208	0.445934	0.669892	1.000000	0.000000	0.805104	[0.072931, 0.064218, 0.055522, 0.069667, 0.077026, 0.060706, 0.063123, 0.075593, 0.056436, 0.050548, 0.051424, 0.076071, 0.06518, 0.047919, 0.058998, 0.054639]	[0.097897, 0.082626, 0.046682, 0.082015, 0.089763, 0.052823, 0.057002, 0.067805, 0.048868, 0.043821, 0.0462, 0.072274, 0.061439, 0.036426, 0.066905, 0.047454]
1777247344.617	1	250	250	9.022858e-05	2.158021	1.919922	0.000000	2.380990	0.000000	2.038909	2.084418	1.845993		0.000000	2	0.898640	1.107040	17.249997	-86.937059	468.177253	1.000000	0.000000	1.430037	0.545953	0.000001	0.000000	1.000000	0.000000	0.244140	0.440925	4.213144	0.929426	9.970395	1.499471	2.000000	2.000000	0.005208	0.439636	0.652270	1.000000	0.000000	0.700475	[0.064983, 0.062803, 0.057816, 0.061322, 0.078175, 0.063761, 0.058741, 0.072448, 0.062683, 0.054364, 0.05149, 0.071816, 0.064774, 0.055058, 0.056849, 0.062917]	[0.092593, 0.063272, 0.048772, 0.068062, 0.098958, 0.077643, 0.05353, 0.060796, 0.055331, 0.048708, 0.047229, 0.070763, 0.064911, 0.044882, 0.048611, 0.055941]
1777247428.677	1	300	300	8.641162e-05	2.038286	1.799805	0.000000	2.384813	0.000000	2.001487	2.032279	1.793837		0.000000	2	0.713405	0.907719	17.337482	-83.906913	422.923678	1.000000	0.000000	1.378629	0.560701	0.000001	0.000000	1.000000	0.000000	0.245107	0.434591	4.450337	0.949959	10.241237	1.611484	2.000000	2.000000	0.005208	0.452363	0.669039	1.000000	0.000000	0.780210	[0.063079, 0.057288, 0.062439, 0.058441, 0.070463, 0.067161, 0.056895, 0.078321, 0.065101, 0.058921, 0.047823, 0.079128, 0.068171, 0.050262, 0.051553, 0.064953]	[0.096869, 0.055877, 0.054559, 0.063529, 0.093396, 0.065458, 0.05189, 0.06594, 0.061278, 0.053401, 0.047293, 0.074042, 0.068898, 0.040638, 0.043981, 0.06295]
1777247512.861	1	350	350	8.249847e-05	2.029542	1.791016	0.000000	2.385265	0.000000	2.034971	2.035794	1.797504		0.000000	2	1.060981	0.447783	18.552410	-95.288272	490.358156	1.000000	0.000000	1.443296	0.541745	0.000001	0.000000	1.000000	0.000000	0.243861	0.442092	4.363991	0.925762	9.913825	1.459740	2.000000	2.000000	0.000000	0.437716	0.645774	1.000000	0.000000	0.810163	[0.061355, 0.060377, 0.062955, 0.061433, 0.068642, 0.061019, 0.054265, 0.081405, 0.063983, 0.052481, 0.047505, 0.080918, 0.06741, 0.056602, 0.056867, 0.062784]	[0.097287, 0.067162, 0.051762, 0.067258, 0.099441, 0.064654, 0.046746, 0.071631, 0.054044, 0.046007, 0.039931, 0.075907, 0.072177, 0.044785, 0.048611, 0.052598]
1777247595.257	1	400	400	7.875579e-05	2.202984	1.964844	0.000000	2.381404	0.000000	1.986266	2.007004	1.768570		0.000000	2	0.831119	0.625412	18.873318	-104.846916	458.758040	1.000000	0.000000	1.432455	0.545070	0.000012	0.000000	1.000000	0.000000	0.229072	0.419302	4.540530	0.935478	9.981271	1.457926	2.000000	2.000000	0.007812	0.438415	0.651726	1.000000	0.000000	0.853666	[0.062879, 0.058117, 0.058178, 0.05438, 0.073792, 0.061427, 0.051728, 0.073748, 0.067078, 0.063278, 0.0479, 0.083509, 0.062569, 0.062522, 0.058644, 0.060252]	[0.107575, 0.053241, 0.046746, 0.05951, 0.087899, 0.078929, 0.041024, 0.061632, 0.054655, 0.060057, 0.042181, 0.090567, 0.060249, 0.053787, 0.048804, 0.053144]
1777247680.277	2	450	450	7.543864e-05	2.045782	1.807617	0.000000	2.381652	0.000000	1.912390	1.941834	1.703553		0.000000	2	0.974956	0.188604	19.470813	-108.419127	482.358037	1.000000	0.000000	1.392822	0.557939	0.000000	0.000000	1.000000	0.000000	0.265685	0.464541	4.181266	0.886808	10.003120	1.587784	2.000000	2.000000	0.002604	0.455311	0.660566	1.000000	0.000000	0.714258	[0.063537, 0.05915, 0.062765, 0.053553, 0.068988, 0.065417, 0.058254, 0.075643, 0.063713, 0.058915, 0.048869, 0.077572, 0.064064, 0.060852, 0.058636, 0.060072]	[0.098315, 0.05697, 0.053594, 0.051923, 0.082497, 0.069927, 0.051151, 0.06758, 0.053852, 0.05697, 0.0471, 0.086677, 0.060796, 0.051858, 0.053176, 0.057613]
1777247765.872	2	500	500	7.277308e-05	1.988055	1.750000	0.000000	2.380549	0.000000	1.925079	1.929819	1.691903		0.000000	2	0.613787	0.137675	20.004478	-95.780978	513.543488	1.000000	0.000000	1.381604	0.561481	0.000000	0.000000	1.000000	0.000000	0.248721	0.435875	4.521218	0.970310	10.120300	1.596581	2.000000	2.000000	0.005208	0.455262	0.667701	1.000000	0.000000	0.793479	[0.068579, 0.058884, 0.059036, 0.056442, 0.074739, 0.064137, 0.055101, 0.077275, 0.06397, 0.057698, 0.048939, 0.07907, 0.063493, 0.055473, 0.057013, 0.06015]	[0.109246, 0.055684, 0.049769, 0.060475, 0.093846, 0.065008, 0.045589, 0.069316, 0.059028, 0.056456, 0.047775, 0.074974, 0.057485, 0.043949, 0.05398, 0.05742]
