# run_started_at	20260427_080112
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	72
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_coef	0.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777248105.105	0	50	50	0	0.267056	0.152938	0.114118	2.655311	2.579304	0.686382	0.741403	0.631332
1777248105.105	0	50	50	1	0.471395	0.351337	0.120058	2.353839	2.195755	0.650619	0.647180	0.696338
1777248105.105	0	50	50	2	0.936691	0.761576	0.175115	2.453627	2.341803	0.528198	0.626547	0.705627
1777248105.105	0	50	50	3	0.433538	0.281886	0.151653	2.208618	2.152769	0.745530	0.683631	0.691940
1777248105.105	0	50	50	4	0.694560	0.465028	0.229532	2.368068	2.226153	0.574966	0.609353	0.579136
1777248105.105	0	50	50	5	3.084002	2.850334	0.233669	2.287457	2.090181	0.436039	0.517882	0.633852
1777248105.105	0	50	50	6	0.919559	0.660783	0.258775	2.140922	2.003823	0.404402	0.513067	0.626286
1777248105.105	0	50	50	7	1.556668	1.313298	0.243370	1.831086	1.594161	0.634113	0.622421	0.665969
1777248105.105	0	50	50	8	1.014195	0.763715	0.250480	1.932948	1.756376	0.573590	0.628611	0.644226
1777248105.105	0	50	50	9	1.077875	0.837618	0.240257	1.817320	1.616778	0.610729	0.571527	0.664153
1777248105.105	0	50	50	10	1.161145	0.857581	0.303564	1.969470	1.766171	0.480055	0.541265	0.581844
1777248105.105	0	50	50	11	0.836187	0.585262	0.250925	1.736000	1.529863	0.638239	0.608666	0.634842
1777248105.105	0	50	50	12	1.426234	1.144547	0.281688	1.778684	1.495615	0.504814	0.536451	0.635431
1777248105.105	0	50	50	13	1.666146	1.388916	0.277231	1.432661	1.081028	0.656121	0.578404	0.615140
1777248105.105	0	50	50	14	2.793951	2.497673	0.296278	1.554369	1.112991	0.478680	0.508941	0.583079
1777248105.105	0	50	50	15	2.991256	2.726775	0.264480	1.540357	0.813539	0.513067	0.571527	0.661378
1777248105.105	0	50	50	16	1.857862	1.595943	0.261919	1.403766	0.838404	0.610729	0.600413	0.661873
1777248105.105	0	50	50	17	1.626183	1.353035	0.273148	1.049825	0.552377	0.716644	0.557084	0.615773
1777248105.105	0	50	50	18	2.809406	2.495299	0.314107	1.333150	0.645537	0.601100	0.561898	0.592130
1777248105.105	0	50	50	19	2.712531	2.424690	0.287841	1.065013	0.426885	0.700138	0.622421	0.616301
1777248105.105	0	50	50	20	3.308660	3.029658	0.279002	0.909794	0.246131	0.774415	0.577717	0.623145
1777248105.105	0	50	50	21	5.573837	5.265485	0.308353	1.117117	0.225941	0.618982	0.563274	0.589785
1777248105.105	0	50	50	22	6.659188	6.349420	0.309768	1.055456	0.162337	0.640990	0.608666	0.603327
1777248105.105	0	50	50	23	8.458397	8.247167	0.211230	0.274615	0.052049	0.836314	0.719395	0.644068
1777248136.458	0	100	100	0	0.266920	0.179715	0.087205	2.661284	2.479107	0.783572	0.790091	0.678010
1777248136.458	0	100	100	1	0.377730	0.275939	0.101792	2.371410	2.238436	0.584094	0.689700	0.707735
1777248136.458	0	100	100	2	0.475595	0.336245	0.139351	2.395437	2.348560	0.588005	0.664276	0.736895
1777248136.458	0	100	100	3	0.531629	0.382884	0.148745	2.149040	2.060636	0.764016	0.692960	0.687964
1777248136.458	0	100	100	4	0.791109	0.607319	0.183790	2.358917	2.028562	0.705346	0.634289	0.645336
1777248136.458	0	100	100	5	0.896101	0.687994	0.208108	2.294942	2.096657	0.461538	0.552151	0.653876
1777248136.458	0	100	100	6	1.144416	0.937863	0.206553	2.165625	1.941500	0.505867	0.595828	0.683008
1777248136.458	0	100	100	7	1.301262	1.088286	0.212976	1.768785	1.669167	0.689700	0.653846	0.700606
1777248136.458	0	100	100	8	0.806427	0.598818	0.207609	1.916124	1.823146	0.631030	0.668188	0.716846
1777248136.458	0	100	100	9	0.833358	0.644971	0.188388	1.791717	1.557747	0.692308	0.640156	0.732382
1777248136.458	0	100	100	10	0.954123	0.717485	0.236638	1.959812	1.759574	0.637549	0.616688	0.672958
1777248136.458	0	100	100	11	0.850086	0.625513	0.224573	1.734063	1.544136	0.661017	0.647327	0.675487
1777248136.458	0	100	100	12	1.149258	0.906762	0.242495	1.762184	1.417631	0.651890	0.629726	0.687838
1777248136.458	0	100	100	13	1.673450	1.439112	0.234337	1.396335	1.053479	0.730117	0.590613	0.670900
1777248136.458	0	100	100	14	2.018733	1.782687	0.236045	1.497081	1.029248	0.593220	0.554107	0.670941
1777248136.458	0	100	100	15	2.865192	2.609508	0.255684	1.572838	0.883775	0.478488	0.536506	0.690123
1777248136.458	0	100	100	16	1.697689	1.457873	0.239816	1.335025	0.850356	0.684485	0.631682	0.685048
1777248136.458	0	100	100	17	1.646526	1.406679	0.239847	0.911206	0.439136	0.782269	0.593872	0.668059
1777248136.458	0	100	100	18	2.116683	1.847546	0.269138	1.213513	0.575204	0.705346	0.628422	0.653119
1777248136.458	0	100	100	19	2.012506	1.751024	0.261483	0.970959	0.465980	0.760104	0.626467	0.650432
1777248136.458	0	100	100	20	3.016459	2.768590	0.247868	0.811384	0.212428	0.754889	0.652542	0.668453
1777248136.458	0	100	100	21	4.747546	4.461669	0.285877	1.051072	0.251494	0.691004	0.609518	0.628460
1777248136.458	0	100	100	22	5.721809	5.414319	0.307490	0.978160	0.168114	0.666232	0.629726	0.613985
1777248136.458	0	100	100	23	8.176359	7.943492	0.232867	0.211094	0.031685	0.864407	0.704694	0.628754
1777248168.079	0	150	150	0	0.172542	0.098782	0.073760	2.661869	2.607119	0.795256	0.828964	0.710882
1777248168.079	0	150	150	1	0.214757	0.141273	0.073484	2.388090	2.332992	0.686642	0.736579	0.768746
1777248168.079	0	150	150	2	0.268517	0.159643	0.108874	2.505506	2.464140	0.634207	0.696629	0.789972
1777248168.079	0	150	150	3	0.295208	0.184687	0.110520	2.203271	2.150726	0.795256	0.748439	0.732159
1777248168.079	0	150	150	4	0.351649	0.200454	0.151195	2.383491	2.264898	0.634207	0.683521	0.678634
1777248168.079	0	150	150	5	0.501017	0.329922	0.171095	2.328523	2.186608	0.500624	0.581149	0.712249
1777248168.079	0	150	150	6	0.840635	0.661007	0.179628	2.157018	1.993895	0.580524	0.608614	0.731262
1777248168.079	0	150	150	7	0.751089	0.578017	0.173072	1.763423	1.602234	0.710362	0.672285	0.752622
1777248168.079	0	150	150	8	0.854284	0.659422	0.194862	1.820314	1.603668	0.734082	0.687890	0.713714
1777248168.079	0	150	150	9	0.699912	0.523756	0.176156	1.787205	1.634533	0.751561	0.669788	0.750986
1777248168.079	0	150	150	10	0.864115	0.649289	0.214826	1.929064	1.712159	0.609238	0.614856	0.701979
1777248168.079	0	150	150	11	0.716824	0.518952	0.197872	1.721225	1.499909	0.715356	0.627965	0.716145
1777248168.079	0	150	150	12	1.288231	1.073456	0.214776	1.747750	1.453109	0.590512	0.622971	0.704735
