# run_started_at	20260427_080507
# arg	batch_size	16
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	72
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_coef	0.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_siqa"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/out_moe_att_siqa/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_expert	loss_kl	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_accuracy	router_aux_loss_coef	router_top_k	expert_embedding_proj_grad_norm	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777248384.348	0	50	50	5.483871e-05	2.738803	2.498047	0.000000	2.407564	0.000000	3.335189	3.594410	3.356989		0.000000	2	70.802792	-1.338000	5.638224	-46.543984	51.931043	1.000000	0.000000	1.288230	0.591314	0.000001	0.000000	1.000000	0.000000	0.303265	0.516465	4.758548	1.047359	10.385892	1.419383	2.000000	2.000000	0.005208	0.482097	0.700531	1.000000	0.000000	0.552872	[0.077389, 0.056352, 0.060832, 0.073848, 0.063274, 0.057381, 0.06589, 0.063423, 0.055985, 0.054062, 0.069357, 0.069186, 0.057071, 0.057756, 0.058389, 0.059806]	[0.088723, 0.060728, 0.061994, 0.080078, 0.06883, 0.055773, 0.058666, 0.061053, 0.04796, 0.049986, 0.077908, 0.068323, 0.058521, 0.052445, 0.052047, 0.056966]
1777248459.974	0	100	100	9.999961e-05	2.096968	1.853516	0.000000	2.434525	0.000000	2.252258	2.704999	2.464131		0.000000	2	2.984661	-1.306317	6.447860	-44.525331	59.338367	1.000000	0.000000	1.215691	0.617472	0.000000	0.000000	1.000000	0.000000	0.287431	0.505336	4.563256	0.884846	10.432584	1.455563	2.000000	2.000000	0.000000	0.516407	0.718537	1.000000	0.000000	0.616488	[0.084212, 0.051486, 0.06001, 0.067459, 0.06139, 0.062999, 0.065269, 0.071041, 0.052032, 0.055592, 0.06738, 0.070471, 0.052975, 0.058728, 0.056684, 0.062272]	[0.094437, 0.050709, 0.061162, 0.075412, 0.058485, 0.067347, 0.060764, 0.067636, 0.04286, 0.059281, 0.069083, 0.065285, 0.055085, 0.051939, 0.053639, 0.066876]
1777248534.237	0	150	150	9.997397e-05	2.173779	1.932617	0.000000	2.411616	0.000000	1.921473	2.203769	1.961296		0.000000	2	10.439838	-1.195361	7.991142	-56.753061	125.474210	1.000000	0.000000	1.238168	0.608839	0.000002	0.000000	1.000000	0.000000	0.272101	0.479635	4.623416	0.940558	10.332036	1.545255	2.000000	2.000000	0.000000	0.506826	0.710853	1.000000	0.000000	0.680614	[0.084038, 0.055049, 0.061091, 0.070654, 0.064702, 0.068599, 0.061935, 0.067761, 0.049902, 0.054251, 0.058682, 0.066042, 0.058006, 0.060129, 0.062334, 0.056824]	[0.095197, 0.049154, 0.055483, 0.085106, 0.063513, 0.074653, 0.062826, 0.06156, 0.040654, 0.052373, 0.061379, 0.060981, 0.059462, 0.053277, 0.057726, 0.066659]
1777248610.958	0	200	200	9.990833e-05	1.839508	1.597656	0.000000	2.418519	0.000000	1.848565	1.973967	1.731386		0.000000	2	1.043483	-1.460317	9.200117	-76.398554	115.315063	1.000000	0.000000	1.268487	0.600050	0.000000	0.000000	1.000000	0.000000	0.269383	0.487192	4.440129	0.882814	10.110674	1.632311	2.000000	2.000000	0.007812	0.502807	0.697294	1.000000	0.000000	0.680772	[0.084437, 0.057252, 0.061553, 0.065315, 0.068039, 0.063345, 0.062291, 0.065637, 0.052655, 0.059713, 0.061057, 0.069178, 0.055461, 0.055651, 0.060101, 0.058313]	[0.104492, 0.054145, 0.053675, 0.077727, 0.070855, 0.062717, 0.062753, 0.059281, 0.043837, 0.060258, 0.06637, 0.06203, 0.056677, 0.048213, 0.052626, 0.064345]
1777248686.493	0	250	250	9.980287e-05	1.755071	1.513672	0.000000	2.413992	0.000000	1.793287	1.856290	1.614058		0.000000	2	1.007805	-0.635263	10.588368	-84.652752	119.157065	1.000000	0.000000	1.346127	0.576074	0.000001	0.000000	1.000000	0.000000	0.288033	0.513613	4.166508	0.817377	9.843540	1.476814	2.000000	2.000000	0.010417	0.480500	0.671649	1.000000	0.000000	0.713165	[0.078491, 0.053311, 0.061443, 0.068285, 0.067682, 0.063433, 0.06526, 0.065562, 0.054648, 0.054833, 0.061019, 0.073667, 0.059765, 0.058206, 0.059218, 0.055177]	[0.10952, 0.044379, 0.052915, 0.089157, 0.063296, 0.058847, 0.068323, 0.057509, 0.043801, 0.053168, 0.065177, 0.071976, 0.065032, 0.047237, 0.054145, 0.055519]
1777248761.367	0	300	300	9.965788e-05	1.797777	1.557617	0.000000	2.401597	0.000000	1.760468	1.795805	1.554276		0.000000	2	1.198140	-0.739917	11.347439	-91.576305	152.673358	1.000000	0.000000	1.359077	0.570786	0.000000	0.000000	1.000000	0.000000	0.289074	0.511619	4.083109	0.821283	9.709732	1.441076	2.000000	2.000000	0.007812	0.471978	0.669593	1.000000	0.000000	0.699065	[0.074215, 0.056114, 0.061782, 0.065127, 0.064513, 0.064184, 0.06771, 0.064333, 0.059951, 0.058461, 0.060932, 0.067782, 0.059301, 0.057464, 0.059272, 0.058859]	[0.09885, 0.056387, 0.055302, 0.079897, 0.066804, 0.055881, 0.066876, 0.056641, 0.050817, 0.059751, 0.076027, 0.061849, 0.058087, 0.046152, 0.055194, 0.055483]
1777248837.080	0	350	350	9.947373e-05	1.716739	1.476562	0.000000	2.401766	0.000000	1.734761	1.747476	1.506624		0.000000	2	0.688189	-0.382287	12.102901	-85.597088	171.623050	1.000000	0.000000	1.374458	0.563045	0.000000	0.000000	1.000000	0.000000	0.280384	0.499752	4.225115	0.873190	9.713593	1.484498	2.000000	2.000000	0.013021	0.464711	0.661380	1.000000	0.000000	0.730233	[0.068614, 0.061312, 0.0604, 0.064558, 0.059474, 0.072059, 0.068849, 0.073251, 0.059423, 0.058562, 0.061196, 0.067885, 0.053638, 0.052624, 0.057607, 0.060548]	[0.095631, 0.055339, 0.050564, 0.074038, 0.058919, 0.075087, 0.0727, 0.069517, 0.053747, 0.059643, 0.077474, 0.060185, 0.050528, 0.044524, 0.049262, 0.052843]
1777248913.505	0	400	400	9.925092e-05	1.639684	1.400391	0.000000	2.392935	0.000000	1.711850	1.722629	1.482531		0.000000	2	0.715915	-1.266486	12.459910	-89.054945	172.877338	1.000000	0.000000	1.363870	0.570130	0.000000	0.000000	1.000000	0.000000	0.271551	0.487286	4.049339	0.796953	9.640654	1.530255	2.000000	2.000000	0.007812	0.471556	0.668705	1.000000	0.000000	0.755953	[0.07842, 0.048409, 0.06207, 0.062725, 0.066173, 0.068631, 0.068883, 0.0624, 0.0605, 0.056973, 0.059074, 0.074, 0.0616, 0.056294, 0.0533, 0.06055]	[0.10565, 0.039605, 0.050239, 0.073532, 0.074508, 0.061957, 0.079355, 0.053783, 0.050203, 0.058196, 0.065936, 0.069155, 0.065828, 0.044524, 0.052879, 0.054651]
1777248989.135	0	450	450	9.899005e-05	1.700674	1.460938	0.000000	2.397365	0.000000	1.708618	1.711702	1.471702		0.000000	2	1.570064	-0.653016	13.537133	-98.541333	174.495594	1.000000	0.000000	1.365712	0.567356	0.000000	0.000000	1.000000	0.000000	0.265470	0.479028	4.210583	0.843868	9.667848	1.476936	2.000000	2.000000	0.020833	0.468461	0.666250	1.000000	0.000000	0.798397	[0.076626, 0.051177, 0.065287, 0.064061, 0.073384, 0.072669, 0.065504, 0.069311, 0.053593, 0.052362, 0.058882, 0.065343, 0.064286, 0.053576, 0.056285, 0.057655]	[0.10999, 0.039569, 0.057147, 0.066587, 0.084816, 0.074146, 0.063657, 0.058666, 0.042209, 0.049443, 0.077004, 0.055339, 0.063043, 0.044633, 0.062898, 0.050854]
1777249064.577	0	500	500	9.869181e-05	1.716048	1.476562	0.000000	2.394860	0.000000	1.713888	1.713065	1.473639		0.000000	2	2.083177	0.480891	14.598266	-81.418796	217.280216	1.000000	0.000000	1.384777	0.563375	0.000001	0.000000	1.000000	0.000000	0.272925	0.482526	4.001799	0.830637	9.607489	1.478325	2.000000	2.000000	0.015625	0.465379	0.661372	1.000000	0.000000	0.804318	[0.075972, 0.054451, 0.063212, 0.067413, 0.075281, 0.071858, 0.067662, 0.071369, 0.051969, 0.052427, 0.057391, 0.060942, 0.061125, 0.054668, 0.054268, 0.059991]	[0.111039, 0.050637, 0.049298, 0.072266, 0.089157, 0.066804, 0.087529, 0.060185, 0.038484, 0.047273, 0.073134, 0.053819, 0.061089, 0.04315, 0.04362, 0.052517]
1777249139.978	0	550	550	9.835699e-05	1.841274	1.603516	0.000000	2.377584	0.000000	1.691831	1.695762	1.456773		0.000000	2	1.115048	-0.574698	14.263883	-96.822727	234.146331	1.000000	0.000000	1.430858	0.548225	0.000000	0.000000	1.000000	0.000000	0.278543	0.505261	3.859402	0.792552	9.384482	1.412321	2.000000	2.000000	0.015625	0.449136	0.647313	1.000000	0.000000	0.792233	[0.076234, 0.055309, 0.06563, 0.066441, 0.074825, 0.062537, 0.068901, 0.066791, 0.054799, 0.055654, 0.058314, 0.068241, 0.054204, 0.056881, 0.054622, 0.060616]	[0.087601, 0.049696, 0.064706, 0.074363, 0.082393, 0.073893, 0.07364, 0.054868, 0.043584, 0.054507, 0.084238, 0.058196, 0.050564, 0.046984, 0.043909, 0.056858]
1777249215.682	0	600	600	9.798650e-05	1.805934	1.567383	0.000000	2.385516	0.000000	1.707609	1.703301	1.464402		0.000000	2	0.709894	1.453855	17.117180	-99.747086	243.291423	1.000000	0.000000	1.460942	0.537422	0.000000	0.000000	1.000000	0.000000	0.297205	0.525626	3.846173	0.792748	9.214757	1.330216	2.000000	2.000000	0.023438	0.444041	0.630804	1.000000	0.000000	0.745701	[0.075859, 0.051621, 0.066062, 0.066376, 0.0692, 0.056999, 0.069734, 0.060737, 0.054826, 0.057712, 0.058137, 0.067053, 0.07179, 0.060101, 0.056971, 0.056822]	[0.106373, 0.044379, 0.054832, 0.065357, 0.073821, 0.054688, 0.075521, 0.051107, 0.046332, 0.054905, 0.077727, 0.065502, 0.075051, 0.048792, 0.05259, 0.053024]
1777249290.371	0	650	650	9.758133e-05	1.726978	1.488281	0.000000	2.386971	0.000000	1.681653	1.686973	1.448096		0.000000	2	0.804395	1.836594	19.805936	-88.412801	323.526875	1.000000	0.000000	1.408400	0.553570	0.000000	0.000000	1.000000	0.000000	0.271713	0.497918	4.003386	0.871524	9.511131	1.485612	2.000000	2.000000	0.013021	0.456022	0.651119	1.000000	0.000000	0.764484	[0.071327, 0.057327, 0.068539, 0.064069, 0.074498, 0.060181, 0.070512, 0.062848, 0.049706, 0.057951, 0.057597, 0.067208, 0.064773, 0.057313, 0.056826, 0.059325]	[0.092484, 0.05042, 0.068613, 0.066985, 0.085829, 0.065032, 0.069191, 0.052554, 0.039171, 0.057545, 0.074544, 0.057943, 0.061523, 0.04702, 0.049262, 0.061885]
1777249365.274	0	700	700	9.714254e-05	1.628289	1.389648	0.000000	2.386402	0.000000	1.685815	1.687255	1.448576		0.000000	2	0.467985	2.453482	21.897552	-101.398349	324.283699	1.000000	0.000000	1.453786	0.539576	0.000000	0.000000	1.000000	0.000000	0.296569	0.530644	3.764608	0.856378	9.193308	1.355798	2.000000	2.000000	0.005208	0.445081	0.634070	1.000000	0.000000	0.756253	[0.07604, 0.054853, 0.062159, 0.065433, 0.068694, 0.060828, 0.063162, 0.062257, 0.051262, 0.058485, 0.061883, 0.067992, 0.067315, 0.060976, 0.058202, 0.060459]	[0.094473, 0.046766, 0.051034, 0.069987, 0.088903, 0.068721, 0.066732, 0.048973, 0.038628, 0.060909, 0.07874, 0.057798, 0.065285, 0.048756, 0.054217, 0.060077]
1777249439.693	0	750	750	9.667133e-05	1.652813	1.415039	0.000000	2.377744	0.000000	1.664645	1.670037	1.431949		0.000000	2	0.799006	2.583206	22.203440	-113.434806	327.978203	1.000000	0.000000	1.451027	0.539429	0.000005	0.000000	1.000000	0.000000	0.275233	0.501012	3.983167	0.845601	9.290003	1.422477	2.000000	2.000000	0.020833	0.441327	0.637531	1.000000	0.000000	0.799664	[0.066407, 0.055319, 0.069267, 0.05973, 0.06589, 0.058779, 0.061361, 0.066243, 0.052067, 0.057177, 0.059358, 0.08109, 0.068725, 0.058355, 0.057478, 0.062754]	[0.083297, 0.052083, 0.0761, 0.060366, 0.066515, 0.058847, 0.050347, 0.053349, 0.039424, 0.060981, 0.081236, 0.088831, 0.06326, 0.046477, 0.055664, 0.063223]
1777249514.487	0	800	800	9.616894e-05	1.960991	1.724609	0.000000	2.363819	0.000000	1.657514	1.666161	1.428712		0.000000	2	0.767454	1.509796	21.746191	-111.933760	325.226753	1.000000	0.000000	1.484472	0.528144	0.000000	0.000000	1.000000	0.000000	0.308319	0.546616	3.744463	0.837775	9.038779	1.406137	2.000000	2.000000	0.013021	0.431212	0.625075	1.000000	0.000000	0.708441	[0.075295, 0.057777, 0.063962, 0.064939, 0.064495, 0.060327, 0.063839, 0.06056, 0.055409, 0.054382, 0.059888, 0.071649, 0.066627, 0.060718, 0.056924, 0.063211]	[0.100984, 0.06033, 0.057038, 0.064959, 0.077148, 0.069915, 0.053819, 0.049769, 0.046441, 0.045573, 0.071795, 0.072989, 0.07071, 0.050239, 0.052047, 0.056243]
1777249589.410	0	850	850	9.563671e-05	1.744492	1.507812	0.000000	2.366795	0.000000	1.673881	1.672375	1.435451		0.000000	2	0.444203	0.675998	20.618864	-112.474430	308.991008	1.000000	0.000000	1.509471	0.517627	0.000000	0.000000	1.000000	0.000000	0.281501	0.504991	3.951786	0.839146	9.102767	1.388731	2.000000	2.000000	0.010417	0.418754	0.616499	1.000000	0.000000	0.740655	[0.079749, 0.05434, 0.059398, 0.061856, 0.063148, 0.058827, 0.069492, 0.063252, 0.05246, 0.054524, 0.063796, 0.072134, 0.066045, 0.060165, 0.055066, 0.065749]	[0.109267, 0.049009, 0.051902, 0.06854, 0.063296, 0.05816, 0.068504, 0.051866, 0.039135, 0.048611, 0.080765, 0.082682, 0.066225, 0.049877, 0.046007, 0.066153]
1777249664.673	0	900	900	9.507608e-05	1.781070	1.544922	0.000000	2.361484	0.000000	1.665367	1.666324	1.429751		0.000000	2	0.517652	1.687475	22.722339	-121.394996	347.500473	1.000000	0.000000	1.477684	0.529551	0.000000	0.000000	1.000000	0.000000	0.290426	0.519891	3.834499	0.797719	9.111487	1.444955	2.000000	2.000000	0.013021	0.430759	0.628342	1.000000	0.000000	0.725854	[0.077221, 0.053602, 0.063602, 0.062583, 0.065034, 0.05859, 0.06692, 0.065988, 0.054288, 0.055264, 0.056847, 0.076919, 0.067894, 0.060455, 0.053839, 0.06095]	[0.111762, 0.046043, 0.05957, 0.060909, 0.069191, 0.06156, 0.061487, 0.055049, 0.044416, 0.049696, 0.070204, 0.080802, 0.069517, 0.055122, 0.044705, 0.059968]
1777249739.639	0	950	950	9.448853e-05	1.652202	1.416016	0.000000	2.361865	0.000000	1.676632	1.673385	1.436869		0.000000	2	0.314942	3.526119	25.762538	-116.217412	410.013384	1.000000	0.000000	1.456571	0.534065	0.000000	0.000000	1.000000	0.000000	0.255929	0.466586	4.120794	0.862120	9.291421	1.623669	2.000000	2.000000	0.013021	0.431103	0.637028	1.000000	0.000000	0.777754	[0.068217, 0.050835, 0.069708, 0.059977, 0.071916, 0.059684, 0.062904, 0.070189, 0.055656, 0.049981, 0.060475, 0.076108, 0.06788, 0.056272, 0.054023, 0.066175]	[0.084021, 0.043981, 0.06731, 0.0557, 0.079391, 0.064923, 0.05523, 0.059534, 0.060692, 0.049986, 0.079789, 0.071795, 0.069083, 0.049696, 0.047128, 0.06174]
