# run_started_at	20260427_122023
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	8
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_chunk_size	0
# arg	moe_att_expert_loss_coef	1.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_obqa_new"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777263642.956	0	50	50	0	0.509232	0.319023	0.190208	2.657708	2.424280	0.625000	0.656250	0.561007
1777263642.956	0	50	50	1	0.417019	0.254336	0.162684	2.350081	2.168860	0.515625	0.617188	0.697153
1777263642.956	0	50	50	2	0.533490	0.317762	0.215728	2.451083	2.339154	0.429688	0.531250	0.684260
1777263642.956	0	50	50	3	0.476921	0.261039	0.215881	2.137330	2.004730	0.765625	0.636719	0.626038
1777263642.956	0	50	50	4	0.621012	0.398177	0.222835	2.332529	2.127878	0.562500	0.562500	0.583872
1777263642.956	0	50	50	5	0.922472	0.652892	0.269579	2.296969	2.072233	0.406250	0.523438	0.554549
1777263642.956	0	50	50	6	0.993983	0.701600	0.292383	2.108075	1.940177	0.476562	0.550781	0.584522
1777263642.956	0	50	50	7	1.022856	0.757399	0.265457	1.911406	1.727565	0.515625	0.546875	0.604953
1777263642.956	0	50	50	8	1.288477	0.978732	0.309745	1.892486	1.796686	0.539062	0.574219	0.549435
1777263642.956	0	50	50	9	0.883954	0.624275	0.259679	1.881281	1.680395	0.609375	0.601562	0.626105
1777263642.956	0	50	50	10	1.090109	0.774097	0.316012	1.932067	1.758851	0.500000	0.542969	0.562403
1777263642.956	0	50	50	11	1.104943	0.781500	0.323443	1.741165	1.566242	0.531250	0.511719	0.537096
1777263642.956	0	50	50	12	1.255810	0.977104	0.278706	1.616820	1.335111	0.585938	0.582031	0.623997
1777263642.956	0	50	50	13	1.612806	1.308203	0.304603	1.559332	1.121314	0.546875	0.550781	0.577452
1777263642.956	0	50	50	14	1.549006	1.278159	0.270848	1.509954	1.020525	0.617188	0.582031	0.637849
1777263642.956	0	50	50	15	2.531791	2.254327	0.277463	1.627460	0.711475	0.492188	0.582031	0.649344
1777263642.956	0	50	50	16	1.891134	1.608013	0.283121	1.422997	0.838571	0.500000	0.574219	0.626885
1777263642.956	0	50	50	17	2.120749	1.816042	0.304708	1.244827	0.643375	0.578125	0.539062	0.561799
1777263642.956	0	50	50	18	2.733758	2.404901	0.328857	1.382992	0.592223	0.531250	0.535156	0.580645
1777263642.956	0	50	50	19	2.526056	2.237142	0.288915	1.089660	0.422456	0.710938	0.585938	0.626033
1777263642.956	0	50	50	20	4.008191	3.675424	0.332767	1.111852	0.258989	0.664062	0.582031	0.570177
1777263642.956	0	50	50	21	6.122508	5.773698	0.348810	1.187878	0.225780	0.539062	0.531250	0.539425
1777263642.956	0	50	50	22	7.624524	7.273091	0.351433	1.155127	0.164122	0.578125	0.527344	0.536601
1777263642.956	0	50	50	23	4.611081	4.328063	0.283018	0.392490	0.060496	0.796875	0.683594	0.601517
1777263661.601	0	100	100	0	0.428176	0.263587	0.164589	2.630178	2.472919	0.634483	0.696552	0.599891
1777263661.601	0	100	100	1	0.287188	0.188402	0.098786	2.208048	2.119489	0.634483	0.672414	0.737575
1777263661.601	0	100	100	2	0.376194	0.206635	0.169559	2.433324	2.427305	0.524138	0.613793	0.721919
1777263661.601	0	100	100	3	0.410464	0.240786	0.169678	2.250316	2.201613	0.731034	0.641379	0.695196
1777263661.601	0	100	100	4	0.502046	0.307264	0.194782	2.368139	2.301650	0.537931	0.565517	0.604639
1777263661.601	0	100	100	5	0.650975	0.417255	0.233719	2.252062	2.149177	0.572414	0.624138	0.624382
1777263661.602	0	100	100	6	0.857063	0.627867	0.229196	2.107721	2.032128	0.448276	0.586207	0.671574
1777263661.602	0	100	100	7	0.837797	0.634939	0.202858	1.910258	1.754573	0.613793	0.593103	0.710921
