# run_started_at	20260427_123429
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	128
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-c"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-c"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	6
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_chunk_size	0
# arg	moe_att_expert_loss_coef	1.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_arcc"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777264490.652	0	50	50	0	0.407750	0.225157	0.182593	2.621076	2.477238	0.591623	0.714660	0.555091
1777264490.652	0	50	50	1	0.309973	0.188768	0.121205	2.125205	2.052789	0.581152	0.646597	0.752644
1777264490.652	0	50	50	2	0.420670	0.232028	0.188642	2.521787	2.474869	0.523560	0.575916	0.693194
1777264490.652	0	50	50	3	0.371829	0.178788	0.193041	2.237836	2.261112	0.591623	0.657068	0.660956
1777264490.652	0	50	50	4	0.516040	0.302998	0.213043	2.385387	2.266172	0.513089	0.549738	0.596728
1777264490.652	0	50	50	5	0.676244	0.442804	0.233440	2.255272	2.114808	0.507853	0.583770	0.616257
1777264490.652	0	50	50	6	0.789063	0.546260	0.242804	2.147486	2.014748	0.560209	0.570681	0.634398
1777264490.652	0	50	50	7	1.316148	1.097374	0.218774	1.924896	1.770860	0.664921	0.623037	0.674242
1777264490.652	0	50	50	8	0.738346	0.467198	0.271148	1.996748	1.996281	0.586387	0.604712	0.600600
1777264490.652	0	50	50	9	0.689495	0.468695	0.220799	1.864328	1.751148	0.623037	0.646597	0.695942
1777264490.652	0	50	50	10	0.743183	0.473072	0.270111	1.962138	1.840840	0.591623	0.557592	0.615483
1777264490.652	0	50	50	11	0.870918	0.614792	0.256126	1.834365	1.616712	0.591623	0.609948	0.631914
1777264490.652	0	50	50	12	0.956416	0.693313	0.263104	1.819213	1.474121	0.628272	0.596859	0.642602
1777264490.652	0	50	50	13	1.268113	0.998154	0.269959	1.545682	1.291517	0.596859	0.565445	0.616817
1777264490.652	0	50	50	14	1.074579	0.844989	0.229590	1.471164	1.069704	0.633508	0.625654	0.675366
1777264490.652	0	50	50	15	2.155263	1.907705	0.247558	1.620809	0.851641	0.596859	0.528796	0.688660
1777264490.652	0	50	50	16	1.429006	1.177993	0.251013	1.415546	1.039932	0.560209	0.607330	0.685376
1777264490.652	0	50	50	17	1.599781	1.315150	0.284631	1.117856	0.720490	0.638743	0.549738	0.640160
1777264490.652	0	50	50	18	2.368617	2.070356	0.298261	1.260434	0.534648	0.638743	0.620419	0.607082
1777264490.652	0	50	50	19	2.117281	1.831866	0.285415	0.956460	0.447674	0.643979	0.583770	0.655469
1777264490.652	0	50	50	20	3.322245	3.019132	0.303113	1.020394	0.314352	0.670157	0.612565	0.591112
1777264490.652	0	50	50	21	5.528324	5.196149	0.332175	1.103731	0.204330	0.602094	0.586387	0.581667
1777264490.652	0	50	50	22	6.906897	6.592082	0.314815	0.948333	0.142997	0.623037	0.568063	0.600824
1777264490.652	0	50	50	23	3.785665	3.506723	0.278942	0.256562	0.034112	0.890052	0.719895	0.629276
1777264510.235	0	100	100	0	0.640664	0.440420	0.200244	2.640661	2.383123	0.557604	0.693548	0.479872
1777264510.235	0	100	100	1	0.378279	0.212860	0.165419	2.313449	2.221978	0.539171	0.619816	0.691515
1777264510.235	0	100	100	2	0.504139	0.312877	0.191262	2.459375	2.378902	0.520737	0.640553	0.703640
1777264510.235	0	100	100	3	0.423460	0.227402	0.196058	2.252060	2.211531	0.709677	0.640553	0.655567
1777264510.235	0	100	100	4	0.549377	0.330719	0.218659	2.393372	2.263039	0.497696	0.585253	0.608002
1777264510.235	0	100	100	5	0.659753	0.403729	0.256024	2.345495	2.248537	0.460829	0.518433	0.607186
1777264510.235	0	100	100	6	0.986313	0.699444	0.286869	2.163971	2.117365	0.451613	0.520737	0.590566
1777264510.235	0	100	100	7	0.756035	0.544194	0.211841	1.910254	1.894868	0.612903	0.635945	0.701954
1777264510.235	0	100	100	8	0.846318	0.575443	0.270875	1.921791	2.006352	0.585253	0.603687	0.617873
1777264510.235	0	100	100	9	0.717733	0.473998	0.243735	1.849289	1.893909	0.603687	0.626728	0.660014
1777264510.235	0	100	100	10	0.959278	0.663338	0.295940	1.874446	1.796096	0.594470	0.523041	0.585972
1777264510.235	0	100	100	11	0.879078	0.595599	0.283479	1.782695	1.714684	0.552995	0.587558	0.599608
1777264510.235	0	100	100	12	0.944495	0.694917	0.249578	1.701257	1.515954	0.635945	0.585253	0.664832
1777264510.235	0	100	100	13	1.114138	0.867118	0.247020	1.537228	1.273145	0.594470	0.592166	0.655147
1777264510.235	0	100	100	14	1.276472	1.051682	0.224790	1.443147	1.042355	0.672811	0.612903	0.699869
1777264510.235	0	100	100	15	1.910925	1.680174	0.230752	1.622559	0.927501	0.497696	0.580645	0.714031
1777264510.235	0	100	100	16	1.547165	1.293082	0.254082	1.402166	0.888981	0.576037	0.610599	0.680742
1777264510.235	0	100	100	17	1.646070	1.367893	0.278178	1.097594	0.679632	0.640553	0.585253	0.636221
1777264510.235	0	100	100	18	2.314421	2.040761	0.273661	1.321058	0.525902	0.603687	0.610599	0.635116
1777264510.235	0	100	100	19	2.345262	2.059842	0.285420	1.067830	0.389817	0.709677	0.573733	0.642605
1777264510.235	0	100	100	20	3.469085	3.176930	0.292155	1.003907	0.301331	0.649770	0.589862	0.637911
1777264510.235	0	100	100	21	5.910241	5.578925	0.331316	1.223314	0.286383	0.566820	0.578341	0.575107
1777264510.235	0	100	100	22	7.990247	7.653950	0.336297	1.005488	0.122580	0.622120	0.578341	0.559219
1777264510.235	0	100	100	23	4.254279	4.009609	0.244670	0.261618	0.069771	0.792627	0.631336	0.630138
