# run_started_at	20260427_130725
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	128
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	6
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_chunk_size	0
# arg	moe_att_expert_loss_coef	1.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_arce"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1777266464.737	0	50	50	0	0.403591	0.223549	0.180042	2.642399	2.515779	0.607143	0.660714	0.588279
1777266464.737	0	50	50	1	0.500356	0.373580	0.126776	2.288740	2.123579	0.589286	0.665179	0.724105
1777266464.737	0	50	50	2	0.425815	0.262034	0.163781	2.481352	2.435475	0.571429	0.611607	0.727027
1777266464.737	0	50	50	3	0.356068	0.186544	0.169524	2.149685	2.018384	0.723214	0.705357	0.656033
1777266464.737	0	50	50	4	0.500317	0.320259	0.180058	2.329974	2.034013	0.589286	0.642857	0.584941
1777266464.737	0	50	50	5	0.809976	0.563767	0.246209	2.310699	2.067755	0.482143	0.580357	0.570194
1777266464.737	0	50	50	6	1.107833	0.883299	0.224534	2.087622	2.003868	0.562500	0.602679	0.661837
1777266464.737	0	50	50	7	1.633390	1.396781	0.236609	1.775585	1.754184	0.589286	0.584821	0.673526
1777266464.737	0	50	50	8	0.779702	0.541650	0.238052	1.954804	1.986142	0.571429	0.687500	0.656628
1777266464.737	0	50	50	9	0.768947	0.554240	0.214707	1.935940	1.821276	0.598214	0.620536	0.688407
1777266464.737	0	50	50	10	0.904605	0.629767	0.274838	1.998219	1.809417	0.544643	0.540179	0.597741
1777266464.737	0	50	50	11	0.754945	0.510900	0.244045	1.758531	1.528034	0.616071	0.593750	0.648790
1777266464.737	0	50	50	12	1.165147	0.914955	0.250192	1.789134	1.430517	0.598214	0.629464	0.665128
1777266464.737	0	50	50	13	1.140758	0.888552	0.252206	1.456285	1.136792	0.678571	0.633929	0.644334
1777266464.737	0	50	50	14	1.573055	1.308469	0.264586	1.527896	1.065838	0.508929	0.549107	0.639622
1777266464.737	0	50	50	15	2.575286	2.342840	0.232446	1.564853	0.780480	0.589286	0.535714	0.692298
1777266464.737	0	50	50	16	1.715574	1.460536	0.255038	1.447994	0.871513	0.562500	0.571429	0.678897
1777266464.737	0	50	50	17	1.732650	1.458167	0.274483	1.106866	0.607241	0.696429	0.553571	0.634988
1777266464.737	0	50	50	18	2.899596	2.589768	0.309829	1.468717	0.662995	0.455357	0.544643	0.581799
1777266464.737	0	50	50	19	2.683076	2.392396	0.290679	1.018324	0.390435	0.651786	0.571429	0.614771
1777266464.737	0	50	50	20	3.686490	3.380219	0.306272	1.010213	0.305796	0.678571	0.580357	0.607633
1777266464.737	0	50	50	21	5.094800	4.779736	0.315064	1.101265	0.289408	0.571429	0.517857	0.588221
1777266464.737	0	50	50	22	7.882916	7.559490	0.323427	1.095739	0.120764	0.633929	0.589286	0.584521
1777266464.737	0	50	50	23	4.047481	3.805046	0.242435	0.358790	0.080694	0.857143	0.727679	0.636150
1777266483.196	0	100	100	0	0.558976	0.387960	0.171015	2.620955	2.457997	0.571429	0.648810	0.563606
1777266483.196	0	100	100	1	0.390259	0.267342	0.122917	2.278542	2.167932	0.607143	0.669643	0.752625
1777266483.196	0	100	100	2	0.388229	0.199238	0.188991	2.494625	2.457810	0.482143	0.580357	0.706968
1777266483.196	0	100	100	3	0.329314	0.159181	0.170134	2.199450	2.180156	0.696429	0.663690	0.685317
1777266483.196	0	100	100	4	0.507160	0.311992	0.195168	2.362668	2.253999	0.577381	0.648810	0.618159
1777266483.196	0	100	100	5	0.652973	0.422852	0.230122	2.288588	2.171937	0.505952	0.550595	0.621189
1777266483.196	0	100	100	6	0.766640	0.532940	0.233700	2.095721	2.062659	0.511905	0.571429	0.666705
1777266483.196	0	100	100	7	0.893031	0.692913	0.200118	1.863404	1.801176	0.571429	0.642857	0.714145
