# run_started_at	20260427_131007
# arg	batch_size	2
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	128
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	2000
# arg	eval_max_samples	20
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	6
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	0
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	1
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	8
# arg	lora_target_modules	""
# arg	lr	0.0001
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.7
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	moe_att_expert_loss_chunk_size	0
# arg	moe_att_expert_loss_coef	1.0
# arg	moe_att_kl_loss_coef	0.1
# arg	moe_att_use_detach	1
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/out_moe_att_arce"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.0
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	null
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	2
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/out_moe_att_arce/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_expert	loss_kl	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_accuracy	router_aux_loss_coef	router_top_k	expert_embedding_proj_grad_norm	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1777266924.859	0	300	50	9.971596e-05	11.915167	2.320312	9.355467	2.393871	0.000000	12.103179	12.183565	2.295406		0.000000	2	7.301313	-2.094357	7.841533	-58.855664	61.971412	1.000000	0.000000	1.271743	0.597468	0.000000	0.000000	1.000000	0.000000	0.314370	0.521897	5.856172	1.420568	10.188229	1.317229	2.000000	2.000000	0.020833	0.489650	0.705286	1.000000	0.000000	0.559449	[0.0674, 0.060596, 0.06188, 0.063292, 0.067028, 0.059563, 0.054854, 0.064974, 0.063063, 0.060759, 0.056801, 0.071314, 0.065162, 0.050593, 0.072066, 0.060653]	[0.077799, 0.057129, 0.058757, 0.063965, 0.07015, 0.060059, 0.056152, 0.066732, 0.0625, 0.052734, 0.051595, 0.086589, 0.070964, 0.039714, 0.071615, 0.053548]
1777267241.279	0	600	100	9.829412e-05	10.611313	1.859375	8.505828	2.461102	0.000000	10.885683	11.322050	1.949053		0.000000	2	5.675207	-2.062386	10.347247	-65.867911	93.626673	1.000000	0.000000	1.174456	0.626037	0.000000	0.000000	1.000000	0.000000	0.254050	0.455288	8.063742	1.793882	11.093695	1.291501	2.000000	2.000000	0.039062	0.527060	0.725014	1.000000	0.000000	0.778078	[0.064941, 0.05613, 0.052086, 0.063469, 0.066811, 0.069349, 0.047831, 0.069996, 0.054513, 0.053258, 0.065246, 0.088967, 0.059921, 0.051994, 0.066998, 0.06849]	[0.088704, 0.045898, 0.05013, 0.072754, 0.066406, 0.066081, 0.053711, 0.068685, 0.065755, 0.046061, 0.06429, 0.08431, 0.056478, 0.047689, 0.056315, 0.066732]
1777267554.658	0	900	150	9.578744e-05	10.466476	2.080078	8.136565	2.498335	0.000000	10.248521	10.621011	1.771080		0.000000	2	4.502090	-4.756143	13.740760	-102.031044	106.383646	1.000000	0.000000	1.045443	0.669094	0.000000	0.000000	1.000000	0.000000	0.249588	0.438081	9.794813	2.125116	11.581909	1.227284	2.000000	2.000000	0.049479	0.579809	0.758380	1.000000	0.000000	0.951572	[0.096946, 0.057448, 0.042963, 0.052241, 0.075364, 0.06282, 0.043439, 0.082012, 0.057318, 0.055106, 0.067907, 0.065092, 0.064718, 0.051227, 0.069535, 0.055864]	[0.121908, 0.047201, 0.039062, 0.045085, 0.079427, 0.059408, 0.04069, 0.090495, 0.06071, 0.047363, 0.063151, 0.077148, 0.062988, 0.040527, 0.081868, 0.042969]
1777267869.292	1	1200	200	9.240049e-05	9.184562	1.251953	7.681520	2.510884	0.000000	10.007886	10.207998	1.743126		0.000000	2	2.985577	-2.214125	16.248434	-96.322219	140.470821	1.000000	0.000000	1.007662	0.678361	0.000000	0.000000	1.000000	0.000000	0.252251	0.436264	10.041851	2.041362	11.829817	1.302047	2.000000	2.000000	0.072917	0.589782	0.766939	1.000000	0.000000	0.981450	[0.065485, 0.059392, 0.049979, 0.059033, 0.0624, 0.081509, 0.069635, 0.080008, 0.059769, 0.055535, 0.055637, 0.073397, 0.077846, 0.052261, 0.050688, 0.047425]	[0.084635, 0.052572, 0.041504, 0.056315, 0.063639, 0.079427, 0.087402, 0.080729, 0.058268, 0.050781, 0.049642, 0.077148, 0.075684, 0.043945, 0.060547, 0.03776]
1777268187.607	1	1500	250	8.840963e-05	9.800150	1.906250	7.642193	2.517073	0.000000	9.780631	9.919144	1.724388		0.000000	2	5.243644	0.485530	19.157508	-102.045728	188.866982	1.000000	0.000000	0.985129	0.689032	0.000000	0.000000	1.000000	0.000000	0.269178	0.453357	10.605754	2.443822	11.789687	1.358581	2.000000	2.000000	0.072917	0.602284	0.775781	1.000000	0.000000	0.988655	[0.091839, 0.057379, 0.053441, 0.055798, 0.074342, 0.067814, 0.054484, 0.075776, 0.044599, 0.048847, 0.049971, 0.076704, 0.067358, 0.048186, 0.06303, 0.070432]	[0.101888, 0.046712, 0.044271, 0.050456, 0.093587, 0.067708, 0.07194, 0.069987, 0.036458, 0.044759, 0.045085, 0.087077, 0.067546, 0.039714, 0.068359, 0.064453]
1777268501.423	1	1800	300	8.414055e-05	9.147334	1.477539	7.417253	2.525420	0.000000	9.563552	9.673965	1.719467		0.000000	2	5.045206	-3.543205	20.751810	-134.227653	195.755601	1.000000	0.000000	0.974803	0.691410	0.000000	0.000000	1.000000	0.000000	0.265099	0.450579	10.949217	2.394851	11.893305	1.471445	2.000000	2.000000	0.075521	0.603378	0.779442	1.000000	0.000000	0.950440	[0.090164, 0.048887, 0.0435, 0.062241, 0.055223, 0.072154, 0.059165, 0.092648, 0.058335, 0.043279, 0.054896, 0.097936, 0.061981, 0.046921, 0.05704, 0.055628]	[0.108724, 0.039876, 0.039551, 0.051758, 0.056641, 0.075521, 0.080729, 0.085612, 0.050944, 0.035156, 0.051595, 0.097656, 0.068848, 0.04069, 0.07194, 0.044759]
1777268816.613	1	2100	350	7.994159e-05	9.870147	1.881836	7.737552	2.507589	0.000000	9.461647	9.536047	1.728648		0.000000	2	5.619954	-8.349967	25.042770	-168.112252	199.758345	1.000000	0.000000	0.909661	0.710904	0.000000	0.000000	1.000000	0.000000	0.298706	0.484328	10.573205	2.402690	11.938160	1.559410	2.000000	2.000000	0.065104	0.626385	0.795424	1.000000	0.000000	0.854985	[0.086965, 0.060227, 0.048134, 0.054938, 0.051943, 0.067019, 0.052962, 0.093131, 0.056514, 0.054208, 0.057166, 0.082418, 0.071568, 0.057468, 0.055455, 0.049886]	[0.104329, 0.061523, 0.043783, 0.049479, 0.060872, 0.068685, 0.065755, 0.086751, 0.05013, 0.047526, 0.058431, 0.082357, 0.070801, 0.049154, 0.058594, 0.041829]
1777269136.523	2	2400	400	7.615542e-05	9.225544	1.743164	7.228851	2.535289	0.000000	9.174638	9.308715	1.657304		0.000000	2	3.107979	-10.633927	28.254336	-175.090375	258.952665	1.000000	0.000000	0.835259	0.738197	0.000000	0.000000	1.000000	0.000000	0.264681	0.438377	14.589231	3.330439	12.364526	1.491830	2.000000	2.000000	0.072917	0.658205	0.818188	1.000000	0.000000	1.014335	[0.098084, 0.059268, 0.067272, 0.057624, 0.04873, 0.072787, 0.045136, 0.093194, 0.055932, 0.056298, 0.053108, 0.075125, 0.054137, 0.041081, 0.06726, 0.054962]	[0.125651, 0.052083, 0.066732, 0.049479, 0.045573, 0.08252, 0.047038, 0.092611, 0.054199, 0.047526, 0.050456, 0.079915, 0.049154, 0.03418, 0.078939, 0.043945]
1777269454.651	2	2700	450	7.309098e-05	9.512222	1.695312	7.565636	2.512737	0.000000	9.102568	9.170904	1.645240		0.000000	2	3.704841	2.345209	31.985459	-142.707305	291.639561	1.000000	0.000000	0.838222	0.736748	0.000000	0.000000	1.000000	0.000000	0.361001	0.545538	11.706997	2.972505	11.928316	1.817119	2.000000	2.000000	0.036458	0.666955	0.806542	1.000000	0.000000	0.698886	[0.074579, 0.068896, 0.05539, 0.055315, 0.053889, 0.065817, 0.051803, 0.081878, 0.058249, 0.057605, 0.057931, 0.06456, 0.063961, 0.056316, 0.073591, 0.060219]	[0.085612, 0.070475, 0.051758, 0.051432, 0.055339, 0.072428, 0.052734, 0.08138, 0.062012, 0.054362, 0.054525, 0.064941, 0.062988, 0.049479, 0.074056, 0.056478]
1777269768.921	2	3000	500	7.099835e-05	9.674645	1.780273	7.644155	2.502170	0.000000	8.970633	9.079267	1.657423		0.000000	2	4.273740	-0.857808	36.123904	-159.285442	353.170933	1.000000	0.000000	0.890230	0.721853	0.000000	0.000000	1.000000	0.000000	0.378320	0.560601	11.870975	3.022583	11.858646	1.728781	2.000000	2.000000	0.044271	0.650904	0.792801	1.000000	0.000000	0.726835	[0.073546, 0.063669, 0.059312, 0.055729, 0.067129, 0.062659, 0.050484, 0.069181, 0.060964, 0.054293, 0.055705, 0.06027, 0.065537, 0.066231, 0.066849, 0.068441]	[0.088053, 0.0625, 0.054688, 0.049967, 0.077637, 0.063965, 0.049316, 0.065267, 0.06901, 0.050456, 0.052572, 0.064128, 0.067057, 0.059408, 0.060547, 0.06543]
