# run_started_at	20260519_021705
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	3000
# arg	eval_max_samples	600
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa_s44"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.002
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	44
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/fv1_openbookqa_s44/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.05
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	44
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1779128316.859	0	50	50	6.089552e-05	1.916433	1.874335	0.772584	1.734664	0.000000	2.651129	2.859342	2.816506		0.050000	0.002000	2	0.128605	0.500000	-0.015119	-0.610816	-0.595696	98	98	90	-0.049384	1.311223	-5.214632	8.873963	1.000000	0.000000	1.942058	0.392658	0.000372	0.000000	1.000000	0.000000	-0.033811	0.481192	26.493033	4.609498	6.156929	1.396661	2.000000	2.000000	0.049479	0.255552	0.529764	1.000000	0.000000	0.993441	[0.069134, 0.056195, 0.057611, 0.072682, 0.07018, 0.055315, 0.057087, 0.08387, 0.058047, 0.062918, 0.053459, 0.067064, 0.060688, 0.054211, 0.057382, 0.064156]	[0.080618, 0.046285, 0.045687, 0.069354, 0.099, 0.047299, 0.063069, 0.095826, 0.049924, 0.061889, 0.057757, 0.074153, 0.061028, 0.048958, 0.045076, 0.054076]
1779128406.380	0	100	100	7.995907e-05	1.761024	1.727710	0.601772	1.612495	0.000000	1.858390	2.213941	2.173710		0.050000	0.002000	2	0.070302	0.550000	0.318491	-0.614074	-0.932565	80	78	80	-0.012533	1.221645	-4.953530	8.213493	1.000000	0.000000	2.042449	0.359821	0.000516	0.000000	1.000000	0.000000	-0.032653	0.496203	26.826949	4.544337	5.747831	1.376289	2.000000	2.000000	0.070312	0.222330	0.497313	1.000000	0.000000	1.010231	[0.063332, 0.055579, 0.057704, 0.070984, 0.069054, 0.04866, 0.065489, 0.078251, 0.05974, 0.061173, 0.056942, 0.068839, 0.063395, 0.050713, 0.058631, 0.071513]	[0.072493, 0.040583, 0.046062, 0.069222, 0.094396, 0.036236, 0.062563, 0.088486, 0.044813, 0.053507, 0.069951, 0.07641, 0.074681, 0.040271, 0.048993, 0.081333]
1779128495.685	0	150	150	7.974136e-05	1.621025	1.591186	0.538631	1.453775	0.000000	1.769721	1.928480	1.890937		0.050000	0.002000	2	0.067300	0.700000	0.640148	-0.421563	-1.061711	101	101	96	-0.013115	1.208688	-4.968568	8.168617	1.000000	0.000000	2.058469	0.352688	0.000468	0.000000	1.000000	0.000000	-0.032425	0.492616	27.051938	4.460308	5.803695	1.337860	2.000000	2.000000	0.067708	0.217286	0.488089	1.000000	0.000000	0.859597	[0.058962, 0.056691, 0.061403, 0.071403, 0.069368, 0.051625, 0.063294, 0.072347, 0.065638, 0.057437, 0.063417, 0.066049, 0.060722, 0.052002, 0.058411, 0.071232]	[0.073021, 0.040986, 0.055292, 0.065153, 0.084528, 0.038896, 0.079451, 0.085965, 0.062556, 0.048576, 0.079368, 0.070146, 0.065278, 0.041243, 0.048486, 0.061056]
1779128584.506	0	200	200	7.933714e-05	1.785083	1.755683	0.533028	1.374280	0.000000	1.705995	1.786737	1.752174		0.050000	0.002000	2	0.064811	0.700000	0.535597	-0.322448	-0.858045	103	103	102	-0.022449	1.196727	-5.054408	8.216269	1.000000	0.000000	2.056035	0.353273	0.000576	0.000000	1.000000	0.000000	-0.032131	0.491308	27.358954	4.505868	5.701593	1.338631	2.000000	2.000000	0.059896	0.221718	0.484828	1.000000	0.000000	0.832287	[0.064514, 0.059823, 0.060373, 0.072257, 0.065, 0.055528, 0.058119, 0.069277, 0.062686, 0.061559, 0.059157, 0.068045, 0.064642, 0.052798, 0.058788, 0.067435]	[0.081451, 0.074236, 0.059333, 0.070174, 0.084833, 0.048785, 0.044965, 0.077285, 0.056542, 0.051486, 0.056826, 0.077333, 0.061188, 0.038556, 0.051271, 0.065736]
1779128673.108	0	250	250	7.874852e-05	1.546984	1.519218	0.501654	1.341727	0.000000	1.693765	1.724674	1.691787		0.050000	0.002000	2	0.065173	0.750000	0.559405	-0.307722	-0.867127	71	71	69	-0.020884	1.180635	-5.028879	8.266213	1.000000	0.000000	2.079379	0.344952	0.000443	0.000000	1.000000	0.000000	-0.031512	0.497637	27.582680	4.549345	5.606538	1.327585	2.000000	2.000000	0.067708	0.213036	0.476868	1.000000	0.000000	0.810874	[0.062509, 0.057057, 0.058035, 0.069216, 0.06352, 0.052384, 0.062655, 0.074612, 0.05979, 0.06687, 0.057564, 0.067368, 0.068156, 0.05597, 0.056928, 0.067366]	[0.0775, 0.060944, 0.0515, 0.067757, 0.069944, 0.037396, 0.047243, 0.095646, 0.049069, 0.073479, 0.051049, 0.074993, 0.073028, 0.043938, 0.046597, 0.079917]
1779128761.962	0	300	300	7.797857e-05	1.640817	1.613093	0.501847	1.315516	0.000000	1.652841	1.676294	1.644606		0.050000	0.002000	2	0.059610	0.750000	0.923588	-0.306992	-1.230579	92	92	92	-0.020234	1.192531	-4.994178	8.209741	1.000000	0.000000	2.065807	0.350773	0.000513	0.000000	1.000000	0.000000	-0.031046	0.502444	27.846513	4.589688	5.587366	1.334117	2.000000	2.000000	0.062500	0.222018	0.479528	1.000000	0.000000	0.776321	[0.063041, 0.057016, 0.058955, 0.068154, 0.066528, 0.0565, 0.058906, 0.070282, 0.059985, 0.063347, 0.060304, 0.070785, 0.064525, 0.057148, 0.058506, 0.066018]	[0.066826, 0.065118, 0.061167, 0.063, 0.085611, 0.056604, 0.046715, 0.083042, 0.050785, 0.058146, 0.055806, 0.08116, 0.065514, 0.049743, 0.04625, 0.064514]
1779128850.534	0	350	350	7.703131e-05	1.632068	1.603495	0.519758	1.292715	0.000000	1.645157	1.654130	1.623126		0.050000	0.002000	2	0.063951	0.700000	0.577749	-0.318900	-0.896649	79	79	78	-0.003528	1.183899	-5.158261	8.322800	1.000000	0.000000	2.066586	0.349321	0.000589	0.000000	1.000000	0.000000	-0.030513	0.511360	28.093155	4.571376	5.570662	1.303134	2.000000	2.000000	0.065104	0.220172	0.478470	1.000000	0.000000	0.753551	[0.064594, 0.058883, 0.061853, 0.071439, 0.066706, 0.052058, 0.06174, 0.072665, 0.061435, 0.062465, 0.059588, 0.062738, 0.072197, 0.053467, 0.057621, 0.06055]	[0.074861, 0.066465, 0.066042, 0.072118, 0.108021, 0.038625, 0.062576, 0.069243, 0.052597, 0.053674, 0.054361, 0.059861, 0.07925, 0.042507, 0.050174, 0.049625]
1779128939.027	0	400	400	7.591168e-05	1.559386	1.540225	0.330584	1.315960	0.000000	1.587995	1.611128	1.581031		0.050000	0.002000	2	0.064483	0.800000	1.801657	-0.268439	-2.070095	88	88	88	-0.015124	1.229167	-5.450576	8.441063	1.000000	0.000000	2.054819	0.350648	0.000694	0.000000	1.000000	0.000000	-0.030136	0.506748	28.424618	4.636837	5.674204	1.299533	2.000000	2.000000	0.065104	0.219040	0.482257	1.000000	0.000000	0.790312	[0.062249, 0.060691, 0.060749, 0.074702, 0.067024, 0.05685, 0.060539, 0.072096, 0.061201, 0.060642, 0.05868, 0.057824, 0.065684, 0.054029, 0.062247, 0.064791]	[0.077889, 0.059854, 0.076965, 0.07125, 0.072604, 0.04334, 0.069972, 0.096333, 0.052243, 0.049451, 0.055931, 0.049076, 0.071403, 0.040215, 0.05391, 0.059563]
1779129027.833	0	450	450	7.462552e-05	1.598490	1.571467	0.489240	1.280311	0.000000	1.593908	1.594104	1.565795		0.050000	0.002000	2	0.061407	0.750000	0.778479	-0.252202	-1.030681	84	84	82	-0.004452	1.241366	-5.412096	8.447472	1.000000	0.000000	2.012130	0.367352	0.000708	0.000000	1.000000	0.000000	-0.029803	0.498447	28.711822	4.625765	5.646415	1.321647	2.000000	2.000000	0.052083	0.237887	0.496816	1.000000	0.000000	0.732228	[0.064578, 0.062656, 0.060344, 0.069352, 0.063723, 0.052494, 0.062199, 0.070305, 0.063475, 0.058823, 0.061689, 0.062905, 0.064255, 0.056164, 0.062081, 0.064957]	[0.076486, 0.066854, 0.055264, 0.074549, 0.090243, 0.035597, 0.072944, 0.06766, 0.055486, 0.048833, 0.060424, 0.065389, 0.061924, 0.043458, 0.054292, 0.070597]
1779129116.627	0	500	500	7.317955e-05	1.533705	1.505058	0.518345	1.364717	0.000000	1.561600	1.570412	1.542888		0.050000	0.002000	2	0.065843	0.700000	0.974595	-0.348959	-1.323554	71	70	71	-0.032822	1.243194	-5.319361	8.518938	1.000000	0.000000	2.011844	0.367236	0.000828	0.000000	1.000000	0.000000	-0.029750	0.505620	29.010387	4.707957	5.611995	1.283697	2.000000	2.000000	0.065104	0.236354	0.498118	1.000000	0.000000	0.794133	[0.06258, 0.060258, 0.063345, 0.064613, 0.068909, 0.060658, 0.058243, 0.074861, 0.062303, 0.055251, 0.060768, 0.069727, 0.065779, 0.052873, 0.06129, 0.058542]	[0.069812, 0.070722, 0.063174, 0.055743, 0.089875, 0.055257, 0.04316, 0.091299, 0.05591, 0.038812, 0.071646, 0.078306, 0.07159, 0.037354, 0.054076, 0.053264]
