# run_started_at	20260519_052756
# arg	batch_size	24
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/CB_piqa_s44"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	44
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	44
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1779139709.264	0	50	50	0	0.072541	0.027764	0.068056	2.647461	2.703908	0.704091	0.794169	0.865398
1779139709.264	0	50	50	1	0.159683	0.065861	0.111843	2.245015	2.316154	0.640557	0.677981	0.803049
1779139709.264	0	50	50	2	0.166097	0.070292	0.102054	2.410341	2.521304	0.743255	0.690165	0.874698
1779139709.264	0	50	50	3	0.228894	0.096626	0.142569	2.225170	2.332776	0.742385	0.677111	0.803686
1779139709.264	0	50	50	4	0.190193	0.079534	0.124498	2.346801	2.409771	0.762402	0.700174	0.810823
1779139709.264	0	50	50	5	0.225828	0.098846	0.112545	2.223923	2.341162	0.640557	0.680592	0.854058
1779139709.264	0	50	50	6	0.284728	0.130487	0.095018	2.123312	2.274175	0.650131	0.712359	0.877101
1779139709.264	0	50	50	7	0.401284	0.187332	0.106481	1.821198	2.039492	0.755440	0.769800	0.861623
1779139709.264	0	50	50	8	0.433348	0.203255	0.107352	1.856946	2.095798	0.742385	0.758921	0.863912
1779139709.264	0	50	50	9	0.549965	0.259552	0.123443	1.655224	2.001647	0.715405	0.720627	0.851938
1779139709.264	0	50	50	10	0.455789	0.212384	0.124080	1.807736	2.104708	0.755440	0.704961	0.859493
1779139709.264	0	50	50	11	0.440076	0.204550	0.123903	1.800666	2.071822	0.731941	0.724108	0.857462
1779139709.264	0	50	50	12	0.596614	0.282177	0.129043	1.552479	1.862358	0.735422	0.708442	0.829647
1779139709.264	0	50	50	13	0.724619	0.346370	0.127519	1.491653	1.854368	0.713664	0.772411	0.844318
1779139709.264	0	50	50	14	0.613945	0.292906	0.112535	1.409833	1.683115	0.842472	0.757615	0.854591
1779139709.264	0	50	50	15	0.406821	0.193149	0.082092	1.521904	1.772665	0.784160	0.790688	0.878401
1779139709.264	0	50	50	16	0.698886	0.335294	0.113193	1.225039	1.448665	0.771976	0.778068	0.856746
1779139709.264	0	50	50	17	0.850433	0.409769	0.123579	0.960406	1.261025	0.859878	0.725413	0.819778
1779139709.264	0	50	50	18	0.656738	0.313878	0.115928	1.194310	1.431147	0.825936	0.774587	0.843316
1779139709.264	0	50	50	19	0.812052	0.391866	0.113278	0.940903	1.222967	0.862489	0.745866	0.834655
1779139709.264	0	50	50	20	0.878420	0.424229	0.119844	0.921567	1.234790	0.850305	0.779373	0.850874
1779139709.264	0	50	50	21	0.762852	0.367872	0.108427	0.980982	1.264612	0.865100	0.822454	0.861663
1779139709.264	0	50	50	22	0.873461	0.421845	0.119087	0.794070	0.994147	0.806789	0.814621	0.827415
1779139709.264	0	50	50	23	1.717899	0.832417	0.212263	0.167445	0.259795	0.924282	0.727154	0.728200
1779139741.214	0	100	100	0	0.008096	0.002458	0.012717	2.648223	2.654936	0.934922	0.945463	0.922301
1779139741.214	0	100	100	1	0.080950	0.032756	0.061752	2.223965	2.262640	0.696609	0.766728	0.828112
1779139741.214	0	100	100	2	0.055587	0.023059	0.037873	2.402452	2.434664	0.856095	0.851512	0.944836
1779139741.214	0	100	100	3	0.106533	0.045459	0.062461	2.151897	2.198654	0.888176	0.817140	0.889865
1779139741.214	0	100	100	4	0.067967	0.027533	0.051601	2.335262	2.372883	0.892759	0.843263	0.886065
1779139741.214	0	100	100	5	0.064962	0.028075	0.035250	2.222582	2.257033	0.809349	0.841888	0.937359
1779139741.214	0	100	100	6	0.071761	0.032848	0.024257	2.079581	2.128162	0.866178	0.874885	0.955494
