# run_started_at	20260519_053326
# arg	batch_size	24
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	108
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/CB_piqa_s44"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	44
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/CB_piqa_s44/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.05
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	44
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1779140089.767	0	50	50	6.800000e-05	1.947236	1.896285	0.709830	1.545946	0.000000	2.763018	2.889096	2.839485		0.050000	0.010000	2	0.081230	0.625000	0.032968	-2.569603	-2.602571	108	108	108	-0.079151	1.467953	-5.514446	9.146963	1.000000	0.000000	1.896344	0.409703	0.000507	0.000000	1.000000	0.000000	-0.037606	0.289893	32.017873	3.023729	6.221209	1.347649	2.000000	2.000000	0.020833	0.272450	0.546957	1.000000	0.000000	0.892727	[0.067938, 0.054672, 0.063684, 0.056994, 0.078278, 0.060629, 0.063333, 0.073136, 0.065756, 0.053672, 0.053738, 0.08191, 0.05596, 0.047138, 0.05558, 0.067584]	[0.083968, 0.062588, 0.057983, 0.043499, 0.089386, 0.055499, 0.053932, 0.075248, 0.069838, 0.040734, 0.046039, 0.088493, 0.056705, 0.059237, 0.04546, 0.07139]
1779140170.687	0	100	100	7.992641e-05	1.938816	1.891965	0.663653	1.366858	0.000000	2.001812	2.319094	2.271367		0.050000	0.010000	2	0.083374	0.583333	0.109136	-2.560870	-2.670006	108	108	108	-0.046470	1.398124	-5.707010	9.289705	1.000000	0.000000	1.991129	0.373124	0.000601	0.000000	1.000000	0.000000	-0.037200	0.313360	32.372302	3.171886	5.931544	1.341577	2.000000	2.000000	0.020833	0.237554	0.508694	1.000000	0.000000	0.778203	[0.071541, 0.059816, 0.059442, 0.065705, 0.070124, 0.058914, 0.065605, 0.073632, 0.064593, 0.057259, 0.054749, 0.066041, 0.055278, 0.050858, 0.058544, 0.067901]	[0.086484, 0.056633, 0.050789, 0.067861, 0.071454, 0.052437, 0.058007, 0.073986, 0.062653, 0.04751, 0.044464, 0.060973, 0.051408, 0.069557, 0.049688, 0.096097]
1779140251.215	0	150	150	7.962797e-05	2.150815	2.102089	0.727517	1.234964	0.000000	1.977938	2.104099	2.057534		0.050000	0.010000	2	0.068481	0.583333	-0.007229	-2.410252	-2.403023	108	108	108	-0.026584	1.416028	-5.549942	8.828878	1.000000	0.000000	1.944630	0.391392	0.000582	0.000000	1.000000	0.000000	-0.036737	0.311722	32.581015	3.139296	5.929473	1.365828	2.000000	2.000000	0.010417	0.262287	0.520498	1.000000	0.000000	0.623260	[0.062061, 0.061748, 0.064238, 0.065635, 0.067743, 0.057751, 0.064687, 0.069068, 0.068589, 0.058778, 0.060582, 0.068525, 0.057089, 0.05027, 0.057366, 0.06587]	[0.064292, 0.091966, 0.065281, 0.06078, 0.06725, 0.052734, 0.055668, 0.068601, 0.071872, 0.054792, 0.056142, 0.066808, 0.059164, 0.048708, 0.046119, 0.069822]
1779140331.377	0	200	200	7.910197e-05	1.786576	1.739408	0.703863	1.197468	0.000000	1.954583	2.007902	1.962496		0.050000	0.010000	2	0.055033	0.750000	0.033774	-2.178051	-2.211825	108	108	108	-0.017719	1.383839	-5.695053	8.758789	1.000000	0.000000	1.967957	0.383589	0.000554	0.000000	1.000000	0.000000	-0.036032	0.320040	32.675860	3.146586	5.815031	1.375362	2.000000	2.000000	0.010417	0.255255	0.511924	1.000000	0.000000	0.581329	[0.065172, 0.064087, 0.063103, 0.063051, 0.069078, 0.057923, 0.064093, 0.064988, 0.065188, 0.058555, 0.062125, 0.066648, 0.059488, 0.055449, 0.058993, 0.06206]	[0.065442, 0.092552, 0.063497, 0.065795, 0.068818, 0.053996, 0.062098, 0.058345, 0.063834, 0.046618, 0.057533, 0.067652, 0.06209, 0.063923, 0.04804, 0.059767]
1779140411.953	0	250	250	7.835179e-05	1.971699	1.925213	0.694390	1.176662	0.000000	1.929325	1.960373	1.915480		0.050000	0.010000	2	0.059731	0.541667	0.069895	-2.158073	-2.227968	108	108	108	-0.004260	1.371853	-5.588172	8.719982	1.000000	0.000000	1.972175	0.382539	0.000606	0.000000	1.000000	0.000000	-0.035649	0.329813	32.753102	3.226869	5.749281	1.369232	2.000000	2.000000	0.013021	0.255223	0.509854	1.000000	0.000000	0.579162	[0.071056, 0.063005, 0.061804, 0.063463, 0.066051, 0.055099, 0.060087, 0.066171, 0.063312, 0.062534, 0.063151, 0.069007, 0.059718, 0.056692, 0.058315, 0.060535]	[0.07868, 0.090189, 0.054631, 0.0607, 0.069404, 0.043885, 0.052558, 0.065643, 0.06131, 0.053699, 0.059004, 0.075907, 0.067451, 0.06635, 0.047703, 0.052887]
1779140492.554	0	300	300	7.738221e-05	1.766924	1.725248	0.601598	1.159625	0.000000	1.922557	1.932682	1.887985		0.050000	0.010000	2	0.067531	0.833333	0.215611	-2.331463	-2.547073	108	108	108	-0.007177	1.377020	-5.870161	8.939238	1.000000	0.000000	1.990379	0.374707	0.000457	0.000000	1.000000	0.000000	-0.035677	0.331090	32.840542	3.147173	5.699052	1.378881	2.000000	2.000000	0.018229	0.247145	0.502269	1.000000	0.000000	0.521779	[0.063821, 0.062353, 0.05921, 0.065648, 0.063944, 0.059112, 0.063757, 0.063689, 0.063381, 0.062023, 0.06029, 0.066238, 0.062287, 0.058041, 0.061845, 0.06436]	[0.069637, 0.066479, 0.052662, 0.06459, 0.06508, 0.053627, 0.06168, 0.060129, 0.059317, 0.053602, 0.059301, 0.069115, 0.062492, 0.085801, 0.056295, 0.060193]
1779140572.583	0	350	350	7.619943e-05	1.786777	1.744023	0.627808	1.136362	0.000000	1.944451	1.939329	1.895034		0.050000	0.010000	2	0.056413	0.625000	0.185163	-2.220058	-2.405221	108	108	108	-0.010629	1.354458	-5.471412	8.966439	1.000000	0.000000	1.990219	0.374689	0.000460	0.000000	1.000000	0.000000	-0.035814	0.333434	32.888147	3.126068	5.624771	1.356494	2.000000	2.000000	0.015625	0.247553	0.501825	1.000000	0.000000	0.488510	[0.06431, 0.063727, 0.060026, 0.068831, 0.066027, 0.057676, 0.061628, 0.063622, 0.063145, 0.06076, 0.061877, 0.068573, 0.06081, 0.054081, 0.061904, 0.063004]	[0.062765, 0.097246, 0.052132, 0.06762, 0.072483, 0.05189, 0.054454, 0.057686, 0.06086, 0.052051, 0.064156, 0.070771, 0.061222, 0.051448, 0.057927, 0.065289]
1779140652.980	0	400	400	7.481099e-05	2.021397	1.978968	0.621845	1.133650	0.000000	1.903613	1.918667	1.874903		0.050000	0.010000	2	0.054060	0.666667	0.176437	-2.464562	-2.640999	106	106	106	0.002708	1.367735	-5.662608	8.898077	1.000000	0.000000	1.968547	0.383777	0.000517	0.000000	1.000000	0.000000	-0.035655	0.345113	33.032678	3.157605	5.611013	1.367866	2.000000	2.000000	0.007812	0.258967	0.508587	1.000000	0.000000	0.457520	[0.063752, 0.06407, 0.060386, 0.061725, 0.069598, 0.056731, 0.061758, 0.065377, 0.061432, 0.058628, 0.061953, 0.067839, 0.061659, 0.055861, 0.063445, 0.065785]	[0.069396, 0.088566, 0.052678, 0.058755, 0.079636, 0.050154, 0.05734, 0.063995, 0.06254, 0.045846, 0.058441, 0.069332, 0.060965, 0.05357, 0.060137, 0.068649]
1779140732.930	0	450	450	7.322577e-05	1.869908	1.826939	0.638407	1.104896	0.000000	1.908659	1.909215	1.865679		0.050000	0.010000	2	0.056222	0.833333	0.257800	-2.388649	-2.646449	108	108	108	-0.001765	1.379503	-6.044062	9.082448	1.000000	0.000000	1.960019	0.385916	0.000390	0.000000	1.000000	0.000000	-0.035357	0.350603	33.064884	3.179370	5.659050	1.392122	2.000000	2.000000	0.013021	0.260909	0.510922	1.000000	0.000000	0.408712	[0.063139, 0.062237, 0.060405, 0.064728, 0.066717, 0.059401, 0.065221, 0.066314, 0.062146, 0.06232, 0.061396, 0.063483, 0.059851, 0.055707, 0.06344, 0.063495]	[0.071221, 0.086524, 0.056191, 0.061246, 0.069219, 0.058529, 0.063489, 0.067427, 0.059309, 0.051448, 0.058015, 0.060258, 0.067387, 0.049704, 0.05779, 0.062243]
1779140812.744	0	500	500	7.145389e-05	1.824152	1.780703	0.650937	1.090170	0.000000	1.860700	1.879826	1.836332		0.050000	0.010000	2	0.055328	0.666667	0.115391	-2.229406	-2.344797	106	106	103	0.002707	1.345975	-5.797465	9.175792	1.000000	0.000000	2.002386	0.370720	0.000382	0.000000	1.000000	0.000000	-0.035402	0.351017	33.106009	3.054850	5.551946	1.367947	2.000000	2.000000	0.018229	0.244257	0.497183	1.000000	0.000000	0.419867	[0.064237, 0.060365, 0.064675, 0.065245, 0.063973, 0.05412, 0.062344, 0.064489, 0.061613, 0.062205, 0.063112, 0.064807, 0.061855, 0.060431, 0.0637, 0.06283]	[0.063014, 0.080118, 0.069903, 0.062669, 0.07192, 0.046907, 0.061841, 0.067491, 0.060209, 0.053297, 0.061833, 0.062347, 0.055339, 0.071976, 0.053803, 0.057332]
