# run_started_at	20260519_062931
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa_s42"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1779143405.450	0	50	50	0	0.099801	0.044287	0.044911	2.657717	2.744498	0.780881	0.858217	0.879791
1779143405.450	0	50	50	1	0.106645	0.044373	0.071596	2.390483	2.433419	0.549946	0.643394	0.830588
1779143405.450	0	50	50	2	0.151105	0.062236	0.106530	2.485123	2.577774	0.577873	0.682599	0.870698
1779143405.450	0	50	50	3	0.201300	0.085148	0.124018	2.177612	2.257673	0.795918	0.701933	0.821029
1779143405.450	0	50	50	4	0.150548	0.061205	0.112548	2.372168	2.426202	0.752954	0.745972	0.844397
1779143405.450	0	50	50	5	0.183754	0.079597	0.098243	2.318105	2.407571	0.587540	0.708915	0.865548
1779143405.450	0	50	50	6	0.245265	0.112119	0.084108	2.156643	2.285646	0.697100	0.694415	0.886919
1779143405.450	0	50	50	7	0.347103	0.161157	0.099157	1.749574	1.978566	0.809882	0.770677	0.866498
1779143405.450	0	50	50	8	0.317928	0.148091	0.086981	1.846518	2.018493	0.837809	0.767454	0.885369
1779143405.450	0	50	50	9	0.372927	0.174623	0.094721	1.721676	1.955067	0.820623	0.731472	0.880875
1779143405.450	0	50	50	10	0.354581	0.164458	0.102663	1.951499	2.165238	0.723953	0.758324	0.878786
1779143405.450	0	50	50	11	0.417870	0.192908	0.128220	1.674482	1.947675	0.775510	0.727712	0.849801
1779143405.450	0	50	50	12	0.478800	0.225212	0.113501	1.712416	1.950124	0.772288	0.739527	0.842063
1779143405.450	0	50	50	13	0.526695	0.249210	0.113101	1.313609	1.537331	0.837809	0.753491	0.856736
1779143405.450	0	50	50	14	0.506763	0.241211	0.097363	1.445467	1.679245	0.764769	0.788937	0.863806
1779143405.450	0	50	50	15	0.385836	0.183672	0.073969	1.546221	1.776640	0.804511	0.798067	0.875396
1779143405.450	0	50	50	16	0.626352	0.300548	0.101027	1.303534	1.569127	0.780881	0.771751	0.858978
1779143405.450	0	50	50	17	0.842992	0.405107	0.131112	0.855945	1.146488	0.850698	0.724490	0.818774
1779143405.450	0	50	50	18	0.596827	0.284986	0.107422	1.188850	1.478221	0.821697	0.780344	0.848881
1779143405.450	0	50	50	19	0.737570	0.354959	0.110604	0.908186	1.176550	0.860365	0.817401	0.836437
1779143405.450	0	50	50	20	0.991178	0.479659	0.127439	0.749310	1.093528	0.867884	0.790548	0.839078
1779143405.450	0	50	50	21	0.886650	0.429390	0.111483	0.968382	1.297512	0.863588	0.828142	0.856420
1779143405.450	0	50	50	22	0.731314	0.351696	0.111692	0.889151	1.057812	0.827068	0.851235	0.843929
1779143405.450	0	50	50	23	1.849340	0.899867	0.198422	0.147059	0.322785	0.904404	0.737379	0.754336
1779143439.107	0	100	100	0	0.012418	0.003874	0.018683	2.659334	2.672287	0.924509	0.923992	0.906013
1779143439.107	0	100	100	1	0.051714	0.020817	0.040317	2.370572	2.399366	0.709411	0.773526	0.862759
1779143439.107	0	100	100	2	0.069679	0.029881	0.039668	2.422128	2.463323	0.797311	0.825750	0.945670
1779143439.107	0	100	100	3	0.088879	0.037086	0.058830	2.174330	2.209147	0.859359	0.821096	0.882269
1779143439.107	0	100	100	4	0.069726	0.027759	0.056831	2.395904	2.429860	0.867632	0.849018	0.888003
1779143439.107	0	100	100	5	0.058784	0.025292	0.032804	2.318810	2.357903	0.803516	0.806101	0.929402
1779143439.107	0	100	100	6	0.074167	0.033723	0.026888	2.158592	2.205575	0.845915	0.842813	0.948094
1779143439.107	0	100	100	7	0.104472	0.048247	0.031911	1.732115	1.812995	0.907963	0.883661	0.938981
1779143439.107	0	100	100	8	0.090702	0.042499	0.022815	1.850616	1.911846	0.925543	0.899690	0.954998
1779143439.107	0	100	100	9	0.105228	0.049123	0.027929	1.743948	1.814978	0.921406	0.858325	0.954433
1779143439.107	0	100	100	10	0.088803	0.041174	0.025819	1.829272	1.883139	0.923475	0.868149	0.963290
1779143439.107	0	100	100	11	0.137191	0.063561	0.040276	1.664518	1.758706	0.901758	0.865047	0.946932
1779143439.107	0	100	100	12	0.118390	0.055224	0.031770	1.685273	1.769399	0.903826	0.893485	0.933570
1779143439.107	0	100	100	13	0.175124	0.082176	0.043091	1.286998	1.367937	0.915202	0.861944	0.933523
1779143439.107	0	100	100	14	0.155067	0.073027	0.036050	1.401946	1.461574	0.931748	0.871768	0.929724
1779143439.107	0	100	100	15	0.145027	0.068383	0.033039	1.484469	1.578008	0.913133	0.900207	0.916540
1779143439.107	0	100	100	16	0.201968	0.096262	0.037774	1.210508	1.302760	0.926577	0.898656	0.925217
1779143439.107	0	100	100	17	0.234442	0.111163	0.048459	0.793707	0.884845	0.974147	0.836608	0.905490
1779143439.107	0	100	100	18	0.168435	0.079636	0.036654	1.136928	1.190151	0.925543	0.914685	0.923262
1779143439.107	0	100	100	19	0.210077	0.100153	0.039084	0.860098	0.932848	0.941055	0.879007	0.911048
1779143439.107	0	100	100	20	0.261283	0.124663	0.047829	0.692922	0.758818	0.951396	0.879524	0.924393
1779143439.107	0	100	100	21	0.218496	0.104110	0.041103	0.928983	0.998011	0.958635	0.875388	0.936141
1779143439.107	0	100	100	22	0.207236	0.098820	0.038385	0.843158	0.891589	0.947260	0.891417	0.923315
1779143439.107	0	100	100	23	0.500233	0.235177	0.119518	0.182056	0.201767	0.956567	0.800414	0.848219
1779143472.280	0	150	150	0	0.003417	0.001022	0.005494	2.661625	2.665272	0.981633	0.946939	0.925194
1779143472.280	0	150	150	1	0.028144	0.011238	0.022671	2.386384	2.404016	0.804082	0.846939	0.882463
1779143472.280	0	150	150	2	0.030667	0.012856	0.019817	2.426493	2.445423	0.891837	0.888265	0.965950
1779143472.280	0	150	150	3	0.050755	0.021008	0.034957	2.157226	2.177626	0.921429	0.867857	0.905769
1779143472.280	0	150	150	4	0.032116	0.012599	0.027675	2.393950	2.410704	0.927551	0.885204	0.920407
1779143472.280	0	150	150	5	0.023376	0.010057	0.013047	2.321792	2.339564	0.866327	0.886735	0.949093
1779143472.280	0	150	150	6	0.022759	0.010321	0.008469	2.140764	2.161136	0.922449	0.920918	0.967232
1779143472.280	0	150	150	7	0.034875	0.016020	0.011337	1.742974	1.767796	0.956122	0.923980	0.959229
1779143472.280	0	150	150	8	0.024389	0.011331	0.006903	1.871189	1.885473	0.966327	0.952041	0.972323
1779143472.280	0	150	150	9	0.024666	0.011453	0.007038	1.708312	1.711577	0.970408	0.931122	0.977016
1779143472.280	0	150	150	10	0.021867	0.010076	0.006858	1.848407	1.862521	0.956122	0.937245	0.983546
1779143472.280	0	150	150	11	0.042520	0.019503	0.014060	1.655295	1.685478	0.918367	0.918367	0.975012
1779143472.280	0	150	150	12	0.032365	0.015003	0.009437	1.705596	1.725320	0.958163	0.945918	0.958113
1779143472.280	0	150	150	13	0.055968	0.026037	0.015574	1.297069	1.324324	0.962245	0.926531	0.962801
1779143472.280	0	150	150	14	0.058104	0.027259	0.014342	1.415125	1.424886	0.944898	0.930612	0.953467
1779143472.280	0	150	150	15	0.056592	0.026554	0.013934	1.499341	1.533322	0.956122	0.933163	0.937851
1779143472.280	0	150	150	16	0.074802	0.035461	0.015519	1.231969	1.249966	0.959184	0.918878	0.949602
1779143472.280	0	150	150	17	0.089409	0.042269	0.019487	0.795459	0.814174	0.986735	0.891837	0.937565
1779143472.280	0	150	150	18	0.069750	0.032945	0.015438	1.123387	1.131753	0.977551	0.930102	0.946417
1779143472.280	0	150	150	19	0.080517	0.038026	0.017857	0.855991	0.867867	0.980612	0.921939	0.933945
1779143472.280	0	150	150	20	0.113575	0.054121	0.021335	0.697074	0.719733	0.968367	0.927041	0.952762
1779143472.280	0	150	150	21	0.069262	0.032862	0.014152	0.898319	0.913410	0.984694	0.945918	0.963894
1779143472.280	0	150	150	22	0.077285	0.036547	0.016767	0.840689	0.854587	0.959184	0.934694	0.944576
