# run_started_at	20260519_120325
# arg	batch_size	20
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"siqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"siqa"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_siqa_s44"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	44
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	1
# arg	stage2_init_path	"/mnt/data/models/fv1_siqa_s44/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.05
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	44
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1779163498.052	0	50	50	2.720000e-05	2.488123	2.443457	0.532169	1.805815	0.000000	3.221645	3.385235	3.321905		0.050000	0.010000	2	0.223703	0.750000	0.679560	-3.550136	-4.229696	63	63	53	-0.044568	1.391635	-5.226699	8.711796	1.000000	0.000000	1.986226	0.377122	0.000532	0.000000	1.000000	0.000000	-0.038101	0.241525	32.671147	2.581008	6.044735	1.391479	2.000000	2.000000	0.010417	0.235061	0.519184	1.000000	0.000000	1.079170	[0.086882, 0.057738, 0.063264, 0.080512, 0.065341, 0.05545, 0.065673, 0.064635, 0.051343, 0.060968, 0.059026, 0.064418, 0.059606, 0.047924, 0.056518, 0.060702]	[0.123514, 0.053438, 0.072403, 0.101569, 0.07616, 0.069438, 0.059694, 0.059347, 0.02925, 0.05159, 0.051403, 0.059583, 0.054569, 0.031167, 0.053757, 0.053118]
1779163587.805	0	100	100	5.386667e-05	1.603592	1.562725	0.530563	1.433842	0.000000	1.899757	2.406338	2.352212		0.050000	0.010000	2	0.063290	0.700000	0.538605	-2.221804	-2.760409	57	54	57	-0.024743	1.386704	-5.876475	8.822741	1.000000	0.000000	2.010246	0.367062	0.000395	0.000000	1.000000	0.000000	-0.037455	0.269387	33.068311	3.063247	5.877209	1.389534	2.000000	2.000000	0.015625	0.229781	0.504344	1.000000	0.000000	0.829908	[0.070482, 0.054827, 0.065163, 0.075273, 0.061383, 0.057385, 0.067981, 0.069971, 0.061789, 0.054861, 0.063937, 0.066316, 0.057712, 0.055104, 0.058512, 0.059304]	[0.065236, 0.056889, 0.060861, 0.086347, 0.072618, 0.080278, 0.066556, 0.075479, 0.057389, 0.044896, 0.064826, 0.061972, 0.056528, 0.047424, 0.053757, 0.048944]
1779163677.489	0	150	150	8.000000e-05	1.683324	1.636820	0.675983	1.270466	0.000000	1.593681	1.883968	1.834797		0.050000	0.010000	2	0.058833	0.700000	0.633219	-2.702638	-3.335856	91	91	83	-0.024569	1.377904	-5.818913	9.014136	1.000000	0.000000	1.990808	0.375007	0.000482	0.000000	1.000000	0.000000	-0.037345	0.278308	33.199803	3.040737	5.807275	1.434875	2.000000	2.000000	0.007812	0.243466	0.506547	1.000000	0.000000	0.671594	[0.068565, 0.060168, 0.062491, 0.074398, 0.061865, 0.054434, 0.061191, 0.066714, 0.058149, 0.053247, 0.064324, 0.067198, 0.066517, 0.054095, 0.05933, 0.067314]	[0.07359, 0.059125, 0.061285, 0.103042, 0.064854, 0.059361, 0.056444, 0.06816, 0.0455, 0.038688, 0.066139, 0.066931, 0.069681, 0.043063, 0.055042, 0.069097]
1779163766.874	0	200	200	7.998131e-05	1.485541	1.431949	0.831709	1.200629	0.000000	1.500825	1.639235	1.594814		0.050000	0.010000	2	0.046023	0.650000	0.295205	-2.759357	-3.054562	63	63	57	-0.006787	1.336754	-5.833482	8.987433	1.000000	0.000000	2.043953	0.355134	0.000450	0.000000	1.000000	0.000000	-0.037383	0.295979	33.246576	3.122927	5.664324	1.326167	2.000000	2.000000	0.020833	0.224378	0.485890	1.000000	0.000000	0.597399	[0.066661, 0.060163, 0.064507, 0.068464, 0.063943, 0.056065, 0.071341, 0.071681, 0.055833, 0.057335, 0.064229, 0.064707, 0.060796, 0.053098, 0.059405, 0.061772]	[0.076444, 0.067799, 0.062993, 0.089694, 0.067292, 0.050549, 0.076979, 0.073361, 0.04691, 0.045479, 0.061917, 0.05875, 0.057917, 0.040674, 0.054979, 0.068264]
1779163855.581	0	250	250	7.992527e-05	1.654320	1.617064	0.518538	1.132943	0.000000	1.474027	1.538109	1.496137		0.050000	0.010000	2	0.052717	0.600000	0.870084	-2.447038	-3.317122	67	64	67	-0.007158	1.313395	-5.711598	8.644815	1.000000	0.000000	2.056765	0.350414	0.000410	0.000000	1.000000	0.000000	-0.037398	0.295024	33.333222	3.228673	5.523066	1.366418	2.000000	2.000000	0.007812	0.220595	0.480233	1.000000	0.000000	0.503641	[0.062457, 0.062566, 0.062676, 0.067005, 0.063215, 0.060888, 0.064249, 0.06374, 0.059878, 0.064683, 0.05912, 0.06569, 0.066593, 0.055672, 0.0592, 0.062367]	[0.067597, 0.057694, 0.063576, 0.091563, 0.066674, 0.062715, 0.061028, 0.067972, 0.049778, 0.057049, 0.050583, 0.066576, 0.071847, 0.047854, 0.050194, 0.067299]
1779163944.068	0	300	300	7.983194e-05	1.427302	1.394630	0.427599	1.129195	0.000000	1.450822	1.482237	1.443081		0.050000	0.010000	2	0.061229	0.800000	1.101394	-2.248467	-3.349862	54	54	54	-0.009603	1.300923	-5.885935	8.905921	1.000000	0.000000	2.074368	0.343300	0.000231	0.000000	1.000000	0.000000	-0.037262	0.295683	33.458593	3.247622	5.474707	1.306201	2.000000	2.000000	0.015625	0.213646	0.472953	1.000000	0.000000	0.505717	[0.063779, 0.061225, 0.067295, 0.069917, 0.058659, 0.054254, 0.063964, 0.063163, 0.058969, 0.064526, 0.06305, 0.063289, 0.066996, 0.05799, 0.059036, 0.063889]	[0.076542, 0.068257, 0.070736, 0.076285, 0.059035, 0.045368, 0.072681, 0.061486, 0.051653, 0.058681, 0.0645, 0.056611, 0.073396, 0.049194, 0.049319, 0.066257]
1779164032.264	0	350	350	7.970141e-05	1.467966	1.418147	0.772961	1.117135	0.000000	1.470603	1.472515	1.433751		0.050000	0.010000	2	0.039263	0.600000	0.322428	-2.476389	-2.798817	71	71	71	-0.010118	1.320343	-5.816526	9.019693	1.000000	0.000000	2.062179	0.347608	0.000261	0.000000	1.000000	0.000000	-0.037023	0.309263	33.556514	3.267032	5.486932	1.357854	2.000000	2.000000	0.013021	0.217228	0.477988	1.000000	0.000000	0.494301	[0.064994, 0.062616, 0.062928, 0.069021, 0.063941, 0.055836, 0.064568, 0.060831, 0.064778, 0.061223, 0.063308, 0.065264, 0.061087, 0.057657, 0.060177, 0.061772]	[0.07459, 0.061424, 0.060965, 0.071549, 0.091875, 0.047403, 0.067444, 0.066083, 0.056993, 0.053701, 0.058187, 0.061361, 0.062181, 0.047292, 0.055368, 0.063583]
1779164120.747	0	400	400	7.953381e-05	1.417310	1.379650	0.535130	1.090351	0.000000	1.447310	1.455146	1.417200		0.050000	0.010000	2	0.049305	0.700000	0.983095	-2.412124	-3.395220	73	66	73	0.000706	1.311556	-5.763612	9.252721	1.000000	0.000000	2.075183	0.342841	0.000340	0.000000	1.000000	0.000000	-0.037152	0.322227	33.640950	3.299462	5.386296	1.385271	2.000000	2.000000	0.018229	0.214756	0.470926	1.000000	0.000000	0.431319	[0.065752, 0.062323, 0.066848, 0.065276, 0.057858, 0.057364, 0.064657, 0.061993, 0.060021, 0.062816, 0.064785, 0.065067, 0.062196, 0.059904, 0.063411, 0.059728]	[0.073604, 0.082486, 0.069569, 0.071389, 0.05559, 0.048833, 0.065778, 0.056229, 0.053458, 0.05709, 0.065264, 0.067146, 0.061451, 0.053778, 0.062903, 0.055431]
1779164209.076	0	450	450	7.932932e-05	1.420117	1.384486	0.494539	1.090437	0.000000	1.448766	1.449448	1.410817		0.050000	0.010000	2	0.049017	0.700000	0.798749	-2.036869	-2.835618	63	63	62	0.002161	1.299927	-5.768317	9.147681	1.000000	0.000000	2.087228	0.339089	0.000297	0.000000	1.000000	0.000000	-0.037081	0.328887	33.657328	3.377835	5.249648	1.378925	2.000000	2.000000	0.018229	0.212062	0.466117	1.000000	0.000000	0.461951	[0.059682, 0.063928, 0.060643, 0.063883, 0.061313, 0.058066, 0.063853, 0.070987, 0.061602, 0.063667, 0.059948, 0.065813, 0.062922, 0.062463, 0.063029, 0.058202]	[0.054514, 0.085785, 0.05666, 0.058194, 0.061542, 0.051472, 0.061264, 0.072083, 0.059194, 0.060653, 0.04966, 0.066361, 0.062313, 0.076535, 0.057285, 0.066486]
1779164297.269	0	500	500	7.908816e-05	1.422037	1.380215	0.621464	1.074902	0.000000	1.429087	1.435430	1.397166		0.050000	0.010000	2	0.040810	0.700000	0.548460	-2.181259	-2.729720	77	77	76	0.007939	1.309890	-6.296197	8.964509	1.000000	0.000000	2.078916	0.342037	0.000355	0.000000	1.000000	0.000000	-0.037317	0.323411	33.761317	3.329227	5.303136	1.394569	2.000000	2.000000	0.013021	0.214478	0.469595	1.000000	0.000000	0.402727	[0.059954, 0.062295, 0.06155, 0.063183, 0.061139, 0.061179, 0.065292, 0.062968, 0.059116, 0.064183, 0.063682, 0.064836, 0.06183, 0.063029, 0.064144, 0.061621]	[0.0655, 0.079764, 0.064014, 0.059729, 0.057854, 0.058792, 0.067194, 0.064792, 0.053472, 0.065493, 0.062278, 0.061292, 0.058514, 0.061236, 0.061, 0.059076]
