# run_started_at	20260519_170715
# arg	batch_size	22
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"openbookqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"openbookqa"
# arg	eval_every	3000
# arg	eval_max_samples	600
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_openbookqa_s42"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	null
# arg	router_aux_loss_coef	0.002
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.0
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.0
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1779181670.686	0	50	50	0	0.059201	0.020762	0.070710	2.636335	2.685915	0.727140	0.762985	0.853950
1779181670.686	0	50	50	1	0.141067	0.059922	0.084894	2.263084	2.358625	0.603511	0.702634	0.848715
1779181670.686	0	50	50	2	0.160580	0.066367	0.111388	2.447726	2.523512	0.695684	0.651792	0.859373
1779181670.686	0	50	50	3	0.187350	0.078114	0.124487	2.246799	2.342948	0.747623	0.672641	0.805529
1779181670.686	0	50	50	4	0.200661	0.084183	0.129175	2.378807	2.469608	0.716898	0.688003	0.825485
1779181670.686	0	50	50	5	0.214713	0.093115	0.113933	2.315657	2.425486	0.585955	0.685443	0.854486
1779181670.686	0	50	50	6	0.352972	0.162533	0.111623	2.070435	2.271738	0.623263	0.680322	0.857790
1779181670.686	0	50	50	7	0.444879	0.207692	0.117978	1.837265	2.107128	0.669349	0.745428	0.845905
1779181670.686	0	50	50	8	0.416606	0.194269	0.112272	1.966604	2.207163	0.705925	0.724579	0.858657
1779181670.686	0	50	50	9	0.473827	0.222917	0.111972	1.841000	2.129264	0.740307	0.754938	0.855084
1779181670.686	0	50	50	10	0.528950	0.248678	0.126375	1.872062	2.200020	0.719824	0.717264	0.853603
1779181670.686	0	50	50	11	0.509275	0.238350	0.130304	1.765378	2.073489	0.723482	0.714338	0.849568
1779181670.686	0	50	50	12	0.595664	0.282107	0.125799	1.692027	2.039904	0.711778	0.723482	0.830963
1779181670.686	0	50	50	13	0.763856	0.364865	0.136502	1.460866	1.848813	0.716898	0.695318	0.827891
1779181670.686	0	50	50	14	0.684958	0.327668	0.118483	1.411455	1.722840	0.766642	0.790417	0.839940
1779181670.686	0	50	50	15	0.433830	0.206747	0.081344	1.529012	1.767259	0.744696	0.771763	0.879515
1779181670.686	0	50	50	16	0.659854	0.316830	0.104774	1.334298	1.610590	0.780541	0.786394	0.863952
1779181670.686	0	50	50	17	0.837870	0.402977	0.127664	1.106380	1.463634	0.839795	0.709583	0.809665
1779181670.686	0	50	50	18	0.663261	0.318009	0.108968	1.291846	1.563976	0.773958	0.766277	0.849970
1779181670.686	0	50	50	19	0.906921	0.436394	0.136533	0.920691	1.204594	0.791514	0.724945	0.814135
1779181670.686	0	50	50	20	1.072235	0.519171	0.135568	0.930838	1.291351	0.795903	0.777615	0.836434
1779181670.686	0	50	50	21	1.232925	0.598182	0.146242	1.039516	1.514589	0.741039	0.733723	0.822653
1779181670.686	0	50	50	22	1.006331	0.486837	0.130629	0.959601	1.269683	0.783467	0.754572	0.824029
1779181670.686	0	50	50	23	1.676814	0.818433	0.159793	0.260273	0.418046	0.882955	0.772494	0.792374
1779181705.060	0	100	100	0	0.011614	0.003417	0.019117	2.634991	2.645644	0.915171	0.924551	0.900429
1779181705.060	0	100	100	1	0.064520	0.025952	0.050464	2.249664	2.281278	0.749592	0.796493	0.867053
1779181705.060	0	100	100	2	0.054234	0.022474	0.037140	2.408312	2.433339	0.826264	0.841354	0.943423
1779181705.060	0	100	100	3	0.103079	0.043755	0.062276	2.125927	2.160345	0.876020	0.798124	0.876600
1779181705.060	0	100	100	4	0.076760	0.031218	0.057295	2.364956	2.402522	0.845840	0.833197	0.891176
1779181705.060	0	100	100	5	0.067605	0.028908	0.039157	2.296371	2.335806	0.807504	0.827896	0.937831
1779181705.060	0	100	100	6	0.106632	0.049049	0.034134	2.043304	2.122203	0.849918	0.866639	0.942513
