# run_started_at	20260520_231352
# arg	batch_size	22
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande_s44"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	44
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	44
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1779290067.577	0	50	50	0	0.061519	0.021864	0.071161	2.631585	2.666010	0.751786	0.831696	0.852749
1779290067.577	0	50	50	1	0.152690	0.064496	0.094796	2.226983	2.310363	0.635714	0.654911	0.806127
1779290067.577	0	50	50	2	0.139878	0.057141	0.102388	2.495068	2.580963	0.656250	0.704911	0.871337
1779290067.577	0	50	50	3	0.195071	0.081514	0.128174	2.189709	2.279464	0.779464	0.689732	0.795899
1779290067.577	0	50	50	4	0.160252	0.065488	0.117102	2.375649	2.439868	0.777679	0.706250	0.818020
1779290067.577	0	50	50	5	0.206812	0.090382	0.104193	2.252068	2.380222	0.616071	0.716071	0.858425
1779290067.577	0	50	50	6	0.286698	0.131262	0.096696	2.119555	2.302401	0.631250	0.728571	0.873645
1779290067.577	0	50	50	7	0.375038	0.174542	0.103815	1.818944	2.066358	0.816071	0.749107	0.860640
1779290067.577	0	50	50	8	0.356224	0.166822	0.090319	1.887208	2.110829	0.775000	0.762054	0.879426
1779290067.577	0	50	50	9	0.438856	0.206675	0.102022	1.777572	2.036503	0.755357	0.748661	0.869845
1779290067.577	0	50	50	10	0.422755	0.198171	0.105653	1.879570	2.144140	0.728571	0.713839	0.878020
1779290067.577	0	50	50	11	0.492378	0.230992	0.121577	1.730933	2.033381	0.778571	0.758482	0.859393
1779290067.577	0	50	50	12	0.489183	0.230588	0.112025	1.622513	1.929811	0.768750	0.762946	0.844475
1779290067.577	0	50	50	13	0.658518	0.313213	0.128363	1.410282	1.760988	0.778571	0.778571	0.839314
1779290067.577	0	50	50	14	0.620756	0.295650	0.117822	1.420183	1.700018	0.770536	0.811607	0.843115
1779290067.577	0	50	50	15	0.488620	0.233558	0.086015	1.532312	1.807899	0.742857	0.754911	0.865889
1779290067.577	0	50	50	16	0.638745	0.306333	0.104318	1.316515	1.554154	0.761607	0.776339	0.861480
1779290067.577	0	50	50	17	0.845779	0.407176	0.125705	0.987024	1.344429	0.856250	0.736607	0.816934
1779290067.577	0	50	50	18	0.676512	0.323288	0.119746	1.315031	1.619442	0.815179	0.808482	0.840349
1779290067.577	0	50	50	19	0.828106	0.398542	0.124087	0.894266	1.171375	0.816071	0.796875	0.830281
1779290067.577	0	50	50	20	0.930088	0.449081	0.127706	0.860591	1.174112	0.858929	0.806696	0.845295
1779290067.577	0	50	50	21	1.045282	0.506619	0.128179	0.927167	1.299062	0.818750	0.781250	0.846120
1779290067.577	0	50	50	22	0.789449	0.380101	0.116986	0.931800	1.133316	0.825000	0.817411	0.846408
1779290067.577	0	50	50	23	1.537481	0.746080	0.181286	0.252255	0.384938	0.909821	0.768304	0.773356
1779290101.750	0	100	100	0	0.009490	0.003000	0.013963	2.626451	2.637880	0.921551	0.919748	0.919688
1779290101.750	0	100	100	1	0.063450	0.025763	0.047700	2.222169	2.254324	0.743913	0.740307	0.857039
1779290101.750	0	100	100	2	0.046759	0.019107	0.034180	2.482855	2.513823	0.824166	0.836790	0.944082
1779290101.750	0	100	100	3	0.101424	0.043030	0.061455	2.128628	2.167499	0.876465	0.779080	0.870822
1779290101.750	0	100	100	4	0.069791	0.028244	0.053213	2.369106	2.405026	0.847610	0.839495	0.886802
1779290101.750	0	100	100	5	0.072695	0.031511	0.038690	2.241326	2.285260	0.813345	0.802525	0.929346
1779290101.750	0	100	100	6	0.076618	0.035205	0.024831	2.108670	2.166140	0.846709	0.883679	0.952324
