# run_started_at	20260520_232548
# arg	batch_size	22
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	150
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"winogrande"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"winogrande"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	8e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_winogrande_s44"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	44
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_winogrande_s44/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.05
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	44
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1779290856.112	0	50	50	2.472727e-05	2.205815	2.156382	0.619791	1.844333	0.000000	3.286607	3.521857	3.454715		0.050000	0.010000	2	0.123746	0.636364	0.259621	-0.800786	-1.060407	60	59	60	-0.050647	1.373445	-5.311627	8.436437	1.000000	0.000000	1.974464	0.382424	0.000670	0.000000	1.000000	0.000000	-0.038776	0.240965	33.191703	2.435607	5.872145	1.363421	2.000000	2.000000	0.002604	0.243205	0.521644	1.000000	0.000000	1.050891	[0.077338, 0.051366, 0.060931, 0.071527, 0.063203, 0.051043, 0.075978, 0.061084, 0.058134, 0.056875, 0.057329, 0.059187, 0.06992, 0.053632, 0.058173, 0.07428]	[0.099097, 0.036269, 0.060126, 0.065284, 0.088295, 0.043958, 0.074703, 0.066288, 0.054609, 0.049457, 0.055372, 0.04733, 0.080436, 0.044021, 0.054053, 0.080701]
1779290961.490	0	100	100	4.896970e-05	1.630201	1.578848	0.740081	1.434907	0.000000	1.790702	2.392705	2.334447		0.050000	0.010000	2	0.068392	0.500000	-0.005455	-0.399233	-0.393778	61	61	61	-0.051258	1.371539	-5.736778	8.342442	1.000000	0.000000	1.994991	0.374790	0.000579	0.000000	1.000000	0.000000	-0.038391	0.258957	33.297422	2.704071	5.878504	1.372997	2.000000	2.000000	0.010417	0.238834	0.510746	1.000000	0.000000	0.810215	[0.067671, 0.053092, 0.055995, 0.064256, 0.068327, 0.061337, 0.071222, 0.066842, 0.056767, 0.059626, 0.058311, 0.071806, 0.064048, 0.055945, 0.057997, 0.066758]	[0.07036, 0.036888, 0.050271, 0.063586, 0.098472, 0.058826, 0.092588, 0.06745, 0.047929, 0.062064, 0.055694, 0.068396, 0.068005, 0.043068, 0.046806, 0.069596]
1779291066.312	0	150	150	7.321212e-05	1.563341	1.505906	0.892096	1.283100	0.000000	1.536428	1.841001	1.787150		0.050000	0.010000	2	0.065550	0.363636	-0.290311	-0.577074	-0.286763	69	69	69	-0.032027	1.352294	-5.762782	8.409117	1.000000	0.000000	2.034950	0.358226	0.000561	0.000000	1.000000	0.000000	-0.038525	0.270133	33.296347	2.821276	5.853466	1.362322	2.000000	2.000000	0.013021	0.222878	0.493574	1.000000	0.000000	0.687846	[0.066665, 0.058627, 0.059937, 0.063476, 0.065968, 0.058012, 0.07279, 0.066453, 0.058534, 0.055785, 0.062169, 0.067467, 0.060705, 0.057237, 0.058485, 0.067691]	[0.067146, 0.048074, 0.052734, 0.062816, 0.098131, 0.055802, 0.092487, 0.072569, 0.046585, 0.050164, 0.066686, 0.063693, 0.059792, 0.044634, 0.046705, 0.071982]
1779291171.337	0	200	200	7.999238e-05	1.425999	1.380392	0.668369	1.218804	0.000000	1.471247	1.604727	1.553226		0.050000	0.010000	2	0.050280	0.500000	0.093434	-0.324633	-0.418067	61	61	59	-0.025144	1.307970	-5.452204	8.219513	1.000000	0.000000	2.059359	0.351042	0.000576	0.000000	1.000000	0.000000	-0.038402	0.289187	33.347100	2.903024	5.696800	1.299279	2.000000	2.000000	0.013021	0.219246	0.482838	1.000000	0.000000	0.616392	[0.066422, 0.060304, 0.059263, 0.06079, 0.068702, 0.057102, 0.069606, 0.065438, 0.058449, 0.060854, 0.057715, 0.073614, 0.05745, 0.058824, 0.061917, 0.06355]	[0.066509, 0.052885, 0.047481, 0.060063, 0.102904, 0.053984, 0.082298, 0.067967, 0.046843, 0.059236, 0.053018, 0.085549, 0.0525, 0.052645, 0.051597, 0.06452]
1779291276.190	0	250	250	7.995505e-05	1.321850	1.277046	0.665435	1.153214	0.000000	1.432923	1.492887	1.443326		0.050000	0.010000	2	0.045627	0.545455	0.107769	-0.296398	-0.404167	64	63	64	0.004156	1.269002	-5.190130	8.273396	1.000000	0.000000	2.086775	0.340700	0.000884	0.000000	1.000000	0.000000	-0.038442	0.294808	33.411551	2.942069	5.527964	1.322103	2.000000	2.000000	0.010417	0.210725	0.470676	1.000000	0.000000	0.558865	[0.062332, 0.06101, 0.058966, 0.064078, 0.064593, 0.058854, 0.065705, 0.063688, 0.063549, 0.06075, 0.061264, 0.065075, 0.060669, 0.062342, 0.062068, 0.065056]	[0.057797, 0.060707, 0.054766, 0.059665, 0.096004, 0.062317, 0.071174, 0.063542, 0.054066, 0.052721, 0.063712, 0.065088, 0.061907, 0.05892, 0.050227, 0.067386]
1779291380.327	0	300	300	7.988664e-05	1.572537	1.522079	0.785336	1.119096	0.000000	1.403007	1.436208	1.387036		0.050000	0.010000	2	0.068108	0.500000	-0.115196	-0.442800	-0.327604	61	61	60	-0.011329	1.265834	-5.225091	8.359688	1.000000	0.000000	2.082534	0.343756	0.000839	0.000000	1.000000	0.000000	-0.038525	0.296394	33.448916	2.950317	5.500284	1.338893	2.000000	2.000000	0.010417	0.216254	0.471257	1.000000	0.000000	0.505084	[0.062927, 0.062755, 0.061381, 0.062498, 0.063095, 0.05553, 0.064188, 0.065, 0.06397, 0.062902, 0.057807, 0.068121, 0.06284, 0.059807, 0.062683, 0.064496]	[0.056755, 0.064457, 0.060568, 0.060196, 0.068194, 0.054331, 0.069792, 0.064337, 0.054457, 0.053283, 0.055739, 0.06887, 0.063674, 0.077374, 0.054211, 0.073763]
1779291484.157	0	350	350	7.978723e-05	1.348913	1.298288	0.793511	1.094970	0.000000	1.391089	1.407641	1.359289		0.050000	0.010000	2	0.041665	0.318182	-0.153119	-0.422873	-0.269754	69	69	69	0.005564	1.247185	-5.236387	8.373171	1.000000	0.000000	2.098365	0.337148	0.000986	0.000000	1.000000	0.000000	-0.038105	0.310414	33.528565	3.013176	5.391917	1.335142	2.000000	2.000000	0.007812	0.210858	0.463438	1.000000	0.000000	0.463187	[0.062257, 0.060414, 0.060896, 0.064654, 0.063416, 0.055357, 0.065647, 0.06467, 0.062102, 0.06095, 0.06044, 0.065541, 0.060119, 0.062229, 0.063551, 0.067755]	[0.066199, 0.0569, 0.057393, 0.061521, 0.070215, 0.048674, 0.067146, 0.069463, 0.051989, 0.052298, 0.057235, 0.073409, 0.058125, 0.081787, 0.056042, 0.071604]
1779291588.144	0	400	400	7.965688e-05	1.379470	1.332950	0.714736	1.078285	0.000000	1.369419	1.382425	1.334493		0.050000	0.010000	2	0.050449	0.454545	-0.005558	-0.336653	-0.331094	70	70	70	0.004734	1.250120	-5.253001	8.610832	1.000000	0.000000	2.091395	0.340510	0.001021	0.000000	1.000000	0.000000	-0.038072	0.315629	33.686450	3.047663	5.376043	1.385834	2.000000	2.000000	0.018229	0.214962	0.466058	1.000000	0.000000	0.407489	[0.063232, 0.064378, 0.058457, 0.06164, 0.063715, 0.058169, 0.062631, 0.062575, 0.06327, 0.060961, 0.058661, 0.070323, 0.062048, 0.060097, 0.064405, 0.065437]	[0.058138, 0.064312, 0.056749, 0.060284, 0.073737, 0.056761, 0.065789, 0.06423, 0.053504, 0.052715, 0.051408, 0.079375, 0.058851, 0.076427, 0.053213, 0.074508]
1779291691.726	0	450	450	7.949572e-05	1.292059	1.245466	0.715283	1.082943	0.000000	1.348574	1.363524	1.316058		0.050000	0.010000	2	0.037113	0.500000	0.035930	-0.362226	-0.398156	63	61	63	0.005699	1.246893	-5.210737	8.598039	1.000000	0.000000	2.100549	0.336226	0.000864	0.000000	1.000000	0.000000	-0.038073	0.326300	33.718728	3.191193	5.383717	1.345753	2.000000	2.000000	0.013021	0.210236	0.462216	1.000000	0.000000	0.435448	[0.065071, 0.060454, 0.060916, 0.062673, 0.064282, 0.058465, 0.066064, 0.061548, 0.067038, 0.061043, 0.062656, 0.066239, 0.059839, 0.062226, 0.061552, 0.059934]	[0.06404, 0.056187, 0.074407, 0.060404, 0.070682, 0.058889, 0.068194, 0.055297, 0.060903, 0.054514, 0.061313, 0.074325, 0.05363, 0.077702, 0.050581, 0.058933]
1779291794.784	0	500	500	7.930388e-05	1.300523	1.253078	0.736401	1.062438	0.000000	1.343886	1.349852	1.302863		0.050000	0.010000	2	0.040765	0.590909	-0.024636	-0.387897	-0.363261	63	63	62	-0.008211	1.252384	-5.431909	8.543837	1.000000	0.000000	2.102649	0.336284	0.000901	0.000000	1.000000	0.000000	-0.037896	0.342094	33.826004	3.262041	5.380134	1.356832	2.000000	2.000000	0.018229	0.211246	0.461323	1.000000	0.000000	0.375528	[0.065427, 0.061081, 0.058027, 0.063978, 0.063989, 0.060094, 0.06355, 0.06209, 0.060984, 0.061548, 0.061878, 0.065173, 0.061984, 0.064321, 0.063397, 0.062479]	[0.068188, 0.058314, 0.051894, 0.071553, 0.073245, 0.05435, 0.060189, 0.070676, 0.052096, 0.058144, 0.061054, 0.068176, 0.059571, 0.079842, 0.052854, 0.059855]
