# run_started_at	20260521_023926
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	192
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-c"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-c"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	6e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_c_pw005_s42"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_c_pw005_s42/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.05
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1779302445.332	0	50	50	5.987380e-05	1.611265	1.558110	0.787299	1.379026	0.000000	2.081762	2.158573	2.101211		0.050000	0.010000	2	0.158122	0.500000	-0.156290	-0.808982	-0.652692	144	144	139	-0.015074	1.137305	-5.146503	7.459990	1.000000	0.000000	2.282087	0.272472	0.000732	0.000000	1.000000	0.000000	-0.026740	0.717233	20.360726	5.638789	6.002610	1.371169	2.000000	2.000000	0.151042	0.142912	0.402032	1.000000	0.000000	0.953704	[0.063564, 0.061647, 0.060668, 0.06666, 0.065992, 0.058611, 0.058529, 0.06989, 0.070076, 0.056224, 0.063195, 0.062134, 0.05971, 0.054748, 0.062393, 0.065958]	[0.08318, 0.056858, 0.050917, 0.068576, 0.07695, 0.060945, 0.049208, 0.090151, 0.081715, 0.044388, 0.073242, 0.065565, 0.057626, 0.037372, 0.054416, 0.048891]
1779302522.914	0	100	100	5.887126e-05	1.651468	1.603549	0.705265	1.265531	0.000000	1.598366	1.792892	1.740794		0.050000	0.010000	2	0.093589	0.666667	0.002884	-0.330579	-0.333463	133	133	129	-0.002369	1.132796	-5.166392	7.350968	1.000000	0.000000	2.249176	0.284425	0.000925	0.000000	1.000000	0.000000	-0.026242	0.705061	20.933642	5.643970	5.893181	1.378725	2.000000	2.000000	0.125000	0.156595	0.412255	1.000000	0.000000	0.836416	[0.060244, 0.061168, 0.062474, 0.064851, 0.063998, 0.057668, 0.057495, 0.069523, 0.06418, 0.061102, 0.060982, 0.067997, 0.061565, 0.055593, 0.065657, 0.065503]	[0.068929, 0.058458, 0.057418, 0.053512, 0.075231, 0.047408, 0.067121, 0.075313, 0.066479, 0.052472, 0.061668, 0.090332, 0.058594, 0.042399, 0.066777, 0.057888]
1779302600.786	0	150	150	5.690358e-05	1.423842	1.384504	0.550962	1.178932	0.000000	1.485218	1.592259	1.543983		0.050000	0.010000	2	0.085533	0.833333	0.362406	-0.333922	-0.696328	128	127	128	-0.007236	1.098327	-5.259325	7.314403	1.000000	0.000000	2.289336	0.270015	0.000928	0.000000	1.000000	0.000000	-0.024906	0.701027	21.422626	5.780493	5.696338	1.438852	2.000000	2.000000	0.106771	0.148542	0.391488	1.000000	0.000000	0.723961	[0.061842, 0.061821, 0.059775, 0.067512, 0.06394, 0.060473, 0.059223, 0.06388, 0.067636, 0.060497, 0.061243, 0.063294, 0.060919, 0.057388, 0.064084, 0.066475]	[0.074047, 0.070421, 0.048421, 0.063052, 0.088099, 0.054154, 0.064742, 0.05495, 0.072302, 0.049805, 0.054678, 0.079545, 0.056369, 0.048403, 0.060059, 0.060954]
1779302677.997	0	200	200	5.404416e-05	1.448522	1.407477	0.592623	1.141372	0.000000	1.425310	1.488252	1.442878		0.050000	0.010000	2	0.079127	0.666667	0.276904	-0.216990	-0.493894	158	158	158	0.005174	1.125951	-5.307258	7.252781	1.000000	0.000000	2.267723	0.277292	0.000990	0.000000	1.000000	0.000000	-0.024798	0.694954	21.971232	5.876674	5.690023	1.461357	2.000000	2.000000	0.083333	0.154848	0.399737	1.000000	0.000000	0.667052	[0.064589, 0.064625, 0.060498, 0.064186, 0.063834, 0.060774, 0.060628, 0.065521, 0.064207, 0.059679, 0.061597, 0.061183, 0.061078, 0.057831, 0.062908, 0.06686]	[0.080729, 0.075014, 0.048159, 0.054534, 0.070973, 0.054344, 0.071587, 0.078677, 0.060366, 0.057735, 0.060095, 0.06212, 0.063549, 0.044434, 0.053657, 0.064028]
1779302755.441	0	250	250	5.039968e-05	1.347772	1.303464	0.660361	1.128986	0.000000	1.334164	1.385234	1.340577		0.050000	0.010000	2	0.081154	0.500000	0.158831	-0.278529	-0.437360	160	160	154	-0.001133	1.148589	-5.410537	7.697851	1.000000	0.000000	2.253997	0.281759	0.000958	0.000000	1.000000	0.000000	-0.023561	0.693184	22.498622	6.074317	5.731948	1.454888	2.000000	2.000000	0.088542	0.158917	0.404602	1.000000	0.000000	0.633443	[0.063044, 0.063237, 0.059179, 0.067051, 0.063144, 0.063595, 0.05702, 0.062753, 0.065814, 0.060578, 0.064389, 0.06228, 0.059652, 0.058246, 0.062431, 0.067586]	[0.079744, 0.07166, 0.052807, 0.065285, 0.080684, 0.06571, 0.057048, 0.063513, 0.065999, 0.049561, 0.071651, 0.063368, 0.056044, 0.046785, 0.050808, 0.059335]
1779302832.869	1	300	300	4.610610e-05	1.416248	1.379104	0.520966	1.109594	0.000000	1.282145	1.314278	1.272690		0.050000	0.010000	2	0.097855	0.916667	0.428203	-0.133329	-0.561532	130	127	130	0.008995	1.179114	-5.705718	7.641406	1.000000	0.000000	2.231489	0.288616	0.000914	0.000000	1.000000	0.000000	-0.022611	0.693483	23.101971	6.215222	5.645597	1.508356	2.000000	2.000000	0.085938	0.166846	0.410386	1.000000	0.000000	0.596036	[0.06117, 0.063448, 0.059938, 0.064788, 0.062292, 0.061881, 0.059998, 0.067496, 0.063907, 0.060942, 0.061509, 0.060436, 0.063016, 0.061367, 0.063635, 0.064177]	[0.064788, 0.073088, 0.051848, 0.060411, 0.077655, 0.055926, 0.070973, 0.075204, 0.066759, 0.059136, 0.061514, 0.061126, 0.063133, 0.053114, 0.055103, 0.050221]
1779302909.957	1	350	350	4.132359e-05	1.050172	1.019593	0.384731	1.134273	0.000000	1.158907	1.214124	1.175863		0.050000	0.010000	2	0.100547	0.916667	1.049938	-0.117363	-1.167301	115	115	115	0.000820	1.219643	-5.969835	7.945274	1.000000	0.000000	2.229962	0.286832	0.000779	0.000000	1.000000	0.000000	-0.021274	0.690531	23.678435	6.371139	5.705051	1.426486	2.000000	2.000000	0.083333	0.161775	0.411890	1.000000	0.000000	0.637747	[0.057727, 0.059489, 0.060737, 0.067317, 0.063922, 0.063009, 0.062056, 0.063873, 0.06619, 0.061429, 0.061354, 0.060446, 0.062572, 0.061341, 0.06421, 0.064328]	[0.059362, 0.057988, 0.05995, 0.062238, 0.078785, 0.057644, 0.075593, 0.065855, 0.066081, 0.063739, 0.056595, 0.064878, 0.066451, 0.051821, 0.056433, 0.056586]
1779302987.586	1	400	400	3.623056e-05	1.051993	1.021371	0.390090	1.111803	0.000000	1.139176	1.160765	1.124692		0.050000	0.010000	2	0.106049	0.833333	1.015886	-0.209570	-1.225456	116	113	116	0.016739	1.258661	-6.098159	8.297264	1.000000	0.000000	2.211549	0.290315	0.000735	0.000000	1.000000	0.000000	-0.020836	0.692626	24.236497	6.516934	5.667785	1.445180	2.000000	2.000000	0.072917	0.165113	0.415517	1.000000	0.000000	0.602460	[0.062824, 0.063044, 0.059194, 0.065553, 0.060721, 0.059307, 0.059972, 0.063917, 0.067213, 0.058913, 0.065044, 0.057165, 0.064919, 0.060608, 0.067514, 0.064091]	[0.067898, 0.069381, 0.048494, 0.054507, 0.070059, 0.04834, 0.077429, 0.073604, 0.071172, 0.055022, 0.07185, 0.05476, 0.071814, 0.049904, 0.069155, 0.046613]
1779303065.307	1	450	450	3.101701e-05	1.013339	0.974761	0.548914	1.113254	0.000000	1.085789	1.108934	1.074284		0.050000	0.010000	2	0.096952	0.750000	0.400964	-0.089459	-0.490423	167	167	165	0.006858	1.327170	-6.126156	8.563874	1.000000	0.000000	2.130774	0.321641	0.000584	0.000000	1.000000	0.000000	-0.020019	0.686673	24.641826	6.649914	5.827863	1.471913	2.000000	2.000000	0.065104	0.195481	0.447802	1.000000	0.000000	0.544724	[0.06422, 0.06427, 0.061459, 0.063418, 0.060454, 0.060458, 0.060059, 0.067557, 0.067903, 0.057576, 0.06281, 0.063149, 0.060693, 0.059699, 0.064328, 0.061947]	[0.073432, 0.06628, 0.058539, 0.054253, 0.067898, 0.051053, 0.073667, 0.080042, 0.072139, 0.052626, 0.059724, 0.068305, 0.063603, 0.051034, 0.059001, 0.048403]
1779303143.101	1	500	500	2.587744e-05	0.918808	0.894361	0.268913	1.100140	0.000000	1.036226	1.056432	1.023749		0.050000	0.010000	2	0.096622	1.000000	1.764781	-0.052977	-1.817758	140	140	139	-0.001053	1.344706	-6.528299	8.766200	1.000000	0.000000	2.144874	0.314326	0.000445	0.000000	1.000000	0.000000	-0.019807	0.685388	25.018564	6.699953	5.781460	1.455799	2.000000	2.000000	0.070312	0.187574	0.441078	1.000000	0.000000	0.535530	[0.060383, 0.064821, 0.060514, 0.064149, 0.059778, 0.061703, 0.061342, 0.067768, 0.067209, 0.06005, 0.059871, 0.061701, 0.063578, 0.057184, 0.065697, 0.064252]	[0.062952, 0.065909, 0.056659, 0.052771, 0.061261, 0.060954, 0.07515, 0.085965, 0.07194, 0.057789, 0.059037, 0.065113, 0.066361, 0.045311, 0.063223, 0.049606]
