# run_started_at	20260521_043957
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	192
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	5e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e_s43"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	43
# arg	share_router_expert_embedding	-1
# arg	stage	1
# arg	stage1_data_ratio	0.5
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0001
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	43
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1779309629.520	0	50	50	0	0.063810	0.022696	0.073676	2.631185	2.676378	0.721057	0.763902	0.859740
1779309629.520	0	50	50	1	0.173999	0.073922	0.104618	2.255615	2.341787	0.556974	0.636281	0.818109
1779309629.520	0	50	50	2	0.196568	0.084122	0.113298	2.367458	2.468995	0.669098	0.682771	0.856716
1779309629.520	0	50	50	3	0.243124	0.103738	0.142589	2.236742	2.346999	0.741112	0.651322	0.796704
1779309629.520	0	50	50	4	0.178579	0.073588	0.125608	2.395335	2.475872	0.684594	0.707840	0.828495
1779309629.520	0	50	50	5	0.200539	0.087327	0.103537	2.303382	2.411042	0.624430	0.697812	0.866982
1779309629.520	0	50	50	6	0.317834	0.145592	0.106599	2.117995	2.293288	0.618049	0.690975	0.866405
1779309629.520	0	50	50	7	0.457555	0.213647	0.121047	1.823990	2.097687	0.701003	0.738833	0.846189
1779309629.520	0	50	50	8	0.390234	0.183091	0.096204	1.901890	2.134738	0.752051	0.743847	0.878327
1779309629.520	0	50	50	9	0.474989	0.223713	0.110248	1.770229	2.068332	0.761167	0.737466	0.861462
1779309629.520	0	50	50	10	0.530320	0.248937	0.129783	1.811247	2.169109	0.735643	0.688696	0.851376
1779309629.520	0	50	50	11	0.551480	0.259029	0.133686	1.727275	2.035742	0.697356	0.727894	0.845763
1779309629.520	0	50	50	12	0.645088	0.305984	0.132482	1.640184	2.007053	0.733819	0.716044	0.824584
1779309629.520	0	50	50	13	0.746140	0.356503	0.132536	1.387474	1.742432	0.727438	0.721513	0.834050
1779309629.520	0	50	50	14	0.743971	0.356231	0.126032	1.368219	1.726188	0.774840	0.738377	0.833642
1779309629.520	0	50	50	15	0.434983	0.207221	0.082162	1.544551	1.809538	0.723792	0.755697	0.874213
1779309629.520	0	50	50	16	0.745525	0.358946	0.110534	1.323013	1.645115	0.711942	0.756153	0.851366
1779309629.520	0	50	50	17	0.895484	0.431517	0.129801	1.036469	1.464121	0.847767	0.702826	0.801870
1779309629.520	0	50	50	18	0.720663	0.345680	0.117214	1.203526	1.532570	0.800365	0.765269	0.836914
1779309629.520	0	50	50	19	0.944898	0.456459	0.127922	0.916160	1.284871	0.799453	0.712397	0.817156
1779309629.520	0	50	50	20	1.090092	0.528103	0.135540	0.925659	1.309499	0.774840	0.767548	0.833359
1779309629.520	0	50	50	21	1.075014	0.520932	0.132601	1.044190	1.446823	0.766636	0.786691	0.830470
1779309629.520	0	50	50	22	1.001030	0.484289	0.129810	0.837794	1.145830	0.808569	0.800365	0.817863
1779309629.520	0	50	50	23	1.848207	0.902311	0.174339	0.189198	0.403793	0.871468	0.759799	0.772993
